dubhghall	d̪ˠʊwəl
láma	l̪ˠɑːmˠə
piana	pʲiənˠə
gráin	ɡɾˠæːnʲ
d'ullmhaigh	d̪ˠʌl̪ˠwi
falsa	fˠal̪ˠsˠə
clúdach	klˠuːd̪ˠəx
halla	hal̪ˠə
scaitheamh	sˠka
aithníodh	ænʲiːvˠ
sagairt	sˠaɡəɾˠtʲ
eascann	asˠkən̪ˠ
de	dʲɛ
cinnidh	cɪn̠ʲə
breathnaigh	bˠɾˠæːn̪ˠə
dorn	d̪ˠoːɾˠn̪ˠ
cím	ciːmʲ
beithíoch	bʲɛhiəx
féinfhostaithe	fʲeːnʲosˠt̪ˠəhə
d'oilfeadh	d̪ˠɛlʲhəx
chuici	ɛcɪ
mairg	mˠaɾʲɪɟ
fearg	fʲaɾˠəɡ
cruth	kɾˠʊh
bandach	bˠɑn̪ˠd̪ˠəx
lúcháir	l̪ˠuːxɑːɾʲ
iontas	uːn̪ˠt̪ˠəsˠ
iníon	ɪnʲiːnʲ
glúine	ɡlˠuːnʲə
dochtúr	d̪ˠɔxt̪ˠuːɾˠ
nigh	n̠ʲiː
go	ɡə
feisigh	fʲɛʃiː
cluifí	kl̪ˠɪfʲiː
dhóthain	ɣɔhənʲ
gcuairt	ɡuəɾˠtʲ
greann	ɟɾʲɑːn̪ˠ
dáiríre	d̪ˠɑːɾʲiːɾʲə
amháin	əwɑːnʲ
tirim	tʲɛɾʲəmʲ
donn	d̪ˠəun̪ˠ
isteach	əʃtʲax
uaimh	uəvʲ
thiar	hiəɾˠ
brise	bʲɾʲɪʃə
leas	l̠ʲæsˠ
beachlann	bʲaxlən̪ˠ
péatar	pʲeːt̪ˠəɾˠ
leathanach	l̠ʲahənˠəx
coicís	kʌkəʃ
beag	bʲɛɡ
fomhuireán	fɔwərʲɑːnˠ
ngairdín	ŋɑːɾˠdʲiːnʲ
fuadh	fˠuəx
hithe	hɪhə
feabhas	fʲəusˠ
asaibh	ɑsˠiː
codail	kɔd̪ˠɪlʲ
spád	sˠpˠæːd̪ˠ
cuimhne	kiːvʲɾʲə
sáile	sˠɑːlʲə
láma	l̪ˠæːmˠə
eallach	al̪ˠəx
dtarbh	d̪ˠaɾˠuː
mharaigh	waɾˠə
ciumhais	cuːʃ
ndomhan	n̪ˠaʊən̪ˠ
bisigh	bʲɪʃə
seaicéad	ʃæːceːd̪ˠ
líoma	l̠ʲiːmˠə
dhúinn	ɣɪn̠ʲ
oilfidh	ɪlʲhɪɟ
craiceann	kɾˠɛcən̪ˠ
naoscach	n̪ˠiːsˠkah
goid	ɡɛdʲ
trach	t̪ˠɾˠɑx
corcaigh	kʌɾˠki
d'aithneodh	d̪ˠænʲəx
linne	l̠ʲɪn̠ʲə
liom	lʲʊmˠ
má	mˠɑː
ainneoin	an̠ʲɔnʲ
sobal	sˠʌbˠəlˠ
tugann	tˠʊɡən̪ˠ
cailleadh	kal̠ʲəx
mód	mˠoːd̪ˠ
miosúr	mʲɪsˠuːɾˠ
lite	l̠ʲɪtʲə
achadh	axuː
carraig	kɑɾˠɪɟ
goilim	ɡɛlʲəmʲ
bháis	vˠɑːʃ
aifreann	afʲɾʲən̪ˠ
chum	xʊmˠ
gnó	ɡɾˠoː
díbríodh	dʲiːbʲɾʲiːɡ
aiséirí	æʃəiɾʲə
sealg	ʃalˠəɡ
dáir	d̪ˠæːɾʲ
corrú	kɔɾˠuː
smál	sˠmˠæːlˠ
baisc	bˠaʃc
easóg	ɑsˠɔɡ
ngránaigh	ŋɾˠɑːn̪ˠɪɟ
dris	dʲɾʲɪʃ
agaibh	aɡəvʲ
póirse	pˠɔːɾˠʃə
caitliceach	katʲlʲɪcah
tuismigh	t̪ˠɪʃmi
ciúnas	cuːnˠəsˠ
dúnfad	d̪ˠuːnˠhəd̪ˠ
grád	ɡɾˠɑː
falla	fˠɑl̪ˠə
geasa	ɟasˠə
cairde	kæːɾˠdʲə
ionam	æn̪ˠəmˠ
cleachtadh	clʲaxt̪ˠətʲ
fheicfeadh	ɛcuː
fial	fʲiəlˠ
ghada	ɣad̪ˠə
gasúr	ɡasˠuːɾˠ
thuas	huəsˠ
arcán	aɾˠkanˠ
muintir	mˠiːn̠ʲtʲəɾʲ
aodh	iː
fill	fʲiːl̠ʲ
greim	ɟɾʲəɪmʲ
d'oileadh	d̪ˠɪlʲətʲ
foirfe	fˠɛɾʲəfʲə
orm	ɔɾˠəmˠ
cúntóir	kuːnˠt̪ˠoːɾʲ
spideog	spʲiːd̪ˠoːɡ
d'ainneoin	d̪ˠan̠ʲoːnʲ
cáil	kæːlʲ
dochar	d̪ˠʌxəɾˠ
long	l̪ˠuːŋɡ
brachán	bˠɾˠəxɑːnˠ
don	ɡənˠ
marbh	mˠɑɾˠəvˠ
muid	mˠɪdʲ
bogach	bˠəɡɑx
dtalamh	d̪ˠalˠə
cárb	kaːɾˠbˠ
spéis	sˠpʲeːʃ
inchinn	ɪɲçən̠ʲ
chúns	xuːn̪ˠsˠ
asat	asˠət̪ˠ
hail	halʲ
ith	ɪ
tachtadh	t̪ˠaxt̪ˠəx
iarraidh	iəɾˠi
chugat	xuːt̪ˠ
cuisle	kɪʃl̠ʲə
nó	n̪ˠoː
dán	d̪ˠæːnˠ
bogadh	bˠɔɡuː
aici	ɪcɪ
brad	bˠɾˠad̪ˠ
anall	ən̪ˠɑːl̪ˠ
gasúir	ɡasˠuːɾʲ
leaba	l̠ʲæːbˠə
rinn	ɾˠiːnʲ
gcaoirigh	ɡiːɾʲiː
tuir	t̪ˠɪɾʲ
béal	bʲeːl
daltach	d̪ˠal̪ˠt̪ˠah
dóthain	d̪ˠoːhənʲ
corraigh	kɔɾˠə
foighid	fˠəidʲ
bearach	bʲaɾˠax
tsál	t̪ˠɑːlˠ
dreancaid	dʲɾʲaŋkədʲ
scairteadh	sˠkaɾˠtʲəx
cíocrach	ciːkɾˠah
saora	sˠeːɾˠə
gnáth	ɡɾˠæː
moladh	mˠʌlˠu
reoiteog	ɾˠoːtʲoːɡ
athraím	æɾˠiːmʲ
freagairt	fʲrʲaɡəɾˠtʲ
léim	l̠ʲeːmʲ
dhíbh	jiːvʲ
dtalamh	d̪ˠalˠuː
sábháil	sˠɑːwɑːlʲ
bogearraí	bˠoɟəɾˠiː
gadhar	ɡəiɾˠ
casúr	kasˠuːɾˠ
cóngar	kuːŋɡəɾˠ
lucht	l̪ˠɤxt̪ˠ
glóire	ɡlˠoːɾʲə
aisling	aʃlʲɪɲ
síl	ʃiːlʲ
capall	kapˠəl̪ˠ
míol	mʲiːl
pratastúnach	pˠɾˠaːt̪ˠəsˠt̪ˠuːn̪ˠəx
múchadh	mˠuːxəx
seamróga	ʃamˠɾˠaɡə
caoineadh	kiːnʲəɡ
oibrithe	ɪbʲɾʲəhə
imleacán	imʲlʲəkænˠ
bhfiaradh	vʲiəɾˠəvˠ
faitíos	fˠatʲçəsˠ
shnámh	hn̪ˠæːw
gcoill	ɡiːlʲ
cheist	çɛʃtʲ
glóir	ɡlˠɔːɾʲ
ag	ə
bhfadhb	vˠəibˠ
uaigneas	uəɟnʲəsˠ
stábh	sˠt̪ˠæːw
chuimhnigh	xiːnʲɪɟ
gearradh	ɟɑːɾˠəvˠ
níochán	nʲiːxɑːn̪ˠ
bealtaine	bʲɑːl̪ˠt̪ˠənʲə
iarr	iəɾˠ
ceapadh	cæpˠəx
mair	mˠaɾʲ
aithnigh	ænʲə
curacha	kɤɾˠahə
eiteog	ɛtʲoːɡ
boireannach	bˠɛɾʲən̪ˠah
an	ənˠ
cúige	kuːɟɪ
ngnóthaí	n̪ˠuːiː
dearcadh	dʲaɾˠkə
lasadh	l̪ˠasətʲ
pháras	fˠæːɾˠəsˠ
comhrá	koːɾˠæ
aoi	iː
pá	pˠɑː
mhaoin	vʷiːnʲ
scuabadh	sˠkuəbˠəx
gearradh	ɟɑːɾˠətʲ
caitliceach	katʲlʲɪcəx
deacair	dʲakəɾʲ
tógaimid	t̪ˠoːɡəmʲədʲ
íosánach	iːsˠɑːnˠəx
dhom	ɣʊmˠ
snagcheol	sˠn̪aɡçoːlˠ
mart	mˠaɾˠtˠ
leagadh	l̠ʲaɡətʲ
maighdean	mˠəɪdʲənˠ
chuirfeadh	xɪɾˠhuː
athróidh	ɑɾˠoː
litre	l̠ʲitʲɾʲə
chugat	aɡədˠ
comharsanna	kuːɾˠsˠən̪ˠiː
póca	pˠɔːkə
iontach	uːn̪ˠt̪ˠəx
suí	sˠiː
dínn	dʲiːn̠ʲ
cum	kuːmˠ
pobail	pˠʌbˠəlʲ
long	l̪ˠɔŋ
más	mˠæːsˠ
gortú	ɡoɾˠt̪ˠuː
fógair	fˠoːɡəɾʲ
thuaidh	huə
bhealach	vʲalˠəx
snag	sˠn̪ˠaɡ
réitigh	ɾˠeːtʲə
álainn	ɑːliːn̠ʲ
feiceáil	fʲɛcælʲ
bhfuil	vˠɪlʲ
margadh	mˠaɾˠəɡə
bean	bʲæːnˠ
naí	n̪ˠiː
aonghuthach	eːn̪ˠɣʊhəx
mallacht	mˠal̪ˠəxt̪ˠ
samhradh	sˠəuɾˠə
aghaidh	əiɟ
rása	ɾˠɑːsˠə
teo	tʲoː
sorcas	sˠʌɾˠkəsˠ
gearb	ɟaɾˠəbˠ
uaire	uəɾʲə
milseáin	mʲɪlʲʃaːnʲ
mó	mˠuː
samhain	sˠaunʲ
bharr	bˠæːɾˠ
chaith	xɑh
mheas	vʲæːsˠ
samhradh	sˠəuɾˠu
critheann	crʲɪçən̪ˠ
prios	pɾʲɪsˠ
bleacht	bʲlʲaxt̪ˠ
crann	kɾˠɑːn̪ˠ
ghnách	ɣn̪ˠɑːx
ascaill	asˠkəl̠ʲ
sábh	sˠɑːw
bas	bˠasˠ
acadamh	akəd̪ˠu
tháinig	hæːnʲɪc
vása	wɑːsˠə
donncha	d̪ˠʊn̪ˠəxə
phianfadh	fʲiənˠhəx
uaigh	uə
suíomh	sˠiːvˠ
nollag	n̪ˠɔl̪ˠəɡ
sluasad	sˠl̪ˠuəsˠəd̪ˠ
d'éalaigh	dʲial̪ˠɪɟ
pluma	pˠlˠʊmˠə
mór	mˠoːɾˠ
léigh	lʲeːɟ
miotal	mʲɪt̪ˠəlˠ
gruag	ɡɾˠuəɡ
cinneadh	cɪn̠ʲətʲ
ceathair	cahəɾʲ
naonúr	n̪ˠeːn̪ˠuːɾˠ
mháire	wɑːɾʲə
bharúil	waɾˠulʲ
miongháire	mʲɪnˠɣaːɾʲə
deirfiúr	dʲɛɾʲəhuːɾˠ
tá	t̪ˠæː
phearsana	fʲaɾˠsˠənˠə
aithneachtáil	ænʲəxt̪ˠɑːlʲ
foghar	fˠauɾˠ
crua	kɾˠuə
is	ʃ
grá	ɡɾˠæː
ciseáin	cɪʃænʲ
carbónach	kəɾˠəbˠoːn̪ˠəx
athraithe	ahɾˠɪhə
seachas	ʃɔxəsˠ
déanamh	dʲian̪ˠə
aontaím	eːn̪ˠt̪ˠiːmʲ
buan	bˠuənˠ
teas	tʲæsˠ
cúnamh	kuːn̪ˠəvˠ
ciarán	ciəɾˠɑːnˠ
gnás	ɡnˠɑːsˠ
ngeall	ɲɑːl̪ˠ
féinspéis	fʲeːnʲsˠpʲeːʃ
oide	ɛdʲə
péinteáil	pʲeːn̠ʲtʲɑːlʲ
oileadh	ɪlʲəx
bhfear	vʲaɾˠ
ngeall	ɲaul̪ˠ
banna	bˠanˠə
déanaí	dʲeːn̪ˠi
déad	dʲeːd̪ˠ
tseamróg	tʲamˠɾˠaɡ
seán	ʃæːn̪ˠ
deinim	dʲɪnʲɪmʲ
baisteadh	bˠaʃtʲəvˠ
sinsear	ʃɪn̠ʲsʲəɾˠ
foghar	fˠeːɾˠ
seasamh	ʃasˠə
d'fhreastail	dʲɾʲasˠt̪ˠəlʲ
ollscoil	ɔl̪ˠsˠkɔlʲ
galach	ɡalˠah
fiú	fʲuː
chugham	xuːmˠ
aréir	əɾʲeːɾʲ
feiceadh	fʲɛcəx
freastalaíodh	fʲɾʲasˠt̪ˠəlˠiːvˠ
tairg	t̪ˠaɾʲɪɟ
breathnú	bˠɾˠæːn̪ˠuː
hanamhaith	hɑn̪ˠəvˠɑh
ráth	ɾˠæː
éadach	eːd̪ˠəx
limis	l̠ʲɪmʲɪʃ
praiseach	pˠɾˠaʃah
bunaigh	bˠʊn̪ˠɪɟ
piocadh	pʲɪkətʲ
leictreachas	l̠ʲɛctʲɾʲahəsˠ
tuairisceoir	t̪ˠuˑəɾʲɪʃcoːɾʲ
fíniúin	fʲiːnʲunʲ
fáth	fˠɑː
fhéidir	eːdʲəɾʲ
dínne	dʲiːn̠ʲə
imigh	ɪmʲə
láidir	l̪ˠɑːdʲəɾʲ
d'inseodh	dʲiːnʲʃoːtʲ
'ad	ɑt̪ˠ
suaimhneach	sˠiːmʲɾʲəx
bródúil	bˠɾˠoːd̪ˠuːlʲ
slán	sˠlˠæːnˠ
sibh	ʃɪvʲ
oilfeadh	ɪlʲhətʲ
caithfidh	kahiː
sin	ʃɪnʲ
sorcha	sɔɾˠəxə
scuabadh	sˠkuəbˠu
coileach	kəlʲax
gliceas	ɟlʲɪcəs
pógadh	pˠɔːɡu
mola	mˠɔlˠə
níochán	nʲiːxæn̪ˠ
scriúta	ʃcɾʲuːt̪ˠə
seadadh	ʃad̪ˠəɡ
bacadh	bˠaku
saora	sˠiːɾˠə
roinnt	ɾˠiːn̠ʲtʲ
craiceann	kɾˠɪcən̪ˠ
urlár	uːɾˠl̪ˠɑːɾˠ
imní	ɪmʲɾʲiː
grád	ɡɾˠæː
fearr	fʲaːɾˠ
faoinár	fˠiːnˠɑːɾˠ
gairdín	ɡæːɾˠdʲinʲ
sráid	sˠɾˠæːdʲ
maitheamh	mˠahu
cearnóga	cɑːɾˠn̪ˠoːɡə
aithinne	æhən̠ʲə
duid	d̪ˠɪdʲ
d'éirigh	dʲiːɾʲi
iúr	uːɾˠ
clogaid	klˠɔɡədʲ
mholadh	wɔlˠu
chrann	xɾˠɑːn̪ˠ
bharúil	waɾˠuːlʲ
ordóg	əuɾˠd̪ˠoːɡ
amhráin	əuɾˠɑːnʲ
mbí	mʲiː
díot	dʲiːt̪ˠ
dte	dʲɛ
bhur	uːɾˠ
beidh	bʲɛj
gobadh	ɡʌbˠətʲ
scoileanna	sˠkɛlʲən̪ˠə
stiofán	ʃtʲəfˠɑːn̪ˠ
cuibhrinn	kɪvʲɾʲən̠ʲ
atá	ət̪ˠæː
inteacht	ɪn̠ʲtʲəxt̪ˠ
ceangail	caŋəlʲ
grúdaire	ɡɾˠuːd̪əɾʲə
caoineas	kiːnʲəsˠ
díreacha	dʲiːɾʲaxə
breoiteacht	bʲɾʲɔːtʲaht̪ˠ
bíobla	bʲiːbˠl̪ˠə
fógra	fˠɔːɡɾˠə
gcnoic	ɡnˠɪc
seachas	ʃæxəsˠ
arcán	aɾˠkɑːnˠ
ngráin	ŋɾˠɑːnʲ
milliún	mʲil̠ʲuːnˠ
dise	dʲɪʃə
fhírinne	iːɾʲɪɲɪ
triomach	tʲɾʲɪməx
ardchlár	æːɾˠd̪ˠxlˠæːɾˠ
bhuntáiste	wˠʊn̪ˠt̪ˠɑːʃtʲə
gairdín	ɡɑːɾˠdʲiːnʲ
liathróid	l̠ʲiəhɾˠoːdʲ
déarfadh	dʲeːɾˠhətʲ
comhair	koːrʲ
foscadh	fˠasˠkə
chara	xɑɾˠə
bearr	bʲɑːɾˠ
ainmhí	anʲəvʲiː
torainn	t̪ˠʌɾˠən̠ʲ
leagfaidh	l̠ʲakɪɟ
páidín	pˠæːdʲinʲ
cacht	kaxt̪ˠ
dúid	d̪ˠuːdʲ
ionam	ɪnəmˠ
iompaigh	ʊmˠpˠə
athrú	ahɾˠuː
clé	clʲeː
gcurach	ɡɤɾˠah
rásúr	ɾˠɑːsˠuːɾˠ
easpa	æspə
fhear	aɾˠ
saoi	sˠiː
damhsaigh	d̪ˠausˠə
'spáin	spˠɑːnʲ
ceapadh	capˠuː
meireacá	mʲɛɾʲəkɑː
airsean	ɛɾʲʃənˠ
mhór	vˠoːɾˠ
faoi	fˠiː
cuma	kʊmˠə
íosfaidh	iːsə
goidte	ɡɪtʲə
dearcadh	dʲaɾˠkəvˠ
dún	d̪ˠuːnˠ
fáil	fˠæːlʲ
trínár	tʲɾʲiːnˠɑːɾˠ
meiriceá	mʲɛɾʲəcaː
bál	bˠɑːlˠ
mbláthanna	mˠl̪ˠæhən̪ˠə
ghairid	ɣaɾʲədʲ
cóiste	koːʃtʲə
bó	bˠoː
gcuireadh	ɡɪɾʲuː
ól	ɔːlˠ
deargadh	dʲaɾˠəɡəɡ
dhubh	ɣʊvˠ
aifreannacha	afʲɾʲən̪ˠəxiː
tsín	tʲiːnʲ
gcuan	ɡuənˠ
briseadh	bʲɾʲɪʃə
cairéad	kaɾʲiad̪ˠ
thanaic	hanˠɪc
bod	bˠʌd̪ˠ
fios	fʲɪsˠ
bhfillfeadh	vʲiːlʲhəx
fhiaradh	iəɾˠu
ciumhaise	cuːʃə
scrúdaigh	sˠkɾˠuːd̪ˠiː
eagla	aɡlˠə
catán	kat̪ˠɑːnˠ
cuardaigh	kuəɾˠd̪ˠə
éadrom	eːd̪ˠɾˠəmˠ
troithe	t̪ˠɾˠɪhə
tachtadh	t̪ˠaxt̪ˠə
bhfeaca	vʲakə
leon	l̠ʲuːnˠ
gránaigh	ɡɾˠæːnˠi
báille	bˠæːl̠ʲiː
tarlú	t̪ˠɑːɾˠl̪ˠuː
cuimhne	kɪmʲnʲə
aimhleas	ɑvl̠ʲas
bhíobhair	vʲiːwəɾʲ
glan	ɡlˠanˠ
snáite	sˠn̪ˠæːtʲə
dúigh	d̪ˠuːɟ
dhíot	iːt̪ˠ
beaga	bʲɞɡə
rath	ɾˠɑh
oscar	ɔsˠkəɾˠ
bhfeadh	vʲaw
aingeal	æɲɟəl
thír	hiːɾʲ
veigeán	vʲɛɟænˠ
traochta	t̪ˠɾˠiːxt̪ˠə
phiocadh	fʲʊkə
fód	fˠoːd̪ˠ
tanaí	t̪ˠɑniː
torainn	t̪ˠɔɾˠən̠ʲ
peirsil	pʲɛɾʲʃəlʲ
againne	æn̠ʲə
gadaí	ɡad̪ˠi
dhaingníodar	ɣaɲɟənʲiːd̪ˠəɾˠ
leafaos	l̠ʲafˠiːsˠ
leatsa	lʲat̪ˠsˠə
pholainn	fˠʌlˠən̠ʲ
ionad	ʊn̪ˠəd̪ˠ
aistritheoir	aʃtʲɾʲəhoːɾʲ
aisling	aʃlʲənʲ
deise	dʲɛʃə
aibhneacha	əivʲnəxə
altann	al̪ˠt̪ˠən̪ˠ
ainm	ænəmʲ
leosan	lʲoːpˠsˠənˠ
dán	d̪ˠɑːn̪ˠ
ndomhan	n̪ˠoːən̪ˠ
scairteadh	sˠkaɾˠtʲu
íosa	iːsˠə
ligeann	l̠ʲɪɟən̪ˠ
glanadh	ɡlˠanˠəx
bearna	bʲɑːɾˠn̪ˠə
sionnach	ʃɪn̪ˠəx
bhriseadh	vʲɾʲɪʃətʲ
ród	ɾˠoːd̪ˠ
leabhar	l̠ʲəuɾˠ
greannach	ɟrʲan̪ˠəx
bearradh	bʲaɾˠəx
oirthear	eɾʲhəɾˠ
bláfar	bˠlˠɑːfˠəɾˠ
obair	ɔbˠəɾʲ
naoscach	n̪ˠiːsˠkəx
ceirnín	cɛɾˠn̠ʲiːnʲ
fad	fˠad̪ˠ
maiseach	mˠaʃah
bháis	wɑːʃ
snámh	sˠn̪ˠɑːvˠ
béim	bʲeːmʲ
siad	ʃeːd̪ˠ
aithin	æn
saraiste	sˠaɾˠəʃtʲə
sliabh	ʃl̠ʲiəvˠ
éireannach	eːɾʲən̪ˠah
culaith	kʌlˠi
francach	fˠɾˠaːŋkəx
aithním	æn̠ʲiːmʲ
freastalaí	fʲɾʲasˠt̪ˠəlˠi
spáinn	sˠpˠɑːɲ
teastaigh	tʲasˠt̪ˠəɟ
alltracha	ɑl̪ˠt̪ˠɾˠəxə
lasa	l̪ˠasˠə
goirt	ɡɪɾˠtʲ
cineál	cɪnʲɑːl̪ˠ
ál	ɑːl̪ˠ
túr	t̪ˠuːɾˠ
banda	bˠan̪ˠd̪ˠə
uaibh	wɛbʲ
tuath	t̪ˠuəh
páistí	pˠæːʃtʲi
aoibheallach	iːvʲəl̪ˠah
miotas	mʲɪt̪ˠəsˠ
slisne	ʃl̠ʲɪʃn̠ʲə
phota	fˠɔt̪ˠə
iarann	iəɾˠən̪ˠ
coileán	kɪlʲaːn̪ˠ
leithid	l̠ʲeːdʲ
reo	ɾˠoː
cúigiú	kuːɟu
mhúchadh	wuːxəx
ghoid	ɣɛdʲ
oibre	ɛbʲərʲə
eireaball	ɾˠɨbˠəl̪ˠ
arabach	aɾˠəbˠəx
ngealach	ɲalˠəx
déin	dʲeːnʲ
cothaigh	kohə
sinéad	ʃənʲeːd̪ˠ
ceas	casˠ
fonn	fˠəun̪ˠ
carraig	kaɾˠəc
gobadh	ɡɔbˠətʲ
crom	kɾˠuːmˠ
ghabhais	ɣəiʃ
sionnach	ʃɪn̪ˠɑx
tógaim	t̪ˠɔːɡəmˠ
mhóir	vˠoːɾʲ
rásúirí	ɾˠɑːsˠuːɾʲiː
múinid	mˠuːnʲədʲ
brú	bˠɾˠuː
rinneadar	ɾˠɪn̠ʲəd̪ˠəɾˠ
aisteach	aʃtʲəx
casfaidh	kasˠə
chinn	çiːn̠ʲ
bheith	vʲɛ
éirí	əiɾʲə
éidí	eːdʲi
inste	ɪn̠ʲʃtʲə
dhíbh	ɣiːbʲ
codladh	kʌl̪ˠu
díbh	d̪ˠiːbʲ
craos	kɾˠeːsˠ
fúthusan	fˠuːpˠsˠən
scuabadh	sˠkuəbˠətʲ
trá	t̪ˠɾˠæː
dreoite	dʲɾʲoːtʲə
oileánach	əlʲɑːn̪ˠəx
anamnacha	an̪ˠəmˠn̪ˠəxiː
ádhúil	ɑːwəl
seomra	ʃuːmˠɾˠə
fútsa	fˠuːt̪ˠsˠə
gcuraigh	ɡʊɾˠi
déantóir	dʲeːn̪ˠt̪ˠoːɾʲ
mbeas	mʲɛɪsˠ
chairde	xæːɾˠdʲə
bainne	bˠan̠ʲə
flaith	fˠlˠah
pinginí	pʲɪɲɟənʲiː
tomhais	t̪ˠuːʃ
astusan	ɑsˠt̪ˠəpˠsˠən
árasán	ɑːɾˠəsˠɑːn̪ˠ
madadh	mˠad̪ˠə
folamh	fˠɔlˠuː
tanaíocha	t̪ˠanˠiːxə
múchadh	mˠuːxətʲ
poncán	pˠʊŋkɑːnˠ
gcaoirigh	ɡiːɾʲi
beár	bʲaːɾˠ
deich	dʲɛç
más	mˠæːʃ
phlainc	fˠlˠaɲc
fanacht	fˠɑnˠəxt̪ˠ
seas	ʃasˠ
airigh	aɾʲɪɟ
tilleadh	tʲɪl̠ʲə
rann	ɾˠanˠ
d'inseodh	dʲiːnʲʃoːx
trua	t̪ˠɾˠuəj
d'aithníodh	dˠahnʲiːtʲ
donncha	d̪ˠʌn̪ˠaxə
faocha	fˠiːxə
lear	l̠ʲaɾˠ
mucár	mˠʊkɑːɾˠ
ngobadh	ŋʌbˠətʲ
fiaradh	fʲiəɾˠu
ónarb	oːnˠəɾˠbˠ
chugam	amˠ
tosach	t̪ˠʌsˠah
'ad	ɑːt̪ˠ
liomsa	lɞmˠsˠə
cailleadh	kal̠ʲəɡ
bóthair	bɔhəɾʲ
fliuch	fʲlʲɔx
faoinarbh	fˠiːnˠəɾˠvˠ
árasáin	ɑːɾˠəsˠɑːnʲ
clogaide	klˠʌɡədʲə
gairleog	ɡɑːɾˠlʲaɡ
piliúr	pʲɛlʲuːɾˠ
tirim	tʲɪɾʲəmʲ
péin	pʲeːnʲ
uaisle	uəʃl̠ʲə
bunús	bʊnˠuːsˠ
plódaithe	pˠlˠɔːd̪ˠɪhə
cuntais	kuːn̪ˠt̪ˠəʃ
cluiche	klˠiː
cleachtadh	clʲæxt̪ˠə
ros	ɾˠɔsˠ
eastóinis	asˠtˠoːnʲɪʃ
caighdeánach	kəidʲaːn̪ˠəx
ghlúine	ɣluːnə
spriogadh	sˠpʲɾʲʊɡəx
leac	l̠ʲak
oilfidh	ɛlʲhɪɟ
billí	bʲɪlʲiː
fút	fˠuːt̪ˠ
muise	mˠɪʃə
lomabharróg	l̪ˠɔmˠəvˠɑɾˠoːɡ
siúil	ʃuːlʲ
tusa	t̪ˠʊsˠə
gadaí	ɡad̪ˠiː
ndomhan	n̪ˠaʊn̪ˠ
cliabh	clʲiəw
iarraidh	iəɾˠiː
murach	mˠʊɾˠəx
ospidéal	ɔsˠpʲədʲeːlˠ
bean	bʲanˠ
mhine	vʲɪnʲə
dháréag	ɣɑːɾˠeːɡ
fhágadh	ɑːɡətʲ
glanadh	ɡlˠanˠəvˠ
chéile	çeːlʲə
gol	ɡɔl̪ˠ
samhain	sˠɑvˠən
bagún	bˠaɡuːnˠ
tinneas	tʲɪn̠ʲəsˠ
cistin	cɪʃtʲənʲ
shínigh	hiːnʲɪɟ
sínigh	ʃiːnʲi
leanbh	l̠ʲanˠu
galún	ɡalˠunˠ
dhom	ɣəmˠ
príomhchathair	pˠɾˠiːvˠxaːɾʲ
rása	ɾˠæːsˠə
bodach	bˠʌd̪ˠah
eicínt	əciːn̠ʲtʲ
miosúr	mʲɪsˠuɾˠ
brón	bˠɾˠuːn̪ˠ
faitíos	fˠaːtʲiəsˠ
plúir	pˠlˠuːɾʲ
leith	l̠ʲɛh
colún	kʌlˠunˠ
túisce	t̪ˠuːʃcɪ
tuirne	t̪ˠuːɾˠn̠ʲə
dhéanfadh	jiːnətʲ
cearnóg	cæːɾˠn̪ˠɔɡ
chúig	xuːɟ
taibhse	t̪ˠəiʃə
deilbh	dʲɛlʲəvʲ
eadraibhse	aːt̪ˠɾˠiːʃə
sinsir	ʃiːn̠ʲsʲəɾʲ
bacacha	bˠakahə
goil	ɡɛlʲ
cailleadh	kɑːl̠ʲətʲ
ag	ɪɟə
beanna	bʲan̪ˠə
chion	çɪnˠ
sínid	ʃiːnʲidʲ
cognadh	kɔɡnuː
gránna	ɡɾˠɑːn̪ˠə
guid	ɡɪdʲ
mharbh	vˠɑɾˠəvˠ
gairid	ɡaɾʲədʲ
croíúil	kɾˠiːulʲ
saoileann	sˠiːlʲən̪ˠ
gabha	ɡəu
imigh	ɪmʲɪɟ
bith	bʲɪh
d'fheiceadh	dʲɛcətʲ
ónar	oːnˠəɾˠ
gcurach	ɡɤɾˠax
isteach	əʃtʲæx
againn	aɡən̠ʲ
diarmaid	dʲiəɾˠmˠədʲ
deireadh	dʲɛɾʲəx
sínigh	ʃiːnʲɪɟ
neamh	nʲavˠ
ospidéal	ɔsˠpʲədʲeːl̪ˠ
tnúth	t̪ˠɾˠuː
maireann	mˠɛɾʲən̪ˠ
comórtas	kəmˠoːɾˠt̪ˠəsˠ
lacha	l̪ˠaxə
soiléir	sˠʌlʲeɾʲ
colún	kɔlˠuːnˠ
compordach	kuːmˠpˠoːɾˠd̪ˠəx
mall	mˠɑul̪ˠ
iomrá	ʊmɾˠɑː
báthair	bɑːhəɾʲ
bromach	bˠɾˠɤmˠax
dónall	d̪ˠuːnˠəl̪ˠ
gcuireadh	ɡɪɾʲəx
déantóir	dʲæːn̪ˠt̪ˠɔɾʲ
shuigh	hɪɟ
catán	kət̪ˠɑːn̪ˠ
b'fhearr	bʲɑːɾˠ
focal	fˠʌkəlˠ
aríst	əɾʲiːʃtʲ
geansaí	ɟanˠsˠiː
aithinne	æhn̠ʲə
talamh	t̪ˠalˠu
caol	keːl̪ˠ
imeacht	ɪmʲaxt̪ˠ
uafás	uːhɑːsˠ
ticéad	tʲɪceːd̪ˠ
