អាង	ʔaaŋ
ហ្មត់	mɑt
ហ្ន៎	nɑɑ
សុខា	soʔkʰaa
ព្រះអាទិត្យ	preahʔaatɨt
មុខតំណ	mukdɑmnɑɑ
រចនាបថ	reaʔcaʔnaabɑt
ថ្នាក់រៀន	tnakriən
ជនរងគ្រោះ	cɔɔnrɔɔŋkrʊək
បញ្ជា	bɑɲcie
ឧបាសក	ʔuʔbaasɑk
បណ្ដាញសង្គម	bɑndaaɲsɑŋkum
ចំរើន	cɑmraən
ឈុត	cʰut
ម្រាមនាងដៃ	mriemnieŋday
ចេះ	ceh
ផ្ញើ	pɲaə
ឆ្កួត	ckuət
សរសៃ	sɑɑsay,təsay
អីទៅ	ʔəytɨv
ស្បែកជើង	sbaekcǝǝŋ
ជួន	cuən
ស៊ិន	sin
អាំង	ʔaŋ
រដូវត្រជាក់	rɔdəvtrɑceak
អីចឹង	ʔəycəŋ
មូសដែកគោល	muuhdaekkool
គ្រូក	kruuk
ចិត្ត	cət
ស្លឹក	slək
រៀម	riəm
លំនឹង	lumnɨŋ
ដណ្ដប់	dɑndɑp
សេរ៉ូម	seeroum
ប្រជាជន	prɑciecʊən
អាឡែងតា	ʔaalaeŋtaa
ថូហ្វល	tʰoufɑl
ឆ្អែត	cʔaet
អំបែង	ʔɑmbaeŋ
ម៉ឺន	məɨn
ត្រង	trɑɑŋ
សួស្ដី	suǝsdǝy
ឈ្មោះហៅក្រៅ	cmʊəhhavkrav
អីគេ	ʔəykee
កូពី	koupii
ម្ជូរ	mcuu
ង៉ៃសុក្រ	ŋaysok
ជំនាន់	cumnoan
ស្ថាប័ន	stʰaaban
មុខមាត់	mukmoat
មេរៀន	meeriən
អត់ទៀង	ʔɑttiəŋ
គ្រូពេទ្យ	kruupɛɛt
សោភា	saopʰie
វេច	vɨc
ជនបទ	cɔɔnbɑt,cʊəneaʔbɑt
អរគុណ	ʔɑɑkun
នាឡិការោទ៍	nieliʔkaaroo
ស៊ីក្លូ	siiklou
ខ្មៅ	kmav
ចីពរ	ciipɔɔ
កាសែត	kaasaet
កាបូប	kaaboup
មានន័យ	mienney
សុខភាព	sokkʰapʰiep
មើលឃើញ	məəlkʰəəɲ
ស្គ្រីន	skriin
ត្រឡប់ត្រឡិន	trɑlɑptrɑlən
ក្រឹម	krəm
ប៉ុន	pon
ជណ្ដើរ	cʊəndaə
ស្ថានីយ	stʰaanii
ចិត	cət
ប្រកបរបរ	prɑkɑɑprɔbɑɑ
បស់	bɑh
ហៀរសំបោរ	hiǝsɑmbao
ព្យញ្ជនៈ	pyʊəɲceaʔneaʔ
អាពួកម៉ាក	ʔaapuəkmaak
ក្បួន	kbuən
ស្ល	slɑɑ
ភ្លឺ	plɨɨ
ឆ្លៀត	cliət
ស្លៀក	sliək
ធ្វើដំណើរ	tvəədɑmnaə
ចោរកម្ម	caokam
មាន	mien
អផ្សុក	ʔapsok
ដែល	dael
សេះ	seh
ប្រជាប្រិយ	prɑcieprəy
ញើស	ɲəəh
ជំងឺគ្រុនឈាម	cumŋɨɨkruncʰiem
ប្រកាច់	prɑkac
វៀតណាម	viətnaam
ហ្គេម	kɛɛm,keem
សមុទ្រ	saʔmot
ចង្ហាន់	cɑŋhan
ម៉េចក៏	məckɑɑ
បោះ	bɑh
ទឹកដោះគោ	tɨkdɑhkoo
មាត់ច្រាំង	moatcraŋ
ច្បាស់	cbah
រក	rɔɔk
ដាណែត	daanaet
ជួបគ្នា	cuəpknie
អន្ទិត	ʔɑntɨt
មិនអីទេ	mɨnʔəytee
ឮសូរ	lɨɨsou
ឆ្ពោះ	cpʊəh
សុខៗ	soksok
បង្ហាញខ្លួន	bɑŋhaaɲkluən
គ្រាប់	kroap
ជ្រាបចូល	criepcoul
ព្រីន	priin
អូយ	ʔooy
ត្រា	traa
លង់លក់	lʊəŋlʊək
យាម	yiem
គ្រឿង	krɨəŋ
បន្ត	bɑntɑɑ
ធ្យូង	tyuuŋ,kcuuŋ
ហាក់ដូចជា	hakdouccie
ទឹកដក់	tɨkdɑk
ម្រាម	mriem
បម្រើ	bɑmraə
ចេក	ceek
អញ្ចឹង	ʔɑɲcəŋ
ក្រពះ	krɑpeah
អារក្សអ្នកតា	ʔaarakneaktaa,ʔaareakneaktaa
ស្ងួត	sŋuət
ហូល	houl
កាទឹក	kaatɨk
វង្វេង	vʊəŋveeŋ
ខក	kʰɑɑk
ត្បៀត	tbiət
ឥឡូវ	ʔləv,ʔəyləv,ʔiʔləv
