já	jauː
prýði	pʰriːðɪ
vingull	viŋkʏtl
dugfús	tʏxfuːs
sverja	svɛrja
tékkneskur	tʰjɛhknɛskʏr
flensborg	flɛnspɔrk
kræla	kʰraiːla
rýra	riːra
grassnákur	kraːssnauːkʏr
magndís	makntiːs
ör	œːr
forstaða	fɔr̥staːða
klóra	kʰlouːra
bólgna	poulna
snertill	snɛr̥tɪtl
kláði	kʰlauːðɪ
úrferðarfall	ur̥fɛrðarfatl
kveða	kʰvɛːða
blóðvökvi	plouðvœːkvɪ
klíka	kʰliːka
fyrirlitning	fɪːrɪrlɪhtniŋk
hrani	r̥aːnɪ
hippi	hɪhpɪ
röskur	rœskʏr
enda	ɛnta
hjónaskilnaður	çouːnascɪlnaːðʏr
keipur	cʰeiːpʏr
forinta	fɔːrɪn̥ta
millibil	mɪtlɪpɪːl
einelti	eiːnɛl̥tɪ
hlésey	l̥jɛːseiː
il	ɪːl
mala	maːla
þol	θɔːl
skán	skauːn
fjölkynngi	fjœlcʰiɲcɪ
burður	pʏrðʏr
veisla	veistla
svindlari	svɪntlaːrɪ
réttritun	rjɛhtrɪːtʏn
hjala	çaːla
tímarit	tʰiːmarɪːt
kjammi	cʰamːɪ
brún	pruːn
teppi	tʰɛhpɪ
villigöltur	vɪtlɪkœl̥tʏr
samúel	saːmuːɛːl
húsbóndi	huspountɪ
heigull	heiːɣʏtl
tomma	tʰɔmːa
súr	suːr
framsaga	framsaːɣa
dísa	tiːsa
rakari	raːkaːrɪ
moll	mɔlː
kamfóra	kʰamfouːra
aristóteles	aːrɪstouːtʰɛːlɛːs
for	fɔːr
aðalatriði	aːðalaːtrɪːðɪ
heit	heiːt
kokhlust	kʰɔːkl̥ʏst
trýni	tʰriːnɪ
lesminni	lɛːsmɪnːɪ
sin	sɪːn
blæösp	plaiːœsp
biðlari	pɪðlaːrɪ
frost	frɔst
purpuraþistill	pʰʏr̥pʏːraθɪstɪtl
jarðskorpa	jarðskɔr̥pa
blóm	plouːm
ábendingarfornafn	auːpɛntiŋkarfɔrnapn
inngangur	ɪnːkauŋkʏr
fjalldalafífill	fjatltaːlafiːvɪtl
semja	sɛmja
önd	œnt
skrök	skrœːk
bolla	pɔtla
rykkja	rɪhca
brjánn	prjautn
lumma	lʏmːa
sær	saiːr
ný	niː
hjátrú	çauːtʰruː
tékkneska	tʰjɛhknɛska
armbandsúr	armpantsuːr
stressa	strɛsːa
sigmar	sɪɣmaːr
viða	vɪːða
niðurlægja	nɪːðʏrlaiːja
hrína	r̥iːna
grein	kreiːn
marksúla	mar̥ksuːla
briem	priːm
saltaður	sal̥taːðʏr
burstajafni	pʏr̥stajapnɪ
lúður	luːðʏr
krani	kʰraːnɪ
frjósa	frjouːsa
hundasúra	hʏntasuːra
nös	nœːs
léttúð	ljɛhtuːð
kaðall	kʰaːðatl
múgæsing	muːaiːsiŋk
sjónvarp	sjounvar̥p
farseðill	far̥sɛːðɪtl
járnsmiður	jaurtnsmɪːðʏr
fön	fœːn
hilling	hɪtliŋk
síst	sist
betlari	pɛhtlaːrɪ
skáldskapur	skaultskaːpʏr̥
tíður	tʰiːðʏr
pára	pʰauːra
hvatning	xʷahtniŋk
fjallafura	fjatlafʏːra
munkur	muŋ̊kʏr
strjáll	strjautl
lækur	laiːkʏr
samkomulag	samkʰɔːmʏlaːɣ
næmi	naiːmɪ
lilja	lɪlja
ljóð	ljouːð
ryðfrír	rɪðfriːr
líkamur	liːkʰaːmʏr
gifs	cɪfs
þorlákína	θɔrlauːciːna
okkur	ɔhkʏr
lykta	lɪxta
rjúka	rjuːka
box	pɔxs
klara	kʰlaːra
glata	klaːta
auður	øyːðʏr
jakki	jahcɪ
vaka	vaːka
hegða	hɛɣða
úð	uːð
safnari	sapnaːrɪ
pallur	pʰatlʏr
buxnaklauf	pʏxsnakløyːv
rúnna	runːa
úrvinnsla	urvɪnstla
skiljanlegur	scɪljanlɛːɣʏr
lífsþróttur	lifsθrouhtʏr
drekka	trɛhka
arkitekt	ar̥cɪtʰɛxt
agalegur	aːɣalɛɣʏr
gelta	cɛl̥ta
stikill	stɪːcɪtl
drumbur	trʏmpʏr
drottningarriddari	trɔhtniŋkarrɪtːarɪ
guð	kvʏːð
efasemd	ɛːvasɛmt
bón	pouːn
ágóði	auːkouːðɪ
laugamaðra	løyːɣamaðra
slitinn	stlɪːtinː
yfirheiti	ɪːvɪrheiːtɪ
þessi	θɛsːɪ
hægur	haiːɣʏr
afturhald	aftʏrhalt
má	mauː
kæruleysi	cʰaiːrʏleiːsɪ
sóli	souːlɪ
karta	kʰar̥ta
eymsli	eimstlɪ
hýdrat	çiːtraːt
refill	rɛːvɪtl
kúrín	kʰuːriːn
víg	viːɣ
seyði	seiːðɪ
týsfjóla	tʰiːsfjouːla
snúðugur	stnuːðʏːʏr
hænsn	hainstn
bláber	plauːpɛːr
brauðmoli	prøyðmɔːlɪ
móðga	mouðka
svefnherbergi	svɛpnhɛrpɛrcɪ
harmur	harmʏr
segja	seiːja
brjóst	prjoust
máni	mauːnɪ
jarðsprengja	jarðspreiɲca
kær	cʰaiːr
vöxtur	vœxstʏr
grænmeti	krainmɛːtɪ
piparsveinn	pʰɪːparsveitn
frymi	frɪːmɪ
saddur	satːʏr
slydda	stlɪtːa
gatnamót	kahtnamouːt
limgerði	lɪmcɛrðɪ
djörfung	tjœrvuŋk
glampi	klam̥pɪ
flygill	flɪːjɪtl
haraldína	haːraltiːna
víóla	viːjouːla
biðstofa	pɪðstɔːva
flakka	flahka
túlkur	tʰul̥kʏr
samhljóði	saml̥jouːðɪ
aðdráttur	aðtrauhtʏr
tappatogari	tʰahpatʰɔːɣarɪ
heiladingull	heiːlatiŋkʏtl
nína	niːna
baugur	pøyːɣʏr
hvörf	kʰvœrv
formatta	fɔrmahta
glöggur	klœkːʏr
grafall	kraːvatl
knattspyrnuþjálfari	kʰnahtspɪrtnʏθjaulvarɪ
blævængur	plaiːvaiŋkʏr
plata	pʰlaːta
steinselja	steinsɛlja
faraó	faːraouː
alls	als
föstudagur	fœstʰʏtaːɣʏr
liðugur	lɪːðʏːɣʏr
hamstur	hamstʏr
nærvera	nairvɛːra
dirfð	tɪrvð
skara	skaːra
biðill	pɪːðɪtl
streita	streiːta
sjampó	sjam̥pouː
ýrar	iːraːr
hængur	haiŋkʏr
sleikja	stleiːca
lakka	lahka
grunur	krʏːnʏr
mía	miːja
ber	pɛːr
ók	ouːk
hníga	n̥iːɣa
rýja	riːja
sóun	souːʏn
þefur	θɛːvʏr
öngull	øyŋkʏtl
rauðíkorni	røyːðiːkʰɔrtnɪ
hvass	xʷasː
snökt	snœxt
baula	pøyːla
sund	sʏnt
toga	tʰɔːɣa
krefjast	kʰrɛvjast
forngríska	fɔrtnkriska
galdrakerling	kaltracʰɛrtliŋk
umla	ʏmla
flórens	flouːrɛns
hörfræ	hœrfraiː
frakkland	frahklant
nýr	niːr
aðalskáli	aːðalskauːlɪ
blálilja	plauːlɪlja
beittur	peihtʏr
tinda	tʰɪnta
stoppun	stɔhpʏn
brátt	prauht
markaður	mar̥kaðʏr
gíll	citl
sveiti	sveiːtɪ
dýrð	tirð
efnisyfirlit	ɛpnɪsɪːvɪrlɪːt
fjós	fjouːs
skandall	skantatl
bartar	par̥tar
járnbrautarstöð	jaurtnprøyːtarstœːð
snurða	stnʏrða
púrtvín	pʰur̥tviːn
zeta	sɛːta
sálarfræði	sauːlarfraiːðɪ
stroff	strɔfː
glápa	klauːpa
votta	vɔhta
stress	strɛsː
nammi	namːɪ
flís	fliːs
feiti	feiːtɪ
tigna	tʰɪkna
handknattleikur	hantkʰnahtleiːkʏr
teygjulak	tʰeiːjʏlaːk
tíkarsonur	tʰiːkarsɔːnʏr
flyksa	flɪksa
botnlangatota	pɔhtnlauŋkatʰɔːta
kynda	cʰɪnta
ljósberi	ljouːspɛːrɪ
melludólgur	mɛtlʏtoulkʏr
áminna	auːmɪnːa
búðarkassi	puːðarkʰasːɪ
hörður	hœrðʏr
puð	pʰʏːð
tuska	tʰʏska
slúta	stluːta
alvörulaus	alvœːrʏløyːs
merja	mɛrja
ávarpsfall	auːvar̥psfatl
bæt	paiːt
óhreinindi	ouːr̥eiːnɪntɪ
glundur	klʏntʏr
gap	kaːp
karst	kʰar̥st
sifjaspell	sɪvjaspɛtl
spítali	spiːtʰaːlɪ
trunta	trʏn̥ta
ári	auːrɪ
buxnadragt	pʏxsnatraxt
hrafnkell	r̥apncʰɛtl
gagnsemi	kaknsɛːmɪ
heitur	heiːtʏr
bulla	pʏtla
varmur	varmʏr
útbreiddur	uːtpreitːʏr
vonandi	vɔːnantɪ
fljóð	fljouːð
álit	auːlɪːt
næs	naiːs
tími	tʰiːmɪ
rass	rasː
lystarstol	lɪstarstɔːl
ekki	ɛhcɪ
silfraður	sɪlvraːðʏr
lerki	lɛr̥cɪ
flaski	flascɪ
fagurfræði	faːɣʏrfraiːðɪ
bókstafur	pouːkstaːvʏr
mýta	miːta
stjarfur	stjarvʏr
barnamosi	partnamɔːsɪ
sléttlendi	stljɛhtlɛntɪ
íhaldssamur	iːhaltssaːmʏr
óvína	ouːviːna
tíð	tʰiːð
æð	aiːð
stjarfi	stjarvɪ
varp	var̥p
stakket	stahkɛːt
hljóðhimna	l̥jouðhɪmna
fagurgæs	faːɣʏrcaiːs
stökk	stœhk
hrekkur	r̥ɛhkʏr
stína	stiːna
apótek	aːpouːtʰɛːk
framrúða	framruːða
róðukross	rouːðʏkʰrɔsː
gluggi	klʏcːɪ
labba	lapːa
blóðþrýstingur	plouðθristiŋkʏr
traust	tʰrøyst
vitni	vɪhtnɪ
hæstiréttur	haistɪrjɛhtʏr
smjatt	smjaht
smetti	smɛhtɪ
malí	maːliː
predikun	pʰrɛːtɪkʏn
fuglahræða	fʏklar̥aiːða
atviksorð	aːtvɪksɔrð
ljómi	ljouːmɪ
senna	sɛnːa
munaðarleysingi	mʏːnaːðarleiːsiɲcɪ
kjartanía	cʰar̥taniːja
bang	pauŋk
of	ɔːv
hnjóðsyrði	n̥jouðsɪrðɪ
botnlangi	pɔhtnlauŋcɪ
gríma	kriːma
ljótunn	ljouːtʏnː
bábilja	pauːpɪlja
sólarljós	souːlarljouːs
aumur	øyːmʏr
legill	leiːjɪtl
bjúgur	pjuːʏr
morgunkorn	mɔrkʏnkʰɔrtn
gönguleið	køyŋkʏleiːð
þorlákur	θɔrlauːkʏr
allteins	al̥teins
ljótur	ljouːtʏr
ál	auːl
skíði	sciːðɪ
spuni	spʏːnɪ
aís	aːiːs
stél	stjɛːl
indriðína	ɪntrɪːðiːna
þorsteinn	θɔr̥steitn
hólmur	houlmʏr
gegnvirkur	cɛknvɪr̥kʏr
blómsef	ploumsɛːv
duttlungur	tʏhtluŋkʏr
mikið	mɪːcɪð
hnífur	n̥iːvʏr
brynjúlfur	prɪnjulvʏr
sifji	sɪvjɪ
hneigð	n̥eiɣð
lesa	lɛːsa
poki	pʰɔːcɪ
siggi	sɪcːɪ
kórall	kʰouːratl
hákarl	haːkartl
nærmynd	nairmɪnt
aðskilnaðarstefna	aðscɪlnaːðarstɛpna
b	pjɛː
möndull	mœntʏtl
flóðhestur	flouːðhɛstʏr
framan	fraːman
stefni	stɛpnɪ
dagdraumur	taɣtrøyːmʏr
trufla	tʰrʏpla
mótbára	mouːtpauːra
blífur	pliːvʏr
heimsvaldastefna	heimsvaltastɛpna
stjórnklefi	stjourtnkʰlɛːvɪ
umræða	ʏmraiːða
grön	krœːn
ávarpa	auːvar̥pa
dæld	tailt
jarðskjálfti	jarðscaul̥tɪ
æti	aiːtɪ
dauður	tøyːðʏr
blóðfrumnamyndun	plouðfrʏmnamɪntʏn
prófessor	pʰrouːfɛsːɔr
tiltekt	tʰɪːltʰɛxt
hægðatregða	haiɣðatʰrɛɣða
málfrelsi	maulfrɛlsɪ
hnaus	n̥øyːs
knýja	kʰniːja
rissa	rɪsːa
átelja	auːtʰɛlja
ár	auːr
heimska	heimska
næsta	naista
sumarhnoðri	sʏːmarn̥ɔðrɪ
ærsl	airstl
þarna	θarna
sagnfylling	saknfɪtliŋk
appelsínusafi	ahpɛlsiːnʏsaːvɪ
magnúsína	maknuːsiːna
klettasalat	kʰlɛhtasaːlat
hnýfill	n̥iːvɪtl
brenna	prɛnːa
gríður	kriːðʏr
riða	rɪːða
fóstra	foustra
seðill	sɛːðɪtl
hyski	hɪscɪ
hryndi	r̥ɪntɪ
auðn	øyðn
bogi	pɔiːjɪ
eplatré	ɛhplatrjɛː
hörund	hœːrʏnt
nytsemi	nɪːtsɛːmɪ
reyndar	reintar
krissa	kʰrɪsːa
þrívegis	θriːveiːjɪs
sprettur	sprɛhtʏr
húð	huːð
uppspuni	ʏhpspʏːnɪ
liðsforingi	lɪðsfɔːriɲcɪ
mjöll	mjœtl
forstofa	fɔr̥stɔːva
bensínsala	pɛnsinsaːla
árdís	aurtiːs
strútur	struːtʏr
velmegun	vɛlmɛːɣʏn
sjöundi	sjœːʏntɪ
gráta	krauːta
æfa	aiːva
ferð	fɛrð
rauður	røyːðʏr
hvolfa	kʰvɔlva
hreiður	r̥eiːðʏr
hana	haːna
sjófugl	sjouːfʏkl
n	ɛnː
glóð	klouːð
hugmyndafræði	hʏɣmɪntafraiːðɪ
eftirmiðdagur	ɛftɪrmɪðtaːɣʏr
ingunn	iŋkʏnː
strangur	strauŋkʏr
radar	raːtar
dalla	tatla
hagsbót	haxspouːt
hviða	xʷɪːða
yfirráð	ɪːvɪrrauːð
meðstjórnandi	mɛðstjourtnantɪ
slarka	stlar̥ka
tögl	tʰœkl
einfaldur	einfaltʏr
andaglas	antaklaːs
haraldur	haːraltʏr
tjarnastör	tʰjartnastœːr
vigur	vɪːɣʏr
kænska	cʰainska
líf	liːv
gýgur	ciːɣʏr
glampa	klam̥pa
fiski	fɪscɪ
teinóttur	tʰeiːnouhtʏr
snækrækill	snaiːkʰraiːcɪtl
heiðindómur	heiːðɪntouːmʏr
lampi	lam̥pɪ
vindugur	vɪntʏːɣʏr
rauðvín	røyðviːn
plana	pʰlaːna
brýni	priːnɪ
steinefni	steiːnɛpnɪ
hjalli	çatlɪ
brekkusóley	prɛhkʏsouːleiː
tætari	tʰaiːtaːrɪ
drottning	trɔhtniŋk
múrhúða	muːrhuːða
samlandi	samlantɪ
rassa	rasːa
þokki	θɔhcɪ
gerandi	cɛːrantɪ
naddur	natːʏr
nábúi	nauːpuːɪ
sjötti	sjœhtɪ
íhald	iːhalt
almætti	almaihtɪ
áfir	auːvɪr
agn	akn
dökkvíðir	tœhkviːðɪr
baggi	pacːɪ
lífeðlisfræði	liːvɛðlɪsfraiːðɪ
aðvörun	aðvœːrʏn
yllir	ɪtlɪr
broddkrækill	prɔtːkʰraiːcɪtl
hár	hauːr
pláneta	pʰlauːnɛːta
mettur	mɛhtʏr
sortna	sɔr̥tna
flass	flasː
kröfuganga	kʰrœːvʏkauŋka
trúlofa	tʰruːlɔva
flýtir	fliːtɪr
gígja	ciːja
fjölgyðistrú	fjœlkɪːðɪstruː
bötnun	pœhtnʏn
frunti	frʏn̥tɪ
leggur	lɛkːʏr
heima	heiːma
bæjasvala	paiːjasvaːla
héri	çɛːrɪ
marxisti	mar̥ksɪstɪ
védís	vjɛːtiːs
filla	fɪtla
rifa	rɪːva
hnúðkál	n̥uðkʰauːl
geimur	ceiːmʏr
hershöfðingi	hɛr̥shœvðiɲcɪ
fjór	fjouːr
mergur	mɛrkʏr
frískur	friskʏr
hávarðína	hauːvarðiːna
njósna	njoustna
rimlagirðing	rɪːmlacɪrðiŋk
þumbaralegur	θʏmparalɛːɣʏr
jarðyrkja	jarðɪr̥ca
fjarverufall	fjarvɛːrʏfatl
meðan	mɛːðan
leiðtogi	leiðtʰɔːjɪ
þor	θɔːr
plástur	pʰlaustʏr
kristjánssandur	kʰrɪstjaunssantʏr
leiftur	leiftʏr
mynstur	mɪnstʏr
hatur	haːtʏr
klína	kʰliːna
höfuðverkur	hœːvʏðvɛr̥kʏr
djöfull	tjœːvʏtl
fónem	fouːnɛːm
matvara	maːtvaːra
ástfríður	austfriːðʏr
frásögn	frauːsœkn
skyrta	scɪr̥ta
gírstöng	ciːr̥støyŋk
órólegur	ouːrouːlɛːɣʏr
jörundína	jœːrʏntiːna
gelding	cɛltiŋk
krýning	kʰriːniŋk
þrár	θrauːr
ilmvatn	ɪlmvahtn
óreglulegur	ouːrɛklʏlɛːɣʏr
mar	maːr
léreft	ljɛːrɛft
blundur	plʏntʏr
vinka	viŋ̊ka
árásarmaður	auːrauːsarmaːðʏr
bróðursonur	prouːðʏr̥sɔːnʏr
kvak	kʰvaːk
múhameð	muːhamɛːð
trissa	tʰrɪsːa
þána	θauːna
áætlun	auːaihtlʏn
melablóm	mɛːlaplouːm
kunnátta	kʰʏnːauhta
slatti	stlahtɪ
holland	hɔllant
kippa	cʰɪhpa
rófubein	rouːvʏpeiːn
langhlið	lauŋkl̥ɪːð
ostefni	ɔstɛpnɪ
rogaland	rɔːɣalant
ísmoli	iːsmɔːlɪ
lufsa	lʏfsa
höfuð	hœːvʏθ
kapall	kʰaːpatl
gláka	klauːka
þrennd	θrɛnt
hvítmosi	kʰviːtmɔːsɪ
nábítur	nauːpiːtʏr
skurðlæknir	skʏrðlaihknɪr
óstöðugur	ouːstœːðʏɣʏr
barr	parː
kýrauga	cʰiːrøyːɣa
góla	kouːla
skjótur	scouːtʏr
hvatning	kʰvahtniŋk
lárus	lauːrʏs
franskbrauð	franskprøyːð
geitungur	keiːtuŋkʏr
bókfinka	pouːkfiŋ̊ka
armband	armpant
smyrill	smɪːrɪtl
pinni	pʰɪnːɪ
sæði	saiːðɪ
langur	lauŋkʏr
tjarga	tʰjarka
hártogun	haur̥tʰɔːɣʏn
víxl	vikstl
skíða	sciːða
eitill	eiːtɪtl
hör	hœːr
rannsókn	ranːsouhkn
nískur	niskʏr
brydding	prɪtːiŋk
guðfræði	kvʏðfraiːðɪ
kíví	kʰiːvi
klabb	kʰlapː
skeina	sceiːna
veðurtunglamynd	vɛːðʏrtʰuŋlamɪnt
aska	aska
ráð	rauːð
fá	fauː
muna	mʏːna
bifhjól	pɪfçouːl
grasafræði	kraːsafraiːðɪ
fjölbýlishús	fjœlpiːlɪshuːs
hliðarlína	l̥ɪːðarliːna
tötur	tʰœːtʏr
keyra	cʰeiːra
hor	hɔːr
höfuðborgarsvæði	hœːvʏθpɔrkarsvaiːðɪ
reyrgresi	reirkrɛːsɪ
ráðgjafi	rauðcaːvɪ
bóg	pouː
heimskingi	heimsciɲcɪ
jörð	jœrð
lepja	lɛːpja
veina	veiːna
sef	sɛːv
ropi	rɔːpɪ
geimskip	ceimscɪːp
hví	kʰviː
saurblað	søyrplaːð
úkraínska	uːkʰrainska
jafnaðarstefna	japnaːðarstɛpna
samkoma	samkʰɔːma
lykt	lɪxt
ungverska	uŋkvɛr̥ska
vol	vɔːl
hrjósa	r̥jouːsa
tál	tʰauːl
þyrluvöllur	θɪrtlʏvœtlʏr
nemi	nɛːmɪ
hadda	hatːa
hersegóvína	hɛr̥sɛːkouːviːna
hriki	r̥ɪːcɪ
doðrantur	tɔðran̥tʏr
ofvæni	ɔvvaiːnɪ
kokkur	kʰɔhkʏr
snerta	snɛr̥ta
kennari	cʰɛnːaːrɪ
briskirtill	prɪːscʰɪr̥tɪtl
skrúðhús	skruːðhuːs
pláss	pʰlausː
svarthol	svar̥thɔːl
milljónamæringur	mɪljouːnamaiːriŋkʏr
knöttur	kʰnœhtʏr
drynja	trɪnja
fyrirferðarmikill	fɪːrɪrfɛrðarmɪːcɪtl
hornabolti	hɔrtnapɔl̥tɪ
sænska	sainska
framlag	framlaːɣ
þrýstinn	θristɪnː
mennt	mɛn̥t
kosning	kʰɔstniŋk
fórinta	fouːrɪn̥ta
úlfaldi	ulvaltɪ
kantaraborg	kʰan̥tarapɔrk
vasareiknir	vaːsareihknɪr
hægð	haiɣð
schiöth	scœht
rúmteppi	rumtʰɛhpɪ
bernhöft	pɛrnhœft
ryðönd	rɪːðœnt
samvinna	samvɪnːa
kvarta	kʰvar̥ta
mannvirðing	manːvɪrðiŋk
sonur	sɔːnʏr
sessunautur	sɛsːʏnøyːtʏr
skratti	skrahtɪ
amöba	aːmœːpa
yfirlit	ɪːvɪrlɪːt
leðurblaka	lɛːðʏrplaːka
jarðhiti	jarðhɪːtɪ
kenjóttur	cʰɛnjouhtʏr
loforð	lɔːvɔrð
þenja	θɛnja
gum	kʏːm
lessa	lɛsːa
hrat	r̥aːt
kefli	cʰɛplɪ
snepill	stnɛːpɪtl
hornafall	hɔtnafatl
hafmey	havmeiː
kalkspat	kʰal̥kspaːt
brekka	prɛhka
spói	spouːɪ
dagsetning	taxsɛhtniŋk
hráki	r̥auːcɪ
stofnfélagi	stɔpnfjɛːlaːjɪ
fægja	faiːja
gæruskinn	caiːrʏscɪnː
konungsveldi	kʰɔːnuŋksvɛltɪ
afrískur	aːfriskʏr
nemandi	nɛːmantɪ
sjöa	sjœːa
kúpull	kʰuːpʏtl
hallgerður	hatlcɛrðʏr
sviftifall	svɪftɪfatl
riddari	rɪtːarɪ
guðleysi	kvʏðleiːsɪ
methafi	mɛːthaːvɪ
afgangur	avkauŋkʏr
skoti	skɔːtɪ
þegja	θeiːja
lúi	luːɪ
bátaskýli	pauːtasciːlɪ
hrefna	r̥ɛpna
bál	pauːl
metri	mɛːtrɪ
puða	pʰʏːða
miðmynd	mɪðmɪnt
línulega	liːnʏlɛːɣa
ísaumur	iːsøyːmʏr
spánarkerfill	spauːnarcʰɛrvɪtl
fylgja	fɪlca
gengur	ceiŋkʏr
fjallafinka	fjatlafiŋ̊ka
farsakenndur	far̥sacʰɛntʏr
gjöf	cœːv
eiturlyf	eiːtʏrlɪːv
andlagsfall	antlaxsfatl
bakpoki	paːkpʰɔːcɪ
grænlenskur	krainlɛnskʏr
værð	vairð
skógur	skouːʏr
skipting	scɪftiŋk
rýr	riːr
kúnni	kʰunːɪ
þrífa	θriːva
majór	majouːr
gissunn	cɪsːʏnː
réna	rjɛːna
hverfa	kʰvɛrva
skran	skraːn
rið	rɪːð
stutt	stʏht
pjatla	pʰjahtla
innsog	ɪnːsɔːk
dýr	tiːr
risi	rɪːsɪ
ríta	riːta
greifi	kreiːvɪ
gervitungl	cɛrvɪtʰuŋl
bílskúr	pilskuːr
hönk	høyŋ̊k
lára	lauːra
fræva	fraiːva
útlönd	uːtlœnt
ljósbjalla	ljouːspjatla
eyja	eiːja
blessa	plɛsːa
grunnur	krʏnːʏr
tara	tʰaːra
kisa	cʰɪːsa
aragrúi	aːrakruːɪ
siðvenja	sɪðvɛnja
illska	ilska
breiddarleit	preitːarleiːt
svipur	svɪːpʏr
hjúkrunarfræði	çuːkrʏnarfraiːðɪ
tónkvísl	tʰounkʰvistl
gryfja	krɪvja
embætti	ɛmpaihtɪ
hundrað	hʏntraːð
litningsendi	lɪhtniŋksɛntɪ
língresi	linkrɛːsɪ
gamansamur	kaːmansaːmʏr
ryð	rɪːð
hleri	l̥ɛːrɪ
frændhygli	frainthɪklɪ
gildi	cɪltɪ
áður	auːðʏr
íþróttahús	iːθrouhtahuːs
jarl	jartl
lífsgleði	lifsklɛːðɪ
netafræði	nɛːtafraiːðɪ
hvert	kʰvɛr̥t
eldspýta	ɛltspiːta
sem	sɛm
ljósmyndavél	ljouːsmɪntavjɛːl
hórdómur	hourtouːmʏr
sverð	svɛrð
flugvöllur	flʏɣvœtlʏr
hálmgresi	haulmkrɛːsɪ
rún	ruːn
bleikja	pleiːca
ljúka	ljuːka
minning	mɪnːiŋk
dúdúfugl	tuːtuːfʏkl
frumeind	frʏːmeint
dýrahringur	tiːrar̥iŋkʏr
hjólhýsi	çoulhiːsɪ
sáta	sauːta
ætur	aiːtʏr
koffort	kʰɔfːɔr̥t
pels	pʰɛls
lasinn	laːsɪnː
skelfiskur	scɛːlfɪskʏr
drykkjarvatn	trɪhcarvahtn
landsvæði	lantsvaiːðɪ
bjargmundur	pjarkmʏntʏr
demantur	tɛːman̥tʏr
ske	scɛː
fyrirferð	fɪːrɪrfɛrð
daunn	tøytn
kertastjaki	cʰɛr̥tastjaːcɪ
þrábiðja	θrauːpɪðja
skjáborð	scauːpɔrð
atlot	aːtlɔːt
rífa	riːva
heimþrá	heimθrauː
dólgslegur	toulkslɛːɣʏr
kynhneigð	cʰɪnn̥eiɣð
galli	katlɪ
trompet	tʰrɔm̥pɛːt
hljóðfæri	l̥jouðfaiːrɪ
tóm	tʰouːm
ugga	ʏkːa
spinna	spɪnːa
liggja	lɪcːa
káeta	kʰauːɛːta
ódýr	ouːtiːr
þolfall	θɔlfatl
sigur	sɪːɣʏr
egglos	ɛkːlɔːs
málari	mauːlaːrɪ
kústur	kʰustʏr
mars	mar̥s
netkorn	nɛːtkʰɔrtn
þríhliða	θriːl̥ɪːða
bíða	piːða
gerði	cɛrðɪ
uppblástur	ʏhpplaustʏr
regnþykkni	rɛknθɪhknɪ
kryfja	kʰrɪvja
höfrungur	hœvruŋkʏr
orðstír	ɔrðstʰiːr
þrefa	θrɛːva
hvatur	xʷaːtʏr
spöng	spøyŋk
þumall	θʏːmatl
ról	rouːl
amba	ampa
undur	ʏntʏr
efja	ɛvja
bera	pɛːra
stífkrampi	stivkʰram̥pɪ
láta	lauːta
bær	paiːr
unnur	ʏnːʏr
óþarflega	ouːθarvlɛːɣa
hnegg	n̥ɛkː
duglaus	tʏɣløyːs
tennis	tʰɛnːɪs
áki	auːcɪ
sýkill	siːcɪtl
hrynji	r̥ɪnjɪ
bráður	prauːðʏr
lambaklukka	lampakʰlʏhka
fleirtala	fleir̥taːla
hlýða	l̥iːða
bak	paːk
nágrenni	nauːkrɛnːɪ
vísifingur	viːsɪfiŋkʏr
munnur	mʏnːʏr
valda	valta
pönk	pʰøyŋ̊k
tröllatré	tʰrœtlatʰrjɛː
kraftaverk	kʰraftavɛr̥k
afla	apla
förðun	fœrðʏn
töluverður	tʰœːlʏvɛrðʏr
býfur	piːvʏr
túrbína	tʰurpiːna
laf	laːv
kasheitur	kaːsheiːtʏr
krappur	kʰrahpʏr
fagur	faːɣʏr
aðstæður	aðstaiːðʏr
tískupallur	tʰɪskʏpʰatlʏr
ævi	aiːvɪ
þjóðverji	θjouðvɛrjɪ
hópferð	houːpfɛrð
minnimáttarkennd	mɪnːɪmauhtarcʰɛnt
budda	pʏtːa
skellihlæja	scɛtlɪl̥aiːja
rota	rɔːta
sýr	siːr
merkur	mɛr̥kʏr
velta	vɛl̥ta
streða	strɛːða
sögusögn	sœːɣʏsœkn
ritill	rɪːtɪtl
æstur	aistʏr
einvetni	einvɛhtnɪ
arabískur	aːrapiskʏr
flugvél	flʏɣvjɛːl
hormón	hɔrmouːn
mistilteinn	mɪstɪltʰeitn
gæði	caiːðɪ
bremsa	prɛmsa
borð	pɔrð
híbýli	hiːpiːlɪ
bjór	pjouːr
húðsjúkdómafræði	huːðsjuktouːmafraiːðɪ
lambakjöt	lampacʰœːt
dey	teiː
flaska	flaska
hlað	l̥aːð
kornsúra	kʰɔrtnsuːra
strætisvagn	straiːtɪsvakn
skagi	skaːjɪ
jóhanna	jouːhanːa
dunda	tʏnta
nef	nɛːv
kjökur	cʰœːkʏr
grautur	krøyːtʏr
fornenska	fɔrtnɛnska
eyða	eiːða
vettvangur	vɛhtvauŋkʏr
vík	viːk
bæheimskur	paiːheimskʏr
þrenning	θrɛnːiŋk
beður	pɛːðʏr
herdís	hɛrtiːs
núpur	nuːpʏr
spíri	spiːrɪ
annar	anːar
hnúi	n̥uːɪ
lygari	lɪːɣaːrɪ
humar	hʏːmar
knattspyrnufélag	kʰnahtspɪrtnʏfjɛːlaːɣ
nauðsyn	nøyðsɪːn
