naabritega	nˈaːbritˌeɡa
kiunu	kˈiunu
Inimeste	ˈiɲɪmˌeste
toidulisandeid	tˈoidulisˌandeid
keskööni	keskˈøːni
kättemaks	kˈætːemaks
kommunistidest	kˈommunˌis^tidest
lapsevanem	lˈapsevanem
kedagi	kˈedɑɡi
säilitasid	sˈæ͡iʎitasid
kriminaalkurjategija	krˌiminˈaːlkːurjˌateɡˌija
tegureid	tˈeɡʊreid
Viisteist	vˈiːsteist
Rahvamaja	rˈahvamˌaja
väsitavat	vˈæs^ɪtavat
Zilmer	zˈilmer
kohitseda	kˈohɪtsˌeda
sisejulgeolekule	sˌisɛjulɡˈeoːlˌekule
hääd	hˈææːd
Tasuja	tˈasʊja
tagastatakse	tˈaɡɑstatˌakse
Tervist	tˈervist
lahtiolekuajad	lˈahhtiˌolekˌuajad
sea	sˈeaː
pürotehnika	pˈyrɔtˌehnika
Maru	mˈarʊ
ohutusnõudeid	ˈohʊtˌusnɵˌudeid
Seks	sˈeks
samanimeline	sˈamɑnˌimelˌine
ametlik	ˈamɛt^lik
paarist	pˈaːrist
muresid	mˈurɛsid
põhimõttelise	pˈɵhɪmˌɵtːelˌise
piirivalvepiirkonna	pˈiːrivˌalvepˈiːrkːonna
reformidest	rˈefɔrmidest
Hagi	hˈaɡɪ
varemalt	vˈarɛmalt
kasvuhoones	kˌasvuhˈoːnes
üleüldse	ˈyleˌyldse
valmistavad	vˈalmistavad
silmapaistvaid	sˈilmapaˌistvaid
vähk	vˈæhk
välismaistest	vˈæʎɪsmaˌistest
Vähesed	vˈæhɛsed
koduküla	kˈodʊkˌyla
mentaliteedi	mˌentalitˈeːdi
teenimisega	tˈeːɲimˌiseɡa
maririina	mˌarɪrˈiːna
jäält	jˈæːlt
üksikasjad	ˈyksikˌasjad
klassiõde	klˈas^s^iˌɵde
spaas	spˈaaːs
taipab	tˈaipːab
kiskusid	kˈiskusid
rakendusaktide	rˈakendusˌaktide
Islandi	ˈislaɲdi
Kogan	kˈoɡɑn
tegutsemisest	tˈeɡʊtsˌemisest
moratooriumi	mˌorɑtˈoːriˌumi
linnavolikogusse	lˈinnavolikoɡˌusse
palmi	pˈalmi
pingutab	pˈiŋɡutab
Carey	kˈarei
broneeritud	pronˈeːritud
terrorit	tˈerrorit
esmaselt	ˈesmaselt
ressursi	rˈessursi
hakkab	hˈakːab
elukutselt	ˈelʊkˌutselt
Eurovisioon	ˌeurˌovisiˈoːn
Asjatundjate	ˈas^jatˌuɲdjate
vastikult	vˈas^tikult
zombid	zˈommbid
kõnet	kˈɵnɛt
salateenistuse	sˌalɑtˈeːnistˌuse
Pertelsoni	pˈertelsˌoni
Laevade	lˈaevˌade
hõõruvad	hˈɵːruvad
vigastanud	vˈiɡɑstanud
treenis	trˈeːɲis
tõotas	tˈɵoːtːas
nägevat	nˈæɡɛvat
laskmise	lˈaskmise
hõbedast	hˈɵbɛdast
alluda	ˈalluda
tumedate	tˈumɛdˌate
kriminaalkaristust	krˌiminˈaːlkːarˌistust
õpetliku	ˈɵpet^lˌiku
DNB	dˈeeːˌennbˌeeː
kasutajatest	kˈasʊtˌajatest
teistpidi	tˈeistpˌidi
Juubel	jˈuːbel
Dresdeni	trˈesdeni
karakter	kˈarɑkter
Kersna	kˈersna
FIA	fˈia
suusavahetusega	sˈuːsavˌahetˌuseɡa
prokuratuuril	prˌokuratˈuːril
suurperedele	sˈuːrperˌedele
komisjoni	kˈomɪsjˌoni
käibelt	kˈæ͡ibelt
käsitleti	kˈæs^ɪtːlˌeti
raiub	rˈaijub
Varasema	vˈarɑsˌema
majand	mˈajɑnd
pantvangid	pˈantvaŋɡid
vähendamist	vˈæhɛndamist
aruteludele	ˈarʊtˌeludˌele
asejuht	ˈasɛjuht
Kranichi	krˈaɲikhi
rannikule	rˈaɲɲikˌule
eemaldasid	ˈeːmaldasid
taastatud	tˈaːstatud
ekskursiooni	ˌekskursiˈoːni
õigelt	ˈɵiɡelt
halvustav	hˈalvustav
ebameeldiva	ˌebɑmˈeːʎdiva
üleujutuste	ˈyleujutˌuste
Pronksmehe	prˈoŋksmehe
seniks	sˈeɲɪks
Arheoloogid	arhˈeoːlˈoːɡid
Honda	hˈonda
ülikoolide	ˌyʎɪkˈoːlide
Merilin	mˈerɪlin
tiitlivõistlusel	tˈiːtːlivɵˌistlusel
arenema	ˈarɛnˌema
Ootame	ˈoːtːame
hingeline	hˈiŋɡelˌine
naftaminister	nˈaftaminˌister
raundis	rˈauɲdis
ristmik	rˈistmik
tipuga	tˈipuɡa
Elektrijaamad	ˌelɛktrijˈaːmad
austusega	ˈaustˌuseɡa
preemiate	prˈeːmiˌatːe
tippsündmus	tˈipːsyndmus
õigustühiseks	ˈɵiɡˌustyhiseks
Luuka	lˈuːkːa
Jala	jˈalɑ
Tomberg	tˈommberɡ
reedestest	rˈeːdestest
massiivse	mas^s^ˈiːvse
jäiteoht	jæ͡itːˈeoːht
Uudam	ˈuːdam
naerab	nˈaerab
muinsuskaitsjate	mˈuinsˌuskaˌitsjate
Wimbledoni	vˈimmbledˌoni
lahutati	lˈahʊtˌati
Pulk	pˈulk
Väidetav	vˈæ͡idetav
rõhutasid	rˈɵhʊtasid
eeskujulik	ˈeːskujulik
käärib	kˈæːrib
suhtumisega	sˈuhtumˌiseɡa
väljavaated	vˌæʎjavˈaːtːed
Lake	lˈake
tuleb	tˈulɛb
telefonitsi	tˈelɛfoniˌit^si
jaapanlastel	jˈaːpːanlˌastel
veidraid	vˈeidraid
elamiseks	ˈelɑmiseks
asupaik	ˈasʊpaik
kergejalaväerühm	kˈerrɡejˌalavˌæeryhm
naabrimehega	nˈaːbrimˌeheɡa
pikisilmi	pˈikisˌilmi
Krausberg	krˈausberɡ
natsionalist	nˈait^sˌionalist
Oskab	ˈoskab
kartulit	kˈartulit
elektrilöögi	ˌelɛktrilˈøːɡi
lapsevanemat	lˈapsevˌanemat
idee	idˈeː
abilisi	ˈabɪlˌisi
doonor	tˈoːnor
kõikse	kˈɵikse
viiendikul	vˈiːjeɲdikul
ilgelt	ˈilɡelt
narkosurmade	nˈarkːosˌurmade
pühendatud	pˈyhɛndatud
õmbleja	ˈɵmmbleja
SP	ˈesspˌeeː
väljuvad	vˈæʎjuvad
kohtulahendi	kˈohtulahˌeɲdi
põllumajandusettevõtte	pˈɵllumajˌandusˌetːevˌɵtːe
toidulauale	tˈoidˌulaˌuwale
rüüstajad	rˈyːstajad
abielludes	ˈabiˌelludes
õnnetuse	ˈɵnnetˌuse
jumalaid	jˈumɑlaid
Kruuse	krˈuːse
lõppkontserdil	lˈɵpːkontsˌerdil
Koalitsioon	kˈoaːliˌit^siˈoːn
Lüganusel	lˈyɡɑnusel
tibid	tˈibɪd
kaasaarvatud	kˈaːsˈaːrvatud
ilmajaama	ˌilmajˈaːma
kohalikest	kˈohɑlikest
Lepiksoni	lˈepiksˌoni
püüdlikult	pˈyːdlikult
võtet	vˈɵtet
üldistus	ˈyʎdistus
hingamist	hˈiŋɡamist
hirme	hˈirme
abinõu	ˌabɪnˈɵuː
kaotuseks	kˈaoːtːuseks
Hanni	hˈaɲɲi
vara	vˈarɑ
tugineda	tˈuɡɪnˌeda
Mohammad	mˈohɑmmad
peet	pˈeːt
kalalaevad	kˈalɑlˌaevad
kividega	kˈivɪdˌeɡa
pärivad	pˈærɪvad
eeskujulikult	ˈeːskujˌulikult
mugavat	mˈuɡɑvat
Vahva	vˈahva
kohanema	kˈohɑnˌema
viibitud	vˈiːbitud
modelliks	mˈodɛlliks
saaksid	sˈaːksid
ekskursioonile	ˌekskursiˈoːnile
Maarika	mˈaːrika
Tõnissoni	tˈɵɲɪssˌoni
päritud	pˈærɪtud
päästeteenistused	pˈæːstetˈeːnistused
Sportlik	spˈort^lik
kroon	krˈooːn
igakuiste	ˈiɡɑkuˌiste
Sebastian	sˈebɑs^tian
vajanud	vˈajɑnud
hiljutisest	hˈiʎjutisest
Mikson	mˈikson
Parimat	pˈarɪmat
vajabki	vˈajɑbki
arvamuslugu	ˈarvamˌusluɡu
Nybit	nˈibɪt
olles	ˈolles
rumalateks	rˈumɑlateks
Tyler	tˈilɛr
võrulaste	vˈɵrʊlˌaste
eelarveprojekti	ˈeːlarvˌeprojˌekti
Stroomi	strˈoːmi
minutitel	mˈinʊtitel
mootoril	mˈoːtːoril
säiliksid	sˈæ͡iʎiksid
trepikoja	trˈepikˌoja
reklaamile	rekːlˈaːmile
jaapanlase	jˈaːpːanlˌase
sõnumiga	sˈɵnʊmˌiɡa
ametivõimude	ˈamɛtˌivɵˌimude
pärimus	pˈærɪmus
süüdistage	sˈyːd^istˌaɡe
päästsid	pˈæːstsid
jaanuariga	jˈaːnuˌariɡa
EBU	ˈebʊ
Kadastik	kˈadɑs^tik
kõvaks	kˈɵvɑks
panuseks	pˈanʊseks
töötoa	tˈøːtːˈoaː
tohtrid	tˈohtrid
pugema	pˈuɡɛma
Vägivald	vˈæɡɪvald
tutvumist	tˈutvumist
päevalehe	pˈæevˌalehe
liturgiline	lˈiturɡˌiline
juhatasid	jˈuhɑtasid
käimiseks	kˈæ͡imiseks
andkem	ˈandkem
strateegiaga	stratˈeːɡiˌaɡa
kahjutuks	kˈahjutuks
territoriaalne	tˌerritoriˈaːlne
kahtlustuste	kˈahtlustˌuste
kurk	kˈurk
vennaskond	vˈennaskond
uuenduste	ˈuːwendˌuste
riigiasutused	rˈiːɡiˌasutused
kõlav	kˈɵlɑv
uudistega	ˈuːd^istˌeɡa
Tõusu	tˈɵusu
elamispindu	ˈelɑmˌispindu
Korda	kˈorda
pakiga	pˈakiɡa
MTÜ	ˈemmtˌeeːˌyyː
tootvat	tˈoːtvat
ravimit	rˈavɪmit
süda	sˈydɑ
alternatiivsete	ˌalternatˈiːvsete
puhas	pˈuhɑs
Group	krˈoup
parkimistasu	pˈarkːimˌistasu
võin	vˈɵin
Oluliseks	ˈolʊliseks
palkades	pˈalkːades
Leibur	lˈeibur
professionaalsust	prˌofessionˈaːlsust
meediaväljaannetele	mˈeːd^iavæljˈaːnnetˌele
plahvatust	plˈahvatust
Tapmises	tˈapmises
sallitud	sˈaʎʎitud
pingutust	pˈiŋɡutust
toitumine	tˈoitːˌumine
viirusnakkuste	vˈiːrusnˌakːuste
Ennet	ˈennet
satume	sˈatume
seisnes	sˈeisnes
pretensioonid	prˌeteɲsiˈoːnid
müüride	mˈyːride
hamba	hˈammba
saadetavate	sˈaːdetˌavate
kaasinimesi	kˈaːs^inˌimesi
järelkäru	jˈærɛlkːˌæru
korraline	kˈorralˌine
formaalset	formˈaːlset
testitud	tˈes^titud
Projekti	prˈojekti
küüsist	kˈyːs^ist
Seinad	sˈeinad
elektroonilist	ˌelɛktrˈoːnilist
abipraost	ˌabɪprˈaoːst
müüdi	mˈyːd^i
strateegiate	stratˈeːɡiˌatːe
ringist	rˈiŋɡist
monteeritud	montˈeːritud
tänutunne	tˈænʊtˌunne
helistamisel	hˈeʎɪstˌamisel
Valitsussektori	vˈaʎɪtsˌussektˌori
kaitseministri	kˈaitseminˌistri
vein	vˈein
kalameest	kˌalɑmˈeːst
ülepolitiseeritud	ˌylɛpˌolitisˈeːritud
majandusministriks	mˈajɑndˌusminˌistriks
leiaksin	lˈeijˌaksin
sund	sˈund
omakorda	ˈomɑkˌorda
salaviina	sˌalɑvˈiːna
suurenemas	sˈuːrenemas
tervislikud	tˈervislikud
Liiman	lˈiːman
arutamiseks	ˈarʊtˌamiseks
kavandatud	kˈavɑndatud
solisti	sˈoʎɪs^ti
planeerimisel	planˈeːrimisel
kampaaniaid	kampˈaːniaid
Jäätmete	jˈæːtːmete
külastaja	kˈylɑstˌaja
Ilmatark	ˈilmatark
registreerides	rˌeɡɪstrˈeːrides
HP	hˈaaːpˌeeː
liinikilomeetri	lˈiːɲikilomˈeːtːri
tünni	tˈyɲɲi
iidne	ˈiːdne
invaliidi	ˌinvalˈiːdi
Udaltsov	ˈudɑltsov
miljonärist	mˈiʎjonærist
Omapärane	ˈomɑpˌærane
kangelase	kˈaŋɡelˌase
spioonid	spiˈoːnid
palverändurid	pˈalverˌændurid
põhitegevuseks	pˈɵhɪtˌeɡevuseks
Justiitsministeeriumis	jus^tˈiːtsministˈeːriumis
silmanurgast	sˈilmanˌurɡast
kommunikatsiooniministeeriumi	kˌommunikaˌit^siˈoːniministˈeːriˌumi
linnaosast	linnˈaoːsast
ülesandeks	ˈylɛsˌandeks
vahelise	vˈahɛlˌise
pühiti	pˈyhɪti
EVPde	ˈevpdˈe
teekonnale	tˈeːkːonnˌale
müüjat	mˈy͡ijat
kibeleb	kˈibɛleb
täituks	tˈæ͡itːuks
meierei	mˌeijerˈeiː
ebameeldivad	ˌebɑmˈeːʎdivad
käekirjaga	kˈæekːˌirjaɡa
vastiku	vˈas^tiku
kristlikele	krˈist^likˌele
õigusel	ˈɵiɡusel
efektiivsust	ˌefɛktˈiːvsust
rühmade	rˈyhmade
harjutada	hˈarjutˌada
hukkumine	hˈukːumˌine
aegade	ˈaeɡˌade
kavalat	kˈavɑlat
hankimise	hˈaŋkːimˌise
ilutulestiku	ˈilʊtulˌes^tiku
kavatsenud	kˈavɑtsenud
teoloog	tˈeoːlˈoːɡ
solidaarsus	sˌoʎɪdˈaːrsus
kureerima	kurˈeːrima
peaasi	peˈaːsi
iseseisvuspäeva	ˈisɛseˌisvuspˌæeva
kodanikeühenduste	kˈodɑnikeyhˌenduste
PK	pˈeeːkˌaaː
külmutama	kˈylmutˌama
Ele	ˈelɛ
kusagilt	kˈusɑɡilt
muudatuste	mˈuːdatˌuste
soga	sˈoɡɑ
kutsunud	kˈutsunud
kiirendamise	kˈiːrendˌamise
oktoober	oktˈoːber
tahetagi	tˈahɛtˌaɡi
Bigbanki	pˈiɡbaŋkːi
kõikvõimalikke	kˈɵikvɵimalˌikːe
vastamisega	vˈastamˌiseɡa
arestimise	ˈarɛs^tˌimise
otseses	ˈotseses
juhtunuga	jˈuhtunˌuɡa
diskrediteerida	dˌiskreditˈeːrida
juhtmeid	jˈuhtmeid
summutab	sˈummutab
Pühakirja	pˈyhɑkˌirja
kalamarja	kˈalɑmˌarja
ostmises	ˈostmises
tuliselt	tˈuʎɪselt
võõrvõim	vˈɵːrvɵim
innustasid	ˈinnustasid
Moodne	mˈoːdne
koostöösuhted	kˈoːstˈøːsuhted
sammude	sˈammude
Jumalateenistus	jˌumɑlatˈeːnistus
Uskumatu	ˈuskumˌatu
Hambaarst	hambˈaːrst
kõhklema	kˈɵhklema
aitaks	ˈaitːaks
arvamustest	ˈarvamˌustest
kohased	kˈohɑsed
jaekaubandusettevõtete	jˈaekːaubˌandusˌetːevˌɵtete
küünlavalgel	kˈyːnlavˌalɡel
Seltsile	sˈeltsile
sõnades	sˈɵnɑdes
Seitsmes	sˈeitsmes
loomulikust	lˈoːmulikust
kauplema	kˈaupːlˌema
sõidate	sˈɵidˌate
boonuseks	pˈoːnuseks
hoolitsus	hˈoːʎitsus
laskmas	lˈaskmas
välisele	vˈæʎɪsˌele
pikaajaliseks	pikˈaːjaliseks
teisalt	tˈeisalt
ronid	rˈoɲɪd
korvpallist	kˈorvpallist
Koreas	kˈoreas
Rahvusarhiivi	rˌahvusarhˈiːvi
samadest	sˈamɑdest
perekondadest	pˈerɛkˌondadest
Vaapo	vˈaːpːo
jalgpallist	jˈalɡpallist
reformida	rˈefɔrmˌida
bussipeatuses	pˈus^s^ipeˌatːuses
jalutas	jˈalʊtas
Markus	mˈarkːus
roolijoodikule	rˈoːʎijˈoːdikˌule
sissetulekuid	sˈissetˌulekuid
äsjast	ˈæs^jast
natuke	nˈatuke
lehvitas	lˈehvitas
kodulooma	kˌodʊlˈoːma
muutusega	mˈuːtːusˌeɡa
rahvuslike	rˈahvuslˌike
tõkkejooksus	tˌɵkːejˈoːksus
Calvin	kˈalvin
euros	ˈeuros
Talbott	tˈalbotː
Matthias	mˈatːhias
kerjama	kˈerjama
Cooper	kˈoːpːer
vaher	vˈahɛr
riigieksamid	rˈiːɡiˌeksamid
Jeruusalemma	jerˈuːsalˌemma
laulmine	lˈaulmˌine
rahvusriikide	rˌahvusrˈiːkːide
võitlevad	vˈɵitːlevad
kinnisvarafirmad	kˈiɲɲisvarafˌirmad
jagasime	jˈaɡɑsˌime
välimusele	vˈæʎɪmˌusele
arengumaades	ˌarɛŋɡumˈaːdes
saavutusega	sˈaːvutˌuseɡa
rutta	rˈutːa
Wayne	vˈaine
tormab	tˈormab
püsiks	pˈys^ɪks
mundri	mˈundri
keeletoimetaja	kˈeːletˌoimˌetaja
ÜEKN	ˈyekːn
laenudele	lˈaenˌudele
alustega	ˈalʊstˌeɡa
üliõpilasi	ˈyʎiˌɵpːilˌasi
Ecclestone	ˈekklestˌone
Sügisel	sˈyɡɪsel
põletada	pˈɵlɛtˌada
Ilumäe	ˌilʊmˈæeː
Meeste	mˈeːste
trükikoda	trˈykikˌoda
pastoraadi	pˌastorˈaːdi
põlvkonna	pˈɵlvkonna
galale	kˈalɑle
sortiment	sˈortimeɲt
religiooniõpetust	rˌeʎɪɡiˈoːniˌɵpːetust
kummutada	kˈummutˌada
money	mˈonei
mõtelnud	mˈɵtelnud
personalikulude	pˈersonˌalikˌulude
pahuksisse	pˈahʊksˌisse
ärkamisaja	ˈærkːamˌisaja
kaugemalt	kˈauːɡemalt
eelringis	ˈeːlriŋɡis
ravimifirmade	rˈavɪmifˌirmade
avalduvad	ˈavɑlduvad
labane	lˈabɑne
Inglite	ˈiŋɡlite
traditsioonilist	trˌad^iˌit^siˈoːnilist
püsivalt	pˈys^ɪvalt
kultuuriüritusi	kultˈuːriˌyritˌusi
naernud	nˈaernud
mainin	mˈainin
Huawei	hˌuavˈeiː
Uurimiskeskuse	ˈuːrimˌiskeskˌuse
veresuhkrut	vˈerɛsˌuhkrut
saagikus	sˈaːɡikus
Inetu	ˈinɛtu
luues	lˈuːwes
Arstidel	ˈarstidel
võinuks	vˈɵinuks
Saber	sˈabɛr
taust	tˈaust
juhatusest	jˈuhɑtusest
telefonist	tˈelɛfonist
suvised	sˈuvɪsed
ooteaeg	ˈoːtːeaeɡ
Alma	ˈalma
arendajaid	ˈarɛndˌajaid
jamaks	jˈamɑks
annaksin	ˈannaksin
äärmist	ˈæːrmist
Kütt	kˈyit^ː
lõpetavad	lˈɵpetavad
tunnustamisele	tˈunnustˌamisˌele
Kuveidi	kˈuveˌidi
algavaid	ˈalɡavaid
ebaoluline	ebˈaoːlˌuline
imedemaa	ˌimɛdemˈaː
vaidlustama	vˈaidlˌustama
meenutatud	mˈeːnutatud
lollidest	lˈoʎʎidest
eraisikutelt	ˈeraˌisikutelt
trükki	trˈykːi
rüüstavad	rˈyːstavad
Zenjov	zˈeɲjov
liiklusummikud	lˈiːkːlusˌummikud
õpetuse	ˈɵpetˌuse
taastamist	tˈaːstamist
kinnisvarafirmade	kˈiɲɲisvarafˌirmade
avavoorus	ˌavɑvˈoːrus
joonistuste	jˈoːɲistˌuste
külalisi	kˈylɑlˌisi
väidetava	vˈæ͡idetˌava
Repsile	rˈepsile
Udo	ˈudɔ
kasvatajatele	kˈasvatˌajatˌele
tollases	tˈollases
hingepõhjani	hˈiŋɡepˌɵhjani
linnaraamatukogus	lˌinnarˈaːmatˌukoɡus
esitaks	ˈes^ɪtaks
ühinedes	ˈyhɪnedes
menetlusluba	mˈenɛtːlˌusluba
Pahapilli	pˈahɑpˌilli
odavad	ˈodɑvad
patsientidega	pˈait^siˌeɲtidˌeɡa
hauale	hˈauwˌale
väljaandmine	væʎjˈaːndmine
Harri	hˈarri
kihutustööd	kˌihʊtustˈøːd
poolaega	pˈoːlaˌeɡa
sisejulgeolekut	sˌisɛjulɡˈeoːlekut
Teabeamet	tˈeabˌeamet
Maleva	mˈalɛva
käsitlevat	kˈæs^ɪtːlevat
vahelduvad	vˈahɛlduvad
lumesaju	lˈumɛsˌaju
Käsmu	kˈæsmu
raamatupoes	rˈaːmatˌupoes
munast	mˈunɑst
kriminaalasjast	krˌiminˈaːlasjast
Ferguson	fˈerɡuson
tagasihoidlikule	tˈaɡɑsihoˌidlikˌule
valjemini	vˈaʎjemˌini
mõjukaim	mˈɵjʊkaim
auti	ˈautːi
terendab	tˈerɛndab
Lauristiniga	lˈaurˌis^tinˌiɡa
Inimesest	ˈiɲɪmesest
sarnastes	sˈarnastes
lükkuda	lˈykːuda
Milstrandi	mˈilstraɲdi
olulisemalt	ˈolʊlˌisemalt
nälja	nˈæʎja
kutselisi	kˈutselˌisi
koalitsioonileppes	kˈoaːliˌit^siˈoːnilˌepːes
lõpetatud	lˈɵpetatud
ajendanud	ˈajɛndanud
residentsi	rˈes^ɪdˌentsi
hilineda	hˈiʎɪnˌeda
Tammus	tˈammus
taotlusvooru	tˈaoːtːlusvˈoːru
mindaks	mˈindaks
riist	rˈiːst
konsultatsioonide	kˌonsultaˌit^siˈoːnide
tunduvat	tˈunduvat
hiidlaste	hˈiːdlaste
kahjustab	kˈahjustab
õigetel	ˈɵiɡetel
vabariiklastest	vˈabarˌiikːlˌastest
kaasnev	kˈaːsnev
Rookopli	rˈoːkːopli
Sõjavägi	sˈɵjɑvˌæɡi
koondislaste	kˈoːɲdislˌaste
vahetaks	vˈahɛtaks
Dr	tˈokːtor
seinast	sˈeinast
filosoofid	fˌilɔsˈoːfid
annetamine	ˈannetˌamine
Arutelul	ˈarʊtelul
palverännaku	pˈalverˌænnaku
Filtri	fˈiltri
jooksid	jˈoːksid
kasumlikkust	kˈasʊmlˌikːust
proffide	prˈoffide
kommentaari	kˌommentˈaːri
käsigranaadi	kˌæs^ɪɡranˈaːdi
Käosaar	kˈæoːsˈaːr
sotti	sˈot^ːi
muutun	mˈuːtːun
heliloojaid	hˌeʎɪlˈoːjaid
loll	lˈoiʎʎ
artiklid	ˈartikːlid
Võtikvere	vˈɵt^ikvˌere
ÕNNE	ˈɵnne
korraldusele	kˈorraldˌusele
kasvatatud	kˈasvatatud
Raudtee	rˌaudtˈeː
protsessidest	prˈotsessidest
Partsile	pˈartsile
liikumisest	lˈiːkːumisest
jahtimas	jˈahtimas
Olümpiakomitee	ˌolympiˌakːomitˈeː
aegadeks	ˈaeɡadeks
lahkumas	lˈahkumas
hõõruda	hˈɵːruda
informeeritud	ˌinformˈeːritud
Maavalla	mˈaːvalla
sotsiaalmeediasse	sˌoit^siˈaːlmˈeːdiˌasse
pedofiil	pˌedɔfˈiːl
kiusasid	kˈiusasid
CNNile	tsˈeeːˌennnˈilɛ
laial	lˈaijal
kommijatest	kˈommijatest
arvasid	ˈarvasid
Liivi	lˈiːvi
tervisekaitseinspektsiooni	tˌervisekaˌitseˌinspektsiˈoːni
Brad	prˈad
jumalikku	jˈumɑlˌikːu
kasvatamises	kˈasvatˌamises
selleteemalist	sˌelletˈeːmalist
Soulis	sˈoulis
valitsusele	vˈaʎɪtsˌusele
kodukoha	kˈodʊkˌoha
Noormehe	nˈoːrmehe
endal	ˈendal
bilanss	pˈilɑnss
Faktumi	fˈaktumi
stuudios	stˈuːd^ios
riisunud	rˈiːsunud
võltsis	vˈɵltsis
Müüki	mˈyːkːi
pikkadele	pˈikːadˌele
inimestes	ˈiɲɪmˌestes
juhataja	jˈuhɑtˌaja
surmav	sˈurmav
nõiad	nˈɵijad
Abiks	ˈabɪks
Erakonna	ˈerɑkˌonna
täpne	tˈæpne
töökoormust	tˈøːkːˈoːrmust
Gibson	kˈibson
abiesimees	ˌabiˌesimˈeːs
elukeskkonnas	ˈelʊkˌeskːonnas
siseinfot	sˈiseˌinfot
aruande	ˈaruˌande
Ainsana	ˈainsˌana
remondiks	rˈemɔɲdiks
vahendav	vˈahɛndav
reservatsiooniga	rˌesɛrvaˌit^siˈoːniɡa
tähelepanelikud	tˈæhɛlˌepanˌelikud
Ellen	ˈellen
liiv	lˈiiːv
soorituse	sˈoːritˌuse
eduseis	ˈedʊseis
kiirabile	kˈiːrabˌile
Getter	kˈetːer
kommunistid	kˈommunˌis^tid
kohustati	kˈohʊstˌati
teo	tˈeoː
äss	ˈæsss
läbisõidul	lˈæbɪsˌɵidul
poolik	pˈoːʎik
Sportlased	spˈortlased
tollide	tˈoʎʎide
vaenulikku	vˈaenulˌikːu
ingliskeelsed	ˌiŋɡliskˈeːlsed
sobiliku	sˈobɪlˌiku
graatsia	krˈaːit^sˌia
küündivad	kˈyːɲdivad
kuulsale	kˈuːlsale
võrdselt	vˈɵrdselt
osalejatele	ˈosɑlˌejatˌele
kaugusel	kˈauɡusel
varjusurmas	vˈarjusˌurmas
Põhjarannikule	pˈɵhjarˌannikˌule
riskima	rˈiskima
läga	lˈæɡɑ
ülevaatusele	ˌylɛvˈaːtːusˌele
Vallavalitsus	vˈallavalˌitsus
lammas	lˈammas
hoolduskulud	hˈoːlduskulud
optimistliku	ˈoptimˌist^liku
mõjuvat	mˈɵjʊvat
põhjast	pˈɵhjast
arusaamatuste	ˌarʊsˈaːmatˌuste
maas	mˈaaːs
Viimane	vˈiːmane
pidamisega	pˈidɑmˌiseɡa
sotsiaalkulutuste	sˌoit^siˈaːlkːulutˌuste
Vesilind	vˈes^ɪlind
lauad	lˈauwad
doktori	tˈoktori
kolmandale	kˈolmandˌale
sünnitanud	sˈyɲɲitanud
heategevusega	hˈeatːˌeɡevˌuseɡa
jääaja	jˈæːaja
etteaimamatu	ˈetːeˌaimˌamatu
avalikule	ˈavɑlˌikule
toonud	tˈoːnud
laiendamisest	lˈaijˌendamisest
Ivar	ˈivɑr
okkaid	ˈokːaid
vahetustega	vˈahɛtˌusteɡa
osariikides	ˌosɑrˈiːkːides
poolthäälega	pˈoːlthˈæːleɡa
vihatud	vˈihɑtud
üksikisik	ˈyksikisik
sümboolsed	symbˈoːlsed
püsimisega	pˈys^ɪmˌiseɡa
soodsama	sˈoːdsama
sihtasutuses	sˈihtasˌutuses
sobival	sˈobɪval
kaotusseisust	kˈaoːtːˌusseisust
Olnud	ˌolnud
Žürii	ʒyrˈiː
lõpu	lˈɵpu
lõhub	lˈɵhʊb
võileivad	vˈɵilˌeivad
linnaelanikud	lˈinnaˌelanikud
saabujad	sˈaːbujad
valusasti	vˈalʊsˌas^ti
panusest	pˈanʊsest
tuuline	tˈuːʎine
palute	pˈalʊte
jüngritele	jˈyŋɡritˌele
valimisvõitluses	vˈaʎɪmˌisvɵˌitːluses
õiguste	ˈɵiɡˌuste
jõudiski	jˈɵudˌiski
hoidiste	hˈoidˌiste
ASI	ˈas^ɪ
viipab	vˈiːpːab
inimsuhete	ˈiɲɪmsˌuhete
ämbri	ˈæmmbri
kinnistule	kˈiɲɲistˌule
teenida	tˈeːɲida
prognoos	proɡnˈoːs
lähedasele	lˈæhɛdˌasele
avamisest	ˈavɑmisest
Maidla	mˈaidla
odavaid	ˈodɑvaid
teooriad	tˈeoːˌoriad
valikturniiril	vˌaʎɪkturnˈiːril
ristitee	rˌis^titˈeː
Café	kˈafɛ
Jarek	jˈarɛk
jagama	jˈaɡɑma
soovivad	sˈoːvivad
puudusi	pˈuːdusi
osalejad	ˈosɑlejad
suva	sˈuvɑ
kriisi	krˈiːs^i
vallikraavi	vˌaʎʎikːrˈaːvi
väitlus	vˈæ͡itːlus
vastates	vˈastates
Niikuinii	nˈiːkːuinˈiː
platsis	plˈait^sis
pakun	pˈakun
alluvatel	ˈalluvatel
terast	tˈerɑst
lahkarvamusi	lˈahkarvˌamusi
pinda	pˈinda
koor	kˈooːr
mälumäng	mˈælʊmæŋɡ
jätkem	jˈætkem
raudteeülesõidul	rˌaudtˈeːylˌesɵidul
veebruarist	vˈeːbruarist
ahvatlevad	ˈahvatːlevad
valmistusid	vˈalmistusid
tabava	tˈabɑva
Vesi	vˈes^ɪ
ooteaega	ˈoːtːeˌaeɡa
kamin	kˈamɪn
