bekerjasama	bəkərdʒasama
hidup	hidup
tersipu	tərsipu
gilap	gilap
berdompak	bərdompaʔ
interaksi	intəraʔsi
melambatkan	məlambatkan
riadah	riadah
menista	mənista
plastik	plastiʔ
mewajarkan	məwadʒarkan
kenakalan	kənakalan
banjur	bandʒur
hala	hala
selingkup	səliŋkup
cengkau	tʃəŋkau
radar	radar
pestaka	pəstaka
tiup	tiup
kéndo	kendo
basikal	basikal
bayuh	bajuh
berbasiskan	bərbasiskan
sebadan	səbadan
terjemahan	tərdʒəmahan
menderumkan	məndərumkan
baiknya	baiʔɲa
terkunci	tərkuntʃi
sertu	sərtu
berselérak	bərsəleraʔ
bancang	bantʃaŋ
kelong	kəloŋ
dikenang	dikənaŋ
perseorangan	pərsəoraŋan
prakata	prakata
déskripsi	desʔripsi
ketekunan	kətəkunan
bendoro	bəndoro
panték	panteʔ
persoalan	pərsoalan
alkausar	alkausar
jinjang	dʒindʒaŋ
sirih	sirih
menyemir	məɲəmir
berkerak	bərkəraʔ
coro	tʃoro
dasarnya	dasarɲa
terbantut	tərbantut
menganak-emaskan	məŋanak-əmaskan
perengus	pərəŋus
sebutir	səbutir
oker	okər
sanggah	saŋgah
beranda	bəranda
pengaduan	pəŋaduan
apkir	apkir
pemilih	pəmilih
ékléktik	eʔleʔtiʔ
déskriptif	desʔriptif
kerpai	kərpai
disengaja	disəŋadʒa
bisnis	bisnis
radiasi	radiasi
bianglala	biaŋlala
dégen	degən
nitrogén	nitrogen
batikan	batikan
intélék	inteleʔ
sesalan	səsalan
beroda	bəroda
mencaruk	məntʃaruʔ
sayap	sajap
mantri	mantri
pelarasan	pəlarasan
berbuat	bərbuat
tindih	tindih
lundang	lundaŋ
kosmonaut	kosmonaut
hablur	hablur
berkecimpung	bərkətʃimpuŋ
bercuatan	bərtʃuatan
cakalélé	tʃakalele
rajuk	radʒuʔ
sungai	suŋai
kerdas	kərdas
panasnya	panasɲa
lémparan	lemparan
sbb.	sbb.
hidrokarbon	hidrokarbon
antibiosis	antibiosis
sengkuang	səŋkuaŋ
pembulang	pəmbulaŋ
menstabilkan	mənstabilkan
vanili	vanili
péléngan	peleŋan
abaikan	abaikan
terbelit	tərbəlit
sedingin	sədiŋin
bujuk	budʒuʔ
tersaji	tərsadʒi
pencanaian	pəntʃanaian
sebaur	səbaur
kelobot	kəlobot
boléro	bolero
ogah	ogah
kepengapan	kəpəŋapan
disalib	disalib
résor	resor
dialisis	dialisis
kangen	kaŋən
andak	andaʔ
terpépér	tərpeper
pengantin	pəŋantin
membela	məmbəla
kerih	kərih
adikku	adiʔku
peparu	pəparu
bersisa	bərsisa
dihalusi	dihalusi
bimbingan	bimbiŋan
kaca	katʃa
bersemenda	bərsəmənda
mérat	merat
menyerundang	məɲərundaŋ
penerbitan	pənərbitan
undangan	undaŋan
tabungan	tabuŋan
pelencit	pələntʃit
cidera	tʃidəra
sial	sial
semilat	səmilat
pencabangan	pəntʃabaŋan
menyenangkan	məɲənaŋkan
bahasawan	bahasawan
penyangga	pəɲaŋga
ampul	ampul
intél	intel
sambungan	sambuŋan
menyangka	məɲaŋka
mempercepat	məmpərtʃəpat
johari	dʒohari
secepat	sətʃəpat
jerawat	dʒərawat
amboi	amboi
berurat	bərurat
dicairkan	ditʃairkan
satir	satir
tabii	tabiʔi
akumulator	akumulator
progrésif	progresif
képék	kepeʔ
seri	səri
berbawang	bərbawaŋ
layak	lajaʔ
iritasi	iritasi
kelimpanan	kəlimpanan
dor	dor
séwot	sewot
mempermenangkan	məmpərmənaŋkan
lampam	lampam
lotré	lotre
etis	ətis
terasing	tərasiŋ
kerumun	kərumun
kéramik	keramiʔ
organis	organis
tepercul	təpərtʃul
celingukan	tʃəliŋukan
ortopédi	ortopedi
penabur	pənabur
angkanya	aŋkaɲa
berikat	bərikat
keprak	kəpraʔ
penghiburan	pəŋhiburan
keterandalan	kətərandalan
sultan	sultan
daru	daru
berdiét	bərdiet
terka	tərka
taruhan	taruhan
temaha	təmaha
rakam	rakam
kemiripan	kəmiripan
pembelian	pəmbəlian
meluas	məluas
penyetélan	pəɲətelan
pendinding	pəndindiŋ
melelahkan	mələlahkan
ampo	ampo
yurisdiksi	jurisdiʔsi
pendapa	pəndapa
terentang	tərəntaŋ
tepergok	təpərgoʔ
rajut	radʒut
membingkas	məmbiŋkas
injak	indʒaʔ
jenama	dʒənama
mengunggis	məŋuŋgis
rasuah	rasuah
ketagih	kətagih
ternama	tərnama
kelening	kələniŋ
médali	medali
diabétés	diabetes
tembang	təmbaŋ
berkering	bərkəriŋ
tegak	təgaʔ
segala	səgala
tekak	təkaʔ
penyunat	pəɲunat
bertémperamén	bərtempəramen
bobok	boboʔ
kelélot	kəlelot
favorit	favorit
penumpukan	pənumpukan
pelampung	pəlampuŋ
jelaga	dʒəlaga
pengepulan	pəŋəpulan
penginapan	pəŋinapan
badminton	badminton
penghadang	pəŋhadaŋ
tergolong	tərgoloŋ
katalog	katalog
calui	tʃalui
serambi	sərambi
kerényot	kəreɲot
menengkarapkan	mənəŋkarapkan
penjabat	pəndʒabat
perampokan	pərampokan
édukatif	edukatif
batu	batu
kesuma	kəsuma
memarang	məmaraŋ
bernyanyi	bərɲaɲi
provinsi	provinsi
mencandui	məntʃandui
syariat	sjariat
konyong	koɲoŋ
beraga	bəraga
baling	baliŋ
kerang	kəraŋ
pembusukan	pəmbusukan
buram	buram
teguk	təguʔ
nah	nah
kidal	kidal
bunuh	bunuh
pérs	pers
pertahanan	pərtahanan
dituruti	dituruti
pengentalan	pəŋəntalan
mengapkir	məŋapkir
pemalsu	pəmalsu
pengerjaan	pəŋərdʒaʔan
kemujuran	kəmudʒuran
ketinggalan	kətiŋgalan
syak	sjaʔ
mengepulkan	məŋəpulkan
mengosongkan	məŋosoŋkan
éklips	eʔlips
alim	alim
kurawal	kurawal
keempat	kəʔəmpat
beramal	bəramal
loték	loteʔ
mengetési	məŋətesi
bermekaran	bərməkaran
pemaduan	pəmaduan
métalografi	metalografi
durma	durma
korporasi	korporasi
membotak	məmbotaʔ
dibilang	dibilaŋ
menyinarkan	məɲinarkan
kembuk	kəmbuʔ
mendukungnya	məndukuŋɲa
penyembelihan	pəɲəmbəlihan
tekukan	təkukan
jodoh	dʒodoh
cerancang	tʃərantʃaŋ
berkas	bərkas
andika	andika
azimat	azimat
ditimbuni	ditimbuni
pirsawan	pirsawan
dinamit	dinamit
bujang	budʒaŋ
kesanggupan	kəsaŋgupan
téték	teteʔ
lakon	lakon
rapsodi	rapsodi
logaritma	logaritma
impor	impor
sekilas	səkilas
pertusis	pərtusis
kebebalan	kəbəbalan
as	as
dilontarkan	dilontarkan
bercumbu	bərtʃumbu
tudung	tuduŋ
gawai	gawai
daidan	daidan
merusak	mərusaʔ
ditentukan	ditəntukan
celemék	tʃələmeʔ
diserahkan	disərahkan
bercekik	bərtʃəkiʔ
purbakala	purbakala
berdaérah	bərdaerah
berkabung	bərkabuŋ
marhaén	marhaen
melihatkan	məlihatkan
sérsan	sersan
bertumpuk	bərtumpuʔ
menggegar	məŋgəgar
pers	pərs
péntatonik	pentatoniʔ
setiabu	sətiabu
membeléngkétkan	məmbəleŋketkan
aksarawan	aʔsarawan
hilang	hilaŋ
cenggérét	tʃəŋgeret
datanglah	dataŋlah
distingtif	distiŋtif
pemenung	pəmənuŋ
épik	epiʔ
pangéran	paŋeran
membedakkan	məmbədaʔkan
betok	bətoʔ
mencerét	məntʃəret
perkedél	pərkədel
melabuhkan	məlabuhkan
keéfisiénan	kəefisienan
cungkil	tʃuŋkil
tersinggung	tərsiŋguŋ
meninggi	məniŋgi
melintang	məlintaŋ
cukai	tʃukai
manapun	manapun
durno	durno
alarm	alarm
kepundan	kəpundan
dirumuskan	dirumuskan
terhingga	tərhiŋga
tabulator	tabulator
teritik	təritiʔ
kelab	kəlab
baik	baiʔ
priyayi	prijaji
terséngkang	tərseŋkaŋ
menggolék	məŋgoleʔ
mengangsu	məŋaŋsu
suri	suri
media	mədia
pin	pin
senja	səndʒa
peninggalan	pəniŋgalan
cerpelai	tʃərpəlai
ketial	kətial
cangklong	tʃaŋʔloŋ
selabar	səlabar
terjajah	tərdʒadʒah
menénok	mənenoʔ
pesakit	pəsakit
pembodohan	pəmbodohan
bendé	bənde
hukum	hukum
sejenak	sədʒənaʔ
kelima	kəlima
mendayungkan	məndajuŋkan
biar	biar
baduk	baduʔ
sutradara	sutradara
dipupuk	dipupuʔ
mengecék	məŋətʃeʔ
bintur	bintur
kemuncup	kəmuntʃup
pegangan	pəgaŋan
ajar	adʒar
matahari	matahari
sisipan	sisipan
peternak	pətərnaʔ
bersaksi	bərsaʔsi
jagoan	dʒagoan
kobok	koboʔ
pencilok	pəntʃiloʔ
bingkisan	biŋkisan
liberal	libəral
alkoholisme	alkoholismə
dijalankan	didʒalankan
penyerkup	pəɲərkup
setik	sətiʔ
fluktuasi	fluʔtuasi
sangkanya	saŋkaɲa
ganjil	gandʒil
disparitas	disparitas
alifbata	alifbata
boga	boga
mengetemui	məŋətəmui
diserap	disərap
atma	atma
sus	sus
gantung	gantuŋ
éléktrodinamika	eleʔtrodinamika
keajaiban	kəadʒaiban
kehéranan	kəheranan
majung	madʒuŋ
ilmiah	ilmiah
dedalu	dədalu
terkul	tərkul
pencatu	pəntʃatu
hostél	hostel
mendera	məndəra
tékstil	teʔstil
penggulung	pəŋguluŋ
cancang	tʃantʃaŋ
terserot	tərsərot
pelicin	pəlitʃin
kikir	kikir
terpadamkan	tərpadamkan
mempan	məmpan
lelaki	ləlaki
protéksi	proteʔsi
teluk	təluʔ
gurauan	gurauan
mencemerlangkan	məntʃəmərlaŋkan
tercanang	tərtʃanaŋ
citanya	tʃitaɲa
gagak	gagaʔ
polri	polri
hadiah	hadiah
gerakkan	gəraʔkan
pembelahan	pəmbəlahan
pangkalnya	paŋkalɲa
persegi	pərsəgi
mengeras	məŋəras
melaungkan	məlauŋkan
pong	poŋ
kubis	kubis
baliho	baliho
menyebar	məɲəbar
merkah	mərkah
meletupkan	mələtupkan
kekeluargaan	kəkəluargaʔan
pengasahan	pəŋasahan
bergairah	bərgairah
kelian	kəlian
sengat	səŋat
asfar	asfar
kalimat	kalimat
kebiasaan	kəbiasaʔan
métrologi	metrologi
menétés	mənetes
berdekak	bərdəkaʔ
kelon	kəlon
ruangan	ruaŋan
mendamik	məndamiʔ
rawit	rawit
mendukung	məndukuŋ
éjék	edʒeʔ
diselesaikan	disələsaikan
sénat	senat
abolisi	abolisi
arsenal	arsənal
égalisasi	egalisasi
lécéh	letʃeh
cokét	tʃoket
cempiang	tʃəmpiaŋ
mengedang	məŋədaŋ
merusuh	mərusuh
belonggok	bəloŋgoʔ
kalangan	kalaŋan
melahap	məlahap
tempur	təmpur
sedemikian	sədəmikian
kemamang	kəmamaŋ
perékonomian	pərekonomian
tempatku	təmpatku
berbuai	bərbuai
sengélat	səŋelat
barap	barap
dirimu	dirimu
mengangsurkan	məŋaŋsurkan
perepat	pərəpat
sebelasan	səbəlasan
mendengu	məndəŋu
memberontak	məmbərontaʔ
pencakar	pəntʃakar
memamah	məmamah
roti	roti
pemberitahuan	pəmbəritahuan
bakar	bakar
pekat	pəkat
atlit	atlit
menghidu	məŋhidu
mencederakan	məntʃədərakan
autobiografi	autobiografi
berkecukupan	bərkətʃukupan
berpangkal	bərpaŋkal
merujuk	mərudʒuʔ
dibantu	dibantu
alap	alap
lintang	lintaŋ
semur	səmur
kelambanan	kəlambanan
mengemudi	məŋəmudi
setumpuk	sətumpuʔ
menanggung	mənaŋguŋ
perhimpunan	pərhimpunan
juling	dʒuliŋ
dipan	dipan
klausul	ʔlausul
mengelupas	məŋəlupas
mengencani	məŋəntʃani
alau	alau
pembikinan	pəmbikinan
tersetrum	tərsətrum
pohon	pohon
menebat	mənəbat
peperangan	pəpəraŋan
mengacak	məŋatʃaʔ
dipungut	dipuŋut
kedang	kədaŋ
bék	beʔ
banglé	baŋle
ékuatif	ekuatif
sigarét	sigaret
korvét	korvet
penggah	pəŋgah
penyelesaian	pəɲələsaian
peduli	pəduli
kesinambungan	kəsinambuŋan
terkandung	tərkanduŋ
menelungkup	mənəluŋkup
pembatas	pəmbatas
périkarditis	perikarditis
kebakaran	kəbakaran
gandéngan	gandeŋan
pergaulan	pərgaulan
siswa	siswa
delamak	dəlamaʔ
pencandraan	pəntʃandraʔan
melancong	məlantʃoŋ
dadu	dadu
sadarkan	sadarkan
beregu	bərəgu
boraks	boraʔs
domblong	dombloŋ
menyingkir	məɲiŋkir
pecut	pətʃut
sebawahan	səbawahan
berduaan	bərduaʔan
anti	anti
membualkan	məmbualkan
étis	etis
diménsi	dimensi
peranakan	pəranakan
tersepuh	tərsəpuh
akta	aʔta
persidangan	pərsidaŋan
beralam	bəralam
hébatnya	hebatɲa
alveolus	alvəolus
enam	ənam
meronda	məronda
péna	pena
penyerangan	pəɲəraŋan
turun	turun
hentam	həntam
ilah	ilah
maruah	maruah
écéran	etʃeran
senyuman	səɲuman
berkedok	bərkədoʔ
sesampai	səsampai
jarinya	dʒariɲa
perédaran	pəredaran
petus	pətus
sembahan	səmbahan
penggubal	pəŋgubal
beriring	bəririŋ
kurikulum	kurikulum
perdagangan	pərdagaŋan
amir	amir
didiami	didiami
toko	toko
popularisasi	popularisasi
menghubungi	məŋhubuŋi
sebébas	səbebas
kedurjanaan	kədurdʒanaʔan
bernga	bərŋa
alomorf	alomorf
menunjuk	mənundʒuʔ
apuh	apuh
mengadangkan	məŋadaŋkan
dévaluasi	devaluasi
campur	tʃampur
antiséptik	antiseptiʔ
istilah	istilah
beréaksi	bəreaʔsi
tertutupi	tərtutupi
ambek	ambəʔ
anyelir	aɲəlir
pengéksploitasi	pəŋeʔsploitasi
berperang	bərpəraŋ
pantau	pantau
séwakan	sewakan
keperawanannya	kəpərawananɲa
nakhoda	naʔhoda
perwakilan	pərwakilan
amén	amen
penyegan	pəɲəgan
keker	kəkər
berpacaran	bərpatʃaran
sélibat	selibat
dapra	dapra
tari	tari
bersin	bərsin
kan	kan
hobi	hobi
kepadatan	kəpadatan
sepur	səpur
ékstramarital	eʔstramarital
kisut	kisut
hidang	hidaŋ
pendarat	pəndarat
magang	magaŋ
berbapak	bərbapaʔ
kegirangan	kəgiraŋan
kakék	kakeʔ
menggali	məŋgali
koténg	koteŋ
negaranya	nəgaraɲa
bonggol	boŋgol
péndék	pendeʔ
lobi	lobi
meléla	məlela
mengawang	məŋawaŋ
pembisik	pəmbisiʔ
bercoang	bərtʃoaŋ
melayani	məlajani
memelisit	məməlisit
rentaka	rəntaka
memencak	məməntʃaʔ
sulang	sulaŋ
diiringi	diʔiriŋi
pemulauan	pəmulauan
média	media
pemugaran	pəmugaran
sharif	sharif
ékuator	ekuator
rélaksasi	relaʔsasi
diskriminasi	disʔriminasi
pesatnya	pəsatɲa
penggubah	pəŋgubah
capit	tʃapit
dipukuli	dipukuli
jém	dʒem
kerancuan	kərantʃuan
kendana	kəndana
kelorak	kəloraʔ
musang	musaŋ
céléng	tʃeleŋ
wenangnya	wənaŋɲa
mélankolis	melankolis
keharuman	kəharuman
penyokong	pəɲokoŋ
jenayah	dʒənajah
berkaca	bərkatʃa
dera	dəra
ékskomunikasi	eʔskomunikasi
membotaki	məmbotaki
memelintir	məməlintir
berbénténg	bərbenteŋ
menganulir	məŋanulir
sekongkolan	səkoŋkolan
melicinkan	məlitʃinkan
daftaran	daftaran
jamban	dʒamban
bungkam	buŋkam
peranye	pəraɲə
memperbudak	məmpərbudaʔ
boros	boros
pengang	pəŋaŋ
mencibir	məntʃibir
galang	galaŋ
bening	bəniŋ
amatirisme	amatirismə
berlabuh	bərlabuh
cundang	tʃundaŋ
mengali	məŋali
desur	dəsur
maggi	maggi
membirukan	məmbirukan
ranggung	raŋguŋ
setapak	sətapaʔ
serahan	sərahan
gejolak	gədʒolaʔ
pintu	pintu
setrap	sətrap
ahmak	ahmaʔ
mendalangkan	məndalaŋkan
kecurian	kətʃurian
menggérét	məŋgeret
mengalpakan	məŋalpakan
pamrih	pamrih
menggalang	məŋgalaŋ
dipompa	dipompa
blus	blus
dahagi	dahagi
belatuk	bəlatuʔ
pikiran	pikiran
antitank	antitanʔ
maktab	maʔtab
kecipratan	kətʃipratan
admiral	admiral
bugenvil	bugənvil
justru	dʒustru
mendangkar	məndaŋkar
mengemukakan	məŋəmukakan
mengesakan	məŋəsakan
mesin	məsin
maling	maliŋ
menguap	məŋuap
mengendurikan	məŋəndurikan
mimis	mimis
beku	bəku
mengerukutkan	məŋərukutkan
menyuruh	məɲuruh
berantukan	bərantukan
maskapai	maskapai
berselubung	bərsəlubuŋ
mengarak	məŋaraʔ
syahadan	sjahadan
akuaduk	akuaduʔ
terperuak	tərpəruaʔ
ancuk	antʃuʔ
dipindahkan	dipindahkan
menggemburkan	məŋgəmburkan
ténang	tenaŋ
berunding	bərundiŋ
mempercayai	məmpərtʃajai
pengukur	pəŋukur
sengkeran	səŋkəran
pendaulatan	pəndaulatan
dukana	dukana
rebut	rəbut
mengalirkan	məŋalirkan
kepiri	kəpiri
mengampukan	məŋampukan
daku	daku
dendang	dəndaŋ
penyengat	pəɲəŋat
pas	pas
membandingi	məmbandiŋi
réalis	realis
wah	wah
telesan	tələsan
pedis	pədis
ékséntrik	eʔsentriʔ
menyangkut	məɲaŋkut
berupaya	bərupaja
mengedub	məŋədub
ucap	utʃap
paham	paham
memesamkan	məməsamkan
dakon	dakon
garong	garoŋ
soto	soto
satwa	satwa
denyar	dəɲar
berbenih	bərbənih
lada	lada
dramaturgi	dramaturgi
terhindar	tərhindar
mengelak	məŋəlaʔ
mubarak	mubaraʔ
pendahulu	pəndahulu
kejujurannya	kədʒudʒuranɲa
dorongan	doroŋan
boikot	boikot
témperamén	tempəramen
pagi.	pagi.
resép	rəsep
visum	visum
setempat	sətəmpat
gilanya	gilaɲa
aristokrat	aristoʔrat
peminggir	pəmiŋgir
menapak	mənapaʔ
bertemin	bərtəmin
sungut	suŋut
kerapuhan	kərapuhan
bersetrika	bərsətrika
alpukah	alpukah
prostat	prostat
arsitéktur	arsiteʔtur
menyeramkan	məɲəramkan
kali	kali
pengeroyok	pəŋərojoʔ
kelelawar	kələlawar
kemélikan	kəmelikan
tébak	tebaʔ
pelipat	pəlipat
rahasia	rahasia
simpansé	simpanse
keriau	kəriau
mencemaskan	məntʃəmaskan
menghirau	məŋhirau
tahir	tahir
mengkelan	məŋkəlan
kategori	katəgori
misa	misa
dirundingkan	dirundiŋkan
perincit	pərintʃit
rumput	rumput
bakiak	bakiaʔ
gelama	gəlama
menderit	məndərit
sengatan	səŋatan
seperti	səpərti
éléktro	eleʔtro
taksiran	taʔsiran
berdaun	bərdaun
rékomendasi	rekoməndasi
pertandingan	pərtandiŋan
percuma	pərtʃuma
penggantian	pəŋgantian
asnad	asnad
pengabdi	pəŋabdi
percepatan	pərtʃəpatan
cerna	tʃərna
istirahat	istirahat
penambang	pənambaŋ
tokék	tokeʔ
dé	de
membaham	məmbaham
telus	təlus
senderung	səndəruŋ
kebyar	kəbjar
seguna	səguna
tersiar	tərsiar
mendiris	məndiris
lenting	ləntiŋ
paduan	paduan
dublé	duble
idéntitas	identitas
sentagi	səntagi
seburas	səburas
meladéni	məladeni
menghébahkan	məŋhebahkan
bermilik	bərmiliʔ
perunggu	pəruŋgu
téntatif	tentatif
pengandam	pəŋandam
terhébat	tərhebat
membasmi	məmbasmi
frustrasi	frustrasi
karbon	karbon
formalistis	formalistis
agam	agam
penganggur	pəŋaŋgur
rambang	rambaŋ
peninjauan	pənindʒauan
téléfoto	telefoto
sanatorium	sanatorium
menyeduai	məɲəduai
pengapit	pəŋapit
laboratorium	laboratorium
gertakan	gərtakan
sejenisnya	sədʒənisɲa
sekrip	səʔrip
naik	naiʔ
kerinan	kərinan
terancam	tərantʃam
nara	nara
menyangkakan	məɲaŋkakan
détériorasi	deteriorasi
klién	ʔlien
détasemén	detasəmen
nya.	ɲa.
belasut	bəlasut
berketurunan	bərkəturunan
dilarang	dilaraŋ
koléra	kolera
menggarap	məŋgarap
pusara	pusara
pedansa	pədansa
mengerpus	məŋərpus
serenjak	sərəndʒaʔ
debus	dəbus
députi	deputi
damprat	damprat
liku	liku
nomor	nomor
présidium	presidium
limpah	limpah
berbanjar	bərbandʒar
akibatnya	akibatɲa
bédéng	bedeŋ
tunggangan	tuŋgaŋan
penda	pənda
animisme	animismə
perusakan	pərusakan
jotos	dʒotos
mendribel	məndribəl
déségregasi	desegrəgasi
ulasan	ulasan
pesirah	pəsirah
mengakali	məŋakali
menuliskan	mənuliskan
penyénsor	pəɲensor
luas	luas
kononnya	kononɲa
syarahan	sjarahan
bercacing	bərtʃatʃiŋ
disamakan	disamakan
menyara	məɲara
pesat	pəsat
elo	əlo
dihantui	dihantui
lindung	linduŋ
seangin	səaŋin
menyingsing	məɲiŋsiŋ
serimala	sərimala
pemanfaatan	pəmanfaʔatan
petarangan	pətaraŋan
abnus	abnus
murbéi	murbei
katédral	katedral
amfibi	amfibi
permasan	pərmasan
pengadopsi	pəŋadopsi
mendap	məndap
asil	asil
pemandu	pəmandu
terkilan	tərkilan
membelakang	məmbəlakaŋ
ikutan	ikutan
bercengkerama	bərtʃəŋkərama
pengejaran	pəŋədʒaran
beralaskan	bəralaskan
gemalai	gəmalai
membusakan	məmbusakan
kecuaian	kətʃuaian
éfisién	efisien
régional	regional
fosil	fosil
berteduhkan	bərtəduhkan
kedukaan	kədukaʔan
kemakmuran	kəmaʔmuran
peragih	pəragih
burakah	burakah
pertukangan	pərtukaŋan
penstrukturan	pənstruʔturan
gotri	gotri
ketenangan	kətənaŋan
persil	pərsil
topinya	topiɲa
léngkét	leŋket
kesetiaannya	kəsətiaʔanɲa
keborosan	kəborosan
huru	huru
bangkét	baŋket
asai	asai
mengundur	məŋundur
terkoyak	tərkojaʔ
siksa	siʔsa
mengunci	məŋuntʃi
tajwid	tadʒwid
merindui	mərindui
hijauan	hidʒauan
kelurusan	kəlurusan
menyempati	məɲəmpati
pégoh	pegoh
belanda	bəlanda
intérogasi	interogasi
keroncor	kərontʃor
sekelébatan	səkəlebatan
kebocoran	kəbotʃoran
anéh	aneh
gelombang	gəlombaŋ
menitik-beratkan	mənitik-bəratkan
pérméabilitas	permeabilitas
memperabukan	məmpərabukan
mengacara	məŋatʃara
boléhkah	bolehkah
sepet	səpət
pésak	pesaʔ
céples	tʃepləs
diacungkan	diatʃuŋkan
melaksanakan	məlaʔsanakan
mémo	memo
salib	salib
menggorés	məŋgores
diborgol	diborgol
kesénténgan	kəsenteŋan
kerépotan	kərepotan
mengimpit	məŋimpit
berserak	bərsəraʔ
mampu	mampu
mengepung	məŋəpuŋ
mengguncang	məŋguntʃaŋ
salur	salur
normatif	normatif
penerka	pənərka
petanda	pətanda
féodalisme	feodalismə
akaun	akaun
cobaan	tʃobaʔan
bibinda	bibinda
diberi	dibəri
pungut	puŋut
réboisasi	reboisasi
cambuk	tʃambuʔ
hanif	hanif
naratif	naratif
métatésis	metatesis
blak-blakan	blak-blakan
seteru	sətəru
notulen	notulən
mérek	merəʔ
nari	nari
siul	siul
bantar	bantar
pembalut	pəmbalut
dentum	dəntum
alwah	alwah
elung	əluŋ
sambang	sambaŋ
éksisténsialisme	eʔsistensialismə
teriak	təriaʔ
kepungan	kəpuŋan
menggalurkan	məŋgalurkan
satukan	satukan
bergaung	bərgauŋ
terbahak	tərbahaʔ
pengemasan	pəŋəmasan
paman	paman
merangsang	məraŋsaŋ
menyebaurkan	məɲəbaurkan
aspirin	aspirin
makara	makara
kegagalan	kəgagalan
peniru	pəniru
menganjung	məŋandʒuŋ
diktatoris	diʔtatoris
selisik	səlisiʔ
mengharuskan	məŋharuskan
dékadénsi	dekadensi
debak	dəbaʔ
énjin	endʒin
mengabur	məŋabur
mengantisipasi	məŋantisipasi
sepenting	səpəntiŋ
jogét	dʒoget
mékanisasi	mekanisasi
menghukum	məŋhukum
kekhasan	kəʔhasan
menepak	mənəpaʔ
membaptis	məmbaptis
meneroka	mənəroka
berékor	bərekor
kercing	kərtʃiŋ
kelikir	kəlikir
bancét	bantʃet
ikhtisar	iʔhtisar
berkumur	bərkumur
mukadimah	mukadimah
bahari	bahari
kakang	kakaŋ
terpal	tərpal
andam	andam
iri	iri
usia	usia
peroi	pəroi
obor	obor
kekurusan	kəkurusan
gelegar	gələgar
minta	minta
awabusa	awabusa
penjaga	pəndʒaga
lipas	lipas
mengimbau	məŋimbau
menghadap	məŋhadap
redam	rədam
kehormatan	kəhormatan
kebutuhan	kəbutuhan
membesar	məmbəsar
stémpel	stempəl
roh	roh
lenguh	ləŋuh
diharapkan	diharapkan
penaséhat	pənasehat
akidah	akidah
protéin	protein
diperkosa	dipərkosa
masyarakat	masjarakat
diriku	diriku
keanékaragaman	kəanekaragaman
peras	pəras
ketayap	kətajap
membersihkan	məmbərsihkan
ditumpahkan	ditumpahkan
pecundang	pətʃundaŋ
yodium	jodium
drésoar	dresoar
diletakkan	dilətaʔkan
berpilin	bərpilin
banténg	banteŋ
berkil	bərkil
peluasan	pəluasan
layu	laju
abortus	abortus
mengangkup	məŋaŋkup
bersemayam	bərsəmajam
asaan	asaʔan
terkecéwa	tərkətʃewa
anyar	aɲar
pembinasaan	pəmbinasaʔan
pendirian	pəndirian
panitia	panitia
berapit	bərapit
pemantapan	pəmantapan
ibadah	ibadah
pembayaran	pəmbajaran
kebangsawanan	kəbaŋsawanan
perkerisan	pərkərisan
bakti	baʔti
pigmén	pigmen
sauh	sauh
persangga	pərsaŋga
berdakwa	bərdaʔwa
berlakunya	bərlakuɲa
selebihnya	sələbihɲa
wisuda	wisuda
kerongsang	kəroŋsaŋ
bait	bait
memutah	məmutah
draf	draf
keberartian	kəbərartian
sebut	səbut
gelap	gəlap
dilémparkannya	dilemparkanɲa
mengasap	məŋasap
kelahi	kəlahi
akronim	aʔronim
penciptaan	pəntʃiptaʔan
lalim	lalim
diler	dilər
invérsi	inversi
penginjil	pəŋindʒil
pembeslahan	pəmbəslahan
bercagak	bərtʃagaʔ
wijaya	widʒaja
penyekap	pəɲəkap
moréng	moreŋ
merembat	mərəmbat
memanggul	məmaŋgul
candra	tʃandra
jus	dʒus
tertonjol	tərtondʒol
sekilwak	səkilwaʔ
keropos	kəropos
dikuatkan	dikuatkan
keseganan	kəsəganan
gelédah	gəledah
perupuk	pərupuʔ
sesap	səsap
panjat	pandʒat
permén	pərmen
peribudi	pəribudi
yung	juŋ
sonar	sonar
dilam	dilam
selérang	səleraŋ
pengadangan	pəŋadaŋan
anarkis	anarkis
berkepung	bərkəpuŋ
cintrong	tʃintroŋ
pengapungan	pəŋapuŋan
kerunting	kəruntiŋ
membendung	məmbənduŋ
mengurut	məŋurut
super	supər
calabikang	tʃalabikaŋ
mentua	məntua
diajuk	diadʒuʔ
merélai	mərelai
pengaturan	pəŋaturan
tonton	tonton
kial	kial
mendongéng	məndoŋeŋ
éban	eban
cebis	tʃəbis
dék	deʔ
meniup	məniup
menengadahkan	mənəŋadahkan
kemaslahatan	kəmaslahatan
sifar	sifar
maung	mauŋ
benur	bənur
berderum	bərdərum
kebiri	kəbiri
téolog	teolog
mentok	məntoʔ
kisah	kisah
serpentina	sərpəntina
sedelinggam	sədəliŋgam
kerajang	kəradʒaŋ
senantan	sənantan
membélai	məmbelai
pemerataan	pəmərataʔan
kotor	kotor
mena	məna
keseronokan	kəsəronokan
kesaksamaan	kəsaʔsamaʔan
berdahanam	bərdahanam
badar	badar
baban	baban
anakku	anaʔku
mengasyiki	məŋasjiki
éléktrifikasi	eleʔtrifikasi
biut	biut
selundat	səlundat
penyanderaan	pəɲandəraʔan
imbauan	imbauan
berkain	bərkain
tebusan	təbusan
litar	litar
