experimentar	iʃpɨɾimẽtaɾ
busão	buzɐ̃w̃
borboleta	buɾβuletɐ
adicionar	ɐðisjunaɾ
tronco	tɾõku
oiro	ojɾu
lindo	lĩdu
escutar	iʃkutaɾ
jardinagem	ʒɐɾðinaʒɐ̃j̃
comércio	kumɛɾsju
acento	ɐsẽtu
repetir	ʁɨpɨtiɾ
descobrimento	dɨʃkuβɾimẽtu
está	ɨʃta
lousã	lowzɐ̃
venerável	vɨnɨɾavɛɫ
ratazana	ʁɐtɐzɐnɐ
decidido	dɨsiðiðu
caminho	kɐmiɲu
tenebroso	tɨnɨβɾozu
desolar	dezolaɾ
deixava	dɐjʃavɐ
décimo	dɛsimu
pimentão	pimẽtɐ̃w̃
agreste	ɐɣɾɛʃtɨ
chover	ʃuveɾ
vivas	vivɐʃ
queque	kɛkɨ
destreza	dɨʃtɾezɐ
violação	vjulɐsɐ̃w̃
dormitar	duɾmitaɾ
fiquei	fikɐj
dentista	dẽtiʃtɐ
mação	mɐsɐ̃w
revolto	ʁɨvoɫtu
bonita	bunitɐ
embargo	ẽbaɾɣu
erguido	eɾɣiðu
cauã	kawɐ̃
fórmula	fɔɾmulɐ
agachar	ɐɡaʃaɾ
quotidiano	kutiðjɐnu
datilógrafo	dɐktilɔɣɾɐfu
açúcar	ɐsukɐɾ
polvo	poɫvu
ligamento	liɣɐmẽtu
vespa	veʃpɐ
agasalho	ɐɣɐzaʎu
sinto	sĩtu
benigno	bɨniɣɨnu
grei	ɡrɛj
taiwan	tajwɐ̃
paixão	pajʃɐ̃w̃
andorinha	ɐ̃duɾiɲɐ
sonolento	sunulẽtu
paz	paʃ
arrastado	ɐʁɐʃtaðu
conhecido	kuɲɨsiðu
pra	pɾɐ
freixo	fɾɐjʃu
nomes	nomɨʃ
chicotada	ʃikutaðɐ
asma	aʒmɐ
elevação	ilɨvɐsɐ̃w̃
menta	mẽtɐ
há	a
alfisol	alfisɔl
abajur	abɐʒuɾ
opor	ɔpoɾ
flagelo	flɐʒelu
horas	ɔɾɐʃ
tigela	tiʒɛlɐ
problema	pɾuβlemɐ
suave	swavɨ
néscio	nɛʃsju
masturbação	maʃtuɾβɐsɐ̃w̃
dácio	dasju
imanente	imanẽtʃi
euzinha	ewziɲa
oliveira	ɔlivɐjɾɐ
decisão	dɨsizɐ̃w̃
marcha	maɾʃɐ
abertos	ɐβɛɾtuʃ
tropical	tɾupikaɫ
gesso	ʒesu
experiência	ʃpɾjẽsjɐ
achava	ɐʃavɐ
canoa	kɐnoɐ
vigésimo	viʒɛzimu
casamento	kɐzɐmẽtu
visto	viʃtu
moita	mojtɐ
imanência	imanẽsja
associação	ɐsusjɐsɐ̃w̃
marta	maɾtɐ
necedade	nɨsɨdadɨ
semiólogo	semjɔloɡu
verdadeiramente	vɨɾðɐðɐjɾɐmẽtɨ
bochicho	buʃiʃu
esse	ɛsɨ
coluna	kulunɐ
estalagem	iʃtɐlaʒɐ̃j̃
sabor	sɐboɾ
melancia	mɨlɐ̃siɐ
bordoada	buɾduadɐ
terra	tɛʁɐ
hexa	ɛksa
relacionar	ʁɨlɐsjunaɾ
vouga	vowɣɐ
ü	i
móvel	mɔvɛɫ
exame	izɐmɨ
omnisciência	õniʃsjẽsjɐ
ídolo	iðulu
conserva	kõsɛɾvɐ
perfeição	pɨɾfɐjsɐ̃w̃
investigação	ĩvɨʃtiɣɐsɐ̃w̃
pivete	pivɛtʃi
doceiro	dusɐjɾu
adaptação	ɐðɐptɐsɐ̃w̃
cavaleiro	kɐvɐlɐjɾu
atrativo	ɐtɾativu
arrepiante	ɐʁɨpjɐ̃tɨ
antigo	ɐ̃tiɣu
nojo	noʒu
citar	sitaɾ
epigenesia	epiʒenezia
asseio	ɐsɐju
néscio	nɛsju
noção	nusɐ̃w̃
ninfa	nĩfɐ
bigodes	biɣɔðɨʃ
parecer	pɐɾɨseɾ
acontecimento	ɐkõtɨsimẽtu
antepassados	ɐ̃tɨpɐsaðuʃ
despir	dɨʃpiɾ
ranço	ʁɐ̃su
hibernal	iβɨɾnaɫ
harmonia	ɐɾmuniɐ
antano	ɐ̃tɐnu
pascácio	paskasju
passara	pɐsaɾɐ
aluado	ɐlwaðu
criptografia	kɾiptoɡɾafia
wolf	voɫf
acampar	ɐkɐ̃paɾ
abacial	ɐbɐsial
dominó	dɔminɔ
hospício	ɔʃpisju
boneca	bunɛkɐ
custo	kuʃtu
alça	aɫsɐ
dívida	dividɐ
patrão	pɐtɾɐ̃w̃
otimizar	ɔtimizaɾ
dia	diɐ
grinalda	ɡɾinaɫðɐ
jaspe	ʒaʃpɨ
meteu	mɨtew
frei	fɾɐj
inspirar	ĩʃpiɾaɾ
deterioração	dɨtɨɾjuɾɐsɐ̃w̃
nelas	nɛlɐʃ
né	nɛ
semente	sɨmẽtɨ
dentro	dẽtɾu
cílio	silju
falo	faɫu
delta	dɛɫtɐ
pesagem	pɨzaʒɐ̃j̃
imigrante	imiɣɾɐ̃tɨ
mi	mi
algures	aɫɣuɾɨʃ
búzio	buzju
haia	ajɐ
caixão	kɐjʃɐ̃w̃
funda	fũdɐ
criptozoologia	kɾiptozooloʒia
frapê	fɾape
abertura	ɐβɨɾtuɾɐ
pelúcia	pelusja
ramos	ʁɐmuʃ
imóvel	imɔvɛɫ
a	a
fodões	fɔdõj̃s
excessivamente	ɐjʃsɨsivɐmẽtɨ
bombeiro	bõbejɾu
atrair	ɐtɾɐiɾ
uísque	wiʃkɨ
estopim	istupĩ
trema	tɾemɐ
futrica	futɾika
teimar	tɐjmaɾ
baixada	bɐjʃaðɐ
combinados	kõbinaðu
simum	simũ
por	poɾ
artículo	ɐɾtikulu
severo	sɨvɛɾu
romper	ʁõpeɾ
sinistro	siniʃtɾu
borzeguim	buɾzɨɣĩ
vento	vẽtu
apoio	ɐpoju
pantomima	pɐ̃tumimɐ
arroba	ɐʁobɐ
proposta	pɾupɔʃtɐ
sistema	siʃtemɐ
rinoceronte	ʁinɔsɨɾõtɨ
objetividade	ɔbʒɛtiviðaðɨ
alfabetização	alfɐβɨtizɐsɐ̃w̃
dera	dɛɾɐ
pua	puɐ
belezura	belezuɾa
braços	bɾasuʃ
boroa	buɾoɐ
desenvincilhar	desẽvĩsiʎaɾ
melancólico	mɨlɐ̃kɔliku
sucinto	susĩtu
raposa	ʁɐpozɐ
curação	kuɾɐsɐ̃w̃
população	pupulɐsɐ̃w
mec	mɛki
webnamorar	wɛbinamoɾaɾ
renunciar	rɨnũsiaɾ
enraizar	ẽʁɐizaɾ
crescendo	kɾɨʃsẽdu
purga	puɾɣɐ
endoscopia	ẽdoskopia
soleira	sulejɾɐ
cúpula	kupulɐ
canalha	kɐnaʎɐ
aqueles	ɐkelɨʃ
feminino	fɨmɨninu
toilette	toalɛtʃi
gavião	ɡɐvjɐ̃w
trituro	tɾituɾu
cristal	kɾiʃtaɫ
par	paɾ
feminilidade	fɨminiliðaðɨ
parar	pɐɾaɾ
contentor	kõtẽtoɾ
falso	faɫsu
poligamia	poliɡɐ̃mia
órbita	ɔɾβitɐ
ajuda	ɐʒuðɐ
assustado	ɐsuʃtaðu
terrível	tɨʁivɛɫ
inferior	ĩfɨɾjoɾ
olha	oʎɐ
selvagem	sɛɫvaʒɐ̃j̃
encaixilhar	ẽkajʃiʎaɾ
tapir	tapiɾ
sacro	sakɾu
cubículo	kuβikulu
sopa	sopɐ
governo	ɡuveɾnu
adolescência	ɐðulɨʃsẽsjɐ
faiança	fajɐ̃sɐ
juízo	ʒwizu
rico	ʁiku
glorificação	ɡloɾifikasɐ̃w̃
job	dʒɔbi
sobreiro	subɾejɾu
vigoroso	viɣuɾozu
armazém	ɐɾmɐzɐ̃j̃
secrete	sekɾɛtʃi
chávena	ʃavɨnɐ
incerto	ĩsɛɾtu
vasta	vaʃtɐ
edito	editu
recear	ʁɨsjaɾ
lustre	luʃtɾɨ
amavioso	amaviozu
moinho	mwiɲu
opressão	upɾɨsɐ̃w̃
oferta	ufɛɾtɐ
mixuruca	miʃuɾuka
figueira	fiɡɐjɾɐ
pensava	pẽsavɐ
sublevação	suβlɨvɐsɐ̃w̃
dodecaedro	duðɨkɐɛðɾu
murmurar	muɾmuɾaɾ
semestral	sɨmɨʃtɾaɫ
calebe	kalɛbi
emburrecer	ĩbuʁeseɾ
filósofo	filɔzufu
capaz	kɐpaʃ
gafanhoto	ɡɐfɐɲotu
estes	eʃtɨʃ
batizar	bɐtizaɾ
juba	ʒuβɐ
trás	tɾaʃ
arrancar	ɐʁɐ̃kaɾ
epifania	ipifɐniɐ
fulá	fula
escumalha	iskumaʎa
supermercado	supɛɾmɨɾkadu
janelo	ʒɐnelu
oficina	ɔfisinɐ
mundial	mũdjaɫ
tétrico	tɛtɾiku
abacate	ɐβɐkatɨ
proteger	pɾutɨʒeɾ
meus	mewʃ
ouvir	owβiɾ
matilda	mɐtiɫdɐ
bigorna	biɡɔɾnɐ
janelão	ʒɐnɨlɐ̃w̃
lanterna	lɐ̃tɛɾnɐ
comissão	kumisɐ̃w̃
rebanho	ʁɨβɐɲu
dizendo	dizẽdu
milhares	miʎaɾɨʃ
residente	ʁɨzidẽtɨ
dizia	diziɐ
sobejo	suβɐjʒu
ronda	ʁõdɐ
raciocínio	rɐsiusiniu
grisalho	ɡɾizaʎu
k	kapɐ
equidade	ikwiðaðɨ
mancha	mɐ̃ʃɐ
intenso	ĩtẽsu
felgueiras	fɛɫɡɐjɾɐʃ
condução	kõdusɐ̃w̃
aparecia	ɐpɐɾɨsiɐ
bento	bẽtu
cravejado	kɾɐvɨʒaðu
magistério	maʒistɛɾju
frequência	fɾɨkwẽsjɐ
bobo	bobu
celestial	sɨlɨʃtjaɫ
ambiente	ɐ̃bjẽtɨ
alguns	alɡũʃ
testemunha	tɨʃtɨmuɲɐ
sementeira	sɨmẽtɐjɾɐ
atraente	ɐtɾɐẽtɨ
usual	uzwaɫ
migração	miɣɾɐsɐ̃w̃
aranha	ɐɾɐɲɐ
bósnio	bɔʃniu
remete	ʁemɛtʃi
ilharga	iʎaɾɣɐ
santidade	sɐ̃tiðaðɨ
dúzia	duzjɐ
conteúdo	kõtjuðu
europeu	ewɾupew
estio	ɨʃtiu
uzbeque	uzbɛki
martírio	mɐɾtiɾju
estrear	iʃtɾjaɾ
vieira	vjejɾɐ
tropelia	tɾupɨliɐ
moçárabe	musaɾɐbɨ
anzol	ɐ̃zɔɫ
animar	ɐnimaɾ
lha	ʎɐ
anuir	ɐnwiɾ
aluguer	ɐluɡɛɾ
transportar	tɾɐ̃ʃpuɾtaɾ
lípsia	lipsjɐ
vivaz	vivaʃ
galiza	ɡɐlizɐ
delicioso	dɨlisjozu
envenenar	ẽvɨnɨnaɾ
faço	fasu
despertador	dɨʃpɨɾtɐðoɾ
levantando	lɨvɐ̃tɐ̃du
donbass	dõbas
barqueiro	bɐɾkejɾu
descoberto	dɨʃkuβɛɾtu
visitas	vizitɐʃ
imperecibilidade	ĩperesibilidadʒi
véi	vɛj
comportar	kõpuɾtaɾ
agadá	ɐɣɐða
limítrofe	lɨmitɾufɨ
ómega	ɔmɨɡɐ
frescura	fɾɨʃkuɾɐ
arménia	ɐɾmɛnjɐ
melro	mɛɫʁu
melindroso	melĩdɾozu
criptido	kɾiptʃido
censuro	sẽsuɾu
agradável	ɐɣɾɐðavɛɫ
los	luʃ
sempre	sẽpɾɨ
resultante	ʁɨzuɫtɐ̃tɨ
voltando	voɫtɐ̃du
fervor	fɨɾvoɾ
bolsominion	bowsominjõ
emendar	imẽdaɾ
demora	dɨmɔɾɐ
tupi	tupi
kombi	kombi
segunda	sɨɣũdɐ
inseticida	ĩsɛtisiðɐ
podre	poðɾɨ
conhecerá	kuɲɨsɨɾa
benesse	benɛsi
economista	ikunumiʃtɐ
impaciente	ĩpɐsjẽtɨ
bit	biti
bandeja	bɐ̃deʒɐ
ser	seɾ
semideus	sɨmiðewʃ
mixe	miʃi
rapadura	ʁɐpɐðuɾɐ
luar	lwaɾ
estão	ɨʃtɐ̃w̃
balaço	balasu
ocasião	okɐzjɐ̃w̃
excessivo	ɐjʃsɨsivu
corintiano	koɾĩtʃiɐ̃nu
oslo	ɔʒlu
mastro	maʃtɾu
mulher	muʎɛɾ
despesa	dɨʃpezɐ
conhecida	kuɲɨsiðɐ
madalena	mɐðɐlenɐ
pátio	patju
distribuidor	diʃtɾiβwiðoɾ
mó	mɔ
las	lɐʃ
nuns	nũʃ
inicial	inisjaɫ
parlapatice	paɾlapatʃisi
fiambre	fjɐ̃bɾɨ
senador	senadoʁ
mercado	mɨɾkadu
viúva	vjuvɐ
cardume	kɐɾðumɨ
abundância	ɐbũdɐ̃sjɐ
diamante	djɐmɐ̃tɨ
ordenação	ɔɾðɨnɐsɐ̃w̃
cosseno	kusenu
acordo	ɐkɔɾðu
meu	mew
hexágono	ɛzaɣunu
e	ɛ
parara	pɐɾaɾɐ
leitão	lejtɐ̃w̃
tolosa	tulɔzɐ
alho	aʎu
desarmamentista	dezaʁmamẽtʃijʃta
frequentar	fɾɨkwẽtaɾ
vales	valɨʃ
cristo	kɾiʃtu
pornografia	puɾnuɡɾafiɐ
hidrogénio	idɾɔʒɛniu
útil	utiɫ
esboço	ɨʒbosu
mera	mɛɾa
ganho	ɡaɲu
túmulo	tumulu
floresta	fluɾɛʃtɐ
boleia	bulejɐ
lagartixa	lɐɣɐɾtiʃɐ
folia	fuliɐ
da	dɐ
emboscada	ẽbuʃkadɐ
prancha	pɾɐ̃ʃɐ
uai	uaj
equilibrar	ikilibɾaɾ
desconfiado	dɨʃkõfjaðu
fantasma	fɐ̃taʒmɐ
cinamomo	sinɐmomu
gestão	ʒɨʃtɐ̃w̃
ferradura	fɨʁɐðuɾɐ
qüiproquó	kwipɾokwɔ
sujeitos	suʒɐjtuʃ
mondego	mõdeɣu
secretária	sɨkɾɨtaɾjɐ
tirar	tiɾaɾ
explicações	ʃplikɐsõj̃ʃ
convosco	kõvoʃku
tiros	tiɾuʃ
igualmente	iɣwaɫmẽtɨ
toque	tɔki
comando	kumɐ̃du
crato	kɾatu
voara	vwaɾɐ
abalar	ɐbɐlaɾ
leilão	lɐjlɐ̃w̃
sério	sɛɾju
andaime	ɐ̃dajmɨ
patrício	pɐtɾisju
trovoar	tɾuvwaɾ
gástrico	ɡaʃtɾiku
dental	dẽtaɫ
ido	iðu
rojão	ʁoʒɐ̃w̃
otimista	ɔtimiʃtɐ
xereca	ʃeɾɛka
piriguete	piɾiɡɛtʃi
possibilitar	pusiβilitaɾ
mourão	mowɾɐ̃w
igreja	iɣɾɐjʒɐ
vivos	vivuʃ
chefe	ʃɛfɨ
crescido	kɾɨʃsiðu
viverá	vivɨɾa
farmácia	fɐɾmasjɐ
exausto	izawʃtu
notar	nutaɾ
bouça	bowsɐ
mediação	mɨðjɐsɐ̃w̃
cômpito	kõpitu
posse	pɔsɨ
notas	nɔtɐʃ
europeia	ewɾupɐjɐ
judeu	ʒudew
lapa	lapɐ
mito	mitu
afeição	ɐfɐjsɐ̃w
têxtil	tɐjʃtiɫ
canseira	kɐ̃sejɾa
sinais	sinajʃ
lápis	lapiʃ
mirandês	miɾɐ̃deʃ
recitar	ʁɨsitaɾ
gulosice	ɡulozisi
miradouro	miɾɐðowɾu
procurava	pɾɔkuɾavɐ
inteiramente	ĩtɐjɾɐmẽtɨ
minhoto	miɲotu
intento	ĩtẽtu
insensivelmente	ĩsẽsivɛɫmẽtɨ
quebradeira	kɨβɾɐðɐjɾɐ
excitado	ɐjʃsitaðu
ontem	õtẽj̃
prazo	pɾazu
bestial	bɨʃtjaɫ
tripeiro	tɾipejɾu
cântaro	kɐ̃tɐɾu
desatarraxar	dɨzɐtɐʁɐʃaɾ
sicofanta	sikofɐ̃tɐ
lareira	lɐɾɐjɾɐ
tumulto	tumuɫtu
emascular	imɐskulaɾ
futriqueiro	futɾikejɾu
circular	siɾkulaɾ
firula	fiɾula
português	puɾtuɣeʃ
vassoura	vɐsowɾɐ
primo	pɾimu
ira	iɾɐ
bonito	bunitu
clava	klavɐ
boto	botu
sabes	saβɨʃ
livro	livɾu
punhete	puɲɛtʃi
valer	vɐleɾ
precioso	pɾɨsjozu
metodista	metodʒistɐ
idóneo	idonju
esteve	ɨʃtevɨ
cartune	kaɾtũ
banzo	bɐ̃zu
creio	kɾɐju
acerto	aseɾtu
gracioso	ɡɾɐsjozu
abobado	abobadu
oliveira	olivejɾɐ
estava	iʃtavɐ
estar	taɾ
cooptar	kooptaɾ
correu	kuʁew
vegetal	vɨʒɨtaɫ
novo	novu
chaleira	ʃɐlɐjɾɐ
perturbado	pɨɾtuɾβaðu
aguerrido	aɡeridu
estar	ʃtaɾ
aceitar	ɐsɐjtaɾ
caca	kakɐ
carranca	kɐʁɐ̃kɐ
aeroporto	ɐɛɾɔpoɾtu
fazenda	fɐzẽdɐ
siririca	siɾiɾika
reles	ʁɛlɨʃ
gari	ɡaɾi
higienização	iʒienizasɐ̃w̃
lento	lẽtu
cifrão	sifɾɐ̃w̃
caronte	kɐɾõtɨ
exilar	izilaɾ
tom	tõ
sopé	sopɛ
apresentar	ɐpɾɨzẽtaɾ
toirada	tojɾaðɐ
largas	laɾɣɐʃ
limão	limɐ̃w̃
doar	duaɾ
tolerar	tulɨɾaɾ
sievert	sivɐɾt
mealheiro	mjɐʎejɾu
espinho	ɨʃpiɲu
sonhador	suɲɐðoɾ
invenção	ĩvẽsɐ̃w̃
sineta	sinetɐ
assombrado	ɐsõbɾaðu
exíguo	iziɡwu
amiga	ɐmiɣɐ
lágrimas	laɣɾimɐʃ
limitar	limitaɾ
gleba	ɡlɛba
procurando	pɾɔkuɾɐ̃du
multiúso	muɫtiuzu
pacto	paktu
agir	ɐʒiɾ
pronuncia	pɾunũsiɐ
grande	ɡɾɐ̃dɨ
escadaria	eskadaɾiɐ
mamã	mɐmɐ̃
lobo	loβu
luís	luiʃ
feno	fenu
ícone	ikɔnɨ
criptógama	kɾiptɔɡɐma
fórum	fɔɾũ
gigó	ʒiɡɔ
tecla	tɛklɐ
criptologia	kɾiptoloʒia
perseguição	pɨɾsɨɣisɐ̃w̃
medir	mɨðiɾ
coitado	kojtaðu
enchendo	ẽʃẽdu
cascais	kɐʃkajʃ
braço	bɾasu
hospital	ɔʃpitaɫ
fralda	fɾaɫdɐ
dupla	duplɐ
brindisi	bɾĩdizi
magia	maʒia
migrante	miɣɾɐ̃tɨ
sandália	sɐ̃daljɐ
traído	tɾɐiðu
internalização	ĩteɾnalizasɐ̃w̃
para	pɐɾɐ
emoção	imusɐ̃w̃
insubordinação	ĩsuboɾdʒinasɐ̃w̃
poderia	puðɨɾiɐ
ficara	fikaɾɐ
atriz	ɐtɾiʃ
geladinho	ʒeladʒiɲu
azinheira	ɐziɲejɾɐ
marido	mɐɾiðu
equipendência	ikwipẽdẽsiɐ
reis	ʁɐjʃ
colar	kolaʁ
queixa	kɐjʃɐ
neptuno	nɛptunu
irá	iɾa
alto	aɫtu
perentório	pɨɾẽtɔɾju
casto	kaʃtu
colchão	kuɫʃɐ̃w̃
gnomo	ɡnomu
últimos	uɫtimuʃ
vexame	veʃɐmi
eczema	iɡzɛmɐ
bandicoot	bɐ̃dikutɨ
remo	ʁemu
aveia	ɐvɐjɐ
traquejo	tɾakeʒu
vulnerar	vuɫnɨɾaɾ
reprise	reprizi
aljôfar	aɫʒofaɾ
capacidade	kɐpɐsiðaðɨ
ciprestal	sipɾɨʃtaɫ
dêem	deɐ̃j
ordinário	ɔɾðinaɾju
deslindar	dɨʒlĩdaɾ
plotador	plotadoɾ
baixar	bajʃaɾ
boliche	buliʃɨ
sintaxe	sĩtaksi
foguete	fuɣetɨ
mala	malɐ
voará	vwɐɾa
nela	nɛlɐ
havia	ɐviɐ
comprido	kõpɾiðu
colmo	koɫmu
estética	ɨʃtɛtikɐ
xavecar	ʃavekaɾ
setembro	sɨtẽbɾu
gomo	ɡomu
motivo	mutivu
amansador	ɐmɐ̃sɐðoɾ
cães	kɐ̃j̃ʃ
campainha	kɐ̃pɐiɲɐ
suspiro	suʃpiɾu
irmãos	iɾmɐ̃w̃ʃ
este	eʃtɨ
mágoa	maɣwɐ
já	ʒa
ué	uɛ
capricho	kɐpɾiʃu
terceiro	tɨɾsɐjɾu
meloa	mɨloɐ
graduação	ɡɾɐðwɐsɐ̃w̃
perro	peʁu
benvindo	bɐ̃j̃vĩdu
indolente	ĩdulẽtɨ
ordens	ɔɾðɐ̃j̃ʃ
resultado	ʁɨzuɫtaðu
magusto	mɐɣuʃtu
avós	ɐvɔʃ
pompom	põpõ
encontrão	ẽkõtɾɐ̃w̃
azereiro	ɐzɨɾejɾu
infindo	ĩfĩdu
donatário	dunɐtaɾju
registo	ʁɨʒiʃtu
série	sɛɾiɨ
remédio	ʁɨmɛðju
gaúcho	ɡɐuʃu
etólogo	etɔloɡu
bailarino	bajlɐɾinu
centavo	sẽtavu
encantação	ẽkɐ̃tɐsɐ̃w̃
passo	pasu
aliado	ɐljaðu
consumir	kõsumiɾ
imperial	ĩpɨɾjaɫ
moranga	muɾɐ̃ɡɐ
angústia	ɐ̃ɡuʃtjɐ
desertificar	dɨzɨɾtifikaɾ
noiva	nojvɐ
retrato	ʁɨtɾatu
valença	vɐlẽsɐ
coração	kuɾɐsɐ̃w̃
maloca	malɔka
responsável	ʁɨʃpõsavɛɫ
dentre	dẽtɾɨ
invicto	ĩviktu
musgo	muʒɣu
questão	kɨʃtɐ̃w̃
interrobang	ĩtɛʁubɐ̃ɡɨ
vácuo	vakuo
mirtilo	miɾtilu
tórax	tɔɾaks
invadir	ĩvaðiɾ
isto	iʃtu
anotação	ɐnutɐsɐ̃w̃
filhos	fiʎuʃ
direção	diɾɛsɐ̃w̃
após	ɐpɔʃ
enganoso	ẽɡɐnozu
impera	ĩpɛɾa
carica	kɐrikɐ
arame	ɐɾɐmɨ
senhorio	sɨɲuɾiu
furão	fuɾɐ̃w̃
impor	ĩpoɾ
quiproquó	kwipɾokwɔ
gancho	ɡɐ̃ʃu
elegantemente	ilɨɣɐ̃tɨmẽtɨ
sequestro	sɨkɛʃtɾu
saboroso	sɐβuɾozu
bule	bulɨ
piemonte	pjɨmõtɨ
cana	kɐnɐ
desorganizar	dɨzɔɾɣɐnizaɾ
choldra	ʃɔɫdɾɐ
frágua	fɾaɣwɐ
ferramenta	fɛʁɐmẽtɐ
herdeiro	iɾðɐjɾu
parcial	pɐɾsjaɫ
cortina	kuɾtinɐ
monção	mõsɐ̃w
havai	avaj
inclinado	ĩklinaðu
oxe	oʃe
tristonho	tɾiʃtoɲu
nicho	niʃu
bombarral	bõbɐʁaɫ
sagrar	sɐɣɾaɾ
generalidade	ʒɨnɨɾɐliðaðɨ
capicua	kɐpikuɐ
polo	pɔlu
opulência	opulẽsja
regresso	ʁɨɣɾɛsu
carpir	kɐɾpiɾ
ouviu	owviw
calado	kɐlaðu
respeitar	ʁɨʃpɐjtaɾ
betão	bɨtɐ̃w̃
sal	saɫ
jornal	ʒuɾnaɫ
escala	iʃkalɐ
verão	vɨɾɐ̃w̃
mandarim	mɐ̃dɐɾĩ
devassa	dɨvasɐ
lenha	leɲɐ
flauta	flawtɐ
epigênese	epiʒenezi
archote	ɐɾʃɔtɨ
nascituro	nasituɾu
desdo	deʒðu
pairar	pajɾaɾ
manobra	mɐnɔβɾɐ
heterossexual	ɛteɾuseksuaɫ
crápula	kɾapula
cuja	kuʒɐ
vires	viɾɨʃ
plantar	plɐ̃taɾ
protesto	pɾutɛʃtu
parou	pɐɾow
ânfora	ɐ̃fuɾɐ
numeral	numɨɾaɫ
rodar	ʁudaɾ
descansar	dɨʃkɐ̃saɾ
aguante	ɐɣwɐ̃tɨ
manteiga	mɐ̃tɐjɣɐ
monge	mõʒɨ
careca	kɐɾɛkɐ
senador	sɨnaðoɾ
admirar	ɐdmiɾaɾ
lidar	liðaɾ
dirigível	diɾiʒivɛɫ
endurecer	ẽduɾɨseɾ
hostil	uʃtiɫ
considerar	kõsiðɨɾaɾ
coclear	kukljaɾ
firme	fiɾmɨ
harpa	aɾpɐ
responsabilidade	ʁɨʃpõsɐβliðaðɨ
ficando	fikɐ̃du
conseguinte	kõseɡĩti
esplêndido	iʃplẽdiðu
veremos	vɨɾemuʃ
aniquilar	ɐnikilaɾ
colónia	kulɔnjɐ
ilustração	iluʃtɾɐsɐ̃w̃
zoo	zou
aprovar	ɐpɾuvaɾ
inglês	ĩɡleʃ
bula	bulɐ
local	lukaɫ
século	sɛkulu
doutrina	dowtɾinɐ
quarenta	kwɐɾẽtɐ
calçado	kaɫsaðu
perónio	pɨɾɔnju
ancho	ɐ̃ʃu
empenho	ẽpɐɲu
tenso	tẽsu
simbolizar	sĩbulizaɾ
perfil	pɨɾfiɫ
atrapalhar	ɐtɾɐpɐʎaɾ
circatejano	siɾkɐtɨʒɐnu
ontem	õtɐ̃j̃
demo	demu
carão	kɐɾɐ̃w̃
teixo	tejʃu
perturbador	pɨɾtuɾβaðoɾ
maracujá	mɐɾɐkuʒa
morrer	muʁeɾ
chavelha	ʃɐvɐʎɐ
brenha	bɾejɲɐ
fivela	fivɛlɐ
istmo	iʃtmu
amargamente	ɐmaɾɣɐmẽtɨ
beijos	bejʒuʃ
entrudo	ĩtɾuðu
galego	ɡɐleɣu
sequer	sɨkɛɾ
afta	aftɐ
beiço	bɐjsu
oitavo	ojtavu
cisterna	siʃtɛɾnɐ
tornasse	tuɾnasɨ
sobreviver	soβɾɨviveɾ
sacudir	sɐkuðiɾ
abrangência	abɾɐ̃ʒẽsja
esteio	iʃteju
marginal	mɐɾʒinaɫ
bachquir	baʃkɨɾ
sublime	sublimɨ
ondulado	õdulaðu
barra	baʁɐ
fora	fɔɾɐ
couve	kowvɨ
saraivada	sɐɾajvaðɐ
nisa	nizɐ
mocho	moʃu
calendário	kɐlẽdaɾju
caminhada	kɐmiɲadɐ
vulgarmente	vuɫɣaɾmẽtɨ
avariado	ɐvɐɾjaðu
operação	ɔpɨɾɐsɐ̃w̃
menina	mɨninɐ
época	ɛpukɐ
alcova	aɫkovɐ
quatro	kwatɾu
pinoia	pinɔja
podendo	puðẽdu
arábico	ɐɾaβiku
província	pɾuvĩsjɐ
gota	ɡɔtɐ
conversando	kõvɨɾsɐ̃du
criptobiose	kɾiptobiɔzi
aborto	ɐboɾtu
coador	kwɐðoɾ
bulhufas	buʎufajʃ
barreira	bɐʁɐjɾɐ
declarou	dɨklɐɾow
sargaço	sɐɾɣasu
quarto	kwaɾtu
trajo	tɾaʒu
chapéu	ʃɐpɛw
falou	fɐlow
lusitânia	luzitɐnjɐ
gracejar	ɡɾɐsɨʒaɾ
lugares	luɣaɾɨʃ
desce	dɛʃsɨ
destas	dɛʃtɐʃ
maneiras	mɐnɐjɾɐʃ
daí	dɐi
melhor	mɨʎɔɾ
canteiro	kɐ̃tɐjɾu
gerador	ʒɨɾɐðoɾ
líquido	likiðu
claramente	klaɾɐmẽtɨ
zoneamento	zonjɐmẽtu
fome	fɔmɨ
rosto	ʁoʃtu
perfeitamente	pɨɾfɐjtɐmẽtɨ
voltado	voɫtaðu
charque	ʃaɾkɨ
provocatório	pɾuvukɐtɔɾju
castiçal	kɐʃtisaɫ
idoso	iðozu
abalou	ɐbɐlow
carpete	kaɾpɛtɨ
lamento	lɐmẽtu
penar	pɨnaɾ
esse	esɨ
ambulância	ɐ̃bulɐ̃sjɐ
vosso	vɔsu
parestesia	paɾestezia
belos	bɛluʃ
adão	ɐðɐ̃w̃
amaral	ɐmɐɾaɫ
gravidade	ɡɾɐviðaðɨ
léu	lɛw
vestidos	vɨʃtiðuʃ
vitimismo	vitʃimizmu
romano	ʁumɐnu
magoar	mɐɣwaɾ
peludo	pɨluðu
bairro	bajʁu
