organizatora	ˈorɡænˌɪzætˌoræ
Smak	smˈak
obrađuju	ˈobɾæd͡ʑˌʊjʊ
uzrokovana	ˈuzɾokˌovænæ
ponašanjem	pˈonæʃˌæɲem
suočila	sˈuot͡ʃˌɪlæ
ujedinjenje	ˈujedˌɪɲeɲe
Vanjska	vˈaɲskæ
masa	mˈasæ
Rozi	ɾˈozɪ
južnom	jˈuʒnom
baru	bˈɑrʊ
popunjava	pˈopʊɲˌævæ
Učinci	ˈut͡ʃɪnt͡sɪ
važnih	vˈaʒnɪh
Jednu	jˈednʊ
poluostrva	pˈolʊˌostrvæ
Blue	blˈuɛ
Juliju	jˈulɪjʊ
pećine	pˈɛt͡ɕɪnɛ
negoli	nˈɛɡolɪ
odlučivanja	ˈodlʊt͡ʃˌɪvæɲæ
programskom	pɾˈoɡɾæmskom
sagradili	sˈaɡɾædˌɪlɪ
vratiti	vɾˈatɪtɪ
spljoštene	spʎˈoʃtɛnɛ
Sana	sˈanæ
povratak	pˈovɾætæk
lovcem	lˈoft͡sɛm
planinarska	plˈanɪnˌɑrskæ
Oluja	ˈolʊjæ
programskim	pɾˈoɡɾæmskɪm
mogućim	mˈoɡʊt͡ɕɪm
ilegalni	ˈilɛɡˌælnɪ
elektroniku	ˈɛlɛktɾˌonɪkʊ
hemijska	xˈɛmɪjskæ
moto	mˈoto
mirovanja	mˈirovˌæɲæ
naredbe	nˈɑrɛdbɛ
Model	mˈodɛl
akademika	ˈakædˌɛmɪkæ
agresiji	ˈaɡɾɛsˌɪjɪ
civilizacija	t͡sˈivɪlˌɪzæt͡sˌɪjæ
Način	nˈat͡ʃɪn
naravi	nˈɑrævɪ
hemikalija	xˈɛmɪkˌælɪjæ
rubu	ɾˈubʊ
svjedok	svjˈedok
brojke	bɾˈojkɛ
psihologa	psˈiholˌoɡæ
priključio	pɾˈikʎʊt͡ʃˌɪo
trče	trt͡ʃˈɛ
spontano	spˈontæno
krvnim	krvnˈim
paraziti	pˈɑræzˌɪtɪ
ekspanziji	ˈɛkspænzˌɪjɪ
razvojne	ɾˈazvojnɛ
sastojale	sˈastojˌælɛ
prevelika	pɾˈɛvɛlˌɪkæ
Programa	pɾˈoɡɾæmæ
štednje	ʃtˈɛdɲe
ogranci	ˈoɡɾænt͡sɪ
kvalificirala	kvˈalɪfˌɪt͡sɪrˌælæ
YouTube	jˈo͡ʊtˈubɛ
pravougaonika	pɾˈavo͡ʊɡˌæonˌɪkæ
narodnih	nˈɑrodnɪh
pušten	pˈuʃtɛn
štete	ʃtˈɛtɛ
udžbenicima	ˈud͡ʒbɛnˌɪt͡sɪmæ
šah	ʃˈah
opremu	ˈopɾɛmʊ
prethodne	pɾˈɛthodnɛ
diktator	dˈiktætor
najčešći	nˈɑjt͡ʃɛʃt͡ɕɪ
zasluge	zˈaslʊɡɛ
ilustracija	ˈilʊstɾˌæt͡sɪjæ
radijacije	ɾˈadɪjˌæt͡sɪje
Golubić	ɡˈolʊbɪt͡ɕ
divergira	dˈivɛrɡˌɪræ
MB	mˈəbˌə
promjeru	pɾˈomjerʊ
austrijskom	ˈaʊstɾˌɪjskom
diskriminaciju	dˈiskɾɪmˌɪnæt͡sˌɪjʊ
ambulanta	ˈambʊlˌæntæ
bliskih	blˈiskɪh
mornarički	mˈornɑrˌɪt͡ʃkɪ
završavao	zˈavrʃævˌæo
Friendly	fɾˈiɛndlɪ
zauzeli	zˈaʊzˌɛlɪ
lijekom	lˈijekom
stvorene	stvˈorɛnɛ
ukusu	ˈukʊsʊ
angiotenzina	ˈaŋɡɪˌotɛnzˌɪnæ
naći	nˈat͡ɕɪ
zamijenjene	zˈamɪjˌeɲenɛ
tabora	tˈaboræ
gradonačelnika	ɡɾˈadonˌæt͡ʃɛlnˌɪkæ
lokaciji	lˈokæt͡sˌɪjɪ
dnevno	dnˈɛvno
naređeno	nˈɑrɛd͡ʑˌɛno
reanimacije	ɾˈɛænˌɪmæt͡sˌɪje
oslobađanje	ˈoslobˌæd͡ʑæɲe
francija	fɾˈant͡sɪjæ
primarna	pɾˈimɑrnæ
Fortnite	fˈortnɪtɛ
postignutih	pˈostɪɡnˌʊtɪh
Šejha	ʃˈejhæ
Boy	bˈoj
Sharif	shˈɑrɪf
dugoj	dˈuɡoj
motori	mˈotorɪ
magnetnog	mˈaɡnɛtnoɡ
udaljava	ˈudæʎˌævæ
prešavši	pɾˈɛʃæfʃɪ
HD	xˈədˌə
Rue	ɾˈuɛ
usmjeren	ˈusmjerɛn
mehanizmi	mˈɛhænˌɪzmɪ
dobi	dˈobɪ
višećelijskih	vˈiʃɛt͡ɕˌɛlɪjskɪh
olakšavaju	ˈolækʃˌævɑjʊ
industrijalizacije	ˈindʊstɾˌɪjælˌɪzæt͡sˌɪje
hrvatsko	xrvˈaːtsko
pravima	pɾˈavɪmæ
smanjenog	smˈaɲenoɡ
javnoj	jˈavnoj
sistemskim	sˈistɛmskɪm
štitom	ʃtˈitom
prehrambene	pɾˈɛhɾæmbˌɛnɛ
postupku	pˈostʊpkʊ
dotakne	dˈotæknɛ
reljefom	ɾˈɛʎefom
Elez	ˈɛlɛz
planinskih	plˈanɪnskɪh
vreća	vɾˈɛt͡ɕæ
naglasiti	nˈaɡlæsˌɪtɪ
teorijski	tˈɛorˌɪjskɪ
nastale	nˈastælɛ
Legenda	lˈɛɡɛndæ
vjerskih	vjˈerskɪh
Jelenu	jˈelɛnʊ
pp	pˈəpˌə
federalnih	fˈɛdɛrˌælnɪh
alkoholom	ˈalkohˌolom
dvadeset	dvˈadɛsɛt
stvorenjima	stvˈorɛɲˌɪmæ
Sklonište	sklˈonɪʃtɛ
paralelnih	pˈɑrælˌɛlnɪh
doziranje	dˈozɪrˌæɲe
rastojanja	ɾˈastojˌæɲæ
stilski	stˈilskɪ
Marija	mˈɑrɪjæ
banke	bˈaŋkɛ
mješovito	mjˈeʃovˌɪto
Ugarske	ˈuɡɑrskɛ
filmskih	fˈilmskɪh
prikazivana	pɾˈikæzˌɪvænæ
mjerama	mjˈeræmæ
stiče	stˈit͡ʃɛ
Lilly	lˈillɪ
manifestaciju	mˈanɪfˌɛstæt͡sˌɪjʊ
Štab	ʃtˈab
polazište	pˈolæzˌɪʃtɛ
raširenih	ɾˈaʃɪrˌɛnɪh
Upotrebljava	ˈupotɾˌɛbʎævæ
logička	lˈoɡɪt͡ʃkæ
praktični	pɾˈaktɪt͡ʃnɪ
Rogatica	ɾˈoɡætˌɪt͡sæ
dodani	dˈodænɪ
brojna	bɾˈojnæ
centralnom	t͡sˈɛntɾælnom
stvara	stvˈɑræ
Lorenza	lˈorɛnzæ
slalom	slˈalom
Nekad	nˈɛkæd
robe	ɾˈobɛ
sprečavajući	spɾˈɛt͡ʃævˌɑjʊt͡ɕɪ
originalnog	ˈorɪɡˌɪnælnoɡ
sluge	slˈuɡɛ
pokretne	pˈokɾɛtnɛ
gasa	ɡˈasæ
vjerojatno	vjˈerojˌætno
čemu	t͡ʃˈɛmʊ
volja	vˈoʎæ
korisniku	kˈorɪsnˌɪkʊ
strogih	stɾˈoɡɪh
Njima	ɲˈimæ
makedonskim	mˈakɛdˌonskɪm
Japanu	jˈapænʊ
predvorje	pɾˈɛdvorje
Dno	dnˈo
narodnog	nˈɑrodnoɡ
ključnom	kʎˈut͡ʃnom
Psi	psˈi
Emmy	ˈɛmmɪ
preciznosti	pɾˈɛt͡sɪznˌostɪ
MLS	mˈəlˌəsˌə
tajnom	tˈɑjnom
dajući	dˈɑjʊt͡ɕɪ
Rog	ɾˈoɡ
najboljoj	nˈɑjboʎoj
testova	tˈɛstovæ
Beverly	bˈɛvɛrlɪ
Prevent	pɾˈɛvɛnt
napušta	nˈapʊʃtæ
konju	kˈoɲʊ
dolina	dˈolɪnæ
Nuklearna	nˈuklɛˌɑrnæ
španska	ʃpˈanskæ
Autorica	ˈaʊtˌorɪt͡sæ
Fourierova	fˈo͡ʊrɪˌɛrovæ
postiglo	pˈostɪɡlo
našu	nˈaʃʊ
štapom	ʃtˈapom
proze	pɾˈozɛ
izraelske	ˈizɾæˌɛlskɛ
komuniciraju	kˈomʊnˌɪt͡sɪrˌɑjʊ
čovječanstvo	t͡ʃˈovjet͡ʃˌænstvo
količine	kˈolɪt͡ʃˌɪnɛ
osobom	ˈosobom
potpukovnika	pˈotpʊkˌovnɪkæ
hijene	xˈijenɛ
veselo	vˈɛsɛlo
maternice	mˈatɛrnˌɪt͡sɛ
Kretanje	kɾˈɛtæɲe
grčkoj	ɡrt͡ʃkˈoj
Sare	sˈɑrɛ
Višegrad	vˈiʃɛɡɾæd
priraštaj	pɾˈiræʃtɑj
itrij	ˈitɾɪj
Zenica	zˈɛnɪt͡sæ
stopama	stˈopæmæ
Omogućava	ˈomoɡˌʊt͡ɕævæ
bijelom	bˈijelom
ugovorom	ˈuɡovˌorom
ističe	ˈistɪt͡ʃɛ
brzih	brzˈih
terapiji	tˈɛræpˌɪjɪ
softverom	sˈoftvɛrom
djece	djˈet͡sɛ
Radove	ɾˈadovɛ
ogledalu	ˈoɡlɛdˌælʊ
Keramika	kˈɛræmˌɪkæ
primijećen	pɾˈimɪjˌet͡ɕɛn
značajnoj	znˈat͡ʃɑjnoj
hronici	xɾˈonɪt͡sɪ
suštini	sˈuʃtɪnɪ
Floyda	flˈojdæ
iscrpljena	ˈist͡srpʎenæ
stihovi	stˈihovɪ
obavezne	ˈobævˌɛznɛ
datu	dˈatʊ
poluge	pˈolʊɡɛ
propusta	pɾˈopʊstæ
literaturu	lˈitɛrˌætʊrʊ
nasljedno	nˈasʎedno
stvorenih	stvˈorɛnɪh
finansija	fˈinænsˌɪjæ
Energija	ˈɛnɛrɡˌɪjæ
Nicholas	nˈit͡sholæs
zagonetki	zˈaɡonˌɛtkɪ
Jam	jˈam
Recordsa	ɾˈɛt͡sortsæ
složenija	slˈoʒɛnˌɪjæ
ubaciti	ˈubæt͡sˌɪtɪ
promijenila	pɾˈomɪjˌenɪlæ
umijeće	ˈumɪjˌet͡ɕɛ
većom	vˈɛt͡ɕom
Lewis	lˈɛvɪs
prodali	pɾˈodælɪ
sedmom	sˈɛdmom
Fizički	fˈizɪt͡ʃkɪ
zadnjem	zˈadɲem
Staljina	stˈaʎɪnæ
zaključi	zˈakʎʊt͡ʃɪ
agencijama	ˈaɡɛnt͡sˌɪjæmæ
Welsh	vˈɛlsh
počelo	pˈot͡ʃɛlo
beskonačno	bˈɛskonˌæt͡ʃno
studirati	stˈudɪrˌætɪ
sviđala	svˈid͡ʑælæ
drukčiji	dɾˈukt͡ʃɪjɪ
Graniči	ɡɾˈanɪt͡ʃɪ
religijskim	ɾˈɛlɪɡˌɪjskɪm
društveno	dɾˈuʃtvɛno
godišnjoj	ɡˈodɪʃɲoj
nabijene	nˈabɪjˌenɛ
dogovoren	dˈoɡovˌorɛn
avgusta	ˈavɡʊstæ
rutinski	ɾˈutɪnskɪ
kodeksa	kˈodɛksæ
Studios	stˈudɪos
važno	vˈaʒno
pokazati	pˈokæzˌætɪ
milja	mˈiʎæ
vozi	vˈozɪ
plemenskih	plˈɛmɛnskɪh
pokrajinama	pˈokɾɑjˌɪnæmæ
naoružani	nˈaorˌʊʒænɪ
sitna	sˈitnæ
saradnici	sˈɑrædnˌɪt͡sɪ
mitinga	mˈitɪŋɡæ
dubine	dˈubɪnɛ
anatomske	ˈanætˌomskɛ
đakona	d͡ʑˈakonæ
pukotinama	pˈukotˌɪnæmæ
biatlonka	bˈiætlˌoŋkæ
važna	vˈaʒnæ
srodstvo	sɾˈotstvo
otkrićem	ˈotkɾɪt͡ɕɛm
Troy	tɾˈoj
Ostalo	ˈostælo
brzinama	brzˈinæmæ
suzbijanje	sˈuzbɪjˌæɲe
Los	lˈos
Značenje	znˈat͡ʃɛɲe
toplu	tˈoplʊ
udove	ˈudovɛ
proširena	pɾˈoʃɪrˌɛnæ
Najviša	nˈɑjvɪʃæ
planetama	plˈanɛtˌæmæ
sjednica	sjˈednɪt͡sæ
Aiša	ˈaɪʃæ
nadzorom	nˈad͡ʑorom
hapsi	xˈapsɪ
Plutarh	plˈutɑrh
smatrati	smˈatɾætɪ
proizvodu	pɾˈoɪzvˌodʊ
prepozna	pɾˈɛpoznæ
Devet	dˈɛvɛt
Biolozi	bˈiolˌozɪ
program	pɾˈoɡɾæm
početnih	pˈot͡ʃɛtnɪh
Indijancima	ˈindɪjˌænt͡sɪmæ
Stare	stˈɑrɛ
bolnici	bˈolnɪt͡sɪ
carstvom	t͡sˈɑrstvom
koordinator	kˈoordˌɪnætor
proglašavanja	pɾˈoɡlæʃˌævæɲæ
afirmaciju	ˈafɪrmˌæt͡sɪjʊ
čeličnih	t͡ʃˈɛlɪt͡ʃnɪh
plemeniti	plˈɛmɛnˌɪtɪ
Boško	bˈoʃko
predstavama	pɾˈɛtstævˌæmæ
oluja	ˈolʊjæ
skupinu	skˈupɪnʊ
pozornicu	pˈozornˌɪt͡sʊ
njom	ɲˈom
hrišćani	xɾˈiʃt͡ɕænɪ
vladinih	vlˈadɪnɪh
parku	pˈɑrkʊ
sočivo	sˈot͡ʃɪvo
građen	ɡɾˈad͡ʑɛn
poništava	pˈonɪʃtˌævæ
zajednička	zˈɑjednˌɪt͡ʃkæ
Sky	skˈi
urbano	ˈurbæno
Pobjednici	pˈobjednˌɪt͡sɪ
prebaci	pɾˈɛbæt͡sɪ
udjelu	ˈudjelʊ
Data	dˈatæ
kontrolni	kˈontɾolnɪ
klimatskih	klˈimætskɪh
zvale	zvˈalɛ
Električna	ˈɛlɛktɾˌɪt͡ʃnæ
funkcionisao	fˈuŋkt͡sɪˌonɪsˌæo
Sloveniji	slˈovɛnˌɪjɪ
servis	sˈɛrvɪs
dvojice	dvˈojɪt͡sɛ
Glumio	ɡlˈumɪo
Njemačka	ɲˈemæt͡ʃkæ
Bonnu	bˈonnʊ
zapaženu	zˈapæʒˌɛnʊ
doktorskih	dˈoktorskɪh
proizvođača	pɾˈoɪzvˌod͡ʑæt͡ʃæ
mora	mˈoræ
portugalskog	pˈortʊɡˌælskoɡ
Prvobitni	prvˈobɪtnɪ
ugroziti	ˈuɡɾozˌɪtɪ
ruba	ɾˈubæ
gradnju	ɡɾˈadɲʊ
prestala	pɾˈɛstælæ
Walker	vˈalkɛr
sistematsko	sˈistɛmˌætsko
lansirao	lˈansɪrˌæo
autoput	ˈaʊtˌopʊt
plemići	plˈɛmɪt͡ɕɪ
Princa	pɾˈint͡sæ
odvojili	ˈodvojˌɪlɪ
dostignućima	dˈostɪɡnˌʊt͡ɕɪmæ
tvrdnje	tvrdɲˈe
mješavinu	mjˈeʃævˌɪnʊ
režiseru	ɾˈɛʒɪsˌɛrʊ
preživjelih	pɾˈɛʒɪvjˌelɪh
opisa	ˈopɪsæ
Veoma	vˈɛomæ
setova	sˈɛtovæ
okvir	ˈokvɪr
avanturu	ˈavæntˌʊrʊ
zaštićenih	zˈaʃtɪt͡ɕˌɛnɪh
tačnim	tˈat͡ʃnɪm
stidnih	stˈidnɪh
odmor	ˈodmor
Istraživanje	ˈistɾæʒˌɪvæɲe
Sheridan	shˈɛrɪdæn
plate	plˈatɛ
pogubljenja	pˈoɡʊbʎˌeɲæ
kokaina	kˈokæˌɪnæ
stabilan	stˈabɪlæn
programski	pɾˈoɡɾæmskɪ
očuvala	ˈot͡ʃʊvˌælæ
zvona	zvˈonæ
samostanske	sˈamostˌænskɛ
društvenih	dɾˈuʃtvɛnɪh
povezani	pˈovɛzˌænɪ
odziv	ˈod͡ʑɪv
magneta	mˈaɡnɛtæ
lak	lˈak
pokretan	pˈokɾɛtæn
ispuni	ˈispʊnɪ
ikonostas	ˈikonˌostæs
selektivnost	sˈɛlɛktˌɪvnost
Sabbath	sˈabbæth
inspektora	ˈinspɛktˌoræ
čuvenom	t͡ʃˈuvɛnom
općini	ˈopt͡ɕɪnɪ
karličnog	kˈɑrlɪt͡ʃnoɡ
Hotchner	xˈott͡shnɛr
ostvarenih	ˈostvɑrˌɛnɪh
Sura	sˈuræ
grlo	ɡrlˈo
sumnjalo	sˈumɲælo
pokazivala	pˈokæzˌɪvælæ
usljed	ˈusʎed
Eurovizije	ˈɛʊrˌovɪzˌɪje
ponuda	pˈonʊdæ
pismeno	pˈismɛno
Newman	nˈɛvmæn
Georgeu	ɡˈɛorɡˌɛʊ
termoelektrana	tˈɛrmoˌɛlɛktɾˌænæ
antimona	ˈantɪmˌonæ
uda	ˈudæ
Slovenski	slˈovɛnskɪ
selektivnosti	sˈɛlɛktˌɪvnostɪ
status	stˈatʊs
Mine	mˈinɛ
originalu	ˈorɪɡˌɪnælʊ
onoliko	ˈonolˌɪko
jedinstvo	jˈedɪnstvo
posljednju	pˈosʎedɲʊ
odbijanje	ˈodbɪjˌæɲe
pretrage	pɾˈɛtɾæɡɛ
međutim	mˈɛd͡ʑʊtɪm
nudeći	nˈudɛt͡ɕɪ
preostalim	pɾˈɛostˌælɪm
kilometru	kˈilomˌɛtɾʊ
nošnji	nˈoʃɲɪ
velikim	vˈɛlɪkɪm
pomoćnik	pˈomot͡ɕnɪk
književnost	kɲˈiʒɛvnost
Otvoren	ˈotvorɛn
nasljeđivanju	nˈasʎed͡ʑˌɪvæɲʊ
korisnik	kˈorɪsnɪk
jakih	jˈakɪh
upravno	ˈupɾævno
sitnije	sˈitnɪje
kazni	kˈaznɪ
Ernesta	ˈɛrnɛstæ
LCD	lˈət͡sˌədˌə
tranziciju	tɾˈanzɪt͡sˌɪjʊ
Državnom	drʒˈavnom
kakva	kˈakvæ
objekti	ˈobjektɪ
pridruži	pɾˈidɾʊʒɪ
fabriku	fˈabɾɪkʊ
Pablo	pˈablo
NDH	nˈədˌəxˌə
klasificirana	klˈasɪfˌɪt͡sɪrˌænæ
ujedinjeni	ˈujedˌɪɲenɪ
granule	ɡɾˈanʊlɛ
Vremenom	vɾˈɛmɛnom
transformira	tɾˈansformˌɪræ
rekla	ɾˈɛklæ
Marić	mˈɑrɪt͡ɕ
Nagrade	nˈaɡɾædɛ
zaduženja	zˈadʊʒˌɛɲæ
Kongresa	kˈoŋɡɾɛsæ
usporedbe	ˈusporˌɛdbɛ
enzim	ˈɛnzɪm
praznina	pɾˈaznɪnæ
djelovi	djˈelovɪ
Konfiguracija	kˈonfɪɡˌʊræt͡sˌɪjæ
napominje	nˈapomˌɪɲe
nevoljno	nˈɛvoʎno
javni	jˈavnɪ
čitao	t͡ʃˈitæo
mučila	mˈut͡ʃɪlæ
svojine	svˈojɪnɛ
povratila	pˈovɾætˌɪlæ
oštrim	ˈoʃtɾɪm
solarni	sˈolɑrnɪ
nastavlja	nˈastævljæ
konobar	kˈonobɑr
keramiku	kˈɛræmˌɪkʊ
decembra	dˈɛt͡sɛmbɾæ
Kosovu	kˈosovʊ
ostalima	ˈostælˌɪmæ
podučava	pˈodʊt͡ʃˌævæ
neurološke	nˈɛʊrˌoloʃkɛ
produkciji	pɾˈodʊkt͡sˌɪjɪ
malim	mˈalɪm
vijestima	vˈijestˌɪmæ
profesionalni	pɾˈofɛsˌɪonˌælnɪ
osobna	ˈosobnæ
brzu	brzˈu
otišao	ˈotɪʃˌæo
pobjednik	pˈobjednɪk
okruženjima	ˈokɾʊʒˌɛɲɪmæ
tiraž	tˈiræʒ
ljekari	ʎˈekɑrɪ
Sparta	spˈɑrtæ
teritorijalnom	tˈɛrɪtˌorɪjˌælnom
prvi	prvˈi
polu	pˈolʊ
slivu	slˈivʊ
Okeanije	ˈokɛˌænɪje
obezbjedila	ˈobɛzbjˌedɪlæ
PGP	pˈəɡˌəpˌə
prethodi	pɾˈɛthodɪ
uprkos	ˈuprkos
svećenstvo	svˈɛt͡ɕɛnstvo
emisije	ˈɛmɪsˌɪje
opisi	ˈopɪsɪ
boravku	bˈoræfkʊ
diskursa	dˈiskʊrsæ
kasnija	kˈasnɪjæ
nulti	nˈultɪ
reguliranje	ɾˈɛɡʊlˌɪræɲe
Higginsa	xˈiɡɡɪnsæ
takvom	tˈakvom
Same	sˈamɛ
isteka	ˈistɛkæ
priključiti	pɾˈikʎʊt͡ʃˌɪtɪ
pobjedom	pˈobjedom
zemljoradnje	zˈɛmʎorˌædɲe
zapovjednici	zˈapovjˌednɪt͡sɪ
tradicije	tɾˈadɪt͡sˌɪje
kvalitet	kvˈalɪtɛt
bosansku	bˈosænskʊ
sagradila	sˈaɡɾædˌɪlæ
Missouriju	mˈisso͡ʊrˌɪjʊ
tijesno	tˈijesno
poboljša	pˈoboʎʃæ
debelo	dˈɛbɛlo
govornom	ɡˈovornom
GNU	ɡnˈu
testirani	tˈɛstɪrˌænɪ
Esma	ˈɛsmæ
gimnazije	ɡˈimnæzˌɪje
Nezavisni	nˈɛzævˌɪsnɪ
klizna	klˈiznæ
ponešto	pˈonɛʃto
Takmičenje	tˈakmɪt͡ʃˌɛɲe
istoriju	ˈistorˌɪjʊ
Gibson	ɡˈipson
Georgija	ɡˈɛorɡˌɪjæ
djelovalo	djˈelovˌælo
Europi	ˈɛʊrˌopɪ
originalnim	ˈorɪɡˌɪnælnɪm
sedimentima	sˈɛdɪmˌɛntɪmæ
ugled	ˈuɡlɛd
voli	vˈolɪ
prisililo	pɾˈisɪlˌɪlo
milicija	mˈilɪt͡sˌɪjæ
voditeljica	vˈodɪtˌɛʎɪt͡sæ
eksperimentu	ˈɛkspɛrˌɪmɛntʊ
nabora	nˈaboræ
operaciju	ˈopɛrˌæt͡sɪjʊ
ornament	ˈornæmɛnt
postiže	pˈostɪʒɛ
njen	ɲˈen
uvjerava	ˈuvjerˌævæ
izmjenjuju	ˈizmjeɲˌʊjʊ
zapali	zˈapælɪ
kalijevih	kˈalɪjˌevɪh
hotelima	xˈotɛlˌɪmæ
krilu	kɾˈilʊ
Dodavanje	dˈodævˌæɲe
složio	slˈoʒɪo
Zbogom	zbˈoɡom
ubice	ˈubɪt͡sɛ
kineskim	kˈinɛskɪm
ugaoni	ˈuɡæˌonɪ
pjevače	pjˈevæt͡ʃɛ
disfunkcije	dˈisfʊŋkt͡sˌɪje
paljbe	pˈaʎbɛ
Vodik	vˈodɪk
legendarni	lˈɛɡɛndˌɑrnɪ
aranžmanima	ˈɑrænʒmˌænɪmæ
profili	pɾˈofɪlɪ
Postupak	pˈostʊpæk
roditelje	ɾˈodɪtˌɛʎe
ježeva	jˈeʒɛvæ
koncentracione	kˈont͡sɛntɾˌæt͡sɪˌonɛ
Louisu	lˈo͡ʊɪsʊ
opreza	ˈopɾɛzæ
Pony	pˈonɪ
Libije	lˈibɪje
Dave	dˈavɛ
prolaza	pɾˈolæzæ
suprugom	sˈupɾʊɡom
plakati	plˈakætɪ
Nekada	nˈɛkædæ
garda	ɡˈɑrdæ
ukrasa	ˈukɾæsæ
nalazile	nˈalæzˌɪlɛ
demokratskog	dˈɛmokɾˌætskoɡ
protivljenje	pɾˈotɪvljˌeɲe
skupovi	skˈupovɪ
koristilo	kˈorɪstˌɪlo
donijeta	dˈonɪjˌetæ
brigadu	bɾˈiɡædʊ
osnovala	ˈosnovˌælæ
Miguel	mˈiɡʊɛl
dobrotvorne	dˈobɾotvˌornɛ
Izuzev	ˈizʊzɛv
igralištu	ˈiɡɾælˌɪʃtʊ
Istanbul	ˈistænbʊl
opozvan	ˈopozvæn
grupe	ɡɾˈupɛ
njemačkom	ɲˈemæt͡ʃkom
simptom	sˈimptom
komaraca	kˈomɑrˌæt͡sæ
Calleigh	t͡sˈallɛɪkh
turneji	tˈurnejɪ
grčko	ɡrt͡ʃkˈo
upute	ˈupʊtɛ
bogom	bˈoɡom
Mezopotamiji	mˈɛzopˌotæmˌɪjɪ
rotacijom	ɾˈotæt͡sˌɪjom
fundamentalne	fˈundæmˌɛntælnɛ
razvilo	ɾˈazvɪlo
FIFA	fˈifæ
rumunskog	ɾˈumʊnskoɡ
Putin	pˈutɪn
Presuda	pɾˈɛsʊdæ
brazilskog	bɾˈazɪlskoɡ
jezike	jˈezɪkɛ
književnog	kɲˈiʒɛvnoɡ
pratilac	pɾˈatɪlæt͡s
Palestinci	pˈalɛstˌɪnt͡sɪ
poslovnu	pˈoslovnʊ
osnovati	ˈosnovˌætɪ
organa	ˈorɡænæ
istočnom	ˈistot͡ʃnom
kalendaru	kˈalɛndˌɑrʊ
okrene	ˈokɾɛnɛ
zahtijevala	zˈahtɪjˌevælæ
enzimski	ˈɛnzɪmskɪ
jugoslavenskom	jˈuɡoslˌævɛnskom
saveznicima	sˈavɛznˌɪt͡sɪmæ
izbjegavaju	ˈizbjeɡˌævɑjʊ
Crnogorska	t͡srnˈoɡorskæ
kaveza	kˈavɛzæ
identičnih	ˈidɛntˌɪt͡ʃnɪh
režije	ɾˈɛʒɪje
Tetis	tˈɛtɪs
obustavljen	ˈobʊstˌævljen
galaksije	ɡˈalæksˌɪje
smještaja	smjˈeʃtɑjæ
plavih	plˈavɪh
zec	zˈɛt͡s
elementima	ˈɛlɛmˌɛntɪmæ
selektivno	sˈɛlɛktˌɪvno
Pisma	pˈismæ
djelova	djˈelovæ
Prosječni	pɾˈosjet͡ʃnɪ
banja	bˈaɲæ
atomske	ˈatomskɛ
razvojnom	ɾˈazvojnom
jezgro	jˈezɡɾo
matematički	mˈatɛmˌætɪt͡ʃkɪ
premještanje	pɾˈɛmjeʃtˌæɲe
Watsona	vˈatsonæ
plodnosti	plˈodnostɪ
Clay	t͡slˈaj
poljskih	pˈoʎskɪh
odstraniti	ˈotstɾænˌɪtɪ
Tehnologija	tˈɛhnolˌoɡɪjæ
Položaj	pˈoloʒɑj
složene	slˈoʒɛnɛ
Kongu	kˈoŋɡʊ
Zemljina	zˈɛmʎɪnæ
najutjecajnijih	nˈɑjʊtjˌet͡sɑjnˌɪjɪh
Ministarstva	mˈinɪstˌɑrstvæ
prijestolnicu	pɾˈijestˌolnɪt͡sʊ
kroz	kɾˈoz
obraza	ˈobɾæzæ
ugradi	ˈuɡɾædɪ
trijema	tɾˈijemæ
Velsa	vˈɛlsæ
divljeg	dˈivljeɡ
klupu	klˈupʊ
pokojnog	pˈokojnoɡ
inspirirana	ˈinspɪrˌɪrænæ
osme	ˈosmɛ
Viktor	vˈiktor
zaslužuje	zˈaslʊʒˌʊje
liječe	lˈijet͡ʃɛ
pješačke	pjˈeʃæt͡ʃkɛ
pet	pˈɛt
dvorski	dvˈorskɪ
ljubomoran	ʎˈubomˌoræn
ionizacije	ˈionˌɪzæt͡sˌɪje
otpustio	ˈotpʊstˌɪo
takva	tˈakvæ
elitne	ˈɛlɪtnɛ
vozač	vˈozæt͡ʃ
portreti	pˈortɾɛtɪ
formalnom	fˈormælnom
nastavnog	nˈastævnoɡ
opažanja	ˈopæʒˌæɲæ
prvenstveno	prvˈɛnstvɛno
tolerancije	tˈolɛrˌænt͡sɪje
naišli	nˈaɪʃlɪ
solo	sˈolo
mokraćovoda	mˈokɾæt͡ɕˌovodæ
reakciji	ɾˈɛækt͡sˌɪjɪ
Rama	ɾˈamæ
fuga	fˈuɡæ
hadž	xˈad͡ʒ
znatno	znˈatno
zasluga	zˈaslʊɡæ
zakonu	zˈakonʊ
Scotta	st͡sˈottæ
sigurnije	sˈiɡʊrnˌɪje
titule	tˈitʊlɛ
Producenti	pɾˈodʊt͡sˌɛntɪ
opština	ˈopʃtɪnæ
uočeni	ˈuot͡ʃˌɛnɪ
rezultirati	ɾˈɛzʊltˌɪrætɪ
japansku	jˈapænskʊ
producirali	pɾˈodʊt͡sˌɪrælɪ
zapisi	zˈapɪsɪ
Phillips	phˈillɪps
pristupanje	pɾˈistʊpˌæɲe
slučajne	slˈut͡ʃɑjnɛ
poticaj	pˈotɪt͡sɑj
obala	ˈobælæ
genetičkih	ɡˈɛnɛtˌɪt͡ʃkɪh
feudalaca	fˈɛʊdˌælæt͡sæ
