vedeckému	vˈedʲet͡skˌeːmu
Cruze	t͡srˈuze
mobilnej	mˈobilnej
Pozemok	pˈozemok
Krupine	krˈupiɲe
schováva	sxˈovaːva
Merco	mˈert͡so
László	lˈaːzzloː
Adams	ˈadams
českom	t͡ʃˈeskom
vybavenou	vˈibavˌeno͡ʊ
objednané	ˈobjednˌaneː
naspat	nˈaspat
najkvalitnejších	nˈajkvalˌitɲejʃiːx
hygiene	hˈiɡiˌeɲe
Oravou	ˈoravo͡ʊ
Adventné	ˈadventneː
smädu	smˈedu
jadier	jˈadʲier
vyradilo	vˈiradʲˌilo
brusnice	brˈusɲit͡se
nevznikajú	ɲˈewzɲikˌajuː
prejdeme	prˈejdʲeme
odporučia	ˈotporˌut͡ʃia
vlnky	vˈl̩ŋki
získanú	zˈiːskanuː
kampani	kˈampaɲi
rozdeľovanie	rˈozdʲeʎˌovaɲie
zostavený	zˈostavˌeniː
bytia	bˈitʲia
prijatý	prˈijatiː
Páčil	pˈaːt͡ʃil
Evil	ˈevil
polyesterovej	pˈoliˌesterˌovej
Spoznajte	spˈoznajtʲe
aktovky	ˈaktowki
obsluhovať	ˈopsluhˌovatʲ
kreatívnej	krˈeatˌiːvnej
rehabilitácii	rˈehabˌilitˌaːt͡sii
kriminálnych	krˈiminˌaːlnix
daval	dˈaval
Profi	prˈofi
podozriví	pˈodozrˌiviː
plavcom	plˈawt͡som
podané	pˈodaneː
zohrieva	zˈohriˌeva
geografických	ɡˈeoɡrˌafit͡skiːx
nepotvrdilo	ɲˈepotvˌr̩dʲilo
zápasmi	zˈaːpasmi
Anketa	ˈaŋketa
špurt	ʃpˈurt
ZdravieVýživový	zdrˈavievˈiːʒivˌoviː
Gas	ɡˈas
Poľnohospodári	pˈoʎnohˌospodˌaːri
Kalibrácia	kˈalibrˌaːt͡sia
pije	pˈije
hromadiť	hrˈomadʲitʲ
zvyklo	zvˈiklo
flavonoidy	flˈavonˌoidi
bryndze	brˈind͡ʑe
hanlivé	hˈanliveː
koberec	kˈoberet͡s
Rodinka	rˈodʲiŋka
japonských	jˈaponskiːx
Dvojpodlažný	dvˈojpodlˌaʒniː
predsavzali	prˈetsawzˌali
čuduje	t͡ʃˈuduje
redukujú	rˈedukˌujuː
hodnota	hˈodnota
polovici	pˈolovˌit͡si
zápisnici	zˈaːpisɲˌit͡si
Nijako	ɲˈijako
technikom	tˈexnikom
odbočku	ˈodbot͡ʃku
Donald	dˈonalt
kapitolách	kˈapitˌolaːx
uľahčuje	ˈuʎaht͡ʃˌuje
eutanázie	ˈeutˌanaːzie
vypĺňajú	vˈipl̩ːɲˌajuː
balónov	bˈaloːnow
chipsy	xˈipsi
kroj	krˈoj
systémov	sˈisteːmow
nadýchali	nˈadiːxˌali
pätici	pˈetʲit͡si
magistrála	mˈaɡistrˌaːla
dotknú	dˈotknuː
Stavebný	stˈavebniː
zvieracej	zviˈerat͡sej
vysokú	vˈisokuː
demokracii	dʲˈemokrˌat͡sii
Dubcová	dˈupt͡sovaː
Vydali	vˈidali
Chmeľnici	xmˈeʎɲit͡si
precvičenie	prˈet͡svit͡ʃˌeɲie
nedovolili	ɲˈedovˌolili
štartovného	ʃtˈartovnˌeːho
vinice	vˈiɲit͡se
sucho	sˈuxo
bankomatoch	bˈaŋkomˌatox
autorádiá	ˈautˌoraːdʲˌiaː
Jesenin	jˈeseɲin
dcérskej	tt͡sˈeːrskej
doktorandskom	dˈoktorˌantskom
Guard	ɡˈuart
slnečnicových	sˈl̩ɲet͡ʃɲˌit͡soviːx
Rozširovanie	rˈosʃirˌovaɲie
nominovaných	nˈominˌovaniːx
spoľahlivého	spˈoʎahlˌiveːho
upratovacie	ˈupratˌovat͡sie
kliknite	klˈikɲitʲe
nechýbala	ɲˈexiːbˌala
obsahujúci	ˈopsahˌujuːt͡si
rekonštruované	rˈekonʃtrˌuovˌaneː
mužíka	mˈuʒiːka
škodlivých	ʃkˈodliviːx
Vrbového	vˈr̩bovˌeːho
zredukovať	zrˈedukˌovatʲ
Domingo	dˈomiŋɡo
výrobnú	vˈiːrobnuː
lieky	liˈeki
prerušenie	prˈeruʃˌeɲie
Zaujme	zˈaujme
veľa	vˈeʎa
nákres	nˈaːkres
Miestnosti	miˈestnostʲi
víri	vˈiːri
cvičili	t͡svˈit͡ʃili
nikotín	nˈikotʲiːn
chystal	xˈistal
horúčave	hˈoruːt͡ʃˌave
Podniky	pˈodɲiki
harmonogram	hˈarmonˌoɡram
mohutné	mˈohutneː
nehodí	ɲˈehodʲiː
Firemný	fˈiremniː
opačne	ˈopat͡ʃɲe
Univerzity	ˈunivˌerziti
samého	sˈameːho
Alojz	ˈalojs
liecit	liˈet͡sit
úplná	ˈuːpl̩naː
vyspelosť	vˈispelostʲ
Uf	ˈuf
Knižnice	kɲˈiʒɲit͡se
kňazmi	kɲˈazmi
neškodných	ɲˈeʃkodniːx
Nosenie	nˈoseɲie
žiarenia	ʒiˈareɲia
šošovice	ʃˈoʃovˌit͡se
sledovaný	slˈedovˌaniː
autobusovou	ˈautˌobusˌovo͡ʊ
pixlov	pˈikslow
dokončí	dˈokont͡ʃiː
žiarili	ʒiˈarili
temnom	tʲˈemnom
Celá	t͡sˈelaː
košom	kˈoʃom
splátkového	splˈaːtkovˌeːho
vediet	vˈedʲiet
vykazuje	vˈikazˌuje
plnotučné	pˈl̩notˌut͡ʃneː
Lancer	lˈant͡ser
inovácie	ˈinovˌaːt͡sie
bioplynu	bˈioplˌinu
šťavnatý	ʃtʲˈavnatiː
meditácii	mˈeditˌaːt͡sii
simulácie	sˈimulˌaːt͡sie
olympiády	ˈolimpˌiaːdi
viacnásobne	viˈat͡snaːsˌobɲe
AstonReal	ˈastonrˈeal
Víta	vˈiːta
kronike	krˈonike
neznáme	ɲˈeznaːme
nepoznanie	ɲˈepoznˌaɲie
umelci	ˈumelt͡si
europskych	ˈeurˌopskix
skrášľuje	skrˈaːʃʎuje
skutocnost	skˈutot͡snost
Islamský	ˈislamskiː
zabezpečujeme	zˈabespˌet͡ʃujˌeme
sladidlo	slˈadʲidlo
zhlboka	shˈl̩boka
sexom	sˈeksom
obrodenia	ˈobrodʲˌeɲia
Sýria	sˈiːria
Webstránky	vˈepstraːŋki
Boha	bˈoha
koncov	kˈont͡sow
József	jˈoːssef
zadívala	zˈadʲiːvˌala
výplatnej	vˈiːplatnej
nepedagogických	ɲˈepedˌaɡoɡˌit͡skiːx
razenia	rˈazeɲia
intenzite	ˈintenzˌitʲe
navijakom	nˈavijˌakom
Nemôžeme	ɲˈemuˌoʒeme
kostým	kˈostiːm
čreve	t͡ʃrˈeve
využívajúce	vˈiuʒˌiːvajˌuːt͡se
kontinenty	kˈontinˌenti
detského	dʲˈetskeːho
pestovateľ	pˈestovˌatʲeʎ
tuk	tˈuk
kuriozity	kˈuriˌoziti
neurológ	ɲˈeurˌoloːk
spustit	spˈustʲit
Sprevádza	sprˈevaːd͡ʑa
Martini	mˈartʲiɲi
posilňovací	pˈosilɲˌovat͡siː
katastrofám	kˈatastrˌofaːm
Prepravné	prˈepravneː
Quartet	kvˈartʲet
Janus	jˈanus
definuje	dˈefinˌuje
dievčenské	dʲiˈewt͡ʃenskeː
zrekonštruovanej	zrˈekonʃtrˌuovˌaɲej
organizmus	ˈorɡanˌizmus
Inovácie	ˈinovˌaːt͡sie
bohatom	bˈohatom
vysvetli	vˈisvetli
akumulátor	ˈakumˌulaːtor
pátrali	pˈaːtrali
samých	sˈamiːx
ženíchovi	ʒˈeɲiːxˌovi
dovolenku	dˈovolˌeŋku
dobový	dˈoboviː
Prechodné	prˈexodneː
vozy	vˈozi
udržiavania	ˈudr̩ʒiˌavaɲia
zabezpečenej	zˈabespˌet͡ʃeɲej
preberanie	prˈeberˌaɲie
Gardinia	ɡˈardʲiɲia
mesiacu	mˈesiˌat͡su
kázni	kˈaːzɲi
Používateľské	pˈo͡ʊʒiːvˌatʲeʎskeː
clovekom	t͡slˈovekom
Zajtra	zˈajtra
adresátom	ˈadresˌaːtom
spomalené	spˈomalˌeneː
odpružená	ˈotpruʒˌenaː
zadajte	zˈadajtʲe
spomenúť	spˈomenuːtʲ
súbojov	sˈuːbojow
tribúnach	trˈibuːnax
flautu	flˈautu
vtipná	ftʲˈipnaː
záchrancom	zˈaːxrant͡som
objektiv	ˈobjektiw
jedlám	jˈedlaːm
MLM	ˈemˌelˌem
starne	stˈarɲe
paci	pˈat͡si
zjednodušili	zjˈednodˌuʃili
prezrádzajú	prˈezraːd͡ʑˌajuː
vezie	vˈezie
ohlas	ˈohlas
Castrol	t͡sˈastrol
morský	mˈorskiː
poistku	pˈoistku
objavenie	ˈobjavˌeɲie
kŕmenia	kˈr̩ːmeɲia
mediálna	mˈediˌaːlna
rozlúčku	rˈozluːt͡ʃku
trysiek	trˈisiek
hospodárskych	hˈospodˌaːrskix
biznis	bˈizɲis
ohnisko	ˈohɲisko
Anglické	ˈaŋɡlit͡skeː
jubileu	jˈubilˌeu
živočíšna	ʒˈivot͡ʃˌiːʃna
žehliacu	ʒˈehliˌat͡su
Drsný	dˈr̩sniː
FEMINITY	fˈemiɲˌiti
vhodnejšia	fhˈodɲejʃia
ÚPV	ˈuːpv
ľavé	ʎˈaveː
ZSSR	sssˈr̩
pripísala	prˈipiːsˌala
rezponzívneho	rˈesponzˌiːvneho
parazitom	pˈarazˌitom
Lounge	lˈo͡ʊŋɡe
dýchajú	dˈiːxajuː
poučovať	pˈo͡ʊt͡ʃovatʲ
predstavám	prˈetstavaːm
zdravotná	zdrˈavotnaː
Party	pˈarti
vŕba	vˈr̩ːba
jednotlivých	jˈednotlˌiviːx
komoditou	kˈomodʲˌito͡ʊ
záplata	zˈaːplata
Superbrands	sˈuperbrants
nepripustí	ɲˈepripˌustʲiː
svojho	svˈojho
spomínanom	spˈomiːnˌanom
okraji	ˈokraji
systemom	sˈistemom
zachce	zˈaxt͡se
vynovený	vˈinovˌeniː
ISAF	ˈisaf
Ranger	rˈaŋɡer
ideálnu	ˈideˌaːlnu
konárov	kˈonaːrow
Objednaný	ˈobjednˌaniː
pripísaná	prˈipiːsˌanaː
blata	blˈata
HA	hˈa
ovocné	ˈovot͡sneː
poistný	pˈoistniː
Lomnica	lˈomɲit͡sa
podobe	pˈodobe
krajine	krˈajiɲe
Karlovej	kˈarlovej
stavbuMaliarske	stˈawbumˈaliˌarske
chodenia	xˈodʲeɲia
výrokov	vˈiːrokow
rozširovať	rˈosʃirˌovatʲ
demontáž	dʲˈemontaːʃ
vymožiteľnosť	vˈimoʒˌitʲeʎnostʲ
členku	t͡ʃlˈeŋku
platformách	plˈatformaːx
Rozhodol	rˈoshodol
prahom	prˈahom
feb	fˈep
najväčšími	nˈajvet͡ʃʃˌiːmi
pamätníky	pˈametɲˌiːki
prevencia	prˈevent͡sia
tichšie	tʲˈixʃie
spínačom	spˈiːnat͡ʃom
LA	lˈa
samozrejmé	sˈamozrˌejmeː
Novely	nˈoveli
proteíny	prˈotʲeˌiːni
polievke	pˈoliˌewke
náučné	nˈaːut͡ʃneː
Napísala	nˈapiːsˌala
zaúčtovať	zˈauːt͡ʃtˌovatʲ
začatia	zˈat͡ʃatʲia
trvajúca	tˈr̩vajˌuːt͡sa
Mariánske	mˈariˌaːnske
WWWWeb	dvˈojiteːvˌeːdvˌojiteːvˌeːdvˌojiteːvˌeːvˈep
vstrekovania	fstrˈekovˌaɲia
Game	ɡˈame
vyrovnávajú	vˈirovnˌaːvajuː
koalícií	kˈoalˌiːt͡siiː
prihlásili	prˈihlaːsˌili
ZPS	zˈetpˌeːˌes
profíkov	prˈofiːkow
bubon	bˈubon
smršť	smˈr̩ʃtʲ
brali	brˈali
Mihálik	mˈihaːlik
Televízor	tˈelevˌiːzor
plaz	plˈas
nebezpečným	ɲˈebespˌet͡ʃniːm
priateľkami	priˈatʲeʎkˌami
zámeny	zˈaːmeni
palubný	pˈalubniː
Hiflofiltro	hˈiflofˌiltro
Lipták	lˈiptaːk
IBV	ˈibv
aktualizujeme	ˈaktuˌalizˌujeme
Nenechávajte	ɲˈeɲexˌaːvajtʲe
prémiovú	prˈeːmiˌovuː
prevedenie	prˈevedʲˌeɲie
Boja	bˈoja
komplikovaných	kˈomplikˌovaniːx
besedy	bˈesedi
vynikajúce	vˈiɲikˌajuːt͡se
utvoril	ˈutvoril
republikyPripomienka	rˈepublˌikiprˈipomiˌeŋka
averziu	ˈaverziu
milé	mˈileː
úraze	ˈuːraze
zrejmý	zrˈejmiː
bojler	bˈojler
pralesy	prˈalesi
fotili	fˈotʲili
krv	kˈr̩w
rizikovej	rˈizikˌovej
ohodnotenia	ˈohodnˌotʲeɲia
strihania	strˈihaɲia
pevniny	pˈevɲini
presuniete	prˈesuɲiˌetʲe
príkladoch	prˈiːkladox
reklamných	rˈeklamniːx
Turčianskych	tˈurt͡ʃiˌanskix
Prevodovka	prˈevodˌowka
upravíme	ˈupravˌiːme
kupujete	kˈupujˌetʲe
výkonnosti	vˈiːkonnˌostʲi
aktivované	ˈaktivˌovaneː
Coto	t͡sˈoto
účtu	ˈuːt͡ʃtu
pečienky	pˈet͡ʃiˌeŋki
podávalo	pˈodaːvˌalo
nájdeš	nˈaːjdʲeʃ
Lomnického	lˈomɲit͡skˌeːho
priťahovala	prˈitʲahˌovala
operu	ˈoperu
výkonové	vˈiːkonˌoveː
iróniou	ˈiroːɲˌio͡ʊ
americká	ˈamerˌit͡skaː
nečinnosť	ɲˈet͡ʃinnostʲ
prechádzali	prˈexaːd͡ʑˌali
Nutrend	nˈutrent
parazit	pˈarazit
chlapské	xlˈapskeː
myšlienke	mˈiʃliˌeŋke
nelíšia	ɲˈeliːʃia
Ytong	ˈitoŋk
Že	ʒe
kapacita	kˈapat͡sˌita
BOZP	bˈosp
inovatívnych	ˈinovˌatiːvnix
manzel	mˈanzel
zverejnil	zvˈerejɲil
komisárka	kˈomisˌaːrka
zostupe	zˈostupe
radil	rˈadʲil
dejú	dʲˈejuː
NEO	ɲˈeo
XL	ʃtˈiɾitsatʲ
dôstojnosti	dˈuostˌojnostʲi
svitania	svˈitaɲia
pamätná	pˈametnaː
šikovnejší	ʃˈikovɲˌejʃiː
besiedke	bˈesiˌetke
oboch	ˈobox
veterinárne	vˈetʲerˌinaːrɲe
africkej	ˈafrit͡skej
poľnohosp	pˈoʎnohosp
kúzelné	kˈuːzelneː
rýchlej	rˈiːxlej
odvádzali	ˈodvaːd͡ʑˌali
súdom	sˈuːdom
boilies	bˈoilies
sychravé	sˈixraveː
Pecko	pˈet͡sko
remo	rˈemo
strojoch	strˈojox
zverejnený	zvˈerejɲˌeniː
adekvátna	ˈadekvˌaːtna
steaky	stʲˈeaki
vzdal	vzdˈal
vyjst	vˈijst
vyvinul	vˈivinul
vlaňajšieho	vlˈaɲajʃiˌeho
kanalizačné	kˈanalˌizat͡ʃneː
velku	vˈelku
anime	ˈanime
trámov	trˈaːmow
pôde	pˈuodʲe
SUPERAKCIA	sˈuperˌakt͡sia
Luniku	lˈuɲiku
dezinfekcie	dˈezinfˌekt͡sie
kW	kdvˈojiteːvˌeː
múke	mˈuːke
posielam	pˈosiˌelam
pôrod	pˈuorot
Podkarpatskej	pˈotkarpˌatskej
spolkového	spˈolkovˌeːho
potenciálnych	pˈotent͡sˌiaːlnix
šampanským	ʃˈampanskiːm
palice	pˈalit͡se
strieľačka	striˈeʎat͡ʃka
fundovaných	fˈundovˌaniːx
rozhodcovského	rˈoshott͡sˌowskeːho
postihnutým	pˈostʲihnˌutiːm
perzekúcie	pˈerzekˌuːt͡sie
lístka	lˈiːstka
Priemer	priˈemer
obratlíkom	ˈobratlˌiːkom
nedeľného	ɲˈedʲeʎnˌeːho
chodníkom	xˈodɲiːkom
hendikepovaných	hˈendʲikˌepovˌaniːx
vykríkol	vˈikriːkol
Ľavá	ʎˈavaː
farbami	fˈarbami
vynikajúcou	vˈiɲikˌajuːt͡so͡ʊ
jedinečný	jˈedʲiɲˌet͡ʃniː
svietením	sviˈetʲeɲiːm
aerobik	ˈaerˌobik
potrebovať	pˈotrebˌovatʲ
Masívne	mˈasiːvɲe
najmodernejšími	nˈajmodˌerɲejʃˌiːmi
dekrétom	dˈekreːtom
fotografmi	fˈotoɡrˌafmi
stredajšieho	strˈedajʃiˌeho
škôlkarov	ʃkˈuolkˌarow
deva	dʲˈeva
ironicky	ˈironˌit͡ski
valné	vˈalneː
Nobelovu	nˈobelˌovu
Asset	ˈasset
pevnejší	pˈevɲejʃiː
listovej	lˈistovej
striedavej	striˈedavej
reťazca	rˈetʲast͡sa
Vykysnuté	vˈikisnˌuteː
kompatibilný	kˈompatʲˌibilniː
kratšia	krˈatʃia
matica	mˈatʲit͡sa
nemenila	ɲˈemeɲˌila
základu	zˈaːkladu
expertných	ˈekspertniːx
spoznávania	spˈoznaːvˌaɲia
brandy	brˈandi
mäkká	mˈekkaː
Štetec	ʃtʲˈetʲet͡s
kontinuitu	kˈontinˌuitu
alternatívnu	ˈalternˌatiːvnu
pódia	pˈoːdʲia
Trenčianské	trˈent͡ʃiˌanskeː
opúšťa	ˈopuːʃtʲa
schváliť	sxvˈaːlitʲ
sestre	sˈestre
lenze	lˈenze
zákaziek	zˈaːkaziek
promtný	prˈomtniː
Bali	bˈali
výrazne	vˈiːrazɲe
Evo	ˈevo
WALMARK	vˈalmark
dáždniky	dˈaːʒdɲiki
garantujú	ɡˈarantˌujuː
Roeckl	rˈoet͡skl̩
PlayStation	plˈaistˈatʲion
meni	mˈeɲi
úžasným	ˈuːʒasniːm
neskorším	ɲˈeskorʃiːm
deodorant	dʲˈeodˌorant
účastníkovi	ˈuːt͡ʃastɲˌiːkovi
politický	pˈolitˌit͡skiː
Rákócziho	rˈaːkoːd͡ʑzˌiho
Lyžiarky	lˈiʒiˌarki
demografických	dʲˈemoɡrˌafit͡skiːx
praktizujeme	prˈaktizˌujeme
automatickom	ˈautˌomatˌit͡skom
stráviteľné	strˈaːvitʲˌeʎneː
Tajná	tˈajnaː
urážlivé	ˈuraːʒlˌiveː
kúpili	kˈuːpili
elektrónov	ˈelektrˌoːnow
estetickou	ˈestʲetˌit͡sko͡ʊ
ina	ˈina
náboženstiev	nˈaːboʒˌenstʲiew
zastavané	zˈastavˌaneː
serpentíny	sˈerpentʲˌiːni
spoluorganizátorom	spˈoluˌorɡanˌizaːtˌorom
Auna	ˈauna
doporučiť	dˈoporˌut͡ʃitʲ
Remy	rˈemi
ISIS	ˈisis
dynamický	dˈinamˌit͡skiː
múdre	mˈuːdre
Rock	rˈot͡sk
rafinovaný	rˈafinˌovaniː
vypátrať	vˈipaːtratʲ
výpoveďami	vˈiːpovˌedʲami
nezaškodí	ɲˈezaʃkˌodʲiː
Oravský	ˈorawskiː
osláviť	ˈoslaːvitʲ
postelí	pˈostʲeliː
roller	rˈoller
nakladaní	nˈakladˌaɲiː
Dinamom	dʲˈinamom
močový	mˈot͡ʃoviː
Zeme	zˈeme
zväčšuje	zvˈet͡ʃʃuje
popularizáciu	pˈopulˌarizˌaːt͡siu
štvorizbový	ʃtvˈorizbˌoviː
pohodené	pˈohodʲˌeneː
prenosných	prˈenosniːx
odtoku	ˈottoku
nátlakom	nˈaːtlakom
prostata	prˈostata
takymto	tˈakimto
skvelým	skvˈeliːm
zakomponoval	zˈakompˌonoval
jedol	jˈedol
Drobnosti	drˈobnostʲi
frak	frˈak
podivné	pˈodʲivneː
nezabezpečí	ɲˈezabˌespet͡ʃiː
popruhmi	pˈopruhmi
tých	tˈiːx
Citlivosť	t͡sˈitlivostʲ
dakde	dˈakdʲe
vtiahnuť	ftʲiˈahnutʲ
komorný	kˈomorniː
tlačové	tlˈat͡ʃoveː
Hlasujte	hlˈasujtʲe
osvety	ˈosveti
Spiši	spˈiʃi
Lunárny	lˈunaːrni
šošovky	ʃˈoʃowki
Začína	zˈat͡ʃiːna
nehmotný	ɲˈehmotniː
točila	tˈot͡ʃila
Konzultácie	kˈonzultˌaːt͡sie
YouTube	ˈio͡ʊtˈube
vynecháva	vˈiɲexˌaːva
srdečný	sˈr̩dʲet͡ʃniː
Lujza	lˈujza
Vodeodolná	vˈodʲeˌodolnaː
vydávania	vˈidaːvˌaɲia
multimediálna	mˈultimˌediˌaːlna
portom	pˈortom
január	jˈanuaːr
turistiky	tˈuristʲˌiki
Uskutočnilo	ˈuskutˌot͡ʃɲilo
hráčka	hrˈaːt͡ʃka
Japonec	jˈapoɲet͡s
comments	t͡sˈomments
Berky	bˈerki
rybármi	rˈibaːrmi
brokolice	brˈokolˌit͡se
Vlastné	vlˈastneː
elektromotor	ˈelektrˌomotor
prezentovala	prˈezentˌovala
Obsahuje	ˈopsahˌuje
Moskvu	mˈoskvu
Sheeran	shˈeeran
výrazom	vˈiːrazom
prepočíta	prˈepot͡ʃˌiːta
roztápa	rˈostaːpa
overeným	ˈoverˌeniːm
Hovorili	hˈovorˌili
netkanej	ɲˈetkaɲej
matkinej	mˈatkinej
Autopožičovňa	ˈautˌopoʒˌit͡ʃovɲa
zvukov	zvˈukow
prezidentka	prˈezidˌentka
navrhovateľa	nˈavr̩hˌovatʲˌeʎa
zostavené	zˈostavˌeneː
Dvierka	dviˈerka
obľubujú	ˈobʎubˌujuː
starnutiu	stˈarnutʲiu
prístupe	prˈiːstupe
Tunisko	tˈunisko
trávnika	trˈaːvɲika
sieťovým	siˈetʲoviːm
zapríčinený	zˈapriːt͡ʃˌiɲeniː
tešíme	tʲˈeʃiːme
vlhkého	vˈl̩hkeːho
izraelského	ˈizraˌelskeːho
požehná	pˈoʒehnaː
pražské	prˈaʃskeː
humánnej	hˈumaːnnej
zasadnutie	zˈasadnˌutʲie
nespĺňa	ɲˈespl̩ːɲa
zahryzli	zˈahrizli
Word	vˈort
spotrebného	spˈotrebnˌeːho
rodičky	rˈodʲit͡ʃki
Povinnosť	pˈovinnostʲ
zoznamom	zˈoznamom
vybudujú	vˈibudˌujuː
Yamazaki	ˈiamˌazaki
bilboardy	bˈilboˌardi
rôznia	rˈuozɲia
motoriek	mˈotoriek
Južnej	jˈuʒnej
smerovalo	smˈerovˌalo
bonusov	bˈonusow
zbrojnica	zbrˈojɲit͡sa
snímka	sɲˈiːmka
nevies	ɲˈevies
akési	ˈakeːsi
šikovných	ʃˈikovniːx
veľkoformátové	vˈeʎkofˌormaːtˌoveː
proti	prˈotʲi
učebnicu	ˈut͡ʃebɲˌit͡su
užití	ˈuʒitʲiː
štetce	ʃtʲˈett͡se
hardvérom	hˈardveːrom
leme	lˈeme
bábätko	bˈaːbetko
nehýbe	ɲˈehiːbe
ZB	zˈedbˌeː
mriežke	mriˈeʃke
mačičky	mˈat͡ʃit͡ʃki
dažďoch	dˈaʒdʲox
Prestali	prˈestali
diaľničná	diˈaʎɲit͡ʃnaː
filiálky	fˈiliˌaːlki
pojednávaní	pˈojednˌaːvaɲiː
stretáme	strˈetaːme
víťazkou	vˈiːtʲasko͡ʊ
terénnu	tˈereːnnu
preprave	prˈeprave
Božiemu	bˈoʒiˌemu
servisu	sˈervisu
mŕtvoly	mˈr̩ːtvoli
atd	ˈatt
rozmýšľanie	rˈozmiːʃʎˌaɲie
Campingaz	t͡sˈampiŋɡas
panuje	pˈanuje
nárastom	nˈaːrastom
Stilo	stʲˈilo
VšZP	vˈeːˌeʒzˈetpˌeː
moru	mˈoru
Prístrešok	prˈiːstreʃok
máloktorý	mˈaːloktˌoriː
snehuliaka	sɲˈehuliˌaka
Skopje	skˈopje
uhlíkom	ˈuhliːkom
oživenia	ˈoʒivˌeɲia
Lyon	lˈion
obuv	ˈobuw
kovovými	kˈovovˌiːmi
Žofie	ʒˈofie
blbosti	bˈl̩bostʲi
kým	kˈiːm
sídlia	sˈiːdlia
tvarovať	tvˈarovatʲ
Žiadam	ʒiˈadam
rezance	rˈezant͡se
nečakané	ɲˈet͡ʃakˌaneː
lídrovi	lˈiːdrovi
pochodovať	pˈoxodˌovatʲ
bulharská	bˈulharskaː
gumený	ɡˈumeniː
družiny	drˈuʒini
kaviarní	kˈaviˌarɲiː
pstruha	pstrˈuha
Mlyn	mlˈin
Leaders	lˈeaders
historiek	hˈistoriek
vsadené	fsˈadeneː
západnom	zˈaːpadnom
kontrolór	kˈontroloːr
Blatné	blˈatneː
diaľkový	diˈaʎkoviː
Modely	mˈodeli
puto	pˈuto
ELTRON	ˈeltron
Hlboká	hˈl̩bokaː
talentom	tˈalentom
stresové	strˈesoveː
krásneho	krˈaːsneho
cigánskej	t͡sˈiɡaːnskej
výplach	vˈiːplax
nadania	nˈadaɲia
vinní	vˈinniː
tvrdené	tvˈr̩dʲeneː
zlom	zlˈom
dokúpiť	dˈokuːpitʲ
túlal	tˈuːlal
Kuga	kˈuɡa
kryje	krˈije
lyžami	lˈiʒami
zabil	zˈabil
brzdiť	bˈr̩zdʲitʲ
moze	mˈoze
vyslovujeme	vˈislovˌujeme
pripevní	prˈipevɲiː
policajt	pˈolit͡sajt
kolegami	kˈoleɡˌami
rozvoji	rˈozvoji
zvieratami	zviˈeratˌami
šiestim	ʃiˈestʲim
silvestrovskej	sˈilvestrˌowskej
bezpečne	bˈespet͡ʃɲe
archívu	ˈarxiːvu
Zvolena	zvˈolena
pasívnom	pˈasiːvnom
vyslovene	vˈislovˌeɲe
jazykovedy	jˈazikˌovedi
robotického	rˈobotˌit͡skeːho
zapnite	zˈapɲitʲe
čitateľky	t͡ʃˈitatʲˌeʎki
Doplňujúce	dˈopl̩ɲˌujuːt͡se
vyroku	vˈiroku
Merkelovej	mˈerkelˌovej
vojská	vˈojskaː
rozprávala	rˈospraːvˌala
sieťový	siˈetʲoviː
darčekyDarčeky	dˈart͡ʃekidˈart͡ʃeki
fotoaparátov	fˈotoˌaparˌaːtow
sklonu	sklˈonu
popraskané	pˈopraskˌaneː
zavádzal	zˈavaːd͡ʑal
palete	pˈaletʲe
úmysle	ˈuːmisle
Katalóg	kˈataloːk
krivdy	krˈiwdi
vykrikuje	vˈikrikˌuje
doložku	dˈoloʃku
kreatín	krˈeatʲiːn
neohrozili	ɲˈeohrˌozili
jazyk	jˈazik
silnejšou	sˈilɲejʃo͡ʊ
zlepšovaní	zlˈepʃovˌaɲiː
MAGIC	mˈaɡit͡s
opatrnejší	ˈopatˌr̩ɲejʃiː
glamour	ɡlˈamo͡ʊr
Slovákmi	slˈovaːkmi
znalostného	znˈalostnˌeːho
zvyšnými	zvˈiʃniːmi
žiacke	ʒiˈat͡ske
rokovalo	rˈokovˌalo
rozpáliť	rˈospaːlitʲ
etablované	ˈetablˌovaneː
cení	t͡sˈeɲiː
intervalov	ˈintervˌalow
Výborné	vˈiːborneː
ťahám	tʲˈahaːm
sedemdesiatke	sˈedʲemdʲˌesiˌatke
betónovú	bˈetoːnˌovuː
vypnutá	vˈipnutaː
nabíjania	nˈabiːjˌaɲia
boxerky	bˈokserki
držadlo	dˈr̩ʒadlo
zjednoduší	zjˈednodˌuʃiː
štandardnými	ʃtˈandardnˌiːmi
lenivé	lˈeɲiveː
Podeľte	pˈodʲeʎtʲe
operátorom	ˈoperˌaːtorom
prístrojom	prˈiːstrojom
TSK	tˈeːˌeskˌaː
personalu	pˈersonˌalu
riadneho	riˈadneho
všelijakých	fʃˈelijˌakiːx
spolu	spˈolu
kosení	kˈoseɲiː
Speaker	spˈeaker
Cameron	t͡sˈameron
kapelou	kˈapelo͡ʊ
urán	ˈuraːn
ovládnuť	ˈowlaːdnutʲ
centrály	t͡sˈentraːli
usporiadaním	ˈusporiˌadaɲiːm
Chrániče	xrˈaːɲit͡ʃe
nezvyčajnou	ɲˈezvit͡ʃˌajno͡ʊ
cievkou	t͡siˈewko͡ʊ
pozývame	pˈoziːvˌame
prezradím	prˈezradʲiːm
elektroniky	ˈelektrˌoniki
