մռու	məɾu
պուճուր	bud͡ʒuɾ
օդատեսիլ	ɔtʰɑdɛsil
ակներեւորեն	ɑɡnɛɾɛvɔɾɛn
օրնիբուն	ɔɾnipʰun
ապրանք	ɑbɾɑŋkʰ
թագավարակ	tʰɑkʰɑvɑɾɑɡ
քյալամ	kʰjɑlɑm
գետնառյուծ	kʰɛdnɑɾʏd͡z
եռանդալից	jɛɾɑntʰɑlit͡sʰ
սեգ	sɛkʰ
խպիպ	χəbib
արձակուրդ	ɑɾt͡sʰɑɡuɾtʰ
կանթեղ	ɡɑntʰɛʁ
բիր	pʰiɾ
գիշերային	kʰiʃɛɾɑjin
ընկույզկոտրիչ	əŋɡujzɡɔdɾit͡ʃʰ
կոսմոպոլիտական	ɡɔsmɔbɔlidɑɡɑn
կալբաս	ɡɑlpʰɑs
տեղյակ	dɛʁjɑɡ
կաղապար	ɡɑʁɑbɑɾ
գիլաս	kʰilɑs
մույկ	mujɡ
աղբանոց	ɑχpɑnɔt͡sʰ
առայժմ	ɑɾɑjʒəm
զկեռ	zəɡɛɾ
պատգամ	bɑtkʰɑm
կը	ɡə
բաթու	pʰɑtʰu
ադրիանոս	ɑtʰɾijɑnɔs
երկնակամար	jɛɾɡnɑɡɑmɑɾ
կոպ	ɡɔb
մեղք	mɛχkʰ
էպոս	ɛbɔs
մաքսատուրք	mɑkʰsɑduɾkʰ
տանիք	dɑnikʰ
ընկերություն	əŋɡɛɾutʰʏn
մուրադ	muɾɑtʰ
ֆրանկական	fɾɑŋɡɑɡɑn
համագումար	hɑmɑkʰumɑɾ
աշխարհամաս	ɑʃχɑɾɑmɑs
թութուն	tʰutʰun
փարիսեցիաբար	pʰɑɾisɛt͡sʰjɑpʰɑɾ
սովամահություն	sɔvɑmɑhutʰʏn
վանկել	vɑŋɡɛl
անդրկովկասյան	ɑntʰəɾɡɔfɡɑsjɑn
պայթյուն	bɑjtʰʏn
բ	pʰə
ցանկանալ	t͡sʰɑŋɡɑnɑl
շախ	ʃɑχ
հիմն	himən
պեկին	bɛɡin
հնազանդություն	hənɑzɑntʰutʰʏn
պանամա	bɑnɑmɑ
բոլոր	pʰɔlɔɾ
խցիկ	χət͡sʰiɡ
հանգել	hɑŋkʰɛl
ինգա	iŋkʰɑ
ձվատար	t͡sʰəvɑdɑɾ
անդորրա	ɑntʰɔɾːɑ
վկայություն	vəɡɑjutʰʏn
քակել	kʰɑɡɛl
դաբաղխանա	tʰɑpʰɑʁχɑnɑ
իսպանուհի	ispɑnuhi
թնդալ	tʰəntʰɑl
վերմակ	vɛɾmɑɡ
ճորոխ	d͡ʒɔɾɔχ
սպառազինության	əspɑɾɑzinutʰjɑn
լյուդովիկոս	lʏtʰɔviɡɔs
վերականգնման	vɛɾɑɡɑŋkʰnəmɑn
տեւել	dɛvɛl
հստակ	həstɑɡ
թուրջ	tʰuɾt͡ʃʰ
մեծաքանակ	mɛd͡zɑkʰɑnɑɡ
եզր	jɛzəɾ
հյուրերի	hʏɾɛɾi
մաշկյա	mɑʃkjɑ
որակյալ	vɔɾɑɡjɑl
քարոզարշավ	kʰɑɾɔzɑɾʃɑv
հեստապար	hɛstɑbɑɾ
թյուրիմացություն	tʰʏɾimɑt͡sʰutʰʏn
հաշվեքննիչ	hɑʃvɛkʰənːit͡ʃʰ
անդամալուծել	ɑntʰɑmɑlud͡zɛl
աֆրիկացի	ɑfɾiɡɑt͡sʰi
անիոն	ɑnijɔn
նոպա	nɔbɑ
որքան	vɔɾkʰɑn
առշերտ	ɑɾʃɛɾd
զարդենի	zɑɾtʰɛni
հնդկաստան	həntʰkɑstɑn
նանա	nɑnɑ
մարատ	mɑɾɑd
խաղ	χɑʁ
բարութ	pʰɑɾutʰ
փայլունացում	pʰɑjlunɑt͡sʰum
բուսանել	pʰusɑnɛl
հոգնա	hɔkʰnɑ
խորք	χɔɾkʰ
կռուփ	ɡəɾupʰ
ֆալիսկերեն	fɑliskɛɾɛn
աներորդի	ɑnɛɾɔɾtʰi
գալիս	kʰɑlis
աագ	ɑɑkʰə
մետրոպոլիտեն	mɛdɾɔbɔlidɛn
աշտանակ	ɑʃtɑnɑɡ
աղյուսակ	ɑʁʏsɑɡ
յամուսուկրո	jɑmusuɡɾɔ
չակերտ	t͡ʃʰɑɡɛɾd
ուլյանովսկ	uljɑnɔfsk
իջեւանատեր	it͡ʃʰɛvɑnɑdɛɾ
երկբայելի	jɛɾkʰpʰɑjɛli
ամիրսպասալար	ɑmiɾspɑsɑlɑɾ
դատողություն	tʰɑdɔʁutʰʏn
ազազել	ɑzɑzɛl
հոլովման	hɔlɔvmɑn
կորտ	ɡɔɾd
շաղգամ	ʃɑχkɑm
հեղել	hɛʁɛl
ողբալ	vɔχpɑl
պատվաստում	bɑdvɑstum
շփագիտական	ʃəpʰɑkʰidɑɡɑn
կոլիբրի	ɡɔlipʰɾi
սրանք	səɾɑŋkʰ
թամբ	tʰɑmpʰ
ամսական	ɑmsɑɡɑn
մակերես	mɑɡɛɾɛs
ծակոտ	d͡zɑɡɔd
դարաշրջան	tʰɑɾɑʃəɾt͡ʃʰɑn
սերմնաբուշտ	sɛɾmnɑpʰuʃt
աստղիկ	ɑstʁiɡ
բոլորշի	pʰɔlɔɾʃi
անի	ɑni
կալել	ɡɑlɛl
կանանոց	ɡɑnɑnɔt͡sʰ
սիգալ	sikʰɑl
խսհմ	χəsəhəm
օդանավակայան	ɔtʰɑnɑvɑɡɑjɑn
ամեն	ɑmɛn
աղասի	ɑʁɑsi
ոլոք	vɔlɔkʰ
մատույց	mɑdujt͡sʰ
ձկնաբան	t͡sʰəɡnɑpʰɑn
բուրդ	pʰuɾtʰ
դասարանակից	tʰɑsɑɾɑnɑɡit͡sʰ
սուպ	sub
հոլանի	hɔlɑni
միջածանց	mit͡ʃʰɑd͡zɑnt͡sʰ
աշխատասեր	ɑʃχɑdɑsɛɾ
սնանկանալ	sənɑŋɡɑnɑl
գարշապար	kʰɑɾʃɑbɑɾ
խիյար	χijɑɾ
գյուղատնտեսական	kʰʏʁɑdəndɛsɑɡɑn
հանճար	hɑnd͡ʒɑɾ
մուրցացի	muɾt͡sʰɑt͡sʰi
ելունդ	jɛluntʰ
բարբանջել	pʰɑɾpʰɑnt͡ʃʰɛl
գործողություն	kʰɔɾd͡zɔʁutʰʏn
աշխատակից	ɑʃχɑdɑɡit͡sʰ
անհրաժեշտություն	ɑnhəɾɑʒɛʃtutʰʏn
դուրգար	tʰuɾkʰɑɾ
հեզաբել	hɛzɑpʰɛl
մոտամոտ	mɔdɑmɔd
թեյ	tʰɛj
պչրուհի	bət͡ʃʰɾuhi
բազում	pʰɑzum
փանջարա	pʰɑnt͡ʃʰɑɾɑ
հարգանք	hɑɾkʰɑŋkʰ
մայրապետ	mɑjɾɑbɛd
ազատականացնել	ɑzɑdɑɡɑnɑt͡sʰənɛl
քաբաբ	kʰɑpʰɑpʰ
համապատասխան	hɑmɑbɑdɑsχɑn
ղպտի	ʁəbdi
առնետավազք	ɑɾnɛdɑvɑskʰ
հնդկաչին	həntʰkɑt͡ʃʰin
կարեկցաբեր	ɡɑɾɛkʰt͡sʰɑpʰɛɾ
ջղայնանալ	t͡ʃʰəʁɑjnɑnɑl
անքաղաքավարություն	ɑŋkʰɑʁɑkʰɑvɑɾutʰʏn
հասու	hɑsu
աննման	ɑnːəmɑn
չեննայ	t͡ʃʰɛnːɑj
ռուբլի	ɾupʰli
ցածր	t͡sʰɑd͡zəɾ
գռեհիկ	kʰəɾɛhiɡ
գիտնական	kʰidnɑɡɑn
հազարապետ	hɑzɑɾɑbɛd
առեւտրային	ɑɾɛvdəɾɑjin
բնակչություն	pʰənɑkʰt͡ʃʰutʰʏn
օրյոլ	ɔɾjɔl
հայեր	hɑjɛɾ
բացորոշաբար	pʰɑt͡sʰɔɾɔʃɑpʰɑɾ
աղավաղել	ɑʁɑvɑʁɛl
երկնաքեր	jɛɾɡnɑkʰɛɾ
քիշնեւ	kʰiʃnɛv
երկնչել	jɛɾɡənt͡ʃʰɛl
գանգաթիթեռ	kʰɑŋkʰɑtʰitʰɛɾ
սացիվի	sɑt͡sʰivi
մարգ	mɑɾkʰ
խելագար	χɛlɑkʰɑɾ
կամավոր	ɡɑmɑvɔɾ
չինական	t͡ʃʰinɑɡɑn
մածուկ	mɑd͡zuɡ
սանդաթակ	sɑntʰɑtʰɑɡ
հալիկառնաս	hɑliɡɑɾnɑs
հրատարակել	həɾɑdɑɾɑɡɛl
մանվածապատություն	mɑnvɑd͡zɑbɑdutʰʏn
էմիգրանտ	ɛmikʰɾɑnd
հյուս	hʏs
մոլորել	mɔlɔɾɛl
թաշկինակ	tʰɑʃkinɑɡ
հնարք	hənɑɾkʰ
կեղծիք	ɡɛʁd͡zikʰ
ուլունք	uluŋkʰ
սիրվել	siɾvɛl
գազան	kʰɑzɑn
անվավեր	ɑnvɑvɛɾ
չեղարկել	t͡ʃʰɛʁɑɾɡɛl
օտարագիր	ɔdɑɾɑkʰiɾ
պալատ	bɑlɑd
ալտ	ɑld
սլովակիա	slɔvɑɡjɑ
հաննիբալ	hɑnːipʰɑl
ընդունել	əntʰunɛl
վին	vin
սեւրուկյան	sɛvɾuɡjɑn
ճանաչում	d͡ʒɑnɑt͡ʃʰum
դոդ	tʰɔtʰ
խառատահաստոց	χɑɾɑdɑhɑstɔt͡sʰ
անբարյացակամ	ɑnpʰɑɾjɑt͡sʰɑɡɑm
ամանոս	ɑmɑnɔs
քասթինգ	kʰɑstʰiŋkʰ
ողորմել	vɔʁɔɾmɛl
դուն	tʰun
ղեկավարություն	ʁɛɡɑvɑɾutʰʏn
պուճուրիկ	bud͡ʒuɾiɡ
չուլ	t͡ʃʰul
ինթերն	intʰɛɾn
ջրանուն	t͡ʃʰəɾɑnun
տաղանդ	dɑʁɑntʰ
մասիս	mɑsis
տորմիղ	dɔɾmiʁ
քրքիջ	kʰəɾkʰit͡ʃʰ
քարածուխ	kʰɑɾɑd͡zuχ
վարս	vɑɾs
չեչնիա	t͡ʃʰɛt͡ʃʰnjɑ
ր	ɾə
սլովակերեն	slɔvɑɡɛɾɛn
խատուտիկ	χɑdudiɡ
քոչվորական	kʰɔt͡ʃʰvɔɾɑɡɑn
ջութ	t͡ʃʰutʰ
ռիսկ	ɾisk
անոթ	ɑnɔtʰ
սահել	sɑhɛl
պատճառավ	bɑdd͡ʒɑɾɑv
պուատիեցի	buɑdjɛt͡sʰi
մաս	mɑs
տաքավուն	dɑkʰɑvun
զիմբաբվե	zimpʰɑpʰvɛ
ղիամաթ	ʁijɑmɑtʰ
վիետնամական	vjɛdnɑmɑɡɑn
կարմիր	ɡɑɾmiɾ
կռվախնձոր	ɡəɾvɑχənt͡sʰɔɾ
կաք	ɡɑkʰ
սրտխփոց	səɾdχəpʰɔt͡sʰ
մատթեոս	mɑtʰːɛɔs
ակնկալել	ɑɡəŋɡɑlɛl
մասին	mɑsin
ագուռ	ɑkʰuɾ
մյունխեն	mʏnχɛn
երկայնք	jɛɾɡɑjŋkʰ
օլիգարխ	ɔlikʰɑɾχ
հոգեբանական	hɔkʰɛpʰɑnɑɡɑn
սինլքոր	sinləkʰɔɾ
սրտաշարժաբար	səɾdɑʃɑɾʒɑpʰɑɾ
սրճել	səɾd͡ʒɛl
շաբաթվա	ʃɑpʰɑtʰvɑ
արաբիա	ɑɾɑpʰjɑ
դոշակ	tʰɔʃɑɡ
գահավանդ	kʰɑhɑvɑntʰ
հյուրասրահ	hʏɾɑsəɾɑh
բարտի	pʰɑɾdi
հայացի	hɑjɑt͡sʰi
սպանիա	əspɑnjɑ
անրակ	ɑnɾɑɡ
երվազ	jɛɾvɑz
եղջյուր	jɛχt͡ʃʰʏɾ
ոսոխ	vɔsɔχ
փարգալ	pʰɑɾkʰɑl
դաբրո	tʰɑpʰɾɔ
հյուրերդ	hʏɾɛɾətʰ
ռեմեն	ɾɛmɛn
ասֆալտ	ɑsfɑld
խրոխտաբար	χəɾɔχtɑpʰɑɾ
համբերել	hɑmpʰɛɾɛl
իտալերեն	idɑlɛɾɛn
սովալլուկ	sɔvɑlːuɡ
անկեղծություն	ɑŋɡɛʁd͡zutʰʏn
գուշակվել	kʰuʃɑɡvɛl
բրեժնեւ	pʰɾɛʒnɛv
յարմարկա	jɑɾmɑɾɡɑ
որդ	vɔɾtʰ
թեորիապես	tʰɛɔɾjɑbɛs
հյունքյարպեյենտյան	hʏŋkʰjɑɾbɛjɛndjɑn
աղաթոն	ɑʁɑtʰɔn
շունչ	ʃunt͡ʃʰ
բիզնեսմեն	pʰiznɛsmɛn
երկրաբանություն	jɛɾɡɾɑpʰɑnutʰʏn
խայտուց	χɑjdut͡sʰ
ֆիլիպ	filib
կոֆեին	ɡɔfɛin
զբոսնել	əspʰɔsnɛl
օքսիդենտալ	ɔkʰsitʰɛndɑl
գործ	kʰɔɾd͡z
ընտանի	əndɑni
նախապայման	nɑχɑbɑjmɑn
նամ	nɑm
թիկնեղ	tʰiɡnɛʁ
մլուկ	məluɡ
դանդաղ	tʰɑntʰɑʁ
ճիտք	d͡ʒitkʰ
կենալ	ɡɛnɑl
սերմնաբջիջ	sɛɾmnɑpʰət͡ʃʰit͡ʃʰ
ծաղիկ	d͡zɑʁiɡ
հագուստ	hɑkʰust
այսու	ɑjsu
հապաղեցնել	hɑbɑʁɛt͡sʰənɛl
չելյաբինսկ	t͡ʃʰɛljɑpʰinsk
հանդիսացող	hɑntʰisɑt͡sʰɔʁ
աղջիկ	ɑχt͡ʃʰiɡ
հրճվանք	həɾd͡ʒvɑŋkʰ
լռելյայն	ləɾɛljɑjn
ծույլ	d͡zujl
թենեդոս	tʰɛnɛtʰɔs
երկյուղածորեն	jɛɾɡʏʁɑd͡zɔɾɛn
գուպար	kʰubɑɾ
ստամբակություն	əstɑmpʰɑɡutʰʏn
սուկրե	suɡɾɛ
գրտնակ	kʰəɾdnɑɡ
մաղթել	mɑχtʰɛl
տաս	dɑs
հովհաննես	hɔvhɑnːɛs
միլիմետր	milimɛdəɾ
պայուսյակ	bɑjusjɑɡ
գնարբուկ	kʰənɑɾpʰuɡ
կառք	ɡɑɾkʰ
բառացի	pʰɑɾɑt͡sʰi
ասորեստան	ɑsɔɾɛstɑn
բահրեյն	pʰɑhɾɛjn
դուլ	tʰul
հարբուխ	hɑɾpʰuχ
արարյալ	ɑɾɑɾjɑl
տիրապետում	diɾɑbɛdum
հավաքական	hɑvɑkʰɑɡɑn
հրկիզում	həɾɡizum
գելել	kʰɛlɛl
շառաչ	ʃɑɾɑt͡ʃʰ
հաշտ	hɑʃt
գովազդ	kʰɔvɑstʰ
հռետորաբանություն	hɾɛdɔɾɑpʰɑnutʰʏn
լոբբի	lɔpʰːi
շփական	ʃəpʰɑɡɑn
ռավիոլի	ɾɑviɔli
չեզոք	t͡ʃʰɛzɔkʰ
մաշկաթեւ	mɑʃkɑtʰɛv
լրագրություն	ləɾɑkʰɾutʰʏn
հանձնարարել	hɑnt͡sʰnɑɾɑɾɛl
եդեսացի	jɛtʰɛsɑt͡sʰi
հավաի	hɑvɑi
փասվորդ	pʰɑsvɔɾtʰ
տելուր	dɛluɾ
լեզվանի	lɛzvɑni
հերոսուհի	hɛɾɔsuhi
շնդեղ	ʃəntʰɛʁ
լաճ	lɑd͡ʒ
կարիճ	ɡɑɾid͡ʒ
քրտնել	kʰəɾdənɛl
անդյա	ɑntʰjɑ
սամույր	sɑmujɾ
պահածոյանալ	bɑhɑd͡zɔjɑnɑl
զանգված	zɑŋkʰvɑd͡z
ճպուռ	d͡ʒəbuɾ
խենթ	χɛntʰ
ապար	ɑbɑɾ
արդյոք	ɑɾtʰjɔkʰ
աղ	ɑʁ
անոնք	ɑnɔŋkʰ
ադրբեջան	ɑtʰəɾpʰɛt͡ʃʰɑn
ոռ	vɔɾ
կանոն	ɡɑnɔn
քմծիծաղ	kʰəmd͡zid͡zɑʁ
գրոհային	kʰəɾɔhɑjin
եկ	jɛɡ
մենաբարբառ	mɛnɑpʰɑɾpʰɑɾ
կույս	ɡujs
համահիմնադիր	hɑmɑhimnɑtʰiɾ
երշիկ	jɛɾʃiɡ
հաբսբուրգ	hɑpʰspʰuɾkʰ
դոխ	tʰɔχ
գիր	kʰiɾ
նախատեսնել	nɑχɑdɛsnɛl
հիմ	him
սքեյթբորդ	əskʰɛjtʰpʰɔɾtʰ
իքեն	ikʰɛn
քարոզել	kʰɑɾɔzɛl
սրիչ	səɾit͡ʃʰ
նավարար	nɑvɑɾɑɾ
կայան	ɡɑjɑn
մխիթարել	məχitʰɑɾɛl
երեկոյան	jɛɾɛɡɔjɑn
մաշկաթիթեղ	mɑʃkɑtʰitʰɛʁ
ֆրանսիական	fɾɑnsjɑɡɑn
մեռոն	mɛɾɔn
նազ	nɑz
հրաձգարան	həɾɑt͡sʰəkʰɑɾɑn
դետրոյտ	tʰɛdɾɔjd
պերկես	bɛɾɡɛs
քյոլն	kʰjɔln
ադանա	ɑtʰɑnɑ
փողորակ	pʰɔʁɔɾɑɡ
կախաղան	ɡɑχɑʁɑn
հորա	hɔɾɑ
լաչառ	lɑt͡ʃʰɑɾ
բեխաբար	pʰɛχɑpʰɑɾ
ջերմություն	t͡ʃʰɛɾmutʰʏn
ալմանախ	ɑlmɑnɑχ
բիլ	pʰil
սրտառուչ	səɾdɑɾut͡ʃʰ
դոլմա	tʰɔlmɑ
ալբատրոս	ɑlpʰɑdɾɔs
գետահովիտ	kʰɛdɑhɔvid
խուց	χut͡sʰ
ամոթ	ɑmɔtʰ
կնյուն	ɡənʏn
հեղինակ	hɛʁinɑɡ
փայլածու	pʰɑjlɑd͡zu
պայմանական	bɑjmɑnɑɡɑn
պող	bɔʁ
վերջնալույս	vɛɾt͡ʃʰnɑlujs
ինի	ini
գուգո	kʰukʰɔ
ուրմիա	uɾmijɑ
կապել	ɡɑbɛl
ոգեշնչել	vɔkʰɛʃənt͡ʃʰɛl
դ	tʰə
կարճամետրաժ	ɡɑɾd͡ʒɑmɛdɾɑʒ
խտղտացնել	χədəʁdɑt͡sʰənɛl
կաթնամթերք	ɡɑtʰnɑmətʰɛɾkʰ
որոմ	vɔɾɔm
հեւք	hɛfkʰ
թեքում	tʰɛkʰum
ուրվական	uɾvɑɡɑn
եչ	jɛt͡ʃʰ
գաղատիա	kʰɑʁɑdjɑ
սավան	sɑvɑn
չիք	t͡ʃʰikʰ
ամայանալ	ɑmɑjɑnɑl
վերջնաժամկետ	vɛɾt͡ʃʰnɑʒɑmɡɛd
բլնգազ	pʰələŋkʰɑz
թմփլիկ	tʰəmpʰəliɡ
դեռեւս	tʰɛɾɛvəs
մյանմա	mjɑnmɑ
ոստայնանկ	vɔstɑjnɑŋɡ
ստորագրել	əstɔɾɑkʰɾɛl
կախվածություն	ɡɑχvɑd͡zutʰʏn
զարթնել	zɑɾtʰnɛl
վախ	vɑχ
արբանյակ	ɑɾpʰɑnjɑɡ
մրգավաճառ	məɾkʰɑvɑd͡ʒɑɾ
սզնի	səzni
լիքը	likʰə
ակնախնձոր	ɑɡnɑχənt͡sʰɔɾ
վարել	vɑɾɛl
գես	kʰɛs
սովորական	sɔvɔɾɑɡɑn
ահագին	ɑhɑkʰin
աուլիս	ɑulis
խոպոպիկ	χɔbɔbiɡ
բարեգործական	pʰɑɾɛkʰɔɾd͡zɑɡɑn
առողջություն	ɑɾɔχt͡ʃʰutʰʏn
կիրակի	ɡiɾɑɡi
հադես	hɑtʰɛs
ռեխ	ɾɛχ
ալկայոս	ɑlɡɑjɔs
շնորհիվ	ʃənɔɾiv
թել	tʰɛl
նամիբիա	nɑmipʰjɑ
գորշուկ	kʰɔɾʃuɡ
թոխար	tʰɔχɑɾ
էլեկտրոնային	ɛlɛɡdɾɔnɑjin
հնգամյա	həŋkʰɑmjɑ
ստորագրություն	əstɔɾɑkʰɾutʰʏn
դավի	tʰɑvi
հնավուն	hənɑvun
զվարճություն	zəvɑɾd͡ʒutʰʏn
փայլունակ	pʰɑjlunɑɡ
տանել	dɑnɛl
դեսպանատուն	tʰɛspɑnɑdun
կլարա	ɡlɑɾɑ
բողբոջել	pʰɔχpʰɔt͡ʃʰɛl
պահք	bɑhkʰ
հոմանիշ	hɔmɑniʃ
վերուվար	vɛɾuvɑɾ
համբարձումյան	hɑmpʰɑɾt͡sʰumjɑn
արմին	ɑɾmin
բնապատկեր	pʰənɑbɑdɡɛɾ
բարօրություն	pʰɑɾɔɾutʰʏn
մատուտակ	mɑdudɑɡ
պինդ	bintʰ
կոնֆետ	ɡɔnfɛd
կոչեցյալ	ɡɔt͡ʃʰɛt͡sʰjɑl
թախտաջյան	tʰɑχtɑt͡ʃʰjɑn
խստիվ	χəstiv
ղ	ʁə
բշտիկ	pʰəʃtiɡ
լայպցիգ	lɑjpʰt͡sʰikʰ
հրաշակերտ	həɾɑʃɑɡɛɾd
պարսկական	bɑɾskɑɡɑn
չայնիկ	t͡ʃʰɑjniɡ
թուրինջ	tʰuɾint͡ʃʰ
ուրարտացի	uɾɑɾdɑt͡sʰi
եատմ	jɛɑdəmə
սանկցիա	sɑŋkʰt͡sʰjɑ
խշտիկ	χəʃtiɡ
ոսկեհուռ	vɔskɛhuɾ
հոհենցոլեր	hɔhɛnt͡sʰɔlɛɾ
բնագիր	pʰənɑkʰiɾ
մաշարա	mɑʃɑɾɑ
ընդավոր	əntʰɑvɔɾ
յասաման	jɑsɑmɑn
դատական	tʰɑdɑɡɑn
պարսկացում	bɑɾskɑt͡sʰum
յուրովին	juɾɔvin
ազգություն	ɑskʰutʰʏn
նշագեղձ	nəʃɑkʰɛʁd͡z
արխիվ	ɑɾχiv
արդուկ	ɑɾtʰuɡ
անտանանարիվու	ɑndɑnɑnɑɾivu
դպիր	tʰəbiɾ
ռուստամյան	ɾustɑmjɑn
հեռուստաընկերություն	hɛɾustɑəŋɡɛɾutʰʏn
բիսլամա	pʰislɑmɑ
բարեգործություն	pʰɑɾɛkʰɔɾd͡zutʰʏn
կոտայք	ɡɔdɑjkʰ
աբխազական	ɑpʰχɑzɑɡɑn
հհ	həhə
խոպոպիլ	χɔbɔbil
հինդի	hintʰi
աբսոլյուտ	ɑpʰsɔlʏd
կուլակ	ɡulɑɡ
եպիսկոպոս	jɛbiskɔbɔs
բնակել	pʰənɑɡɛl
տուտուզ	duduz
քառակուսի	kʰɑɾɑɡusi
մասնաշենք	mɑsnɑʃɛŋkʰ
հյուսիսային	hʏsisɑjin
օթաղ	ɔtʰɑʁ
հիասթափում	hijɑstʰɑpʰum
հավր	hɑvəɾ
գոչյուն	kʰɔt͡ʃʰʏn
վայրկյանաչափ	vɑjɾɡjɑnɑt͡ʃʰɑpʰ
վաղնջահայերեն	vɑʁənt͡ʃʰɑhɑjɛɾɛn
գերքաղաք	kʰɛɾkʰɑʁɑkʰ
հոժարություն	hɔʒɑɾutʰʏn
պողոսյան	bɔʁɔsjɑn
կախարդ	ɡɑχɑɾtʰ
ժանտաքիս	ʒɑndɑkʰis
միրհավ	miɾhɑv
օպերային	ɔbɛɾɑjin
ներ	nɛɾ
ղազախ	ʁɑzɑχ
կովադիաց	ɡɔvɑtʰijɑt͡sʰ
մարդամեքենա	mɑɾtʰɑmɛkʰɛnɑ
հարսանեկան	hɑɾsɑnɛɡɑn
հալածանք	hɑlɑd͡zɑŋkʰ
ուղիղ	uʁiʁ
ավյուն	ɑvʏn
օբամա	ɔpʰɑmɑ
հավալուսն	hɑvɑlusən
ասուն	ɑsun
գեղցի	kʰɛχt͡sʰi
շերտ	ʃɛɾd
աջարացի	ɑt͡ʃʰɑɾɑt͡sʰi
տապ	dɑb
ռեզերֆորդիում	ɾɛzɛɾfɔɾtʰijum
անելիք	ɑnɛlikʰ
զոմբի	zɔmpʰi
առհարյուր	ɑɾhɑɾʏɾ
պիտանի	bidɑni
ձախլիկ	t͡sʰɑχliɡ
նժույգ	nəʒujkʰ
կափարիչ	ɡɑpʰɑɾit͡ʃʰ
լիտվերեն	lidvɛɾɛn
ալկոհոլիզմ	ɑlɡɔhɔlizm
լվացքի	ləvɑt͡sʰkʰi
հիասքանչ	hijɑskʰɑnt͡ʃʰ
կացին	ɡɑt͡sʰin
դյուցազն	tʰʏt͡sʰɑzən
առավոտանալ	ɑɾɑvɔdɑnɑl
գագաթնաժողով	kʰɑkʰɑtʰnɑʒɔʁɔv
կանաչազարդ	ɡɑnɑt͡ʃʰɑzɑɾtʰ
սակավաթիվ	sɑɡɑvɑtʰiv
հանգստապատառ	hɑŋkʰəstɑbɑdɑɾ
քեոփս	kʰɛɔpʰs
բարբաջանք	pʰɑɾpʰɑt͡ʃʰɑŋkʰ
բավարար	pʰɑvɑɾɑɾ
կասկածյալ	ɡɑskɑd͡zjɑl
գեղեցկուհի	kʰɛʁɛt͡sʰkuhi
ջրածին	t͡ʃʰəɾɑd͡zin
աստված	ɑstvɑd͡z
հանվել	hɑnvɛl
դեղին	tʰɛʁin
մոխրոտ	mɔχɾɔd
գանգրաշուք	kʰɑŋkʰɾɑʃukʰ
վեճ	vɛd͡ʒ
ձգտում	t͡sʰəkʰtum
ուղղագրություն	uʁːɑkʰɾutʰʏn
համեստորեն	hɑmɛstɔɾɛn
խաթեր	χɑtʰɛɾ
շիկանալ	ʃiɡɑnɑl
զննող	zənːɔʁ
աղբյուր	ɑχpʏɾ
նպաստավոր	nəbɑstɑvɔɾ
ռեհան	ɾɛhɑn
թելավ	tʰɛlɑv
հրել	həɾɛl
զարհուրկոտ	zɑɾhuɾɡɔd
ապրել	ɑbɾɛl
գառնենի	kʰɑɾnɛni
լերդաբույթ	lɛɾtʰɑpʰujtʰ
պատրաստակամ	bɑdɾɑstɑɡɑm
անվճռական	ɑnvəd͡ʒɾɑɡɑn
վրա	vəɾɑ
կալնել	ɡɑlnɛl
աբո	ɑpʰɔ
ձայնապնակ	t͡sʰɑjnɑbənɑɡ
ներում	nɛɾum
տագերակին	dɑkʰɛɾɑɡin
գանգատ	kʰɑŋkʰɑd
պոլիս	bɔlis
ներբող	nɛɾpʰɔʁ
գալստուկ	kʰɑlstuɡ
անկաշկանդ	ɑŋɡɑʃkɑntʰ
ենթադրել	jɛntʰɑtʰɾɛl
հավանել	hɑvɑnɛl
հակասեմիտականություն	hɑɡɑsɛmidɑɡɑnutʰʏn
ագրեսիա	ɑkʰɾɛsjɑ
ագաթ	ɑkʰɑtʰ
մերձենալ	mɛɾt͡sʰɛnɑl
հարակիրի	hɑɾɑɡiɾi
խունտա	χundɑ
անհետ	ɑnhɛd
մռեղ	məɾɛʁ
ձաղկ	t͡sʰɑχk
գուղձ	kʰuχt͡sʰ
միավ	mijɑv
մուրճ	muɾd͡ʒ
աքեմենյան	ɑkʰɛmɛnjɑn
պրոլյուվիալ	bɾɔlʏvijɑl
արճիճ	ɑɾd͡ʒid͡ʒ
ահաբեկիչ	ɑhɑpʰɛɡit͡ʃʰ
երկայնաբազուկ	jɛɾɡɑjnɑpʰɑzuɡ
վերադարձ	vɛɾɑtʰɑɾt͡sʰ
ահաբեկչություն	ɑhɑpʰɛkʰt͡ʃʰutʰʏn
պոռոտ	bɔɾɔd
հայտ	hɑjd
թողություն	tʰɔʁutʰʏn
խորհրդակցություն	χɔɾəɾtʰɑkʰt͡sʰutʰʏn
ջահուկցի	t͡ʃʰɑhukʰt͡sʰi
հասցե	hɑst͡sʰɛ
քամոց	kʰɑmɔt͡sʰ
գաղիանոս	kʰɑʁjɑnɔs
վավեր	vɑvɛɾ
քերականորեն	kʰɛɾɑɡɑnɔɾɛn
ձնագնդիկ	t͡sʰənɑkʰəntʰiɡ
լորձունք	lɔɾt͡sʰuŋkʰ
ծախսել	d͡zɑχsɛl
միավորում	mijɑvɔɾum
խորդուբորդ	χɔɾtʰupʰɔɾtʰ
