زرتشتی	zæɾtoʃtiː
آزادی	ɒːzɒːdiː
گزنه	ɡæzne
تهدید کردن	tæhdiːdkæɾdæn
کفش راحتی	kæfʃeɾɒːhætiː
وق	væɢ
خواسته بود	xɒːstebúd
آزادی بیان	ɒːzɒːdiːjebejɒːn
فن	fæn
اطمینان داشتن	etmiːnɒːndɒːʃtæn
گزاف گفتن	ɡæzɒːfɡoftæn
نابینا	nɒːbiːnɒː
زنجبیل	zænd͡ʒebiːl
نایپیداو	nɒːjpiːdɒːv
احتیاج داشتن	ehtiːɒːd͡ʒdɒːʃtæn
موز	moʊz,mouːz
جمهوری‌خواه	d͡ʒomhuːɾiːxɒːh
نوک پستان	nokepestɒːn
آبگینه	ɒːbɡiːne
مخاطب	moxɒːtæb
موریانه	muːɾiːjɒːne
غیب	ɢejb
پیوستن	pejvæstæn
نقل	noɢl,næɢl
سپاسگزارم	sepɒːsɡozɒːɾæm
بلیط	beliːt
پینه بستن	piːnebæstæn
خیّاط	xæjjɒːt
اظهار کردن	ezhɒːɾkæɾdæn
عاریه گرفتن	ɒːɾjeɡeɾeftæn
وصفی	væsfiː
برنزه	bɾonze
جبرئیل	d͡ʒebɾæʔiːl
زکام	zokɒːm
خواجگان	xɒːd͡ʒeɡɒːn
نشریه	næʃɾiːje
ستاره سینما	setɒːɾejesiːnæmɒː,setɒːɾejesiːnæmɒː
فرانسوی	fæɾɒːnsæviː
برابری	bæɾɒːbæɾiː
نیلوفر آبی	niːluːfæɾeɒːbiː
آهنگ	ɒːhænɡ
احتیاج	ehtiːɒːd͡ʒ
کوک زدن	kuːkzædæn
چروک خوردن	t͡ʃoɾuːkxoɾdæn
مداد رنگی	medɒːdeɾænɡiː
دورنگاریدن	duːɾneɡɒːɾiːdæn
سرود ملی	suːɾuːdemelliː
نشانه گرفتن	neʃɒːneɡeɾeftæn
حلزون	hælæzuːn
بیمار	biːmɒːɾ
فردوس	feɾdoʊs
بر زدن	beɾzædæn,boɾzædæn
پاپوش	pɒːpoʃ
کفیر	kefiːɾ
کوچه زدن	kuːt͡ʃezædæn
دفن	dæfn
فردا صبح	fæɾdɒːsobh
برانگیزنده	bæɾɒːnɡiːzænde,bæɾɒːnɡiːzændæ
الحمد لله	ælhæmdoleʔllɒːh
لاس زدن	lɒːszædæn
بعد از	bæʔdæz
ماه گذشته	mɒːheɡozæʃte
تکنیک	tekniːk
نقاب زدن	neɢɒːbzædæn
حمایت کردن	hemɒːjætkæɾdæn
درد دل کردن	kæɾdæn
خارجی	xɒːɾed͡ʒiː
شنیدن	ʃeniːdæn
فرضی	fæɾziː
هاشور	hɒːʃuːɾ
جیبوتی	d͡ʒiːbuːtiː
اتحادیه اروپا	ettehɒːdiːjeoɾuːpɒː
باراک	bɒːɾɒːk
چالش	t͡ʃɒːleʃ
بمب ساعتی	bombesɒːʔætiː
گسترش یافتن	ɡostæɾeʃjɒːftæn
هجوم	hod͡ʒuːm
پیشنهاد دادن	piːʃnæhɒːddɒːdæn
ملال آور	mælɒːlɒːvæɾ
دستار	dæstɒːɾ
پریدن	pæɾiːdæn
چسب	t͡ʃæsb
ارنی ترنگ	oɾniːtoɾænɡ
چندک زدن	t͡ʃondækzædæn
آبدست	ɒːbdæst
سوئد	suːʔed
با احترام	bɒːehteɾɒːm
تنباکو	tæbɒːko
همکاری	hæmkɒːɾiː
جزر	d͡ʒæzɾ
زبان آفریکانس	zæbɒːneɒːfɾiːkɒːns
گریپ فروت	ɡeɾiːpfoɾuːt
سورابایا	suːɾɒːbɒːjɒː
زیرشیروانی	ziːɾeʃiːɾvɒːniː
ضربت	zæɾbæt
می	mej
خاکستری	xɒːkestæɾiː
جامعه	d͡ʒɒːmeʔe
شنگرف	ʃænɡæɾf
پاشا	pɒːʃɒː
تیپا	tiːpɒː
فرمول	foɾmuːl
یهودی	jæhuːdiː
تخته نرد	tæxtenæɾd
آرمانی	ɒːɾmɒːniː
بچه گرگ	bæt͡ʃeɡoɾɡ
خوش اومدین	xoʃuːmædiːn
طلوع	toluːʔ
استونیایی	estuːniːjɒːjiː
جریب	d͡ʒæɾiːb
خواستیم	xɒːstiːm
برادری	bæɾɒːdæɾiː
چادر شب	t͡ʃɒːdæɾeʃæb
رامنی	ɾɒːmniː
چتر	t͡ʃætɾ
انگلیسی قدیم	enɡeliːsiːɢædiːm
دهن	dæhæn
شستشو دادن	ʃosteʃuːdɒːdæn
غسل	ɢosl
کردن	kæɾdæn
سینه زدن	siːnezædæn
عکس	æks
دموکراتیک	demokɾɒːtiːk
گاه	ɡɒːh
فلوئور	feloʔoɾ,foluːʔoɾ,fluːʔoɾ
لپ	lop,lopp
سر دادن	soɾdɒːdæn
نادانی	nɒːdɒːniː
ورود	voɾuːd
علامت زدن	ælɒːmætzædæn
هدهد	hodhod
ایدز	ejdz
شوهرخاله	ʃoʊhæɾxɒːle
سد	sæd
آموزش دادن	ɒːmuːzeʃdɒːdæn
نوک‌اردکی	nokoɾdækiː
وبلاگ	veblɒːɡ
رها کردن	ɾæhɒːkæɾdæn
دیوان	diːvɒːn
شیکاگو	ʃiːkɒːɡo
کاروان	kɒːɾvɒːn
تابستان	tɒːbestɒːn
آبادی	ɒːbɒːdiː
جنگ اسفلال طلبی	d͡ʒænɡeesteɢlɒːltælæbiː
مراکشی	mæɾɒːkeʃiː
نادیا	nɒːdiːjɒː
چشمک زدن	t͡ʃeʃmækzædæn
قند	ɢænd
سفید	sefiːd
حل شدن	hælʃodæn
گند	ɡænd
عاشق شدن	ɒːʃeɢʃodæn
بخیه زدن	bæxiːjezædæn
ابوظبی	æbuːzɒːbiː
فکر افتادن	fekɾoftɒːdæn
فردا شب	fæɾdɒːʃæb
غنوصی	ɢnuːsiː
ارتش	æɾteʃ
بابا نوئل	bɒːbɒːnoʔel
دری	dæɾiː
هجوم آوردن	hod͡ʒuːmɒːvæɾdæn
قل	ɢol
خواهد خواست	xɒːhædxɒːst
ژوئن	ʒuːʔæn
هول	hoʊl
صف	sæf
سنا	senɒː
حماس	hæmɒːs
دوریان	duːɾiːɒːn
نیش و کنایه	niːʃokenɒːje
نیم‌خط	niːmxæt
تخمین	tæxmiːn
حرف ندا	hæɾfenedɒː
دودمانه	duːdmɒːne
هوا	hævɒː
مهره‌دار	mohɾedɒːɾ
مقدار زیاد	meɢdɒːɾeziːjɒːd
پرتاب کردن	pæɾtɒːbkæɾdæn
پرواربندی	pæɾvɒːɾbændiː
صدا دادن	sedɒːdɒːdæn
زیادروی	ziːɒːdeɾæviː
نابرادری	nɒːbæɾɒːdæɾiː
شکوه	ʃokuːh
ودکا	vodkɒː
شوپرک	ʃoʊpæɾæk
تکرار	tekɾɒːɾ,tækɾɒːɾ
منچوری	mænt͡ʃuːɾiː
اندازه زدن	ændɒːzezædæn
زیربغل	ziːɾbæɢæl
فمینیسم	femiːniːsm
موج زدن	moʊd͡ʒzædæn
چراغ مطالعه	t͡ʃeɾɒːɢemotɒːleʔe
لو رفتن	loʊɾæftæn
تاریکی	tɒːɾiːkiː
اظهار	ezhɒːɾ,æzhɒːɾ
سیستم	siːstem
تکیه دادن	tækjedɒːdæn
شاذ	ʃɒːzz
خواهش می‌کنم	xwɒːheʃmiːkonæm,xɒːheʃmiːkonæm
بیشه	biːʃe
عجله	æd͡ʒæle
روس	ɾuːs
چاله	t͡ʃɒːle
رومی	ɾuːmiː
خرمالو	xoɾmɒːluː
فاس	fɒːs
روتیل	ɾuːtiːl
خانه	xɒːne,xɒːnæ
دل سوختن	delsuːxtæn
باخ	bɒːx
خرده گرفتن	xoɾdeɡeɾeftæn
پس‌زمینه	pæszæmiːne
ادا درآوردن	ædɒːdæɾɒːvæɾdæn
همچنین	hæmt͡ʃeniːn
آنگولا	ɒːnɡuːlɒː
جهد کردن	d͡ʒæhdkæɾdæn
دکتر داروساز	doktoɾedɒːɾuːsɒːz
قياس کردن	ɢiːɒːskæɾdæn
دزدی	dozdiː
دوستی	duːstiː
روی سخته	ɾuːjsæxte
حشیش زدن	hæʃiːʃzædæn
اعلامیه زدن	eʔlɒːmiːjezædæn
بسیار	besiːjɒːɾ
شوهر دادن	ʃohæɾdɒːdæn
گرجستان	ɡoɾd͡ʒestɒːn
راحت‌الحلقوم	ɾɒːhætelholɢuːm
تن کردن	tænkæɾdæn
کافی	kɒːfiː
اندیشیدن	ændiːʃiːdæn
ديوانه	diːvɒːne
سیاه	siːjɒːh
شمال شرقی	ʃæmɒːleʃæɾɢiː,ʃomɒːleʃæɾɢiː
جهاد	d͡ʒehɒːd
عربده	æɾbæde
دانمارکی	dɒːnmɒːɾkiː
نژادی	neʒɒːdiː
جان گرفتن	d͡ʒɒːnɡeɾeftæn
امسال	emsɒːl
طبقه کارگر	tæbæɢejekɒːɾɡæɾ
خنجر زدن	xænd͡ʒæɾzædæn
جهنم	d͡ʒæhænnæm
شیعی	ʃiːʔiː
کمین گرفتن	kæmiːnɡeɾeftæn
مستقل	mostæɢel
گذشته	ɡozæʃte
قرقاول	ɢæɾɢɒːvol
کتاب‌فروشی	ketɒːbfoɾoʃiː
كروآت	kɾoɒːt
فیصل‌آباد	fejsælɒːbɒːd
حدیث	hædiːs
بین‌المللی	bejnolmelæliː
محاکمه	mohɒːkeme
پوچ	puːt͡ʃ
هلیکوپتر	heliːkuːpteɾ
نازک	nɒːzek
آبریز	ɒːbɾiːz
کیمیاگر	kiːmiːɒːɡæɾ
سیلی زدن	siːliːzædæn
میلک شیک	miːlkʃejk
کابوس	kɒːbuːs
تک‌تیرانداز	tæktiːɾændɒːz
داشتیم می‌خواستیم	dɒːʃtiːmmíxɒːstiːm
حضور داشتن	hozuːɾdɒːʃtæn
مهمانی منزل مبارکی	mehmɒːniːjemænzelemobɒːɾækiː
اختصاص دادن	extesɒːsdɒːdæn
پرتقال	poɾteɢɒːl
تشویق کردن	tæʃviːɢkæɾdæn
تتراهیدروکانابینول	tetɾɒːhiːdɾokɒːnɒːbiːnol
حركت	hæɾekæt
میوه	miːve
رگ زدن	ɾæɡzædæn
آب کشیدن	ɒːbkeʃiːdæn
بسط دادن	bæstdɒːdæn
اختیار دادن	extiːɒːɾdɒːdæn
اتهام	ettehɒːm
زبان تاجیکی	zæbɒːnetɒːd͡ʒiːkiː
محمد	mohæmmæd
به قلاب انداختن	beɢollɒːbændɒːxtæn
معالجه	moʔɒːled͡ʒe
یورش آوردن	joɾeʃɒːvæɾdæn
آلش	ɒːlæʃ
جشن گرفتن	d͡ʒɒːʃnɡeɾeftæn
پورنوگرافی	poɾnoɡɾɒːfiː
حتما	hætmæn
تخت طاووس	tæxtetɒːvuːs
نو	noʊ,nouː,nuː
تلفن زدن	telefonzædæn,telefonzædæn
قناری	ɢænɒːɾiː
کتاب داوران	ketɒːbdæwɾæn
فرمانده کل قوا	fæɾmɒːndejekolleɢovɒː
توجه	tævæd͡ʒd͡ʒoh
برای اینکه	bæɾɒːjeiːnke
شفتالو	ʃæftɒːluː
جیمز	d͡ʒejmz
تعلق گرفتن	tæʔælloɢɡeɾeftæn
افشنگ	æfʃænɡ
تفریح	tæfɾiːh
علامت خوردن	ælɒːmætxoɾdæn
رومنی	ɾuːmniː
صورت دادن	suːɾætdɒːdæn
اسير	æsiːɾ
جلال‌آباد	d͡ʒælɒːlɒːbɒːd
مرغابی	moɾɢɒːbiː
پشتک زدن	poʃtækzædæn
ساس	sɒːs
پختن	poxtæn
آرام شدن	ɒːɾɒːmʃodæn
رنگین‌کمان	ɾænɡiːnkæmɒːn
انگ	ænɡ
دوباره!	dobɒːɾe
این به اون در	iːnbeondæɾ
طلایی	tælɒːjiː
جدول تناوبی	d͡ʒædvæletænɒːvobiː
ترنسنیستریا	tɾænsniːstɾiːjɒː
آرزو داشتن	ɒːɾezuːdɒːʃtæn,ɒːɾezuːdɒːʃtæn
صربی	seɾbiː,sæɾbiː
فوران زدن	fævæɾɒːnzædæn
ران	ɾɒːn
غزال	ɢæzɒːl
نجات دادن	ned͡ʒɒːtdɒːdæn
زدودن	zoduːdæn
تازیانه	tɒːziːɒːne,tɒːziːjɒːne
زبان‌شناسی	zæbɒːnʃenɒːsiː
آمین	ɒːmiːn
ریز	ɾiːz
قاهره	ɢɒːheɾe
سازدهنی	sɒːzdæhæniː
شکنجه	ʃekænd͡ʒe
ضرورت	zæɾuːɾæt
واژه	vɒːʒe
مکاتبه داشتن	mokɒːbebedɒːʃtæn
ارومیه	oɾuːmiːe
عر کشیدن	æɾkeʃiːdæn
یورش بردن	joɾeʃboɾdæn
یاس	jɒːs
فشار	feʃæɾ
احتياط	ehtiːɒːt
ایسلندی	ʔiːslændiː
قرارملاقات گرفتن	emolɒːɢɒːtɡeɾeftæn
تحمیل	tæhmiːl
شبه‌جزیره	ʃebed͡ʒæziːɾe
لیتر	liːtɾ
جنگ جهانی یكم	d͡ʒænɡed͡ʒæhɒːniːejekom
بررسی	bæɾɾesiː
حركت درآوردن	hæɾekætdæɾɒːvæɾdæn
زلکوا	zelkovɒː
یادگاری	jɒːdeɡɒːɾiː
چشم زخم	t͡ʃeʃmzæxm
قرض	ɢæɾz
گوجه	ɡod͡ʒe,ɡoʊd͡ʒe
بو	buː
دمبل	dæmbel
عضله	ʔæzole
نژاد برتر	neʒɒːdebæɾtæɾ
شلوار	ʃælvɒːɾ
تکیه زدن	tækjezædæn
باور کردن	bɒːvæɾkæɾdæn,bɒːvæɾkæɾdæn
اسب دریایی	æsbedæɾjɒːjiː
هست	hæst
گیوه	ɡiːve
آمیزش جنسی	ɒːmiːzeʃed͡ʒensiː
دریاچه خوارزم	dæɾjɒːt͡ʃeexoɾæzm
جدال	d͡ʒedɒːl
ریمل زدن	ɾiːmelzædæn
فرش	fæɾʃ
ثابت	sɒːbet
خیر	xejɾ
بمب خوردن	bombxoɾdæn
تعقیب	tæʔɢiːb
معنی	mæʔniː
فامیل	fɒːmiːl
نپال	nepɒːl
سیرابی	siːɾɒːbiː
سبد	sæbæd
برج	boɾd͡ʒ
آلو	ɒːluː
اسلام‌گرایی	eslɒːmɡæɾɒːjiː
دوشیزه	douːʃiːze,duːʃiːze
کانبرا	kɒːnbæɾɒː
دانشمند	dɒːneʃmænd
متریک	metɾiːk
دستمال	dæstmɒːl
شطرنج زدن	ʃætɾænd͡ʒzædæn
پدرشوهر	pedæɾʃouːhæɾ,pedæɾʃoʊhæɾ
كیف کردن	kejfkæɾdæn
بسپار	bæspɒːɾ
کشو	keʃo
جهان عرب	d͡ʒæhɒːneʔæɾæb
ممنوع است	memnuːæst
حلقه کردن	hælɢekæɾdæn
خین	xiːn
بکارت	bækɒːɾæt
اظهارنظر	ezhɒːɾenæzæɾ
جورج	d͡ʒoɾd͡ʒ
گره	ɡeɾe,ɡeɾeh
لیمویی	liːmuːjiː
آفریکانز	ɒːfɾiːkɒːnz
رسیدن	ɾæsiːdæn,ɾesiːdæn,ræsiːdæːn
گل زدن	ɡolzædæn,ɡolzædæn
فرستادن	feɾestɒːdæn
یمن	jæmæn
سنباده کشیدن	sombɒːdekeʃiːdæn
طوفان ریگ	tuːfɒːneɾiːɡ
نعره کشیدن	næ’ɾekeʃiːdæn
ندیده	nædiːde
هخامنشی	hæxɒːmæneʃiː
زاری کردن	zɒːɾiːkæɾdæn
واگن	vɒːɡon
در زمان	dæɾzæmɒːne
رودخونه	ɾuːdxuːne
کمک کردن	komækkæɾdæn
باقالا	bɒːɢɒːlɒː
قطب‌نما	ɢotbnæmɒː
دورواژیدن	duːɾvɒːʒiːdæn
ثابت پلانک	sɒːbeteplɒːnk
امان دادن	æmɒːndɒːdæn
سند	sænæd,send
تلمبه زدن	tolombezædæn
ارکستر	oɾkestɾ
خوراک سگ	xoɾɒːksæɡ
فنلاند	fænlɒːnd
عسل	æsæl
بدرقه کردن	bædɾæɢekæɾdæn
بنگ	bænɡ
اسباب	æsbɒːb
سال آینده	sɒːleɒːjænde
ولزی‌ها	velziːhɒː
بندر سری بگاوان	bændæɾseɾiːbeɡɒːvɒːn
چندگانه	t͡ʃændɡɒːne
نمک	næmæk
انگ زدن	ænɡzædæn
ذهنیت	zehniːjjæt
مادراندر	mɒːdæɾændæɾ
قانون	ɢɒːnuːn
عدد صحیح	ædædesæhiːh
همسر	hæmsæɾ
نسبت دادن	nesbætdɒːdæn
می‌خواهی	míxɒːhiː
نگاه کردن	neɡɒːhkæɾdæn,neɡɒːhkæɾdæn
حنا	hænɒː,hennɒː
سکندر کبیر	eskændæɾkæbiːɾ
کارمزد	kɒːɾmozd
اره کشیدن	æɾɾekeʃiːdæn
ساری	sɒːɾiː
تنهایی	tænhɒːjiː
خورشیدفش	xuːɾʃiːdfæʃ
ماسک	mɒːsk
چال	t͡ʃɒːl
دست و پا	dæstopɒː
ریال	ɾiːɒːl
هیزم	hiːzom
کانادا	kɒːnɒːdɒː
پیاز	piːjɒːz
سنجش	sænd͡ʒeʃ
بنتلی	bentliː
کم حرف	kæmhæɾf
ثمر رسیدن	sæmæɾɾesiːdæn
حقیقت	hæɢiːɢæt
توحید	touːhiːd
نوتلا	nuːtelɒː
عق گرفتن	oɢɢɡeɾeftæn
خراب	xæɾɒːb
مسجد	mæsd͡ʒed
دشمنی	doʃmæniː
جیغ کشیدن	d͡ʒiːɢkeʃiːdæn
آسفالت	ɒːsfɒːlt
لگد	læɡæd
مارخور	mɒːɾxoɾ
اکتفا کردن	ektefɒːkæɾdæn
دزدیدن	dozdiːdæn
گاو نر	ɡɒːvenæɾ
بیراهه زدن	biːɾɒːhezædæn
عاریه	ɒːɾje
کوشیدن	kuːŝiːdæn
جادو	d͡ʒɒːduː
خرج	xæɾd͡ʒ
حقه خوردن	hoɢɢexoɾdæn
چبوق	t͡ʃebuːɢ
خبر کردن	xæbæɾkæɾdæn
سالن	sɒːlon
جنگل زدن	d͡ʒænɡælzædæn
نماد	næmɒːd
دنیا آوردن	donjɒːɒːvæɾdæn
بدون	beduːne
شم ارا	ʃomɒːɾɒː
دانشكده	dɒːneʃkæde
لق زدن	læɢzædæn
متی	mætiː
سیلی خوردن	siːliːxoɾdæn
شهردار	ʃæhɾdɒːɾ
حریم	hæɾiːm
دیابت	diːjɒːbet
کوفته	kuːfte
عذاب کشیدن	æzɒːbkeʃiːdæn
ترکستان	toɾkestɒːn
رازآميز	ɾɒːzɒːmiːz
عمل آمدن	æmælɒːmædæn
مستی زدن	mæstiːzædæn
بخشیدن	bæxʃiːdæn
رسم	ɾæsm
نادر	nɒːdeɾ
حشره	hæʃæɾe
زیست‌شناسی	ziːstʃenɒːsiː
معالجه شدن	moʔɒːled͡ʒeʃodæn
واقعی	vɒːɢeiː
پیشه	piːʃæ,piːʃe
ورقه	væɾæɢe
واژهشناسی	vɒːʒeʃenæsiː
یاوه گفتن	jɒːvæɡoftæn
مایکروسافت	mɒːjkɾosoft
پیچیده	piːt͡ʃiːde
گویش	ɡuːjeʃ
آب و هوا	ɒːbohævɒː
جیک	d͡ʒiːk
تورات	tuːɾɒːt,tævɾɒːt
بادام	bɒːdɒːm
همگام	hæmɡɒːm
زبان روسی	zæbɒːneɾuːsiː
پرش	pæɾeʃ
بندی	bændiː
زرشکی	zeɾeʃkiː
نرگس	næɾɡes
اخراج	exɾɒːd͡ʒ
جوش زدن	d͡ʒuːʃzædæn
پیاله زدن	piːɒːlezædæn
نعناع	næʔnɒːʔ
آتش	ɒːtæʃ
خرس	xeɾs
دکوراسیون	dekoɾɒːsjon
ضمنی	zemniː
ساندویچ	sɒːndeviːt͡ʃ
باج گرفتن	bɒːd͡ʒɡeɾeftæn
همایش	hæmɒːjeʃ
بند آوردن	bændɒːvæɾdæn
شمار آوردن	ʃomɒːɾɒːvæɾdæn
باش	bɒːʃ
نیروی دریایی	niːɾuːjedæɾjɒːjiː
گیتاریست	ɡiːtɒːɾiːst
درنگ كردن	dɾænɡkæɾdæn
نقصان یافتن	noɢsɒːnjɒːftæn
ظهور کردن	zohuːɾkæɾdæn
امری	æmɾiː
کلک	kælæk
حنا زدن	hænɒːzædæn
چرتکه	t͡ʃoɾtke
عروسک	ʔæɾuːsæk
پیش از ظهر	piːʃæzzohɾ
بخواهی	bexɒːhiː
جست	d͡ʒæst
خودداری کردن	xoddɒːɾiːkæɾdæn
اره‌ماهی	æɾɾemɒːhiː
یخ	jæx
ورم کردن	væɾæmkæɾdæn
مالدار	mɒːldɒːɾ
دست زدن	dæstzædæn,dæstzædæn
زبان طبیعی	zæmɒːnetæbiːʔiː
تحریم	tæhɾiːm
سداب	sodɒːb
آگره	ɒːɡɾe
سفارش کردن	sefɒːɾeʃkæɾdæn
تخته سیاه	tæxtejesiːjɒːh
پرپر زدن	pæɾpæɾzædæn
گریز	ɡoɾiːz
غروب کردن	ɢoɾuːbkæɾdæn
موعظه کردن	moʔezekæɾdæn
لذت	lezzæt
سه‌نقطه	senoɢte
گیک	ɡiːk
سودمند	suːdmænd
عطسه کردن	ætsekæɾdæn
نوکیا	nuːkiːjɒː
جوانه	d͡ʒævɒːne
تپق زدن	topoɢzædæn
هسته‌ای	hæsteʔiː
یاد آمدن	jɒːdɒːmædæn
درست	doɾost
قبله	ɢeble
استخر	estæxɾ
صدمه خوردن	sædæmexoɾdæn
حساب آمدن	hesɒːbɒːmædæn
جاده	d͡ʒɒːdde
ور	veɾ
نظم دادن	næzmdɒːdæn
بچگی	bæt͡ʃeɡiː
همین	hæmiːn
دختر برادر	doxtæɾebæɾɒːdæɾ
کویت	koveiːt
ربه‌کا	ɾebekɒː
الهام شدن	elhɒːmʃodæn
فضا	fæzɒː
بیشکک	biːʃkek
دیرکرد	diːɾkæɾd
پخته	poxte
کبریت	kebɾiːt
صلیب سرخ	sæliːbesoɾx
نانوا	nɒːnvɒː
گفتن	ɡoftæn
الله آباد	ællɒːhɒːbɒːd
حق	hæɢɢ
دعوت کردن	dæʔvætkæɾdæn
یونیکس	juːniːks
کاتولیک	kɒːtoliːk
برونئی	boɾuːnej
انگوین	ænɡoviːn
هر از گاهی	hæɾæzɡɒːhiː
سیما	siːmɒː
موش‌مردگی زدن	muːʃmoɾdeɡiːzædæn
داشتند می‌خواستند	dɒːʃtændmíxɒːstænd
دریاچه	dæɾjɒːt͡ʃe
قم	ɢom
شیردال	ʃiːɾdɒːl
آئورت	ɒːʔoɾt
ناواهو	nɒːvɒːho
گولاگ	ɡuːlɒːɡ
ها	hɒː
لکهٔ زرد	lækkejezæɾd
آهار	ɒːhɒːɾ
مادرزن	mɒːdæɾzæn
مریم مقدس	mæɾjæmemoɢæddæs
تو	to,tuː
بلخ	bælx
اژدهای بالدار	eʒdehæjebældæɾ
تلفن کردن	telefonkæɾdæn,telefonkæɾdæn
خلاصه	xolɒːse
گریه زدن	ɡeɾjezædæn
بازیکن	bɒːziːkon
مغز	mæɢz
ارزانی	æɾzɒːniː
بسته بندی کردن	bestebændiːkæɾdæn
عصبانیت	æsæbɒːnjjiːæt
نمایاندن	næmɒːjɒːndæn
سوریه	suːɾiːje
برای	bæɾɒːje
شاخص	ʃɒːxes
کشتی نوح	kæʃtiːjenuːh
پرستار	pæɾæstɒːɾ
لمس کردن	læmskæɾdæn
بالا	bɒːlɒː
گنجشک	ɡond͡ʒeʃk
تجدیدنظر کردن	tæd͡ʒdiːdenæzæɾkæɾdæn
آخرت	ɒːxeɾæt
او را	uːɾɒː
ممنون	mæmnuːn
پزشک زایمان	pezeʃkezɒːjemɒːn
طبیب	tæbiːb
نق	neɢ
خاک	xɒːk
بانکوک	bɒːnkok
آدینه	ɒːdiːne
کوستروما	kostɾomɒː
قسمت	ɢesmæt
مثلثات	mosælæsɒːt
شوریدن	ʃuːɾiːdæn
مه تنک	meetonok
سال نوری	sɒːlenuːɾiː
صهیونیسم	sæhjuːniːsm
شکنجه دادن	ʃekænd͡ʒedɒːdæn
هریوا	hæɾejvɒː
وعده	væʔde
دشمن	doʃmæn
دستگاه	dæstɡɒːh
ثمر داشتن	sæmæɾdɒːʃtæn
ویکی	viːkiː
بدبده	bædbæde
حسادت	hesɒːdæt
کپک	kæpæk
سر کیر	sæɾekiːɾ
شبکیه	ʃæbækiːje
شطرنج	ʃætɾænd͡ʒ
معلق زدن	mællæɢzædæn
برانداز کردن	bæɾændɒːzkæɾdæn
مسلسل	mosælsæl
اگر	æɡæɾ
هم​بستر شدن	hæmbæstæɾʃodæn
دعوا	dæʔvɒː
کوچیدن‌	kuːt͡ʃiːdæn
برنج	beɾend͡ʒ
یونانی	juːnɒːniː
آتش کشیدن	ɒːtæʃkeʃiːdæn
موتورگازی	motoɾɡɒːziː
عقب	ʔæɢb,æɢæb
شمردن	ʃemoɾdæn,ʃomoɾdæn
هزار	hezɒːɾ
اوستیا	osetiːjɒː
.واشینگتن دی.سی	vɒːʃenɡtondiː.siː.
دخترعمه	doxtæɾʔæmme,doxtæɾæmme
عقد کردن	æɢdkæɾdæn
اسپرز	espoɾz
حکایت	hekɒːjæt
برنده	bæɾænde
عهده داشتن	ohdedɒːʃtæn
نارنجی	nɒːɾænd͡ʒiː,nɒːɾend͡ʒiː
نگاره	neɡɒːɾæ,neɡɒːɾe
چامه سرایی	t͡ʃɒːmesæɾɒːjiː
احساس کردن	ehsɒːskæɾdæn
تلاش بودن	tælɒːʃbuːdæn
علامت تعجیب	ʔælɒːmætetæʔd͡ʒiːb
مهر	mohɾ,mehɾ
مثلث	mosælæs
آهسته	ɒːheste
هدف	hædæf
پی‌غذا	t͡ʃiːɢæzɒː
هزاردستان	hæzɒːɾdæstɒːn
تعظیم	tæʔziːm
بحث کردن	bæhskæɾdæn
صد	sæd
لقب	læɢæb
مشرق	mæʃɾeɢ
عموزاده	æmuːzɒːde
یاری دادن	jɒːɾiːdɒːdæn
ارج نهادن	æɾd͡ʒnæhɒːdæn
هاینه	hɒːjne
لباس شنا	lebɒːseʃenɒː
بهت زدن	bohtzædæn
زنانگی	zænɒːneɡiː
پس‌فردا	pæsfæɾdɒː
جهالت	d͡ʒ��hɒːlæt
کوشک	kuːʃk
موعظه	moʔeze
انگور	ænɡuːɾ
روده	ɾuːde
تشر زدن	tæʃæɾzædæn
نهیب	næhiːb
تودهنی	tuːdæhæniː
نیشتر	niːʃtæɾ
سس	sos
نسل	næsl
جلو زدن	d͡ʒelozædæn
پایان دادن	pɒːjɒːndɒːdæn
عیبجویی کردن	ʔejbd͡ʒuːjiːkæɾdæn
مراکش	mæɾɒːkeʃ
گرده	ɡoɾde
مخالفت کردن	moxɒːlefætkæɾdæn
پژوهیدن	pæʒuːhiːdæn
فراكهكشانی	fæɾɒːkæhkeʃɒːniː
صبح زود	sobhezuːd
بریتانیا	beɾiːtɒːniːjɒː
تکان خوردن	tekɒːnxoɾdæn
زلاند نو	zelɒːndenouː
شرابی	ʃæɾɒːbiː
بچه قورباغه	bæt͡ʃt͡ʃejeɢuːɾbɒːɢe
محراب	mehɾɒːb
بهار	bæhɒːɾ
کمیاب	kæmjɒːb
محاصره	mohɒːseɾe
تطبیق کردن	tætbiːɢkæɾdæn
آهن	ɒːhæn
اخطار	extɒːɾ
ترشیده	toɾʃiːdæh
یوزپلنگ	juːzpælænɡ
پلنگ	pælænɡ
آغاز	ɒːɢɒːz
فهمیدم	fæhmiːdæm
خشم گرفتن	xæʃmɡeɾeftæn
همنژادان	hæmnæʒɒːdɒːn
اسوار	æsvæɾ
مهم	mohem
زن‌عمو	zænæmuː
سطح	sætæh
ترمتای	tæɾmætɒːj
بلیت	beliːt
باده	bɒːdæ
سریر	sæɾiːɾ
آی‌پاد	ɒːjpɒːd
کشتن	koʃtæn
رعد	ɾæʔd
سواری کردن	sævɒːɾiːkæɾdæn
پیتزا	piːtzɒː
غلت خوردن	ɢæltxoɾdæn
پنجول کشیدن	pænd͡ʒuːlkeʃiːdæn
دختردائی	doxtæɾdɒːʔiː
