memberitahukan	məmbˌɛritahˈukan
Progdi	prˈoɡdi
selangka	səlˈaŋka
Switch	swˈitχ
melalu	məlˈalu
ramadhan	ramˈadhan
Sahudi	sahˈudi
Rabies	rˈabis
Nikkei	nikkˈɛi
Tajinan	tad͡ʒˈinan
whipped	whˈipəd
dalaman	dalˈaman
Sulsel	sˈulsəl
Scholar	sχˈolar
Engagement	ˌɛŋaɡˈɛmənt
Atur	ˈatur
harddisk	hˈarddisk
Cayenne	t͡ʃajˈɛnnə
pelabuhan	pəlabˈuhan
bertaut	bˈɛrta͡ʊt
Suhrawardi	sˌuhrawˈardi
Offline	oflˈinə
kewarganegaraannya	kəwˌarɡanˌɛɡaraˈanɲa
Titin	tˈitin
manusiapun	mˌanusiˈapun
rear	rˈɛar
Fedora	fədˈɔra
aral	ˈaral
uji	ˈud͡ʒi
Singel	sˈiŋəl
kepanjangan	kəpand͡ʒˈaŋan
digelorakan	dˌiɡəlɔrˈakan
rekannya	rəkˈanɲa
dl	dˌeəl
BELUM	bˈɛlum
menjaganya	mənd͡ʒaɡˈaɲa
did	dˈid
cama	t͡ʃˈama
peningkatan	pəniŋkˈatan
ketertinggalan	kətˌɛrtiŋɡˈalan
sediain	sədˈia͡ɪn
Massage	masˈaɡə
Sukmoro	sukmˈɔro
ismail	ˈisma͡ɪl
institutional	ˌinstitˌutiˈonal
proposional	prˌoposiˈonal
Kabuyutan	kˌabujˈutan
istriku	istrˈiku
Call	t͡ʃˈal
murka	mˈurka
Adukan	adˈukan
Penjaminan	pənd͡ʒamˈinan
Muzakkar	muzˈakkar
sehelai	səhˈɛla͡ɪ
kikir	kˈikir
melarang	məlˈaraŋ
rosela	rosˈɛla
maserasi	mˌasərˈasi
ditiap	ditˈiap
UNS	ˈuns
JOGJA	d͡ʒˈoɡd͡ʒa
Indogreen	ˌindoɡrˈɛən
bagus	bˈaɡus
spesialnya	spˌɛsiˈalɲa
innova	innˈova
buleleng	bulˈɛləŋ
Musayyib	musˈajjib
mengungkapan	məŋuŋkˈapan
Nasrallah	nasrˈalah
mengoreksi	məŋɔrˈɛksi
udik	ˈudik
PSMP	pˌeəsˌɛmpˈe
Berbuah	bərbˈuah
Ika	ˈika
temanmu	təmˈanmu
perhektar	pərhˈɛktar
Intruksi	intrˈuksi
Koln	kˈoln
didaerah	dˌidaˈɛrah
beratap	bərˈatap
Dharmayukti	dhˌarmajˈukti
pamor	pˈamɔr
pemeriksaannya	pəmˌɛriksaˈanɲa
asmara	asmˈara
Poroshenko	pˌɔroshˈɛnko
Boyzone	bojzˈonə
Abdillah	abdˈilah
Palmyra	pˈalmjra
Dibobol	dibˈobol
Hermes	hˈɛrməs
dibutukan	dˌibutˈukan
Didalamnya	dˌidalˈamɲa
PKMK	pˌekˌaˌɛmkˈa
konsinyasi	kˌonsiɲˈasi
kebergantungan	kəbˌɛrɡantˈuŋan
Wailan	wˈa͡ɪlan
observer	obsˈɛrvər
komuter	komˈutər
ASDP	ˈasdp
Iriana	ˌiriˈana
sinopsis	sinˈopsis
tamattu	tamˈattu
outline	ˌoutlˈinə
Iodium	ˌiodˈium
BoenkGems	bˈunkɡˈɛms
Scrub	st͡ʃrˈub
ditawar	ditˈawar
devaluasi	dˌɛvaluˈasi
Survive	survˈivə
Toshiba	toshˈiba
samba	sˈamba
payudara	pˌajudˈara
Sholih	shˈolih
Zikri	zˈikri
Ginjal	ɡˈind͡ʒal
Propolis	propˈolis
Juliarti	d͡ʒˌuliˈarti
pemarah	pəmˈarah
Mengejutkan	məŋəd͡ʒˈutkan
kezhaliman	kəzhalˈiman
Maurin	mˈa͡ʊrin
dipangkas	dipˈaŋkas
Nusaniwe	nˌusanˈiwə
aduh	ˈaduh
konformasi	kˌonfɔrmˈasi
NIM	nˈim
bijian	bid͡ʒˈian
Akupun	akˈupun
kefarmasian	kəfˌarmasˈian
Spirit	spˈirit
guesthouse	ɡˌuəsthoˈusə
umroh	ˈumroh
miring	mˈiriŋ
twiter	twˈitər
Pancing	pˈant͡ʃiŋ
Victorian	vˌit͡ʃtɔrˈian
Hehehe	həhˈɛhə
Aidit	ˈa͡ɪdit
ɗan	dˈan
Penyebaran	pəɲəbˈaran
Pendem	pˈɛndəm
bulgogi	bulɡˈoɡi
Jagapati	d͡ʒˌaɡapˈati
copper	t͡ʃˈopər
Harper	hˈarpər
berproses	bərprˈosəs
Penyebarluasan	pəɲˌɛbarluˈasan
Nanya	nˈaɲa
Ita	ˈita
Jamik	d͡ʒˈamik
Denok	dˈɛnok
sederajat	sədərˈad͡ʒat
nip	nˈip
menawari	mənawˈari
Bantuannya	bˌantuˈanɲa
PENGUMUMAN	pəŋumˈuman
yuridis	jurˈidis
fikih	fˈikih
ohm	ˈohm
gethek	ɡˈɛthək
Harrington	harˈiŋton
gudang	ɡˈudaŋ
Exchange	əksχˈaŋə
kroto	krˈoto
mengategorikan	məŋˌatəɡɔrˈikan
Soekotjo	sukˈot͡ʃo
Hendratno	həndrˈatno
Menamatkan	mənamˈatkan
menyudahi	məɲudˈahi
gim	ɡˈim
merendah	mərˈɛndah
Kearsipan	kəarsˈipan
melanda	məlˈanda
keberimbangan	kəbˌɛrimbˈaŋan
syutingnya	çutˈiŋɲa
Waah	wˈaah
expert	ˈɛkspərt
Eid	ˈɛid
menyembelihnya	məɲˌɛmbəlˈihɲa
raihan	rˈa͡ɪhan
Cangget	t͡ʃˈaŋɡət
Pujobroto	pˌud͡ʒobrˈoto
integrated	ˌintəɡrˈatəd
COC	t͡ʃˈot͡ʃ
Hibar	hˈibar
Mura	mˈura
hukumonline	hˌukumonlˈinə
Sebelumnya	səbəlˈumɲa
tai	tˈa͡ɪ
ahwa	ˈahwa
dirapatkan	dˌirapˈatkan
pancuran	pant͡ʃˈuran
literasi	lˌitərˈasi
duni	dˈuni
ASR	ˈasr
Points	pˈoints
Seringkali	səriŋkˈali
requires	rəkwˈirəs
Menatap	mənˈatap
menyempitkan	məɲəmpˈitkan
Gasing	ɡˈasiŋ
merumahkan	mərumˈahkan
balut	bˈalut
Stainless	stˈa͡ɪnləs
Kolagen	kolˈaɡən
Dinding	dˈindiŋ
mengkliknya	məŋklˈikɲa
Myung	mjˈuŋ
pusdiklat	pusdˈiklat
Vidia	vidˈia
Marmara	marmˈara
Razak	rˈazak
Wilshere	wilshˈɛrə
package	pat͡ʃkˈaɡə
teristimewa	tərˌistimˈɛwa
SBO	sbˈo
Memiliki	məmilˈiki
sclerosis	st͡ʃlərˈosis
Casio	t͡ʃasˈio
Erizal	ərˈizal
dibaca	dibˈat͡ʃa
Yups	jˈups
RAPD	rˈapd
etape	ətˈapə
kontur	kˈontur
tukasnya	tukˈasɲa
TDI	tdˈi
Rumbai	rˈumba͡ɪ
gersang	ɡˈɛrsaŋ
Xinjiang	zind͡ʒˈiaŋ
Sebesi	səbˈɛsi
keriput	kərˈiput
bulannya	bulˈanɲa
pamungkasnya	pˌamuŋkˈasɲa
soun	sˈoun
Pagerank	paɡˈɛrank
Indonesianya	ˌindonˌɛsiˈaɲa
Swee	swˈɛə
Denpom	dˈɛnpom
Rantam	rˈantam
deposito	dˌɛposˈito
Menghiasi	məŋhiˈasi
Konstituante	kˌonstituˈantə
merongrong	mərˈoŋroŋ
mereferensikan	mərˌɛfərənsˈikan
Intrinsik	intrˈinsik
ulah	ˈulah
mmg	ˌɛmˌɛmɡˈe
keringatnya	kəriŋˈatɲa
Kejang	kˈɛd͡ʒaŋ
malang	mˈalaŋ
Beladiri	bəladˈiri
papaya	papˈaja
at	ˈat
sempat	sˈɛmpat
Singa	sˈiŋa
samar	sˈamar
keberuntungannya	kəbˌɛruntuŋˈanɲa
keridhoan	kəridhˈoan
ajian	ad͡ʒˈian
Etawa	ətˈawa
Contemporary	t͡ʃˌontəmpˈɔrarj
sebsar	sˈɛbsar
bermotif	bərmˈotif
ketapang	kətˈapaŋ
rejekinya	rˌɛd͡ʒəkˈiɲa
berurutan	bərurˈutan
Chabib	χˈabib
Kock	kˈot͡ʃk
Pengelolaannya	pəŋˌɛlolaˈanɲa
Madden	mˈaddən
kalah	kˈalah
Stick	stˈit͡ʃk
Gampang	ɡˈampaŋ
Yacob	jˈat͡ʃob
Safari	safˈari
KUB	kˈub
kok	kˈok
Abul	ˈabul
berkubah	bərkˈubah
antardaerah	ˌantardaˈɛrah
memilik	məmˈilik
BPKD	bˌepˌekˌadˈe
Kapusdatin	kˌapusdˈatin
Orangtua	ˌɔraŋtˈua
tni	tnˈi
Howdy	hˈowdj
dribbling	drˈibbliŋ
DOS	dˈos
mengelap	məŋˈɛlap
Daya	dˈaja
Hiring	hˈiriŋ
Guttman	ɡˈuttman
Fauna	fˈa͡ʊna
Konfusius	kˌonfusˈius
Memutar	məmˈutar
penting	pˈɛntiŋ
sticky	stˈit͡ʃkj
Sebanyak	səbˈaɲak
gunanya	ɡunˈaɲa
muthlaq	mˈuthlak
gramedia	ɡrˌamədˈia
Clarion	t͡ʃlarˈion
Crystal	t͡ʃrjstˈal
minati	minˈati
insert	ˈinsərt
Plastik	plˈastik
diunggahnya	dˌiuŋɡˈahɲa
menyenangkan	məɲənˈaŋkan
qiyamullail	kˌijamˈula͡ɪl
Pemantauan	pəmantˈa͡ʊan
Dijalankan	dˌid͡ʒalˈankan
Raharja	rahˈard͡ʒa
kroninya	kronˈiɲa
upto	ˈupto
Aniek	ˈanik
Ops	ˈops
Ajak	ˈad͡ʒak
sayembara	sˌajəmbˈara
GKBI	ɡkbˈi
Semidang	səmˈidaŋ
fisik	fˈisik
PJR	pˌed͡ʒˌeər
Siti	sˈiti
BEON	bˈɛon
tom	tˈom
Azhary	ˈazharj
Amr	ˈamr
putih	pˈutih
Larutkan	larˈutkan
Saipul	sˈa͡ɪpul
timenya	timˈɛɲa
cairkan	t͡ʃˈa͡ɪrkan
Umm	ˈumm
disegarkan	dˌisəɡˈarkan
Marya	mˈarja
Yulius	julˈius
memperolah	məmpərˈolah
Bupatinya	bˌupatˈiɲa
bilirubin	bˌilirˈubin
Valentina	vˌaləntˈina
Terowongan	tərowˈoŋan
TEUS	tˈɛus
minimalis	mˌinimˈalis
Oasis	oˈasis
Kapten	kˈaptən
ketidakhadiran	kətˌidaxadˈiran
Panlok	pˈanlok
Dan	dan
HIPMA	hˈipma
menyosialisasikan	məɲˌosiˌalisasˈikan
Jasad	d͡ʒˈasad
imparsial	ˌimparsˈial
mudaratnya	mˌudarˈatɲa
kerahasian	kərˌahasˈian
Kencing	kənt͡ʃˈiŋ
turbulen	turbˈulən
penyegar	pəɲˈɛɡar
melintas	məlˈintas
Antigen	antˈiɡən
mengasihi	məŋasˈihi
Adelaide	ˌadəlˈa͡ɪdə
Passo	pˈaso
wahid	wˈahid
Mukodam	mukˈodam
Srandakan	srandˈakan
rileks	rˈiləks
Sejahtera	səd͡ʒahtˈɛra
meyakinkannya	məjˌakinkˈanɲa
celaan	t͡ʃəlˈaan
Yuntho	jˈuntho
kelab	kˈɛlab
Korps	kˈɔrps
Berjarak	bərd͡ʒˈarak
settings	sˈɛttiŋs
Oseanografi	ˌosəˌanoɡrˈafi
australia	ˌa͡ʊstralˈia
Prophet	prˈofət
Affan	ˈafan
pelimpah	pəlˈimpah
Wahib	wˈahib
Kentingan	kəntˈiŋan
temen	tˈɛmən
Menentang	mənˈɛntaŋ
runtun	rˈuntun
berkompetensi	bərkˌompətˈɛnsi
Eliana	ˌɛliˈana
Pentaho	pəntˈaho
Kasubdin	kasˈubdin
diekspresikan	dˌiksprəsˈikan
Workstation	wˌɔrkstatˈion
Alissa	alˈisa
Calling	t͡ʃˈaliŋ
STO	stˈo
CAFTA	t͡ʃˈafta
dihormati	dˌihɔrmˈati
majikannya	mˌad͡ʒikˈanɲa
mencampurkan	mənt͡ʃampˈurkan
bola	bˈola
methane	məthˈanə
mengkonfirmasikan	məŋkˌonfirmasˈikan
Lonceng	lˈont͡ʃəŋ
MAPI	mˈapi
LKID	lkˈid
Windy	wˈindj
Mengakomodasi	məŋˌakomodˈasi
magazine	mˌaɡazˈinə
Megawati	məɡawˈati
Geram	ɡˈɛram
Untungnya	untˈuŋɲa
UIR	ˈuir
mercy	mˈɛrt͡ʃj
Rakerda	rakˈɛrda
Exact	ˈɛksat͡ʃt
Mommy	mˈommj
Study	stˈudj
antidiabetes	ˌantidˌiabˈɛtəs
Indoneia	ˌindonəˈia
Development	dˌɛvəlˈopmənt
kesadaran	kəsadˈaran
Yusra	jˈusra
Zahrul	zˈahrul
minimum	minˈimum
Amri	ˈamri
Cebu	t͡ʃˈɛbu
investment	invˈɛstmənt
FIM	fˈim
jerman	d͡ʒˈɛrman
Ketidakadilan	kətˌidakadˈilan
melacak	məlˈat͡ʃak
intensitas	ˌintənsˈitas
jgn	d͡ʒˌeɡˌeən
Nutrium	nutrˈium
Pendi	pˈɛndi
Sirius	sirˈius
Practices	prat͡ʃtˈit͡ʃəs
Sarongge	sarˈoŋɡə
JIExpo	d͡ʒˈiˈɛkspo
hanger	hˈaŋər
OVOP	ˈovop
bangka	bˈaŋka
lighter	lˈiɡhtər
Densus	dˈɛnsus
Mastrip	mˈastrip
Kenyataanya	kəɲˌataˈaɲa
flashdisk	flˈashdisk
spring	sprˈiŋ
SP	ˌɛspˈe
WIEK	wˈik
riboflavin	rˌiboflˈavin
Guard	ɡˈuard
merintangi	mərintˈaŋi
BPI	bpˈi
LV	ˌɛlfˈe
tuning	tˈuniŋ
rutinan	rutˈinan
YKDK	jkdk
Medal	mˈɛdal
Crab	t͡ʃrˈab
disalip	disˈalip
guludan	ɡulˈudan
Berguna	bərɡˈuna
Societe	sot͡ʃˈitə
executive	ˌɛksət͡ʃutˈivə
Monolog	monˈoloɡ
melakukanya	məlˌakukˈaɲa
Property	prˈopərtj
tisu	tˈisu
aktornya	aktˈɔrɲa
Fatma	fˈatma
resin	rˈɛsin
Saskia	saskˈia
legok	lˈɛɡok
Parasitoid	pˌarasitˈoid
Dolan	dˈolan
Bekantan	bəkˈantan
Dad	dˈad
falsafi	falsˈafi
ikrar	ˈikrar
Syaifullah	ça͡ɪfˈulah
MUBA	mˈuba
Efisien	əfˈisin
evoucher	ˌɛvoˈuχər
pencatatannya	pənt͡ʃˌatatˈanɲa
Acuan	at͡ʃˈuan
inchi	ˈinχi
hirup	hˈirup
nangkap	nˈaŋkap
entrance	əntrˈant͡ʃə
nasuha	nasˈuha
Benny	bənɲ
membelikannya	məmbˌɛlikˈanɲa
Syndicate	çndit͡ʃˈatə
damaikanlah	dˌama͡ɪkˈanlah
listening	listˈɛniŋ
Setyabudi	sətjabˈudi
PDHI	pdhˈi
penjaganya	pənd͡ʒaɡˈaɲa
kasus	kˈasus
ngetop	ŋˈɛtop
Mahadya	mahˈadja
limfe	lˈimfə
berguncang	bərɡˈunt͡ʃaŋ
interaksionisme	ˌintərˌaksionˈismə
hun	hˈun
propertest	propˈɛrtəst
menewaskan	mənəwˈaskan
Arqam	ˈarkam
Teo	tˈɛo
Porsi	pˈɔrsi
PBNU	pbnˈu
alm	ˈalm
Duniaku	dˌuniˈaku
Istanto	istˈanto
bakhil	bˈaxil
KTM	kˌatˌeəm
Gabrielle	ɡabrˈilə
Aldian	aldˈian
amendemen	ˌaməndˈɛmən
kesusilaan	kəsˌusilˈaan
grisea	ɡrisˈɛa
Kesemuanya	kəsˌɛmuˈaɲa
sekolompok	səkolˈompok
Albarn	ˈalbarn
tiak	tˈiak
Widyasari	wˌidjasˈari
Hamad	hˈamad
Ip	ˈip
terlewat	tərlˈɛwat
Wisnu	wˈisnu
LOOP	lˈoop
Technorati	tˌɛχnɔrˈati
SKPD	ˌɛskˌapˌedˈe
Miskawaih	miskˈawa͡ɪh
Formatter	fɔrmˈattər
Kunir	kˈunir
fisikawan	fˌisikˈawan
Arwah	ˈarwah
kapasitor	kˌapasˈitɔr
EXP	ˈɛksp
terinfeksi	tərinfˈɛksi
HSR	hˌaˌɛsˈɛr
intisari	ˌintisˈari
hijrahnya	hid͡ʒrˈahɲa
PERLU	pˈɛrlu
Musiman	musˈiman
mengangap	məŋˈaŋap
sumbangsihnya	sˌumbaŋsˈihɲa
Mahasatwa	mˌahasˈatwa
Kertak	kˈɛrtak
Pusvetma	pusvˈɛtma
ORDER	ˈɔrdər
zoyalovers	zˌojalˈovərs
Pokoknya	pokˈokɲa
pertanyaaan	pərtˌaɲaˈaan
nubuatan	nˌubuˈatan
IPR	ˈipr
nampung	nˈampuŋ
BPM	bˌepˌeəm
Mudzakir	mudzˈakir
Pelabuhan	pəlabˈuhan
PSEKP	psˈɛkp
buminya	bumˈiɲa
Purwoasri	pˌurwoˈasri
ebsoft	ˈɛbsoft
catok	t͡ʃˈatok
beige	bəˈiɡə
pupus	pˈupus
Sindiran	sindˈiran
Banjar	bˈand͡ʒar
Kriminalitas	krˌiminalˈitas
Soedarsono	sˌudarsˈono
polibag	polˈibaɡ
coorporate	t͡ʃˌoɔrpɔrˈatə
Indotama	ˌindotˈama
mengendur	məŋˈɛndur
insidentil	ˌinsidˈɛntil
main	mˈa͡ɪn
Mobilcantik	mˌobilt͡ʃˈantik
Barkley	bˈarkləj
Cemaran	t͡ʃəmˈaran
siksaan	siksˈaan
tetangga	tətˈaŋɡa
trengginas	trəŋɡˈinas
Maleo	malˈɛo
Serapan	sərˈapan
menancapkan	mənant͡ʃˈapkan
meningal	mənˈiŋal
mengambangkan	məŋambˈaŋkan
outfit	oˈutfit
Kiwil	kˈiwil
Mandar	mˈandar
hepar	hˈɛpar
Leighton	ləˈiɡhton
gegap	ɡˈɛɡap
memeriksakannya	məmˌɛriksakˈanɲa
Daryl	dˈarjl
NSA	nsˈa
diinformasikan	dˌiinfˌɔrmasˈikan
BDMN	bˌedˌeəmˈɛn
Gemah	ɡˈɛmah
brute	brˈutə
Ardhana	ardhˈana
div	dˈiv
TRANS	trˈans
ketidakkekalan	kətˌidakkəkˈalan
RAPBD	rˈapbd
Goreng	ɡˈɔrəŋ
Aleksander	ˌaləksˈandər
Sims	sˈims
bercakap	bərt͡ʃˈakap
dibincangkan	dˌibint͡ʃˈaŋkan
sikat	sˈikat
SIT	sˈit
Petanian	pətanˈian
assistance	ˌasistˈant͡ʃə
Polka	pˈolka
Nenas	nˈɛnas
ZPT	zˌɛtpˌetˈe
Leksono	ləksˈono
tersubur	tərsˈubur
shoping	shˈopiŋ
adalag	adˈalaɡ
ADH	ˈadh
KUAT	kˈuat
dibedakan	dˌibədˈakan
Kumai	kˈuma͡ɪ
excel	ˈɛkst͡ʃəl
digiling	diɡˈiliŋ
pembebas	pəmbˈɛbas
suntuk	sˈuntuk
meriwayatkannya	mərˌiwajatkˈanɲa
judes	d͡ʒˈudəs
Pradnya	prˈadɲa
menanggapi	mənaŋɡˈapi
Dynasty	djnˈastj
telapak	təlˈapak
Penyanyi	pəɲˈaɲi
Hebat	hˈɛbat
dinamisasi	dˌinamisˈasi
yanng	jˈanŋ
Renungkan	rənˈuŋkan
Sherpa	shˈɛrpa
Ijin	ˈid͡ʒin
DLM	dˌeəlˈɛm
Dorodjatun	dˌɔrod͡ʒˈatun
Pelaku	pəlˈaku
renovasi	rˌɛnovˈasi
Seribu	sərˈibu
azasi	azˈasi
oleat	olˈɛat
Darius	darˈius
AYAH	ˈajah
rindangnya	rindˈaŋɲa
lanjutan	land͡ʒˈutan
Keenam	kəˈɛnam
Sembiring	səmbˈiriŋ
blues	blˈuəs
Synaptic	çnˈaptit͡ʃ
TPT	tˌepˌetˈe
Een	ˈɛən
FAN	fˈan
Kurio	kurˈio
berlinang	bərlˈinaŋ
Sipayung	sipˈajuŋ
belalang	bəlˈalaŋ
pendoa	pəndˈoa
dengungkan	dəŋˈuŋkan
Samiun	samˈiun
ristek	rˈistək
proaktif	proˈaktif
POLTEKOM	poltˈɛkom
build	bˈuild
tap	tˈap
hormatnya	hɔrmˈatɲa
narator	narˈatɔr
Asabri	asˈabri
Semarang	səmˈaraŋ
PAD	pˈad
mengeksekusi	məŋˌɛksəkˈusi
Weber	wˈɛbər
Bates	bˈatəs
santap	sˈantap
pendopo	pəndˈopo
Xherdan	zhˈɛrdan
ringan	rˈiŋan
keterlibatan	kətˌɛrlibˈatan
knots	knˈots
menhadapi	mənhadˈapi
satua	satˈua
EDM	ˈɛdm
cemberut	t͡ʃəmbˈɛrut
RMOL	rmˈol
bernuansakan	bərnˌuansˈakan
Jagadiri	d͡ʒˌaɡadˈiri
Pencantuman	pənt͡ʃantˈuman
Dolo	dˈolo
kalang	kˈalaŋ
menagkap	mənˈaɡkap
invite	invˈitə
Krajan	krˈad͡ʒan
filterisasi	fˌiltərisˈasi
perawan	pərˈawan
Guido	ɡuˈido
Ruhiyat	ruhˈijat
Tropi	trˈopi
penegakkan	pənəɡˈakkan
popok	pˈopok
Tapung	tˈapuŋ
NMS	ˌɛnˌɛmˈɛs
perbincangan	pərbint͡ʃˈaŋan
mengumpulkan	məŋumpˈulkan
Jenewa	d͡ʒənˈɛwa
anutan	anˈutan
Buk	bˈuk
berpartai	bərpˈarta͡ɪ
Silitonga	sˌilitˈoŋa
beterbangan	bətərbˈaŋan
menakdirkan	mənakdˈirkan
edgy	ˈɛdɡj
Thx	tˌehˌaˈɛks
salary	sˈalarj
berang	bˈɛraŋ
elektronik	ˌɛləktrˈonik
Monginsidi	mˌoŋinsˈidi
KPMG	kˌapˌeəmɡˈe
glowing	ɡlˈowiŋ
Cybercrime	t͡ʃjbərt͡ʃrˈimə
percobaannya	pərt͡ʃˌobaˈanɲa
Tegas	tˈɛɡas
sih	sˈih
Ribery	rˈibərj
Ragu	rˈaɡu
aromaticum	ˌaromatˈit͡ʃum
autofokus	ˌa͡ʊtofˈokus
membonceng	məmbˈont͡ʃəŋ
Simpel	sˈimpəl
Difabel	difˈabəl
pelor	pˈɛlɔr
Tarung	tˈaruŋ
hafalannya	hˌafalˈanɲa
sedang	sˈɛdaŋ
Horor	hˈɔrɔr
Pengibaran	pəŋibˈaran
istirahat	ˌistirˈahat
semestinya	səməstˈiɲa
RPJPD	ˌɛrpˌed͡ʒˈepˌedˈe
Romano	romˈano
thread	thrˈɛad
Error	ˈɛrɔr
pelestariannya	pəlˌɛstariˈanɲa
karotenoid	kˌarotənˈoid
Kopo	kˈopo
Bio	bˈio
KTT	kˌatˌetˈe
BATURAJA	bˌaturˈad͡ʒa
experiment	ˌɛkspərˈimənt
Fukui	fukˈui
kaolin	kaˈolin
Citepus	t͡ʃitˈɛpus
Lansekap	lansˈɛkap
guiding	ɡuˈidiŋ
Sako	sˈako
TAR	tˈar
Puskemas	puskˈɛmas
SLAWI	slˈawi
Iswandi	iswˈandi
Pacquiao	pˌat͡ʃkwiˈao
tone	tˈonə
Romanus	romˈanus
Bangun	bˈaŋun
Hasni	hˈasni
Versace	vərsˈat͡ʃə
Certification	t͡ʃˌɛrtifˌit͡ʃatˈion
Peradangan	pəradˈaŋan
formil	fˈɔrmil
SIC	sˈit͡ʃ
lebat	lˈɛbat
cueknya	t͡ʃuˈɛkɲa
berbau	bˈɛrba͡ʊ
UMKMK	ˈumkmk
lengser	lˈɛŋsər
mengidap	məŋˈidap
Centro	t͡ʃˈɛntro
summon	sˈummon
Kemenkominfo	kəmˌɛnkomˈinfo
Berjamaah	bərd͡ʒamˈaah
garage	ɡarˈaɡə
Sosrowijayan	sˌosrowid͡ʒˈajan
Cetakan	t͡ʃətˈakan
Kamang	kˈamaŋ
Zuko	zˈuko
Lupa	lˈupa
Ritsumeikan	rˌitsuməˈikan
shollallohu	shˌolalˈohu
Oles	ˈoləs
berpura	bərpˈura
MSP	ˌɛmˌɛspˈe
Impala	impˈala
Pemenuhan	pəmənˈuhan
FIC	fˈit͡ʃ
asesorisnya	ˌasəsɔrˈisɲa
luka	lˈuka
DARI	dˌari
direpotkan	dˌirəpˈotkan
bekali	bəkˈali
berarah	bərˈarah
SDR	ˌɛsdˌeər
Kopma	kˈopma
terlepasnya	tərləpˈasɲa
rinso	rˈinso
ditunggunya	dˌituŋɡˈuɲa
Breueh	brəˈuəh
Bruto	brˈuto
Magetan	maɡˈɛtan
wings	wˈiŋs
dipimpin	dipˈimpin
hisap	hˈisap
Lemang	lˈɛmaŋ
mengkomunikasikannya	məŋkˌomunˌikasikˈanɲa
kapitalisme	kˌapitalˈismə
Electron	əlˈɛt͡ʃtron
cabut	t͡ʃˈabut
Keterampilan	kətˌɛrampˈilan
voice	voˈit͡ʃə
Arizal	arˈizal
biarin	biˈarin
emfisema	ˌɛmfisˈɛma
Pait	pˈa͡ɪt
vision	visˈion
penyalahgunaan	pəɲˌalahɡunˈaan
Halang	hˈalaŋ
Konsultasikan	kˌonsultasˈikan
CERN	t͡ʃˈɛrn
Asai	ˈasa͡ɪ
pamen	pˈamən
eugenol	ˌɛuɡˈɛnol
Tuo	tˈuo
ngetren	ŋˈɛtrən
Gundogan	ɡundˈoɡan
Restore	rəstˈɔrə
ruah	rˈuah
HSU	hsˈu
Goliath	ɡolˈiath
BPMPPT	bˌepˌeəmpˌepˌetˈe
tambahkanlah	tˌambahkˈanlah
Mulyadi	muljˈadi
Leuwigajah	lˌɛuwiɡˈad͡ʒah
cincangan	t͡ʃint͡ʃˈaŋan
Kesembuhan	kəsəmbˈuhan
vernakular	vˌɛrnakˈular
Bedulu	bədˈulu
leasing	ləˈasiŋ
dikolaborasikan	dˌikolˌabɔrasˈikan
kedinginan	kədiŋˈinan
atopik	atˈopik
IAMI	iˈami
timpal	tˈimpal
ketidakpedulian	kətˌidakpˌɛdulˈian
Osbourne	ˌosboˈurnə
Bertani	bərtˈani
MKH	ˌɛmkˌahˈa
Nota	nˈota
Loans	lˈoans
Muslih	mˈuslih
hemprichii	hˌɛmpriχˈii
Pamanukan	pˌamanˈukan
Launcing	lˈa͡ʊnt͡ʃiŋ
Rejo	rˈɛd͡ʒo
meninggalkanku	mənˌiŋɡalkˈanku
Lambatnya	lambˈatɲa
Ramona	ramˈona
Diskoperindag	dˌiskopərˈindaɡ
Determinasi	dˌɛtərminˈasi
Minggir	mˈiŋɡir
JDM	d͡ʒˌedˌeəm
Wafat	wˈafat
pramuniaga	prˌamuniˈaɡa
Revolution	rˌɛvolutˈion
Gangsa	ɡˈaŋsa
fardh	fˈardh
Senandung	sənˈanduŋ
porseni	pɔrsˈɛni
Driyono	drijˈono
tetamu	tətˈamu
menyapih	məɲˈapih
independensinya	ˌindəpˌɛndənsˈiɲa
kaitannya	ka͡ɪtˈanɲa
dirumahkan	dˌirumˈahkan
Kahlil	kˈahlil
pendapa	pəndˈapa
Sularso	sulˈarso
MWe	mwˈɛ
popcorn	pˈopt͡ʃɔrn
rungan	rˈuŋan
permaisurinya	pərmˌa͡ɪsurˈiɲa
berpori	bərpˈɔri
melantunkan	məlantˈunkan
Kolom	kˈolom
institusionalisasi	ˌinstitˌusiˌonalisˈasi
Cek	t͡ʃˈɛk
tc	tˌet͡ʃˈe
pepper	pˈɛpər
Stevie	stˈɛvi
Anisa	anˈisa
Supandi	supˈandi
trap	trˈap
Winarto	winˈarto
Tombo	tˈombo
Galeries	ɡalˈɛris
resmikan	rəsmˈikan
penampang	pənˈampaŋ
edUCatioN	ˈɛdˈut͡ʃatˈioˈɛn
Roem	rˈum
Rustriningsih	rˌustrinˈiŋsih
Dibanding	dibˈandiŋ
amp	ˈamp
yard	jˈard
Jembrana	d͡ʒəmbrˈana
MMscfd	ˈɛmˌɛmˌɛst͡ʃˈeəfdˈe
Mengusulkan	məŋusˈulkan
Samarinda	sˌamarˈinda
Mukhsin	mˈuxsin
ketercukupan	kətˌɛrt͡ʃukˈupan
Pelit	pˈɛlit
Emeritus	ˌɛmərˈitus
mercuri	mərt͡ʃˈuri
bermandi	bərmˈandi
Pte	ptˈɛ
nick	nˈit͡ʃk
