leeschtungsstaark	leːʃtˈuɳstaːʀk
Rigueur	ʀiːgˈu͡əuːʀ
Grenzen	gʀˈænʦən
ausgelooss	æː͡ʊsgˈəloːs
Lake	lˈaːkə
objektiver	ˌobjeːktˈiːveːʀ
Sportsproffen	zpoʀtzpʀˈofeːn
Goler	gˈolʁ
logistesche	lˌoːXiztˈeːʃə
präisgekréinte	pʀˌæː͡ɪzgəkʀˈɜ͡ɪntə
verdanken	fʁdˈɑɳkən
Kannertheater	kˌɑneːʀthəˈaːteːʀ
deontologesche	dˌəontˌoːloːʁˈəʃə
Goldberg	gˈoltbeːʀg
zumol	ʦˈumoːl
Reng	ʀˈæɳ
Glaube	glˈɑ͡ʊbə
Albau	ˈɑlbɑ͡ʊ
Besich	bˈeːziʃ
Süden	zˈyːdən
Bora	bˈoːʀɑ
Lasso	lˈɑsoː
Avisen	ɑvˈiːən
virgeschloe	vˌiʀgəʃlˈoə
school	ʃˈoːl
Join	jˈoin
Asproch	ˈɑzpʀokh
agewéckelt	ˌɑgəvˈekəlt
Start	ʃtˈaːʀt
archeologesch	ˌɑʀkeolˈoːgəʃ
stellvertriedende	ʃˌeːlveːʀtʀi͡ədˈəntə
Vernetzung	fʁnˈæʦuɳ
Entschiedegung	ˌənt͡ʃiədˈəʑuɳ
Exekutivcomité	ˌəkseːkˌuːtivkoːmˈiːtæ
Bonnevoie	bˌoneːvˈoi͡ə
ëmkreest	oˈæmkʀeːzt
Zesummestellung	ʦˌəzuməʃtˈæluɳ
Hieren	hiˈɐeːn
Knippercher	knˈipʁɕʁ
Otemzuch	oːtˈeːmʦuX
urgente	uʀgˈəntə
Musterschüler	mˈustʁʃyːlʁ
Streifen	ʃʀˈɑ͡ɪfən
Moldawien	mˌoːldɑvˈiːən
hindeit	hˈintɑ͡ɪt
ADAPTO	aːdˈɑptoː
Bastian	bɑztˈiɑn
kléngt	klˈæɳt
kompetitiven	kˌompeːtiːtˈiːveːn
russesch	ʀˈusəʃ
Nierwt	nˈiɐvt
ëmklasséiert	ˌoæmklɑsˈɜ͡ɪɐt
Playoff	plɑˈiof
Kuerzgeschicht	ku͡əʀʦgˈəʃiʃt
Volontaire	volˈɑ̃ːtɛːʀ
rouder	ʀˈə͡ʊdɐ
proposéierter	pʀˌoːpoːzɜ͡ɪˈɐteːʀ
sexuell	zˈækswæl
Wuess	vˈu͡əs
jardin	jˈɑʀtiːn
Münster	mˈyːnzteːʀ
Betreiungsstrukture	bˌeːtʀɑ͡ɪˌuɳstʀuktˈuːʀə
Floor	flˈoːʀ
Pluralismus	plˌuʀaːlˈismus
Dolmetscher	dˈolmæt͡ʃʁ
wiertschaftlech	vˌiɐtʃˈɑftlæɕ
zesummenzesetzen	ʦˌəzumˌeːnʦəzˈæʦeːn
séierste	zɜ͡ɪˈɐztə
Ängschten	ˈæɳʃtən
duerchzekréien	dˌu͡əʀkhʦəkʀˈɜ͡ɪən
Mikroorganismen	mˌikʀoːʀgaːnˈizmeːn
fonnte	fˈontə
gedréit	gˈədʀɜ͡ɪt
Undriff	ˈuntʀif
representativer	ʀˌeːpʀeːsˌəntaːtˈiːveːʀ
Hesper	hˈæspʁ
Manipulatioune	mˌaːniːpˌuːlaːtiˈə͡ʊnə
Ökologie	ˌœːkoːlˈoːʒiː
heihinn	hˈɑ͡ɪhin
besschen	bˈeːskheːn
Frozen	fʀˈoːʦən
M	ˈem
Mans	mˈɑnz
mae	mˈɑə
Animateuren	ˌɑnimɑtˈœːʀən
nërdlechen	nəʀtlˈæɕeːn
Badger	bˈɑdgəʀ
Literature	lˌiːteːʀaːtˈuːʀə
Secondairesstudium	zˌeːkontˌɑ͡ɪʀeːstuːdˈium
räissen	ʀˈæː͡ɪsən
Kuriositéiten	kˌuːʁjozitˈɜ͡ɪtən
Realist	ʀeˈaːlist
praktescht	pʀˈɑkteːʃt
Tacho	tˈɑXoː
beuerdert	bo͡ɪˈɐdɐt
Helfenterbréck	hælfˈæntʁbʀek
belafen	beːlˈaːfən
Kriis	kʀˈiːz
Singulier	siɳgˈuljeː
photos	phˈoːtoːz
Selbstbewosstsinn	zˌeːlbztbeːvˈostzin
Trevor	tʀˈeːvoːʀ
Network	nˈeːtvoʀk
Litige	lˈiːtiːʃ
Morton	mˈoʀtoːn
Motoen	motˈoːən
eventuel	əvˈeːntu͡əl
ofschléissend	ofʃlˈɜ͡ɪseːnt
Finalisten	fˌinɑlˈistən
Uebst	ˈu͡əbst
Pennsylvania	pˌænnzilvaːnˈiɑ
Militärbudget	mˌiːliːteʀbˈudgət
Bedrohung	bədʀˈoːhuɳ
ugebonnen	ˌugəbˈonən
Jas	jˈaːz
Ëmweltministesch	ˌəmwæltminˈistəʃ
matenaner	mɑdˈənaːnʁ
ënnerbonne	ˌoæneːʀbˈonə
refuséiere	ʀˌeːfuːzɜ͡ɪˈɐə
Consistoire	kˌonziztˌoiːˈɐə
Resignatioun	ʀˌeziɳˈɑʦjə͡ʊn
Virgrond	vˈiʀgʀont
Djuna	djˈuːnɑ
Deitschland	dˈɑ͡ɪtʃlɑnt
Arbeitsmänner	ˌɑʀbɑ͡ɪtzmˈeneːʀ
Bausseminister	bˌɑ͡ʊseːmiːnˈizteːʀ
enorm	ˈenoʀm
Thermal	thˈeːʀmaːl
tësche	tˈəʃə
genee	gˈəneː
xD	ˈikzdˈeː
Meescht	mˈeːʃt
Ham	hˈaːm
Clubs	klˈubz
existente	ˌəksiztˈeːntə
Regierungscheffin	ʀˌeːʒiˌɐuɳʃˈeːfiːn
Ënnerschrëfte	ˌoæneːʀʃʀˈəftə
Unisex	uːnˈiːzeːks
säin	zˈæː͡ɪn
Tacheles	tɑXˈeːleːz
Grondwaasser	gʀˈontvaːsʁ
Garant	gˈɑʀɑ̃ːnt
Seasons	zəˈaːzonz
Naturfoto	nˌɑtuːʀfˈotoː
Alliéierte	ˌɑliɜ͡ɪˈɐtə
revoltéiert	ʀəvˈoltɜ͡ɪʁt
Contenu	kɑ̃ːtˈənyː
Grondschoule	gʀontʃˈə͡ʊlə
against	ˈaːgɑ͡ɪnzt
Katar	kˈɑtaːʀ
Plaazen	plˈaːʦən
Trennung	tʀˈænuɳ
Erfolleger	ʁfˈoləʑʁ
Partië	pɑʀtˈiə
Wirtz	vˈiʀtʦ
Summit	zˈumiːt
Gonschten	gˈonʃtən
Schlofe	ʃlˈoːfə
opzekafen	ˌopʦəkˈaːfən
lauert	lˈɑ͡ʊɐt
detektéieren	dˌeːteːktɜ͡ɪˈɐeːn
Béierlaf	bɜ͡ɪˈɐlaːf
Nuetsfoyer	nu͡ətzfˈo͡ɪɐ
Spannungen	ʃpɑnˈuɳən
Literaturnobelpräis	lˌiːteːʀˌaːtuʀnoːbˈeːlpʀæː͡ɪz
Entwéckelung	ˌəntvækˈeːluɳ
öfteren	œːftˈeːʀeːn
Schräiner	ʃʀˈæː͡ɪnʁ
Fotell	fˈoːtæl
Entschloss	ˈənt͡ʃlos
hoc	hˈoːk
dooten	dˈoːteːn
consultativer	kˌonzultaːtˈiːveːʀ
Alstad	ˈaːlʃtaːt
rechts	ʀˈæɕts
Groussmamm	gʀˈə͡ʊzmɑm
Company	kompˈɑniː
hikommen	hikˈomən
Civitanova	kˌiːviːtaːnˈoːvɑ
beaarbechten	bˌəaːʁbˈəɕtən
Knupp	knˈup
gespronge	gəzpʀˈoɳə
spéitstens	ʃpˈɜ͡ɪtstəns
Pilotage	pˌiːloːtˈɑʁə
Malaise	maːlˈɑ͡ɪzə
Larochette	lˌaːʀokhˈeːtə
concernéieren	kˌonsʀnɜ͡ɪˈɐeːn
hun	hˈuːn
Thomé	thˈoːmæ
zeréckgetruede	ʦˌəʀækgətʀˈu͡ədə
Vlaischt	vlˈɑ͡ɪʃt
Handelen	hɑndˈələn
Absurditéit	ˌɑpzuʀtˈitɜ͡ɪt
Absichtserklärung	ˌɑbziʃtzˌeːʀklɛːˈɐuɳ
ONGen	ˈoːngˈən
éiren	ˈɜ͡ɪʀeːn
proppert	pʀˈopeːʀt
regelt	ʀˈeːgəlt
Thielen	thˈi͡əleːn
Kaffismaschinn	kˌɑfiːsmˈɑʃin
Petrus	pˈeːtʀuːz
bekanntste	beːkˈɑntztə
Enkpäss	ˈəɳpes
Normalitéit	nˌoʀmaːlˈiːtɜ͡ɪt
Ménagen	mænˈɑʁən
Prisonnéier	pʀˌiːzonˈɜ͡ɪɐ
Léiere	lɜ͡ɪˈɐə
rasant	ʀˈaːzɑnt
zerrappen	ʦʁʀˈɑpən
fabrizéieren	fˌɑbʀiʦɜ͡ɪˈəʀən
fortgaange	foʀtgˈaːɳə
vermeide	veːʀmˈɑ͡ɪdə
Wales	vˈaːleːz
Communiqué	kˌomynˈikeː
Statec	ʃˈaːteːk
Vulnerabel	vˌulneːʀˈaːbeːl
Wetteren	veːtˈeːʀeːn
Tänak	tˈɛːnaːk
Alentouren	ˌaːleːntˈə͡ʊʀeːn
verleegent	fʁlˈeːʑənt
gebiede	gəbˈi͡ədə
Training	tʀˈɛːniɳ
Stiller	ʃtˈilʁ
waarmen	vˈaːʀmeːn
Koalitiounen	kˌoaːliʦjˈə͡ʊnən
mouvementéiert	mˌə͡ʊveːmeːntˈɜ͡ɪɐt
Monseigneur	monzˈɑ͡ɪgno͡ɪʀ
hikënnt	hˈiːkənt
gruewen	gʀˈu͡əvən
spezialiséieren	ʃpˌeʦjaːlˌizɜ͡ɪˈəʀən
Horrorfilm	hoʀˈoʀfilm
gesaiss	gˈəzɑ͡ɪs
Konsumverhalen	kˌonzumveːʀhˈaːleːn
Geschwat	gˈəʃwaːt
zouzemaachen	ʦˌə͡ʊʦəmˈaːXeːn
Kreeslaf	kʀˈeːslaːf
Bäifuerer	bˈæː͡ɪfuːʁʀʁ
Mémoire	mˌæmoiːˈɐə
affaire	ˈɑfɛːʀ
gefuert	gˈəfu͡əʀt
Eeche	ˈeːɕə
Duebelzëmmer	dˌu͡əbeːlʦˈəmeːʀ
Festivalle	fˌeːztiːvˈɑlə
Mononk	mˈoːnoɳ
Cinéma	kiːnˈæmɑ
Jefferson	jeːfˈeːʀzoːn
Grouss	gʀˈə͡ʊs
Renaturéierung	ʀˌenɑtˌyːʀɜ͡ɪˈəʀuɳ
Eemaischen	eːmˈɑ͡ɪʃeːn
Weiere	vɑ͡ɪˈɐə
erauskritt	əʀˈæː͡ʊskʀit
gliddege	glˈideːʃ
verstaanen	veːʀztˈaːnən
wënnt	vˈənt
Saufest	zˈɑ͡ʊfeːzt
Hëllef	hˈələf
Piccobello	pˌikkoːbˈeːloː
duerften	dˈu͡əʀfteːn
Haaptuleies	hˌaːptuːlˈɑ͡ɪəz
just	ʒˈust
nationale	nˌaːtioːnˈaːlə
afrikanescht	ˌɑfʀiːkˈaːneːʃt
Publisher	publˈizheːʀ
Russesch	ʀˈusəʃ
Island	ˈislɑnt
virgoen	fiːʁgˈoːən
Ouerréng	ˈə͡ʊʁʀeɳ
Banditten	bɑndˈitən
Virtrag	fˈiːʁtʀaːX
Sënn	zˈən
Andreas	ɑntʀˈəɑz
Klierfer	kliˈɐfeːʀ
Heavy	həˈɑviː
tropeschen	tʀoːpˈeːʃeːn
Pinsel	pˈinzəl
qualiteit	kwaːlˈiːtɑ͡ɪt
Biergerinitiativ	bˌiːʁʑʁiniʦjˈɑtiːf
lescht	lˈæʃt
Jenni	jˈeːni
orientalesch	ˌoʀjæntˈɑləʃ
ebeemol	əbˈeːmoːl
Haassel	hˈaːsəl
stamen	ʃtˈaːmən
Speech	zpˈeːɕ
Schlussfolgerungen	ʃlˌusfolʑʁˈuɳən
Folleg	fˈoləɕ
Iwwerhuele	ˌiveːʀhˈu͡ələ
gewiercht	gəvˈiɐkht
Inkompetenz	ˌiɳkompˈeːtænʦ
Bildungsministère	bˌiltuɳzmˌiːniztˈeːʀə
armen	ˈɑʀmeːn
Kranz	kʀˈɑnʦ
Antependium	ˌɑnteːpæntˈium
Busrees	bˈuzʀeːz
amplaz	ˈɑmplaːʦ
Siedlung	zˈi͡ədluɳ
Kompetenz	kompˈeːtænʦ
Duval	dˈuːvaːl
Naturmaterialien	nˌaːtuʀmˌɑteːʀiˈaːli͡ən
Seancen	zˈəɑnsn
belunn	bˈəlun
Gedichtband	gədˈiɕtbɑnt
Schreifstil	ʃʀˈɑ͡ɪfztiːl
gefehlt	gˈəfeːlt
HAUT	hˈɑ͡ʊt
las	lˈaːz
Boost	bˈoːzt
Inter	ˈinteːʀ
Investmentfonds	ˌinveːztmˈeːntfontz
Deceuninck	deːsˈuːnink
Broschüre	bʀoʃˈyːʀə
Teamchef	təˈɑmkheːf
andere	ɑndˈɐə
alldeeglech	ɑldˈeːɕləɕ
Holzem	hˈolʦəm
Stroossekënschtler	ʃtʀoːsˈəkənʃtlʁ
Armurier	ˌɑʀmuːʀˈiɐ
auserwielt	ɑ͡ʊzˈeːʀvi͡əlt
unhunn	ˈunhun
européennes	ˌo͡ɪʀoːpˈeːneːz
anständeg	ɑnztˈenteːk
Noutsituatioun	nˌə͡ʊtziːtˌuaːtˈiə͡ʊn
Team	tˈeaːm
Dëse	dˈəzə
satiresche	zˌaːtiːʀˈeːʃə
verstanen	fʁʃtˈaːnən
Palästinenser	pˌɑlæstˈinænzʁ
ehc	ˈəhk
Vereenegte	vˌeːʀeːnˈeːgtə
fruchtbar	fʀˈuXtbaːʀ
Verona	veːʀˈoːnɑ
Touring	tˈə͡ʊʀiɳ
Kierchefabricke	kˌiɐkhˌeːfɑbʀˈikə
ersat	ʁzˈaːt
Aarme	ˈaːʀmə
stäerke	ʃɛːˈɐkə
Bintz	bˈintʦ
Joachim	joˈɑXiːm
pittoreske	pˌitoːʀˈeːzkə
ongläich	ˈonglæː͡ɪɕ
änlecht	ˈenlæɕt
gehuewe	gəhˈu͡əvə
Zomm	ʦˈom
onsënneg	onsˈənəɕ
Déierchen	dˈɜ͡ɪʁɕən
raisonnabel	ʀˌɑ͡ɪzonˈaːbeːl
Pacs	pˈɑkz
gaapsen	gˈaːpsən
Dier	dˈiːʁ
Groeber	gʀoˈəbeːʀ
dh	dh
geréngste	gəʀˈæɳztə
Massegriewer	mˌɑseːgʀˈi͡əveːʀ
Telefon	təlˈəfon
Rinnen	ʀˈinən
ca	kˈɑ
Vollmuechte	volmˈu͡əkhtə
ofzeschneiden	ˌofʦəʃnˈɑ͡ɪdən
Tripadvisor	tʀˌiːpɑdvˈiːzoːʀ
has	hˈaːz
Schutzpatréiner	ʃˌutʦpɑtʀˈɜ͡ɪneːʀ
Réckféierung	ʀˌækfɜ͡ɪˈɐuɳ
dënn	dˈən
Nages	nˈɑʁəz
regelmässeg	ʀˌeːgəlmˈeseːk
Beschleunegung	bˌəʃlœːnˈəʑuɳ
Alliéiert	ˈɑljɜ͡ɪʁt
Mann	mˈɑn
Riseg	ʀˈiːzəɕ
amerikaneschen	ˌaːmeːʀˌiːkaːnˈeːʃeːn
Nationalfeierdag	nˌɑʦjoːnaːlfˈɑ͡ɪʁdaːX
Schüler	ʃˈyːlʁ
rutscht	ʀˈutʃt
ongestéiert	ongˈəʃtɜ͡ɪʁt
nemen	nˈeːmeːn
zesummeschaffe	ʦˌəzumeːʃˈɑfə
geschrauft	gˈəʃʀɑ͡ʊft
Reflektor	ʀeːflˈeːktoːʀ
gravéierend	gʀˌaːvɜ͡ɪˈɐeːnt
Farm	fˈɑʀm
Alto	ˈɑltoː
Oval	ˈovaːl
wend	vˈeːnt
Dressing	dʀˈeːsiɳ
Parzeläin	pɑʀʦˈəlæː͡ɪn
fierft	fˈiɐft
Faith	fˈɑ͡ɪth
Pussy	pˈusiː
Fuerderungen	fˌuːʁdəʀˈuɳən
Tablets	tˈɑbleːtz
kollabéiert	kˌolaːbˈɜ͡ɪɐt
Bildschirmer	biltʃˈiʀmeːʀ
Opwand	ˈopvɑnt
Primme	pʀˈimə
FAQ	fˈaːk
däitschsproochegen	dˌæː͡ɪtʃzpʀoːXˈeːgən
bakteriell	bɑktˈeːʀi͡əl
gleeft	glˈeːft
Faschist	fˈɑʃist
verformt	fʁfˈoʀmt
kennzeechnen	kˌeːnʦəˈəɕnən
flaachen	flˈaːXeːn
Vergréisserung	vˌeːʀgʀɜ͡ɪsˈeːʀuɳ
Autorisatioune	ˌɑ͡ʊtoːʀˌiːzaːtiˈə͡ʊnə
COPAS	kˈoːpaːz
Temperaturen	tˌæmpəʀɑtˈuːʀən
higehéiert	higˈəhɜ͡ɪʁt
bestoende	bˌeːztoˈəntə
XII	ksˈiː
Stephanie	ʃeːphˈaːni͡ə
Ardennenoffensiv	ˌɑʀdənnˌənofˈeːnziːv
Archivmaterial	ˌɑʀkhivmˌɑteːʀˈiɑl
Retörns	ʀˈeːtœːʀnz
Besëtzer	bˈəzəʦʁ
geeschtert	ʒˈeːʃteːʀt
Steiermesuren	ʃˌɑ͡ɪɐmeːzˈuːʀeːn
Kutschen	kˈut͡ʃən
Bedéngt	bˈədeɳt
zoustänneg	ʦə͡ʊʃtˈænəɕ
hapert	hˈaːpeːʀt
Postkaart	pˈostkaːʀt
wiekleg	vˈi͡əkleːk
gare	gˈaːʀ
wönschen	vˈœːnʃeːn
felicitéieren	fˌælisˌitɜ͡ɪˈəʀən
Kelvin	kˈeːlviːn
zréckgräife	ʦʀækgʀˈæː͡ɪfə
Scouting	zkˈə͡ʊtiɳ
Verfügung	fʁfˈyːʑuɳ
Nopeschlänner	noːpˈəʃlænʁ
agestanen	ˌɑgəʃtˈɑnən
woumat	vˈə͡ʊmɑt
verstänneg	fʁʃtˈænəɕ
Bletzen	blˈeːtʦən
Dolan	dˈoːlaːn
Koltz	kˈoltʦ
Origer	oːʀˈiːgəʀ
onerhieflech	ˌoːneːʀhˈi͡əflæɕ
Nominéierungen	nˌoːminˌɜ͡ɪəʀˈuɳən
Il	ˈil
Touche	tˈuʃ
Carnet	kˈɑʀneːt
Erhéijungen	ʁhɜ͡ɪʑˈuɳən
Iwwerreschter	ivˈəʀæʃtʁ
konservativ	kˌonzeʀvˈɑtiːf
starkt	ʃˈɑʀkt
exploréiert	ˌəksploːʀˈɜ͡ɪɐt
WTO	vtˈoː
histeieren	hˌiztɑ͡ɪˈɐeːn
wäert	vˈɛːʁt
Kockelmann	kokˈeːlmɑn
Häerzer	hˈɛːʁʦʁ
Antibiotiken	ˌɑntiːbˌioːtˈiːkeːn
Engelen	æɳˈələn
pixelman	piːksˈeːlmaːn
hat	hˈaːt
Affären	ɑfˈɛːʀən
Beliichtung	bəlˈiːɕtuɳ
prima	pʀˈiːmɑ
Aquarell	ɑkwˈaːʀæl
Finanz	fˈiːnɑnʦ
Rochus	ʀˈokhuːz
materieller	mˌɑteːʀˈi͡əleːʀ
erneieren	ʁnɑ͡ɪˈəʀən
Méideng	mˈɜ͡ɪdeɳ
Rainer	ʀˈɑ͡ɪneːʀ
erpressen	ʁpʀˈæsən
fierwaat	fiˈɐvaːt
Vegan	vˈeːgaːn
ugepakt	uːʁˈəpɑkt
Posten	pˈostən
Decker	dˈeːkeːʀ
Tempel	tˈæmpəl
riseg	ʀˈiːzəɕ
Aler	ˈaːleːʀ
Parkinson	pɑʀkˈinzoːn
Credo	kʀˈeːdoː
Gaardenhaus	gaːʀdˈənhɑ͡ʊz
biergt	bˈiɐgt
Ball	bˈɑl
Klimawiessel	klˌiːmaːvˈi͡əsəl
Lanners	lˈɑneːʀz
Stall	ʃtˈɑl
Gemauschels	gəmˈæː͡ʊʃəls
Halleffinallen	hˌɑləffinˈɑlən
not	nˈoːt
Ziffer	ʦˈifʁ
Gudden	gˈudən
antik	ˈɑntik
Neiwale	nɑ͡ɪvˈaːlə
Jessica	jeːsˈiːkɑ
Vitess	vˈitæs
iwwerkucken	ivʁkˈukən
geléiert	gˈəlɜ͡ɪʁt
Rassismus	ʀɑsˈismus
Kommune	komˈuːnə
verfälscht	fʁfˈælʃt
Pensiounssystem	pˌænziə͡ʊnsˈizteːm
Kapazitéit	kˌaːpaːʦˈiːtɜ͡ɪt
Schwächst	ʃvˈekhzt
wer	vˈeːʀ
familljefrëndlech	fˌaːmiljeːfʀˈəntlæɕ
semantesch	zeːmˈɑnteːʃ
Gläich	glˈæː͡ɪɕ
Grondrechter	gʀˈondʀæɕtʁ
Appui	ɑpˈuiː
Presseorganer	pʀˌeːsəoʀgˈaːneːʀ
krankeverséchert	kʀˌɑɳeːveːʀzˈækheːʀt
Fannen	fˈɑnən
Kritt	kʀˈit
knat	knˈaːt
eischtens	ˈɑ͡ɪʃteːnz
begeschtert	beːgˈəʃteːʀt
korrupt	kˈoʀupt
viregten	viːʀˈeːgteːn
Flexibiliséierung	flˌeːksiːbˌiːliːzɜ͡ɪˈɐuɳ
Tas	tˈaːz
Féier	fˈɜ͡ɪɐ
getätegt	gətˈɛːteːgt
rieden	ʀˈi͡ədən
Adele	aːdˈeːlə
Sozialbudget	zˌoːʦiɑlbˈudgət
Turnen	tˈuʀnən
fairen	fˈɑ͡ɪʀeːn
Winkin	vˈiɳiːn
amplaaz	ˈɑmplaːʦ
Assurances	ɑsˈuːʀɑnsz
Photovoltaik	phˌoːtoːvˈoltɑ͡ɪk
decaléiert	dˌeːkaːlˈɜ͡ɪɐt
eeleren	eːlˈeːʀeːn
sans	zˈɑnz
opzehuele	ˌopʦəhˈu͡ələ
Doute	dˈə͡ʊtə
Jana	jˈaːnɑ
hellt	hˈeːlt
fortgefuer	foʀtgˈəfuːʁ
retoucheiert	ʀˌeːtə͡ʊXˈɑ͡ɪɐt
Trierweiler	tʀˌiɐvˈɑ͡ɪleːʀ
Dräierkoalitioun	dʀˌæː͡ɪɐkˌoaːliːtˈiə͡ʊn
Aktivisten	ˌɑktivˈistən
perséinlech	peʀzˈɜ͡ɪnləɕ
Nodenken	noːdˈæɳkən
neutraliséiert	ntʀɑlˈizɜ͡ɪʁt
Hitten	hˈitən
Virsëtzende	vˌiʀzətʦˈəntə
Tabuen	tɑbˈyːən
Kostümer	kˈostymʁ
Quadratesch	kɑdʀˈaːtəʃ
dra	dʀˈɑ
auszerotten	ˌɑ͡ʊzʦəʀˈotən
chemescher	kheːmˈeːʃeːʀ
campen	kˈɑ̃ːmpən
Industriekultur	ˌintuʃʀi͡əkˈultuːʀ
Schlofproblemer	ʃlˌofpʀoblˈeːmeːʀ
Klacken	klˈɑkən
onnéidege	onˈɜ͡ɪdeːʃ
wéineger	vɜ͡ɪnˈeːgəʀ
topographesch	tˌoːpogʀˈaːfəʃ
Nori	nˈoːʀi
sid	zˈiːd
Moskau	mˈozkɑ͡ʊ
Loach	lˈoɑX
Contact	kˈontɑkt
groussherzoglecht	gʀˌə͡ʊsheːʀʦˈoglæɕt
Willi	vˈili
nuecht	nˈu͡əɕt
Charly	khˈɑʀliː
Pouz	pˈə͡ʊʦ
prominente	pʀˌoːmiːnˈəntə
Hausaufgabenhëllef	hˌɑ͡ʊzɑ͡ʊfgˌaːbeːnhˈəleːf
Luxushotel	lˌuːksuzhˈoːtəl
opzwéngen	opʦwˈeɳən
ënnerbeliicht	ənʁbˈəliːɕt
Soler	zˈoːleːʀ
Moss	mˈos
psychoaktiv	pzˌikhoˈɑktiːv
Familljefeieren	fˌaːmiljˌeːfɑ͡ɪˈɐeːn
realiseieren	ʀˌəaːlˌiːzɑ͡ɪˈɐeːn
Manif	mˈaːniːf
down	dˈovn
Graf	gʀˈaːf
Rapporten	ʀɑpˈoːʀən
Aire	ˈɑ͡ɪʀə
past	pˈɑzt
Ficken	fˈikeːn
Lëpsen	lˈəpsən
downloaden	dˌovnloˈaːdən
Rapprochement	ʀˌɑpʀoʃˈəmænt
reale	ʀəˈaːlə
mech	mˈəɕ
Laascht	lˈaːʃt
Investitioun	ˌɛ̃ːvæstˈiʦjə͡ʊn
bleift	blˈɑ͡ɪft
ëstleche	ˌoæztlˈæɕə
Konsultatioun	kˌonzultaːtˈiə͡ʊn
Energiepolitik	ˌəneːʀʒˌi͡əpoːlˈiːtiːk
explodéiere	ˌəksploːdɜ͡ɪˈɐə
Aarbechtsblieder	ˌaːʀbæɕtzblˈi͡ədɐ
Key	kˈəiː
Trio	tʀˈioː
Fossé	fˈosæ
Observateuren	ˌopzeʀvɑtˈœːʀən
abstrakt	ˈɑbstʀɑkt
mënschlechem	mənʃlˈæɕeːm
Momper	mˈompʁ
Entscheedungen	ˌənt͡ʃeːdˈuɳən
Zebrasträife	ʦˌəbʀɑʃʀˈæː͡ɪfə
ausgeglachene	ˌɑ͡ʊzgəglɑXˈeːnə
iwwerwise	ˌiveːʀvˈiːzə
Betraffener	bˌeːtʀɑfˈeːneːʀ
Biathlon	biˈɑthloːn
Béierzorten	bˌɜ͡ɪɐʦˈoʀteːn
Belsche	bˈeːlʃə
Uruguay	ˌuʀugwˈaːiː
Orginal	oʀgˈinaːl
baséieren	bˌaːzɜ͡ɪˈəʀən
welchen	vˈeːlkheːn
hannerfreet	hɑnˈeːʀfʀeːt
Eegenheem	eːgˈənheːm
fromm	fʀˈom
fotographeiert	fˌoːtogʀɑphˈɑ͡ɪɐt
Débat	dˈæbaːt
Fale	fˈaːlə
Rettungsdéngschter	ʀætˈuɳsdeɳʃtʁ
Wio	vˈioː
interaktiven	ˌinteːʀɑktˈiːveːn
Sequel	zˈeːku͡əl
Millen	mˈilən
Fluor	flˈuoːʀ
gespant	gˈəzpɑnt
verkaaften	veːʀkˈaːfteːn
Haass	hˈaːs
Gëllt	gˈəlt
Policebeamte	pˌoːliːsbəˈɑmtə
eigendlech	ɑ͡ɪgˈəntlæɕ
Ausser	ˈæː͡ʊsʁ
branding	bʀˈɑntiɳ
ausgedroen	ˌæː͡ʊsgədʀˈoːən
verstäerken	fʁʃtˈɛːʁkən
Toilette	twˈɑlæt
Raisonnement	ʀˌɑ͡ɪzonˈəmænt
Autosfuerer	ˌɑ͡ʊtozfˈu͡əʀeːʀ
opspillen	opʃpˈilən
Vinales	viːnˈaːleːz
Olivenueleg	ˌoliːvˌənyːˈələɕ
ugesot	uːʁˈəzoːt
isoléiere	ˌizoːlɜ͡ɪˈɐə
versiche	veːʀzˈiʃə
Liesrichtung	li͡əzʀˈiʃtuɳ
Wunnéngen	vunˈæɳeːn
fille	fˈilə
Index	ˈindæks
Beie	bˈɑ͡ɪə
Kandidatinnen	kˌɑndidaːtˈinən
drënner	dʀˈənʁ
Drécken	dʀˈekən
Baséierend	bˌaːzɜ͡ɪˈɐeːnt
Zouso	ʦˈə͡ʊsoː
ervirgestrach	ʁfiːʁgˈəʃtʀɑX
heemesche	heːmˈeːʃə
stand	ʃtˈɑnt
spezieller	zpeːʦˈi͡əleːʀ
Nationalhymn	nˌɑʦjoːnˈaːlhin
Dass	dˈɑs
Novel	nˈoːveːl
Intressen	intʀˈeːseːn
gepompelt	gəpˈompəlt
cibléieren	sˌiblɜ͡ɪˈəʀən
reenereg	ʀeːnˈeːʀeːk
Stäeren	ʃɛːˈɐeːn
edel	ˈədeːl
fairerweis	fɑ͡ɪʀˈeːʀvɑ͡ɪz
Kannerrechtskonventioun	kˌɑneːʀˌæɕtzkonveːntˈiə͡ʊn
erausschielen	ˌəʀæː͡ʊsʃˈi͡ələn
Strummert	ʃtʀˈumʁt
Belairer	beːlˈɑ͡ɪʀeːʀ
Hoerold	hoˈɐolt
Sido	zˈiːdoː
Vull	fˈul
National	nɑʦjˈoːnaːl
Move	mˈoːvə
héig	hˈɜ͡ɪk
vläicht	flˈæː͡ɪɕt
geherrscht	gˈəheːʀʃt
grousszügeg	gʀə͡ʊsʦˈyːgək
alleréischte	ˌɑləʀˈɜ͡ɪʃtə
Vetternwirtschaft	vˌeːteːʀnvˈiʀtʃɑft
Ännerungsvirschléi	ˌeneːʀuɳzvˈiʀʃlɜ͡ɪ
wiessele	vi͡əsˈeːlə
nom	nˈoːm
