caixilho	kajʃiʎu
arma	aɹmɐ
exploit	eksplɔjt͡ʃ
bravo	bɾavu
menina	meninɐ
reta	ʁɛta
muitos	mũj̃tus
sashimi	saʃimi
cozido	kozidu
cálice	kalisi
desejoso	dezeʒozu
marreta	maʁetɐ
â	ɐ̃
quero	kɛɾu
futuro	futuɾu
escumalho	iskumaʎu
molhagem	moʎaʒẽj̃
filado	filadu
popularizar	populaɾizaʁ
depois	depojs
dogma	dɔɡimɐ
prerrogativa	pɾeʁoɡɐt͡ʃivɐ
trom	tɾõ
vês	ves
método	mɛtodu
líbano	libɐnu
colarinho	kolaɾiɲu
falta	fawtɐ
adrede	adɾed͡ʒi
graça	ɡɾasɐ
substituto	subiʃt͡ʃitutu
proporção	pɾopoʁsɐ̃w̃
povo	povu
encenação	ẽsenasɐ̃w̃
programador	pɾoɡɾamadoʁ
óculos	ɔklus
vínico	viniku
juventude	ʒuvẽtudʒi
curiosidade	kuɾjozidad͡ʒi
ótimo	ɔt͡ʃimu
pescoço	peskosu
um	ũ
curinga	kuɾĩɡɐ
célere	sɛleɾi
insofismável	ĩsofismavew
relaxar	ʁelaʃaʁ
filipa	filipɐ
mulato	mulatu
raiva	ʁajvɐ
aurélia	awɾɛljɐ
melancia	melɐ̃siɐ
tempera	tẽpɛɾa
sapiente	sapiẽt͡ʃi
senhora	seɲɔɾɐ
lhama	ʎɐmɐ
exagero	ezaʒeɾu
mudar	mudaɹ
por	poʁ
guizo	ɡizu
desafio	dezafiu
alexander	aleksɐ̃deʁ
gaiatar	ɡajataɾ
amigdalite	ɐmidalit͡ʃi
rapariga	ʁapaɾiɡɐ
passe	pasi
desvio	d͡ʒisviu
mostra	mɔstɾɐ
parceiro	paʁsejɾu
ninjete	nĩʒɛtʃi
sestro	sɛstɾu
fraqueza	fɾakeza
caseiro	kazejɾu
abençoada	abẽsoadɐ
idade	idad͡ʒi
viço	visu
caminhar	kamiɲaɻ
otário	otaɾju
ronda	ʁõdɐ
satã	satɐ̃
venerável	veneɾavew
transmitir	tɾɐ̃smitʃiɹ
futricada	futɾikada
danado	danadu
ícone	ikoni
federação	fedeɾasɐ̃w̃
cicatriz	sikatɾis
safista	safistɐ
ruim	ʁuĩ
josé	ʒuzɛ
narrativa	naʁat͡ʃiva
galera	ɡalɛɾɐ
oftalmologistas	oftawmoloʒistɐs
desaprender	dezapɾẽdeʁ
oftalmo	oftawmu
estabelecer	estabeleseʁ
catarro	kataʁu
sapata	sapatɐ
desligar	dezliɡaʁ
condefé	kõdɛfɛ
arando	aɾɐ̃du
vantajoso	vɐ̃taʒozu
monção	mõsɐ̃w̃
quantitativa	kwɐ̃t͡ʃitat͡ʃivɐ
vigor	viɡoʁ
áustria	awstɾjɐ
metodologia	mɛtodoloʒiɐ
arame	aɾɐme
numas	numɐs
tear	teaʁ
robô	χobo
itália	italjɐ
raiz	ʁaiʃ
hiato	iatu
enxofre	enʃɔfɾɪ
elefante	elefɐ̃t͡ʃi
intento	ĩtẽtu
moderno	modɛʁnu
documento	dokumẽtu
púcaro	pukaɾu
patético	patɛt͡ʃiku
ônibus	onibus
descida	desidɐ
pega	peɡɐ
apreender	apɾj̃ẽdeʁ
der	dɛʁ
hino	inu
nhanhanhã	ɲɐɲɐɲɐ̃
pet	pɛt͡ʃ
queijo	kejʒu
mesa	mezɐ
lutar	lutaʁ
terabit	tɛɾabiti
quantitativos	kwɐ̃t͡ʃitat͡ʃivus
leite	lejti
glúten	ɡlutẽj̃
gema	ʒemɐ
bv	beve
nominal	nominaw
api	apei
ionosfera	jonosfɛɾa
prover	pɾoveʁ
perna	pɛʁnɐ
radar	ʁadaʁ
suficiente	sufisiẽtʃi
gotemburgo	ɡotẽbuʁɡu
cávado	kavadu
cegas	sɛɡɐs
âncora	ɐ̃koɾɐ
adição	ad͡ʒisɐ̃w̃
suécia	suɛsjɐ
verdadeiro	veɹdadejɾu
jornal	ʒoʁnaw
sútil	sut͡ʃiw
deficiente	defisiẽt͡ʃi
cristão	kɾiʃtɐ̃w̃
ordinário	oʁdʒinaɾju
palco	pawku
parcialmente	paʁsiawmẽt͡ʃi
ria	ʁiɐ
varanda	vaɾɐ̃dɐ
â	ɐ
preferido	prefeɾidu
torrente	toʁẽt͡ʃi
vela	vɛlɐ
simplesmente	sĩpliʒmẽt͡ʃi
escusamos	eskuzɐmus
baguete	baɡɛtʃi
carroça	kaʁɔsɐ
internauta	ĩteʁnawtɐ
membro	mẽbɾo
aumentar	awmẽtaɹ
vide	vid͡ʒi
insensibilidade	ĩsẽsibilidad͡ʒi
natália	nataljɐ
jumento	ʒumẽtu
ósseo	ɔsiu
marambaia	maɾɐ̃bajɐ
encaixar	ĩkajʃaɹ
compartilhar	kõpaʁt͡ʃiʎaʁ
roubalheira	ʁowbaʎejɾɐ
arritmia	aʁit͡ʃimia
brejeiro	bɾeʒejɾu
sabre	sabɾi
safar	safaʁ
umbigo	ũbiɡu
cuidar	kujdaɹ
lolardo	lolaʁdu
dall'agnol	dalɐɲɔw
índia	ĩd͡ʒjɐ
jacó	ʒakɔ
boda	bodɐ
ascese	asɛzi
regressar	ʁeɡɾesaʁ
vaqueiro	vakejɾu
taça	tasɐ
estrada	istɾadɐ
deus	dewʃ
caubói	kawbɔj
ilusionista	iluzjoniʃtɐ
panteísta	pɐ̃teistɐ
grisu	ɡɾizu
dourado	dowɾado
litoral	litoɾaw
observar	obiseχvaχ
noventa	nɔvẽtɐ
palácio	palasiu
pinball	pĩbɔw
godo	ɡodu
charrete	ʃarɛtʃi
sangria	sɐ̃ɡɾiɐ
pulso	puwsu
filho	fiʎu
macumba	makũbɐ
fertilizante	fɛʁt͡ʃilizɐ̃t͡ʃi
nababesco	nababesku
eliminar	eliminaʁ
já	ʒa
galileu	ɡalilew
enganar	ĩɡɐnaʁ
eli	eli
medicina	med͡ʒisinɐ
klinger	klĩʒɛɾ
wisconsin	viskõsĩ
petista	petiʃta
liberal	libeɾaw
aloísio	aloizju
vidente	vidẽt͡ʃi
cravejado	kɾaveʒadʊ
jenifer	dʒẽnifeʁ
colher	koʎeʁ
superstição	supeʁstisɐ̃w̃
cuidadinho	kujdad͡ʒiɲu
atmosfera	atʃimosfɛɾɐ
padeiro	padejɾu
transição	tɾɐ̃zisɐ̃w̃
groenlândia	ɡɾoẽlɐ̃d͡ʒja
mésia	mɛziɐ
malásia	malazjɐ
mesosfera	mezojʃfɛɾa
alto	awtu
lente	lẽt͡ʃi
versão	veʁsɐ̃w̃
polícia	polisjɐ
yakisoba	jakisobɐ
esboçar	ezbosaʁ
ufo	ufo
prática	pɾat͡ʃikɐ
w	v
apetite	apet͡ʃit͡ʃi
vitivinicultura	vinivit͡ʃikuwtuɾɐ
impertinência	ĩpeʁt͡ʃinẽsjɐ
milagre	milaɡɾi
repreensão	hepɾeẽsɐ̃ʊ
camundongo	kamũdõɡu
slide	zlajd͡ʒ
alvo	awvu
mesmo	mehmu
redundância	ʁedũdɐ̃siɐ
hamlet	hɛmlet
bicudo	bikudu
mendigo	mĩd͡ʒĩɡu
desenvolvimento	dezĩvowvimẽtu
algazarra	awɡazaʁɐ
defunto	d͡ʒifũtu
come	komi
concluíram	kõkluiɾɐ̃w̃
arte	aɾt͡ʃi
assinar	asinaʁ
frame	fɹejm
pretinho	pɾet͡ʃij̃ʊ
parente	paɾẽte
animê	anime
irmã	iʁmɐ̃
patológicos	patolɔʒikus
textura	tejʃtuɾa
esperança	eʃpeɾɐ̃sɐ
kilobit	kilobit͡ʃi
depressão	depɾesɐ̃w̃
maço	masu
siso	sizu
sintoma	sĩtoma
bale	bali
oposição	opozisɐ̃w̃
pastel	pastɛw
pensoso	pẽsozu
ioga	ioɡa
penteado	pẽt͡ʃiadu
importante	ĩpoɻtɐ̃te
geringonça	ʒeɾĩɡõsɐ
curdo	kuʁdu
relativo	ʁelatʃivu
compreensão	kõpɾiẽsɐ̃w̃
representativo	ʁepɾezẽtat͡ʃivu
cortiça	koʁt͡ʃisɐ
joaquim	ʒwakĩ
rastro	ʁastɾu
novela	novɛlɐ
desenvencilhar	desẽvẽsiʎaɾ
gnomo	ɡnomu
doze	doze
amílcar	amiwkaʁ
quarenta	kwaɾẽtɐ
vih	veiɐɡa
segregação	seɡɾiɡasɐ̃w̃
sobremesa	sobɾimezɐ
comissão	komisɐ̃w̃
velocidade	velosidad͡ʒi
afete	afɛtʃi
ouvir	owviʁ
medonho	medoɲu
função	fũsɐ̃w̃
ismael	izmaɛw
prega	pɾɛɡɐ
diabo	d͡ʒjabu
desligado	diʒliɡadu
prostrar	pɾostɾaɾ
faraó	faɾaɔ
pamonha	pamoɲa
merreca	meʁɛka
escola	eskɔlɐ
acolher	akoʎeɾ
polivalente	polivalẽtʃi
estabelecida	estabelesidɐ
miúdo	miudu
existir	ezist͡ʃiɻ
crer	kɾeʁ
transvaal	tɾɐ̃zvaaw
criptoscopia	kɾiptoʃkopia
bolívia	bolivjɐ
gengiva	ʒẽʒivɐ
denso	dẽsu
quatrocentos	kwatɾusẽtus
croissant	kɾwasɐ̃
romãzeira	ʁomɐ̃zejɾa
química	kimika
estímulo	est͡ʃimulu
hooligan	huliɡɐ̃
deste	dɛst͡ʃi
óbito	ɔbitu
biênio	bienju
batalha	bataʎɐ
por	poɻ
melecar	melekaχ
lábio	labiu
desaforamento	dʒizafoɾamẽtu
matilde	mat͡ʃiwd͡ʒi
cesta	sesta
funda	fũda
platô	plato
ô	o
põem	põj̃
entretanto	ẽtɾitɐ̃tu
nevrálgico	nevɾawʒiku
significativo	siɡnifikat͡ʃivu
sítio	sit͡ʃiu
século	sɛkulu
acorde	akɔʁd͡ʒi
coro	koɾu
queria	kiɾia
atender	atẽdeʁ
calculação	kawkulasɐ̃w̃
chau	ʃaw
isolação	izolasɐ̃w̃
siracusa	siɾakuzɐ
sabe	sabi
culposamente	kuwpozamẽt͡ʃi
fuligem	fuliʒẽj̃
missão	misɐ̃w̃
nix	niks
feudalismo	fewdalismo
clube	klube
parir	paɾiʁ
arte	ahti
polónio	poloniu
forja	fɔʁʒɐ
regimento	ʁeʒimẽtu
publicidade	publisidad͡ʒi
total	totaw
longo	lõɡu
cheerleader	t͡ʃieʁlideʁ
autoevidente	awtuevidẽt͡ʃi
estanho	iʃtɐɲu
calo	kalu
abrupto	abɾuptu
intuição	ĩtwisɐ̃w̃
vermelho	veɦmeʎʊ
observar	obseɻvaɻ
oliveira	olivejɾɐ
encanto	ĩkɐ̃tu
dentre	dẽtɾe
afirmar	afixmax
semestre	semɛʃtɾi
catai	kataj
curtir	kuht͡ʃiɾ
romanche	ʁomɐ̃ʃi
procura	pɾokuɾɐ
norte	nɔʁt͡ʃi
reflexo	ʁeflɛksu
inferno	ĩfɛʁnu
estrada	iʃtɾadɐ
sussa	susɐ
tardio	taʁd͡ʒiw
detran	detɾɐ̃
orçamento	oʁsamẽtu
canivete	kanivɛte
concorda	kõkɔʁdɐ
matar	mataʁ
aspereza	aspeɾeza
sheila	ʃejlɐ
garrafeira	ɡaʁafejɾɐ
balear	baleaʁ
assim	asĩ
índio	ĩd͡ʒjo
neozelandês	nɛwzelɐ̃dejs
goiabeira	ɡojabejɾa
escritório	iskɾitɔɾju
magistratura	mɐʒiʃtɾɐtuɾɐ
achegar	aʃeɡaʁ
experiência	ispeɾjẽsjɐ
incluindo	ĩkluĩdu
pudera	pudɛɾa
pensão	pẽsɐ̃w̃
lousa	lowzɐ
estar	iʃtaχ
adad	adad͡ʒ
sinó	sinɔ
laura	lawɾɐ
guido	ɡidu
televendas	tɛlevẽdɐs
sequestro	sɛkwɛʃtɾʊ
caveira	kavejɾɐ
dente	dẽte
adular	ɐdulaɾ
novembro	novẽbɾu
bê	be
enorme	enɔʁmi
clotilde	klot͡ʃiwd͡ʒi
pressão	pɾesɐ̃w̃
pártia	paʁt͡ʃiɐ
worm	woʁmi
equilíbrio	ekilibɾju
garrafa	ɡaʁafɐ
resiliente	ʁeziliẽt͡ʃi
oriundo	oɾjũdu
incisão	ĩsizɐ̃w̃
chupisco	ʃupiʃku
peraí	pɛɾai
periférica	peɾifɛɾikɐ
aconselhar	akõseʎaʁ
agradecer	aɡɾadeseʁ
isso	isu
serviço	seɹvisu
túnel	tunɛw
animam	ɐnimɐ̃w̃
orgia	oɾʒia
olivina	olivinɐ
inchar	ĩʃaʁ
bimbar	bĩbaɹ
madrugada	madɾuɡadɐ
aspecto	aspɛktu
conjunto	kõʒũtu
fenestra	fenɛstɾɐ
decolagem	dekolaʒẽj̃
médio	mɛd͡ʒiu
complexar	kũplekisaʁ
jambo	ʒɐ̃mbu
agir	aʒiʁ
chicago	ʃikaɡu
boate	buat͡ʃ
sentimento	sẽt͡ʃimẽtu
conclusão	kõkluzɐ̃w̃
ritual	ʁitwaɫ
apurar	apuɾaɾ
bot	bɔt
sede	sɛdʒi
aderência	adeɾẽsiɐ
ré	ʁɛ
aparentar	apaɾẽtaʁ
contumaz	kõtumas
passeio	paseju
demanda	demɐ̃da
saúde	saud͡ʒi
omar	oma
tantã	tɐ̃tã
tolosa	tolɔzɐ
satisfação	satisfasɐ̃w̃
resete	ʁezɛtʃi
balada	baladɐ
edna	ɛd͡ʒnɐ
incitador	ĩsitadoʁ
novamente	nɔvamẽt͡ʃi
raiz	ʁais
certo	sɛʁtu
frio	fɾiu
congratulou	kõɡɾatulow
homenagem	ɔmẽnaʒẽj̃
musgo	muzɡu
sapata	sapata
marcos	maʁkus
acontecer	akõteseɻ
fivela	fivɛlɐ
sugestivo	suʒeʃt͡ʃivu
morada	moɾadɐ
tímido	tĩmidʊ
prefixo	pɾefiksu
transmitir	tɾɐ̃ʒmitʃiχ
aumentar	awmẽtaɻ
incrementar	ĩkremẽtaɾ
ravina	ʁavinɐ
araújo	aɾauʒu
voadora	voadoɾɐ
balázio	balazju
dinis	d͡ʒinis
êxodo	ezodu
provocadora	pɾovokadoɾɐ
vinicultura	vinikuwtuɾɐ
criptozoólogo	kɾiptozoɔloɡu
futucar	futukaʁ
desfazimento	desfazimẽtu
livremente	livɾimẽt͡ʃi
bonde	bõdi
criminal	kɾiminaw
breja	bɾɛʒa
fazenda	fazẽdɐ
pernóstico	peɾnɔstʃiku
rifle	ʁifli
sonoplastia	sonoplast͡ʃia
tordo	toʁdu
lenda	lẽdɐ
maduro	maduɾu
capuz	kapus
curso	kuɻso
primário	pɾimaɾju
danado	dɐnadu
regalar	ʁeɡalaʁ
invasão	ĩvazɐ̃w̃
preciso	pɾisizu
conversar	kõveʁsaʁ
criptofone	kɾiptofoni
àquelas	akɛlas
sereia	seɾejɐ
posteriormente	posteɾjoʁmẽt͡ʃi
tárraco	taʁaku
suposição	supozisɐ̃w̃
yukon	jukõ
leniência	leniẽsja
alude	alud͡ʒi
tamanho	tamɐɲu
tâmara	tɐmaɾɐ
acerto	aseɾtu
abranger	abɾɐ̃ʒeʁ
transitório	tɾɐ̃zitɔɾju
capetagem	kapetaʒẽj̃
sesta	sɛstɐ
páli	pali
chapecoense	ʃapekoẽsi
controlar	kõtɾolaɹ
desaforo	dezafɔɾu
abalizado	abalɪzadu
tchecoslováquia	t͡ʃɛkozlovakiɐ
desses	desis
agradecemos	aɡradesemuʃ
oriundo	oɾiũdu
ubicação	ubikasɐ̃w̃
davam	davɐ̃w̃
coraçãozinho	koɾasɐ̃w̃ziɲu
árvore	aʁvoɾi
coronavírus	koɾonaviɾus
balança	balɐ̃sɐ
nuns	nũs
xelim	ʃelĩ
pornografia	poʁnoɡɾafiɐ
wellington	wɛlĩtõ
fonema	fonemɐ
distintas	d͡ʒist͡ʃĩtɐs
ar	aɹ
subjuntivo	subiʒũt͡ʃivu
nível	nivew
crescer	kɾeseʁ
açucena	asusenɐ
update	upideit͡ʃi
entusiasta	ẽtuziastɐ
nisso	nisu
celestial	seleʃt͡ʃiaw
haste	astʃi
nepotismo	nepot͡ʃizmu
despir	despiʁ
cervo	seʁvu
arma	axmɐ
selena	selenɐ
poligâmico	poliɡɐ̃miku
feijoada	fejʒuadɐ
votar	votaʁ
odin	od͡ʒĩ
ido	idu
u	u
tradutor	tɾadutoʁ
força	foɹsɐ
filosofal	filozofaw
direto	d͡ʒiɾɛto
apuro	apuɾu
sustentação	sustẽtasɐ̃w̃
aplicação	aplikasɐ̃w̃
amaterasu	ɐmateɾasu
nascer	naseʁ
abrigado	abɾiɡadu
moleque	mulɛki
int	ĩt͡ʃ
logística	loʒist͡ʃika
tabefe	tabɛfi
humanitário	umɐnitaɾju
tenho	teɲu
kawaii	kawaji
criptografia	kɾiptoɡɾafia
tumefação	tumefasɐ̃w̃
quíchua	kiʃuɐ
controlar	kõtɾolaʁ
suporte	supɔʁt͡ʃi
fique	fiki
patrono	patɾonu
batismo	bat͡ʃizmu
arroto	aʁotu
vulnerar	vuwniɾaʁ
rime	ʁimi
justiça	ʒustʃisɐ
freqüentemente	fɾekwẽt͡ʃimẽt͡ʃi
grife	ɡɾifi
perder	peʁdeʁ
apagar	apaɡaʁ
demais	demajs
dog	dɔɡi
trivialidade	trivialidadʒi
acender	asẽdeʁ
camponês	kɐ̃ponejs
empurrar	ĩpuʁaʁ
israel	izʁaɛw
premente	pɾemẽtʃi
relatório	helatɔɾjo
entregar	ẽtɾeɡaʁ
polónio	polonju
subdelegacia	subdeleɡasiɐ
sundaneses	sũdɐnezis
revelar	ʁevelaʁ
migração	miɡɾasɐ̃w̃
babaçuê	babasue
roer	χoe
cutelo	kutɛlu
interrogativa	ĩteʁoɡat͡ʃivɐ
diarista	d͡ʒjaɾistɐ
tagarela	taɡɐɾɛlɐ
reno	ʁenu
sarin	saɾĩ
moratória	moɾatɔɾia
colônia	koloniɐ
jerónimo	ʒeɾonimu
selma	sɛwmɐ
palíndromo	pɐlĩdrumu
abeberar	abebeɾaɾ
anestésico	anestɛziku
sol	sɔw
moeda	mwɛdɐ
congonhinhas	kõɡoɲiɲɐs
abiu	abiw
molequinho	mulɛkiɲu
verdura	veɹduɾa
onde	õdi
achaparrar	aʃapaʁaɾ
idílio	id͡ʒiliu
kit	kit͡ʃ
dica	d͡ʒikɐ
tranquilinha	tɾɐ̃kwiliɲɐ
rabanete	ʁabɐnet͡ʃi
socar	sokaʁ
classe	klase
homens	õmẽj̃s
assíria	asiɾjɐ
dirigível	d͡ʒiɾiʒivew
filial	filiaw
toro	tɔɾu
técnica	tɛknikɐ
ler	leʁ
triunfal	tɾiũfaw
daquele	dakele
combate	kõbat͡ʃi
punho	puɲu
clitóris	klitɔɾis
filmar	fiwmaʁ
requisito	ʁekizitu
além	alẽj̃
tira	t͡ʃiɾa
miopia	miopiɐ
nega	nɛɡɐ
deve	dɛvi
ouvi	owvi
sábado	sabadu
fim	fĩ
estreito	estɾejtu
silva	siwvɐ
tamareira	tamaɾejɾɐ
dentada	dẽtadɐ
melodia	melod͡ʒiɐ
churro	ʃuʁu
petróleo	petɾɔlju
handebol	ʁẽd͡ʒbɔw
polegada	poleɡada
guê	ɡe
vaivém	vajvẽj̃
preeminência	preeminẽsja
sequência	sekwẽsjɐ
latis	lat͡ʃis
bandicoot	bɐ̃d͡ʒikut͡ʃi
fuxicar	fuʃikaɾ
rola	ʁola
chapeada	ʃapeadɐ
estar	istaʁ
maioridade	majoɾidadʒi
rombo	rõbu
venho	vej̃u
racha	ʁaʃɐ
encaixe	ẽkajʃi
criptoanalista	kɾiptoanalijʃta
esfinge	isfĩʒi
querido	kiɾidu
leucemia	lewsemia
diário	dʒiaɾju
volátil	volat͡ʃiw
estágio	estaʒiw
coser	kuzer
decorar	dekoɾaɹ
desemprego	dezĩpɾeɡu
eira	ejɾa
bambu	bɐ̃bu
sé	sɛ
granja	ɡɾɐ̃ʒɐ
gordice	ɡoʁd͡ʒisi
maleficiar	malefisiaχ
paracelso	paɾasɛwsu
graal	ɡɾaaw
querem	kɛɾẽj̃
macarrão	makahɐ̃õ
isento	izẽtu
rombo	ʁõbu
miserrimamente	mizɛʁimɐmẽt͡ʃi
parente	paɾẽt͡ʃi
nascer	naseh
ressentimento	ʁesẽt͡ʃimẽtu
princípio	pɾĩsipju
janeiro	ʒɐnejɾu
detectar	detektaʁ
si	si
lavanda	lavɐ̃dɐ
cifrão	sifɾɐ̃w̃
impoluto	ĩpolutu
ladeira	ladejrɐ
examinar	ezɐminaʁ
formal	foʁmaw
família	fɐmiljɐ
maisena	majzena
suflê	sufle
lambida	lɐ̃bidɐ
protactínio	pɾotakt͡ʃiniu
cantar	kɐ̃taʁ
desenvincilhar	desẽvĩsiʎaɾ
praticar	pɾatʃikaʁ
xavasca	ʃavaskɐ
continuando	kõt͡ʃinwɐ̃du
temeu	temew
robô	ɦobo
capturar	kapituɾaʁ
vadoso	vadozu
misérrimo	mizɛʁimu
leme	lemi
ameaça	ameasa
job	dʒɔbi
sueco	suɛku
grei	ɡrɛj
vietname	vjɛt͡ʃinɐ̃
namoro	namoɾu
numa	numɐ
chuva	ʃuvɐ
psicológica	psikolɔʒikɐ
maracujá	maɾakuʒa
cus	kus
prostração	pɾostrasɐ̃w̃
lugar	luɡaɹ
traduçãozinha	tɾadusɐ̃w̃ziɲɐ
dê	dɛ
encher	ĩʃeʁ
haiti	ajt͡ʃi
têmpora	tẽpoɾɐ
aglaia	aɡlajɐ
onu	onu
mirra	miʁɐ
stop	stɔpi
guilherme	ɡiʎɛhmi
deusa	dewzɐ
missouri	mizuɾi
semáforos	semafoɾus
manchúria	mɐ̃ʃuɾjɐ
lençol	lẽsɔw
lesma	lezma
maciço	masisu
cobrar	kobɾaʁ
escocesa	eskosezɐ
ashanti	aʃɐ̃t͡ʃi
zero	zɛɾu
aguerrido	aɡeʁidu
obter	obteʁ
vitrificar	vitɾifikaʁ
admitir	ad͡ʒmit͡ʃiʁ
nuvem	nuvẽj̃
luz	lujʃ
duplo	duplu
belezura	belezuɾa
benemérita	benemɛɾitɐ
negão	neɡɐ̃w̃
doido	dojdu
agoural	aɡowɾaw
ronco	ʁõku
aspa	aʃpɐ
chispa	ʃispa
retirar	ʁet͡ʃiɾaʁ
renata	ʁenatɐ
outras	owtɾɐs
jacinto	ʒɐsĩtu
doer	doeʁ
lamúria	lamuɾja
trituro	tɾituɾu
ódio	ɔdju
anonimato	ɐnunimatu
reutilizar	ʁeutʃiʎizaɾ
hacker	hakeɾ
frontal	fɾõtaw
disenteria	dezĩteɾiɐ
instalar	ĩstalaɾ
caulinita	kawlinitɐ
és	ɛs
vezes	vezis
salada	saladɐ
superveniência	supeɾveniẽsja
boticário	botʃikaɾju
bota	bɔtɐ
benta	bẽtɐ
bocejo	boseʒu
arma	ahma
cidade	sidadɪ
agora	aɡɔɾɐ
espalhar	espaʎaɻ
pertinente	peʁtʃinẽtʃi
índice	ĩdʒisi
anteontem	ɐ̃t͡ʃiõtẽj̃
enxágue	ĩʃaɡwi
fixo	fiksu
untar	ũtaɹ
endoscopia	ĩdoskopia
crisol	kɾizɔw
distinta	d͡ʒist͡ʃĩtɐ
quedo	kedu
desaforar	dʒizafoɾaχ
esopo	ezopu
jaguarundi	ʒaɡwaɾũdʒi
criptozoologia	kɾiptozooloʒia
souto	sowtu
lene	leni
contente	kõtẽt͡ʃi
soma	somɐ
extração	ejstɾasɐ̃w̃
endoscopia	ẽdoʃkopia
zangão	zɐ̃ɡɐ̃w̃
alves	awvis
moura	mowɾɐ
ficar	fikaɹ
k	ka
inverno	ĩvɛʁnu
extra	estɾɐ
furioso	fuɾiozu
cateter	katɛteʁ
asfalto	asfawtu
criar	kɾiaɹ
frança	fɾɐ̃sɐ
guarulhense	ɡwaɾuʎẽsi
comunidade	komunidade
embrulho	ĩbɾuʎu
mosteiro	mostejɾo
emprego	ĩpɾɛɡu
pão	pɐ̃w̃
argumentar	aɹɡumẽtaɹ
conrado	kõʁadu
andorra	ɐ̃doʁɐ
espaço	ispasu
pilantra	pilɐ̃tɾa
pacote	pakɔtʃi
prevenir	pɾeveniʁ
juju	ʒuʒu
imbecil	ĩbesiw
alexandre	aleʃɐ̃dɾi
pontuar	põtuaʁ
bichado	biʃadu
olhos	ɔʎus
guarulhos	ɡwaɾuʎus
barulhinho	baɾuliɲu
requeijão	ʁekejʒɐ̃w̃
represa	ʁepɾeza
hildebrando	iwdebɾɐ̃du
adeusinho	adewziɲu
tímpanos	t͡ʃĩpɐnus
data	datɐ
olívia	olivjɐ
peteminion	peteminiõ
positivismo	pozit͡ʃivismu
onze	õzi
abafada	abafada
trepação	tɾepasɐ̃w̃
poste	pɔst͡ʃi
trouxe	tɾose
salsicha	sawsiʃɐ
úlcera	uwseɾa
quiproquó	kwipɾokwɔ
quinta	kĩtɐ
acelga	asɛwɡɐ
pança	pɐ̃sɐ
nativo	nat͡ʃivu
confrontar	kõfrõtaʁ
diana	d͡ʒjɐnɐ
alcateia	awkateja
lintel	lĩtɛɫ
japonês	ʒaponejʃ
regrar	ʁeɡɾaʁ
frear	fɾeaʁ
ginete	ʒinet͡ʃi
ósseo	ɔseu
vário	vaɾju
notícia	not͡ʃisjɐ
xis	ʃiʃ
homossexual	omoseksuaw
clube	klubi
obter	obiteʁ
instante	ĩstɐ̃t͡ʃi
correndo	koʁẽdu
congresso	kõɡɾɛsu
ponteiro	põtejɾo
secretário	sekɾetaɾiu
incomodar	ĩkomodaʁ
coabitar	koabitaʁ
admitir	adʒimitʃix
valor	valoɹ
major	maʒɔʁ
fruição	fɾujsɐ̃w̃
respeitadora	ʁespejtadoɾɐ
leite	lejtʃi
aumentar	awmẽtaʁ
bainha	bɐiɲɐ
me	mi
jamanta	ʒamɐ̃tɐ
punhete	puɲɛtʃi
vesúvio	vezuvju
sintaxe	sĩtaksi
chapa	ʃapɐ
elmo	ɛwmu
malévolo	malɛvolu
criptomnésico	kɾiptomnɛziku
óvni	ɔvni
dá	da
te	t͡ʃi
amistoso	amistozu
mosquito	muskitʊ
arrente	axẽti
bote	bɔt͡ʃi
quinze	kĩzi
valeu	valew
trajo	tɾaʒu
chega	ʃeɡɐ
utilidade	ut͡ʃilidade
arapongas	aɾapõɡɐs
fuxiqueiro	fuʃikejɾu
mordóvia	moʁdɔviɐ
diurnas	d͡ʒiuʁnɐs
oto	ɔtu
frigir	fɾiʒiʁ
falar	falaʁ
castanha	kastɐɲa
concordar	kõkoʁdaʁ
assumir	asumiʁ
colonização	kolonizasɐ̃w̃
consequência	kõsekwẽsjɐ
massificação	masifikasɐ̃w̃
sérgio	sɛʁʒju
nupcial	nupisjaw
política	polit͡ʃikɐ
momento	momẽtu
aposentar	apozẽtaʁ
praia	pɾajɐ
credulidade	kɾɛdulidad͡ʒi
enormemente	enɔʁmimẽt͡ʃi
bisu	bizu
ensino	ẽsino
silêncio	silẽsju
seguradora	seɡuɾadoɾɐ
gigante	ʒiɡɐ̃t͡ʃi
carreira	kaʁejɾɐ
contexto	kõtestu
asar	azaʁ
consciente	kõsjẽt͡ʃi
discussão	dʒiskusɐ̃w̃
digam	d͡ʒiɡɐ̃w̃
polegada	poleɡadɐ
nona	nona
ânus	ɐnuʃ
saco	saku
correr	koɦeɻ
servidor	seɾvidoʁ
temer	temeʁ
chuinga	ʃuĩɡa
perturbar	perturbar
excelência	eselẽj̃sia
prácrito	pɾakɾitu
hexa	ɛksa
merecer	meɾeseʁ
besta	bɛstɐ
suave	swavi
reconquista	ʁekõkista
réu	ʁɛw
república	ʁepublika
edna	ɛd͡ʒinɐ
taurus	tawɾus
sarado	saɾadu
patela	patɛla
encomenda	ẽkomẽdɐ
argentina	aʁʒẽt͡ʃĩnɐ
poder	podeʁ
deslocar	deslokaʁ
ticket	t͡ʃiket͡ʃ
faculdade	fakuwdad͡ʒi
religioso	ʁeliʒiozu
sucatear	sukatʃɪaʁ
fêmea	femeɐ
vitral	vitɾaw
epigênese	epiʒenezi
