հեռաձայնել	hɛrɑd͡zɑjnɛl
նոյեմբերյան	nɔjɛmbɛɾjɑn
մղձկալ	məʁd͡zəkɑl
պատահար	pɑtɑhɑɾ
զարհուրատես	zɑɾhuɾɑtɛs
օսեթերեն	ɔsɛtʰɛɾɛn
տունդրա	tundɾɑ
վերջնական	vɛɾt͡ʃʰnɑkɑn
կլանել	kəlɑnɛl
դասատու	dɑsɑtu
սապոն	sɑpɔn
սնգուրել	səŋɡuɾɛl
լեկ	lɛk
գավոտ	ɡɑvɔt
մոլեգնել	mɔlɛɡnɛl
շորթում	ʃɔɾtʰum
սարումյան	sɑɾumjɑn
ապահովում	ɑpɑhɔvum
գրող	ɡəɾɔʁ
երկու	jɛɾku
ոլորք	vɔlɔɾkʰ
հիմնադրամ	himnɑdɾɑm
ներքնակ	nɛɾkʰnɑk
ներքնազգեստ	nɛɾkʰnɑzɡɛst
մատնոց	mɑtnɔt͡sʰ
ծախծխորում	t͡sɑχt͡səχɔɾum
գլխագիր	ɡəlχɑɡiɾ
մականուն	mɑkɑnun
փայլունություն	pʰɑjlunutʰjun
ճագար	t͡ʃɑɡɑɾ
խնդրառություն	χəntʰɾɑrutʰjun
մարգարտածաղիկ	mɑɾkʰɑɾtɑt͡sɑʁik
կացնահարել	kɑt͡sʰnɑhɑɾɛl
դաստակ	dɑstɑk
տարփ	tɑɾpʰ
խոպոպանալ	χɔpɔpɑnɑl
պրոտակտինիում	pɾɔtɑktinijum
նեոն	nɛɔn
նեցուկ	nɛt͡sʰuk
բարխուդար	bɑɾχudɑɾ
վրդովել	vəɾtʰɔvɛl
ունակություն	unɑkutʰjun
մարդկային	mɑɾtʰkɑjin
տանը	tɑnə
ղրղզական	ʁəɾʁəzɑkɑn
հաղբ	hɑʁb
փաստահավաք	pʰɑstɑhɑvɑkʰ
առողջություն	ɑrɔχt͡ʃʰutʰjun
նպար	nəpɑɾ
նախատեսություն	nɑχɑtɛsutʰjun
փշրանք	pʰəʃɾɑŋkʰ
կիլո	kilɔ
դուխով	duχɔv
հանքային	hɑŋkʰɑjin
կռածո	kərɑt͡sɔ
թագաժահր	tʰɑɡɑʒɑhəɾ
գիլ	ɡil
խուռն	χurən
կարճաժամկետ	kɑɾt͡ʃɑʒɑmkɛt
գավառական	ɡɑvɑrɑkɑn
հզոր	həzɔɾ
քրտնել	kʰəɾtnɛl
ձորակ	d͡zɔɾɑk
անդորր	ɑndɔɾː
բոտսվանա	bɔtəsvɑnɑ
անդիորդ	ɑndijɔɾtʰ
ծուռումուռ	t͡surumur
օսկերեն	ɔskɛɾɛn
թախտաջյան	tʰɑχtɑd͡ʒjɑn
հազիվ	hɑziv
միմներմոս	mimnɛɾmɔs
երախտամոռություն	jɛɾɑχtɑmɔrutʰjun
աբոնեմենտ	ɑbɔnɛmɛnt
տգիտություն	təɡitutʰjun
դայլայլ	dɑjlɑjl
արեգ	ɑɾɛɡ
օրյոլ	ɔɾjɔl
ատոք	ɑtɔkʰ
պղպեղ	pəχpɛʁ
գանգուր	ɡɑŋɡuɾ
փախ	pʰɑχ
անգ	ɑŋɡ
աաբ	ɑɑbə
ամուսնացնել	ɑmusnɑt͡sʰnɛl
ընդարձակ	əntʰɑɾt͡sʰɑk
ողողվել	vɔʁɔʁvɛl
շափյուղա	ʃɑpʰjuʁɑ
կղպանք	ɡəʁbɑŋkʰ
քառանիստ	kʰɑrɑnist
շնություն	ʃənutʰjun
կայծառ	kɑjt͡sɑr
եզրափակել	jɛzɾɑpʰɑkɛl
աբբա	ɑbːɑ
համարյա	hɑmɑɾjɑ
հարաբերություն	hɑɾɑbɛɾutʰjun
հեն	hɛn
բալթիկ	bɑltʰik
հաճո	hɑt͡ʃɔ
պայտար	pɑjtɑɾ
բանաստեղծություն	bɑnɑstɛχt͡sutʰjun
մեծամտություն	mɛt͡sɑmətutʰjun
սալաքար	sɑlɑkʰɑɾ
շրջակայք	ʃəɾd͡ʒɑkɑjkʰ
կիկերոն	kikɛɾɔn
մուղամ	muʁɑm
դուզնաքյա	duznɑkʰjɑ
թեշի	tʰɛʃi
օդապար	ɔtʰɑpɑɾ
նվագերգություն	nəvɑɡɛɾɡutʰjun
աստված	ɑstvɑt͡s
ճանապարհել	t͡ʃɑnɑpɑɾɛl
բամակո	bɑmɑkɔ
սաթ	sɑtʰ
շնորհք	ʃənɔɾkʰ
բեղ	bɛʁ
պե	pɛ
հրատարակիչ	həɾɑtɑɾɑkit͡ʃʰ
կոպենհագեն	kɔpɛnhɑɡɛn
թամիլերեն	tʰɑmilɛɾɛn
մարոնիտյան	mɑɾɔnitjɑn
չամադան	t͡ʃʰɑmɑdɑn
ուսողություն	usɔʁutʰjun
կամավոր	kɑmɑvɔɾ
շպիլկա	əʃpilkɑ
բացատրական	bɑt͡sʰɑtɾɑkɑn
գաղել	ɡɑʁɛl
գրախոսություն	ɡəɾɑχɔsutʰjun
ծովատառեխ	t͡sɔvɑtɑrɛχ
քերականագետ	kʰɛɾɑkɑnɑɡɛt
շառլատան	ʃɑrlɑtɑn
գդակագործ	ɡədɑkɑɡɔɾt͡s
արաց	ɑɾɑt͡sʰ
ապացուցում	ɑpɑt͡sʰut͡sʰum
անընդհատ	ɑnəntʰhɑt
համագործակցություն	hɑmɑɡɔɾt͡sɑkt͡sʰutʰjun
սիսակ	sisɑk
ունայնություն	unɑjnutʰjun
հունձ	hund͡z
սեւադա	sɛvɑdɑ
մակերիկամ	mɑkɛɾikɑm
մանկասայլակ	mɑŋkɑsɑjlɑk
սգալ	səkʰɑl
ուշադիր	uʃɑdiɾ
ճաշարան	t͡ʃɑʃɑɾɑn
կլիր	kəliɾ
տոլյատի	tɔljɑti
ֆլամենկո	flɑmɛŋkɔ
էգ	ɛkʰ
իշայծյամ	iʃɑjt͡sjɑm
սուսերամարտիկ	susɛɾɑmɑɾtik
դոշակ	dɔʃɑk
կերակրափող	kɛɾɑkɾɑpʰɔʁ
հանրություն	hɑnɾutʰjun
աղասի	ɑʁɑsi
հեռավոր	hɛrɑvɔɾ
վերջնամշակել	vɛɾt͡ʃʰnɑməʃɑkɛl
արեւմտահայերեն	ɑɾɛvmətɑhɑjɛɾɛn
քվեաթերթիկ	kʰəvɛjɑtʰɛɾtʰik
նեխած	nɛχɑt͡s
անօգուտ	ɑnɔkʰut
բղավել	bəʁɑvɛl
հյուրն	hjuɾn
լատիներեն	lɑtinɛɾɛn
հածել	hɑt͡sɛl
միապետություն	mijɑpɛtutʰjun
աբոնենտ	ɑbɔnɛnt
իրոք	iɾɔkʰ
դաշնակ	dɑʃnɑk
մովսեսյան	mɔfsɛsjɑn
այգ	ɑjɡ
ունեմ	unɛm
որ	vɔɾ
փարթամ	pʰɑɾtʰɑm
էդվարդ	ɛdvɑɾtʰ
զույգ	zujkʰ
փռթկացնել	pʰərtʰkɑt͡sʰnɛl
սաֆարյան	sɑfɑɾjɑn
արքայասպան	ɑɾkʰɑjɑspɑn
ճմռթել	t͡ʃəmərtʰɛl
բարդացնել	bɑɾtʰɑt͡sʰnɛl
դալար	dɑlɑɾ
սենյակ	sɛnjɑk
արգելակ	ɑɾkʰɛlɑk
գլխատել	ɡəlχɑtɛl
կոնցեպցիա	kɔnt͡sʰɛpt͡sʰjɑ
թվաբանություն	tʰəvɑbɑnutʰjun
փտած	pʰətɑt͡s
մոնտենեգրո	mɔntɛnɛɡɾɔ
դատապարտյալ	dɑtɑpɑɾtjɑl
իոն	ijɔn
յապոնիա	jɑpɔnjɑ
զահմեթ	zɑhmɛtʰ
թթվածին	tʰətʰvɑt͡sin
խոսակցական	χɔsɑkt͡sʰɑkɑn
դաշնակցություն	dɑʃnɑkt͡sʰutʰjun
աղանձել	ɑʁɑnd͡zɛl
տարվել	tɑɾvɛl
հանդ	hɑnd
մարտակառք	mɑɾtɑkɑrkʰ
պատժել	pɑtʒɛl
աղաֆոն	ɑʁɑfɔn
սկեսուր	əskɛsuɾ
զգոն	əzɡɔn
իմունիզացիա	imunizɑt͡sʰjɑ
բուռն	burən
նվիրում	nəviɾum
երեքկին	jɛɾɛkʰkin
անդեր	ɑndɛɾ
տեսականիշ	tɛsɑkɑniʃ
եղտյուր	jɛχtjuɾ
գնահատելի	ɡənɑhɑtɛli
գոյ	ɡɔj
մայոնեզ	mɑjɔnɛz
կազմավորվել	kɑzmɑvɔɾvɛl
գամել	ɡɑmɛl
տուժել	tuʒɛl
ծաղկոտն	t͡sɑχkɔtən
շտկել	ʃətkɛl
փականք	pʰɑkɑŋkʰ
հունգարացի	huŋɡɑɾɑt͡sʰi
բարդի	bɑɾdi
հունգարիա	huŋɡɑɾjɑ
ռումբ	rumb
մարտահրավեր	mɑɾtɑhəɾɑvɛɾ
փուչ	pʰut͡ʃʰ
տեսական	tɛsɑkɑn
զեղծել	zɛχt͡sɛl
ծիածան	t͡sijɑt͡sɑn
սոփոկլես	sɔpʰɔklɛs
հրացան	həɾɑt͡sʰɑn
տիրանա	tiɾɑnɑ
վիճվել	vit͡ʃvɛl
բացառվել	bɑt͡sʰɑrvɛl
բարձրաբերձ	bɑɾt͡sʰɾɑbɛɾt͡sʰ
կարկանդակ	pirɑʃki
շակալ	ʃɑkɑl
նեղոս	nɛʁɔs
արկղ	ɑɾkəʁ
ափի	ɑpʰi
տաշ	tɑʃ
աքսորակից	ɑkʰsɔɾɑkit͡sʰ
խանծ	χɑnt͡s
հրճվել	həɾt͡ʃvɛl
նեղ	nɛʁ
պարզաբանում	pɑɾzɑbɑnum
շեն	ʃɛn
գիշերային	ɡiʃɛɾɑjin
ֆրանսուհի	fɾɑnsuhi
խմորիչ	χəmɔɾit͡ʃʰ
զորահավաք	zɔɾɑhɑvɑkʰ
տիգրան	tiɡɾɑn
երի	jɛɾi
ուշք	uʃkʰ
գեւորգ	ɡɛvɔɾkʰ
պստիկ	pəstik
որոտան	vɔɾɔtɑn
միամիտ	mijɑmit
թաղապետ	tʰɑʁɑpɛt
կարեկիր	kɑɾɛkiɾ
ժամանակակից	ʒɑmɑnɑkɑkit͡sʰ
բանջար	bɑnd͡ʒɑɾ
երկանք	jɛɾkɑŋkʰ
միգուցե	miɡut͡sʰɛ
բեղմնավորում	bɛʁmnɑvɔɾum
փականագործ	pʰɑkɑnɑɡɔɾt͡s
ես	jɛs
մերձենալ	mɛɾd͡zɛnɑl
սովորեցնել	sɔvɔɾɛt͡sʰnɛl
գետառ	ɡɛtɑr
ջրեղեն	d͡ʒəɾɛʁɛn
իմունիտետ	imunitɛt
շարժ	ʃɑɾʒ
անկողին	ɑŋkɔʁin
նախագահություն	nɑχɑɡɑhutʰjun
վառել	vɑrɛl
նաիրի	nɑjɾi
բադմինտոն	bɑdmintɔn
ցախատուն	t͡sʰɑχɑtun
ազատազրկել	ɑzɑtɑzəɾkɛl
պարադոքս	pɑɾɑdɔkʰs
թեշիկ	tʰɛʃik
համակրել	hɑmɑkɾɛl
բախում	bɑχum
սկվազնյակ	əskvɑznjɑk
որբանալ	vɔɾpʰɑnɑl
տերտեր	tɛɾtɛɾ
բերք	bɛɾkʰ
իջեւանամեջ	id͡ʒɛvɑnɑmɛt͡ʃʰ
արծաթյա	ɑɾt͡sɑtʰjɑ
տոկալ	tɔkɑl
շոգ	ʃɔkʰ
բյուզանդացի	bjuzɑndɑt͡sʰi
ճամփա	t͡ʃɑmpʰɑ
պճեղ	pət͡ʃɛʁ
հաղթ	hɑχtʰ
ճահիճ	t͡ʃɑhit͡ʃ
գուգո	ɡuɡɔ
նեգատիվ	nɛɡɑtiv
մալ	mɑl
հանրապետություն	hɑnɾɑpɛtutʰjun
ծիծաղաշարժ	t͡sit͡sɑʁɑʃɑɾʒ
գելոց	ɡɛlɔt͡sʰ
դղեզ	dəʁɛz
ալավերդի	ɑlɑvɛɾdi
քաղաքացի	kʰɑʁɑkʰɑt͡sʰi
մանրաձուկ	mɑnɾɑd͡zuk
վթար	vətʰɑɾ
անադիր	ɑnɑdiɾ
եգիպտացի	jɛɡiptɑt͡sʰi
եվրոպական	jɛvɾɔpɑkɑn
բութան	butʰɑn
բռնաբարել	bərnɑbɑɾɛl
չորրորդ	t͡ʃʰɔɾːɔɾtʰ
օսեթիա	ɔsɛtʰjɑ
այսուհետեւ	ɑjsuhɛtɛv
քիմք	kʰimkʰ
որոմ	vɔɾɔm
վեհ	vɛh
սառա	sɑrɑ
ներդնել	nɛɾdənɛl
պատրանք	pɑtɾɑŋkʰ
խայթ	χɑjtʰ
փառամոլություն	pʰɑrɑmɔlutʰjun
ժխտական	ʒəχtɑkɑn
աբստրահել	ɑpʰstɾɑhɛl
հարուստ	hɑɾust
լիբիա	libjɑ
շումեր	ʃumɛɾ
ասպետ	ɑspɛt
խռթալ	χərtʰɑl
կով	kɔv
շենլիկ	ʃɛnlik
աննվաճ	ɑnːəvɑt͡ʃ
սկլերոզ	əsklɛɾɔz
հաղթել	hɑχtʰɛl
այբուբեն	ɑjbubɛn
հրամանատար	həɾɑmɑnɑtɑɾ
ներքինանալ	nɛɾkʰinɑnɑl
նախիր	nɑχiɾ
մանրագոր	mɑnɾɑɡɔɾ
գրանիկոն	ɡəɾɑnikɔn
շրջում	ʃəɾd͡ʒum
շիլա	ʃilɑ
հերաթ	hɛɾɑtʰ
թացություն	tʰɑt͡sʰutʰjun
զոհվել	zɔhvɛl
շեղբ	ʃɛʁb
խաղաքարտ	χɑʁɑkʰɑɾt
նորաբնակ	nɔɾɑbənɑk
աֆղաներեն	ɑfʁɑnɛɾɛn
աղոթակեր	ɑʁɔtʰɑkɛɾ
արարյալ	ɑɾɑɾjɑl
փարաջա	pʰɑɾɑd͡ʒɑ
ծնգալ	t͡səŋɡɑl
դիոնիսոս	djɔnisɔs
ստրոնցիում	əstɾɔnt͡sʰijum
ուխտագնաց	uχtɑɡənɑt͡sʰ
առզել	ɑrzɛl
սաթենիկ	sɑtʰɛnik
շփվել	ʃəpʰvɛl
այվազյան	ɑjvɑzjɑn
կազմ	kɑzm
մղեղ	məʁɛʁ
լոձ	lɔd͡z
դհոլ	dəhɔl
մանրամասն	mɑnɾɑmɑsən
ուղեկից	uʁɛkit͡sʰ
յակ	jɑk
հօպ	hɔp
կալկաթա	kɑlkɑtʰɑ
թուկիդիդես	tʰukididɛs
խնամի	χənɑmi
ծոցատետր	t͡sɔt͡sʰɑtɛtəɾ
շլինք	ʃəliŋkʰ
կիրակոսյան	kiɾɑkɔsjɑn
որձաքար	vɔɾt͡sʰɑkʰɑɾ
դանուբ	dɑnub
հաշվիչ	hɑʃvit͡ʃʰ
փազլ	pʰɑzəl
մախաթ	mɑχɑtʰ
հինդուստան	hindustɑn
հայագիտություն	hɑjɑɡitutʰjun
անարատ	ɑnɑɾɑt
մոտաբնակ	mɔtɑbənɑk
վլադիմիր	vlɑdimiɾ
փափախ	pʰɑpʰɑχ
կասպ	kɑsp
հիդրոլիզ	hidɾɔliz
բարխուդարյան	bɑɾχudɑɾjɑn
պճնվել	pət͡ʃnəvɛl
հաճախորդ	hɑt͡ʃɑχɔɾtʰ
վստահաբար	vəstɑhɑbɑɾ
տարատեսակ	tɑɾɑtɛsɑk
անգի	ɑŋɡi
թվանք	tʰəvɑŋkʰ
բաղարջ	bɑʁɑɾd͡ʒ
ապրուստ	ɑpɾust
կճղակ	kət͡ʃʁɑk
ցավել	t͡sʰɑvɛl
բարդուղիմեոս	bɑɾtʰuʁimɛɔs
եզնիկ	jɛznik
մոխրագույն	mɔχɾɑɡujn
դիտորդ	ditɔɾtʰ
անիսոն	ɑnisɔn
արփի	ɑɾpʰi
խելախոս	χɛlɑχɔs
ցրդի	t͡sʰəɾdi
տաջիկական	tɑd͡ʒikɑkɑn
բոշայերեն	bɔʃɑjɛɾɛn
հիանալ	hijɑnɑl
հաշվառք	hɑʃvɑrkʰ
ավազաքար	ɑvɑzɑkʰɑɾ
դարակ	dɑɾɑk
ժայռ	ʒɑjr
դուն	dun
ընդդեմ	əndːɛm
տեղակալ	tɛʁɑkɑl
հակահերետիկոսական	hɑkɑhɛɾɛtikɔsɑkɑn
կենտավրոս	kɛntɑvɾɔs
ցիռ	t͡sʰir
մեռոն	mɛrɔn
ադլեր	ɑdlɛɾ
շնդեղ	ʃəndɛʁ
խոցոտել	χɔt͡sʰɔtɛl
անճոռնի	ɑnt͡ʃɔrni
սողոմոնյան	sɔʁɔmɔnjɑn
պատկառելիություն	pɑtkɑrɛliutʰjun
մորաքույր	mɔɾɑkʰujɾ
ընթադրել	əntʰɑdəɾɛl
հառաչախառն	hɑrɑt͡ʃʰɑχɑrən
պատգամավոր	pɑdɡɑmɑvɔɾ
մատ	mɑt
հանրային	hɑnɾɑjin
բովանդակություն	bɔvɑndɑkutʰjun
ջղայն	d͡ʒəʁɑjn
փռշտոց	pʰərəʃtɔt͡sʰ
բրթել	bəɾtʰɛl
սրճագույն	səɾt͡ʃɑɡujn
օյինբազություն	ɔjinbɑzutʰjun
գալիլեա	ɡɑlilɛjɑ
թալիշ	tʰɑliʃ
խոստովանություն	χɔstɔvɑnutʰjun
անհամ	ɑnhɑm
կոնսոլիդացիա	kɔnsɔlidɑt͡sʰjɑ
սիգալ	siɡɑl
արօս	ɑɾɔs
առկայծում	ɑrkɑjt͡sum
ռայպուր	rɑjpuɾ
բուսական	busɑkɑn
ընտրվել	əntəɾvɛl
հավալուսն	hɑvɑlusən
շվեդիա	ʃvɛdjɑ
հետաքրքրասեր	hɛtɑkʰəɾkʰɾɑsɛɾ
առավոտյան	ɑrɑvɔtjɑn
թառել	tʰɑrɛl
նավահանգիստ	nɑvɑhɑŋɡist
հեղել	hɛʁɛl
մթնոլորտ	mətʰnɔlɔɾt
բռնչի	bərənt͡ʃʰi
քծնվել	kʰət͡snəvɛl
պարտ	pɑɾt
հոդված	hɔdvɑt͡s
տիկնունի	tiknuni
հտհ	hətəhə
ապստամբություն	ɑpəstɑmbutʰjun
նուդիզմ	nudizm
հստակ	həstɑk
թոխում	tʰɔχum
մոծակ	mɔt͡sɑk
կնգմենի	kəŋɡəmɛni
աշխարհաբար	ɑʃχɑɾɑbɑɾ
էդմոն	ɛdmɔn
բոնուս	bɔnus
բյութանիա	bjutʰɑnjɑ
եզրափակիչ	jɛzɾɑpʰɑkit͡ʃʰ
մեր	mɛɾ
վախեցնել	vɑχɛt͡sʰnɛl
ժոխ	ʒɔχ
խորեն	χɔɾɛn
խնջույք	χənd͡ʒujkʰ
մակերես	mɑkɛɾɛs
զուգել	zukʰɛl
պրակ	pəɾɑk
վշտանալ	vəʃtɑnɑl
աճացնել	ɑt͡ʃɑt͡sʰnɛl
խոտորում	χɔtɔɾum
երկկտտացնել	jɛɾkːətːɑt͡sʰnɛl
իգնատիոս	iɡnɑtiɔs
իզոգլոս	izɔɡlɔs
էդ	ɛd
խանձող	χɑnd͡zɔʁ
հումանիզմ	humɑnizm
նրբանցք	nəɾpʰɑnt͡sʰkʰ
լիգա	liɡɑ
վարկաբեկ	vɑɾkɑbɛk
մանկապարտեզ	mɑŋkɑpɑɾtɛz
անամոք	ɑnɑmɔkʰ
քաղցրահամ	kʰɑχt͡sʰɾɑhɑm
համակրանք	hɑmɑkɾɑŋkʰ
բառագիրք	bɑrɑɡiɾkʰ
բնորոշ	bənɔɾɔʃ
գաղափարախոսական	ɡɑʁɑpʰɑɾɑχɔsɑkɑn
զրիշկ	zəɾiʃk
եզան	jɛzɑn
արդարացնել	ɑɾtʰɑɾɑt͡sʰnɛl
ամերիցիում	ɑmɛɾit͡sʰijum
քեռեկին	kʰɛrɛkin
միություն	miutʰjun
մաչետե	mɑt͡ʃʰɛtɛ
կալված	kɑlvɑt͡s
անկողմնակալություն	ɑŋkɔʁmnɑkɑlutʰjun
հետազոտել	hɛtɑzɔtɛl
մտմտալ	mətmətɑl
հերիքել	hɛɾikʰɛl
բրոշ	bəɾɔʃ
երկուշաբթի	jɛɾkuʃɑpʰtʰi
ձյուն	d͡zjun
տորմիղ	tɔɾmiʁ
անդ	ɑnd
հոգեբան	hɔkʰɛbɑn
հնոտի	hənɔti
պնդուկ	pənduk
որոշակի	vɔɾɔʃɑki
բիճ	bit͡ʃ
սեւակ	sɛvɑk
ձեռնտու	d͡zɛrəntu
ձերբակալ	d͡zɛɾpʰɑkɑl
անմիջաբար	ɑnmit͡ʃʰɑbɑɾ
վերջավանկային	vɛɾt͡ʃʰɑvɑŋkɑjin
ուղղարկել	uʁːɑɾkɛl
հրեաստան	həɾɛɑstɑn
ծերություն	t͡sɛɾutʰjun
ստել	sətɛl
ոստիկան	vɔstikɑn
ջութ	d͡ʒutʰ
գեղեցկուհի	ɡɛʁɛt͡sʰkuhi
բենգալի	bɛŋɡɑli
կեչրոր	kɛt͡ʃʰɾɔɾ
մանե	mɑnɛ
մեղադրություն	mɛʁɑdəɾutʰjun
պատկառեցուցիչ	pɑtkɑrɛt͡sʰut͡sʰit͡ʃʰ
օդատիեզերական	ɔtʰɑtijɛzɛɾɑkɑn
վերջնագիր	vɛɾt͡ʃʰnɑɡiɾ
հողդողդ	hɔʁdɔʁd
թունելային	tʰunɛlɑjin
վերջնային	vɛɾt͡ʃʰnɑjin
միավորում	mijɑvɔɾum
առողջանալ	ɑrɔχt͡ʃʰɑnɑl
անտոնի	ɑntɔni
օդանավ	ɔtʰɑnɑv
անտիցիկլոն	ɑntit͡sʰiklɔn
կախվել	kɑχvɛl
վերջալույսային	vɛɾt͡ʃʰɑlujsɑjin
ծագում	t͡sɑkʰum
քիմիապես	kʰimjɑpɛs
պայմանավորվել	pɑjmɑnɑvɔɾvɛl
էքսպերտ	ɛkʰspɛɾt
սերբախորվաթերեն	sɛɾbɑχɔɾvɑtʰɛɾɛn
կադմիում	kɑdmijum
մցխեթ	mət͡sʰχɛtʰ
կերակուր	kɛɾɑkuɾ
հարցուկ	hɑɾt͡sʰuk
փեղկ	pʰɛχk
նորարարություն	nɔɾɑɾɑɾutʰjun
ռաջաստան	rɑd͡ʒɑstɑn
զուգվել	zukʰvɛl
դիրքորոշում	diɾkʰɔɾɔʃum
օրինակ	ɔɾinɑk
գորիս	ɡɔɾis
խղճալ	χəχt͡ʃɑl
ֆլեշմոբ	flɛʃmɔb
աժդահակ	ɑʒdɑhɑk
գումարում	ɡumɑɾum
պատառաքաղ	pɑtɑrɑkʰɑʁ
վտանգավորություն	vətɑŋɡɑvɔɾutʰjun
աստվածաբան	ɑstvɑt͡sɑbɑn
ոլորապտույտ	vɔlɔɾɑpətujt
առկախ	ɑrkɑχ
ճանապարհ	t͡ʃɑnɑpɑɾ
համբավավոր	hɑmbɑvɑvɔɾ
անգամ	ɑŋkʰɑm
աչքածակ	ɑt͡ʃʰkʰɑt͡sɑk
նշանված	nəʃɑnvɑt͡s
ռադիոկայան	rɑdiɔkɑjɑn
եգիպտոս	jɛɡiptɔs
պաշտպան	pɑʃpɑn
սազ	sɑz
մատե	mɑtɛ
տրուբա	tɾubɑ
ապիկ	ɑpik
միաբանություն	mijɑbɑnutʰjun
հորդորակ	hɔɾdɔɾɑk
շանտաժ	ʃɑntɑʒ
կանաչավուն	kɑnɑt͡ʃʰɑvun
կեսրար	kɛsɾɑɾ
սպի	əspi
ժանիք	ʒɑnikʰ
ապրանքագիր	ɑpɾɑŋkʰɑɡiɾ
ազազել	ɑzɑzɛl
տնքալ	təŋkʰɑl
միտ	mit
ժողովուրդ	ʒɔʁɔvuɾtʰ
պանծալ	pɑnt͡sɑl
արտահանում	ɑɾtɑhɑnum
ճտվտալ	t͡ʃətvətɑl
եկեղեցական	jɛkɛʁɛt͡sʰɑkɑn
աղերս	ɑʁɛɾs
հրամայական	həɾɑmɑjɑkɑn
ծալ	t͡sɑl
աշուղ	ɑʃuʁ
կառոչի	kɑrɔt͡ʃʰi
ծովագնաց	t͡sɔvɑɡənɑt͡sʰ
քուչա	kʰut͡ʃʰɑ
ղոզ	ʁɔz
պարսկաստան	pɑɾskɑstɑn
անմիջական	ɑnmit͡ʃʰɑkɑn
պրիմիտիվ	pɾimitiv
տարածված	tɑɾɑt͡svɑt͡s
սվիտեր	svitɛɾ
գույժ	ɡujʒ
նիզակ	nizɑk
հունիսյան	hunisjɑn
ոսկեհուռ	vɔskɛhur
ավագանի	ɑvɑkʰɑni
խցան	χət͡sʰɑn
տափակ	tɑpʰɑk
կիրառել	kiɾɑrɛl
հայտնել	hɑjtnɛl
մեծաբանել	mɛt͡sɑbɑnɛl
մատույց	mɑtujt͡sʰ
դիցաբանություն	dit͡sʰɑbɑnutʰjun
մսալից	məsɑlit͡sʰ
սարսափագին	sɑɾsɑpʰɑɡin
տագերակին	tɑkʰɛɾɑkin
երգեցիկ	jɛɾkʰɛt͡sʰik
միջեւ	mit͡ʃʰɛv
պարապ	pɑɾɑp
տարածաժամանակային	tɑɾɑt͡sɑʒɑmɑnɑkɑjin
սերժ	sɛɾʒ
ջահիլ	d͡ʒɑhil
մեռելոտի	mɛrɛlɔti
մանկասար	mɑŋkɑsɑɾ
վենետիկյան	vɛnɛtikjɑn
ներքինի	nɛɾkʰini
կատապան	kɑtɑpɑn
մարաթի	mɑɾɑtʰi
կիվի	kivi
խոսնակ	χɔsnɑk
ջեբ	d͡ʒɛb
կառուցում	kɑrut͡sʰum
սպահան	əspɑhɑn
թայֆա	tʰɑjfɑ
կանն	kɑnː
վալս	vɑls
պակ	pɑk
սկսած	əskəsɑt͡s
քնամուկ	kʰənɑmuk
բագին	bɑɡin
ընդհանրապես	əntʰhɑnɾɑpɛs
հարկ	hɑɾk
կարեկցաբեր	kɑɾɛkt͡sʰɑbɛɾ
աբական	ɑbɑkɑn
ապարանք	ɑpɑɾɑŋkʰ
կարկուտ	kɑɾkut
կոլիբրի	kɔlibɾi
ահագին	ɑhɑɡin
սավան	sɑvɑn
թաբախ	tʰɑbɑχ
աստղադիտակ	ɑstʁɑditɑk
ուշունց	uʃunt͡sʰ
աղաթոն	ɑʁɑtʰɔn
գանգրավարս	ɡɑŋɡɾɑvɑɾs
արբենալ	ɑɾbɛnɑl
զառամել	zɑrɑmɛl
ձնահյուս	d͡zənɑhjus
թահաթ	tʰɑhɑtʰ
փարսադան	pʰɑɾsɑdɑn
անվայել	ɑnvɑjɛl
բովանդակային	bɔvɑndɑkɑjin
կենդանավետ	kɛntʰɑnɑvɛt
չեզոքություն	t͡ʃʰɛzɔkʰutʰjun
անձնատու	ɑnd͡znɑtu
միգամածություն	miɡɑmɑt͡sutʰjun
իսլամական	islɑmɑkɑn
ներկայացուցիչ	nɛɾkɑjɑt͡sʰut͡sʰit͡ʃʰ
ունաբ	unɑb
շառավիղ	ʃɑrɑviʁ
կոսովո	kɔsɔvɔ
երթիք	jɛɾtʰikʰ
պայծառ	pɑjt͡sɑr
կարկատան	kɑɾkɑtɑn
գրկում	ɡəɾkum
էմիր	ɛmiɾ
կուբա	kubɑ
յաղնոբերեն	jɑʁnɔbɛɾɛn
ռեբուս	rɛbus
խտղտացնել	χətəχtɑt͡sʰnɛl
գնոստիցիզմ	ɡənɔstit͡sʰizm
կանաչ	kɑnɑt͡ʃʰ
իշխանուհի	iʃχɑnuhi
երրորդ	jɛɾːɔɾtʰ
մուրաբա	muɾɑbɑ
կրավորական	kəɾɑvɔɾɑkɑn
հովո	hɔvɔ
կենսաբանություն	kɛnsɑbɑnutʰjun
մամլյուք	mɑmljukʰ
բլոկադա	blɔkɑdɑ
գլխարկագործ	ɡəlχɑɾkɑɡɔɾt͡s
ողջունել	vɔχt͡ʃʰunɛl
խռիկ	χərik
էսպերանտո	ɛspɛɾɑntɔ
շարժիչ	ʃɑɾʒit͡ʃʰ
լեշ	lɛʃ
գուներանգ	ɡunɛɾɑŋɡ
անհասանելի	ɑnhɑsɑnɛli
վախել	vɑχɛl
սալաթ	sɑlɑtʰ
վերնաշապիկ	vɛɾnɑʃɑpik
