של	ʃl
מייסנר	mˈijsnʁ
מייצבי	mˈijtsvi
מייצבים	mˈijtsvim
מיכשור	mˈiχʃvʁ
מילד	mˈild
מילוטין	mˈilvtin
מילוליים	mˈilvlijm
מיליציית	milˈitsijt
מילמן	mˈilmn
מילנה	mˈilnʔ
מימשו	mˈimʃv
מינאמוטו	mˈinʔmvtv
מינדי	mˈindi
מינהו	mˈinʔv
מינהלת	mˈinʔlt
מינימליסטית	mˌinimlˈistit
מינצברג	mˈintsvʁɡ
מיצובישי	mˈitsvviʃj
מיצור	mˈitsvʁ
מיצירתה	mˈitsiʁtʔ
מיצרי	mˈitsʁi
מיקמו	mˈikmv
מיקסים	mˈiksim
מיקרוגל	mˈikʁvɡl
מיקרוגרם	mˈikʁvɡʁm
מיקרוסקופית	mˈikʁvskvfit
מירלה	mˈiʁlʔ
מיתית	mˈitit
מיתן	mˈitn
מיתת	mˈitt
מכבוד	mχvvd
מכונסים	mχvnsˈim
מכיסאו	mχˈisʔv
מכלאה	mχlʔʔ
מכניזם	mχnˈizm
מכרטיס	mχʁtˈis
מכתיבים	mχtˈivim
מכתשי	mχtʃj
מלבר	mlvʁ
מלוב	mlvv
מלוני	mlvnˈi
מליבו	mlˈivv
מלניה	mlnˈiʔ
מלצאת	mltsʔt
ממאובנים	mmʔvvnˈim
ממגמה	mmɡmʔ
ממדידות	mmdˈidvt
ממודל	mmvdl
ממוחזר	mmvχzʁ
ממולח	mmvlχ
ממומש	mmvmʃ
ממכוניות	mmχvnˈivt
ממכונת	mmχvnt
ממכרה	mmχʁʔ
ממכרות	mmχʁvt
ממכשולים	mmχʃvlˈim
ממכשירי	mmχʃjʁˈi
ממכת	mmχt
ממלכי	mmlχˈi
ממנהגי	mmnʔɡˈi
ממנהל	mmnʔl
ממנון	mmnvn
ממצבו	mmtsvv
ממצוקה	mmtsvkʔ
ממשחקיה	mmʃχkˈiʔ
ממשקיעים	mmʃkˈiim
ממשרות	mmʃʁvt
ממשרת	mmʃʁt
מנאמני	mnʔmnˈi
מנבאת	mnvʔt
מנגיף	mŋjf
מנדלי	mndlˈi
מנהליו	mnʔlˈiv
מנהלתיים	mnʔltˈijm
מנוכר	mnvχʁ
מנון	mnvn
מנופי	mnvfˈi
מנורווגיה	mnvʁwɡˈiʔ
מנושאות	mnvʃʔvt
מנטיס	mntˈis
מניקות	mnˈikvt
מנכסיהם	mnχsˈiʔm
מסובסד	msvvsd
מסוגננות	msvɡnnvt
מסוכסך	msvχsχ
מסופקת	msvfkt
מסטרסון	mstʁsvn
מסיטה	msˈitʔ
מסימו	msˈimv
מסיפוריה	msˈifvʁiʔ
מסכימות	msχˈimvt
מסלוניקי	mslvnˈiki
מסלעי	mslˈi
מסעדתו	msʔdtv
מסרי	msʁˈi
מסרשמיט	msʁʃmˈit
מסתמן	mstmn
מסתמנת	mstmnt
מעונן	mʔvnn
מעונתה	mʔvntʔ
מעיב	mˈiv
מעילו	mˈilv
מעיניהם	mˈiniʔm
מעלתה	mʔltʔ
מעמדתו	mʔmdtv
מען	mʔn
מענית	mʔnˈit
מעקות	mʔkvt
מערבב	mʔʁvv
מערבונים	mʔʁvvnˈim
מערבות	mʔʁvvt
מעשייה	mʔʃjjʔ
מעשירה	mʔʃjʁʔ
מעתיק	mʔtˈik
מעתיקה	mʔtˈikʔ
מפגיש	mfɡˈiʃ
מפחם	mfχm
מפילדלפיה	mfˈildlfiʔ
מפליא	mflˈiʔ
מפנות	mfnvt
מפנסילבניה	mfnsˈilvniʔ
מפסגות	mfsɡvt
מפעילת	mfˈilt
מפרו	mfʁv
מפשיר	mfʃjʁ
מצדי	mtsdˈi
מצולה	mtsvlʔ
מצטטים	mtsttˈim
מצטייני	mtstˈijni
מציבות	mtsˈivvt
מצילומי	mtsˈilvmi
מצינו	mtsˈinv
מציקים	mtsˈikim
מצלעות	mtslʔvt
מצלעותיו	mtslʔvtˈiv
מצמדים	mtsmdˈim
מצמיחים	mtsmˈiχim
מצפור	mtsfvʁ
מצפת	mtsft
מקאם	mkʔm
מקאפי	mkʔfˈi
מקבע	mkvʔ
מקטגוריית	mktɡvʁˈijt
מקיש	mkˈiʃ
מקלייר	mklˈijʁ
מקלינטוק	mklˈintvk
מקפלים	mkflˈim
מקצינים	mktsˈinim
מקרבם	mkʁvm
מקרובו	mkʁvvv
מרא	mʁʔ
מרביים	mʁvˈijm
מרבצים	mʁvtsˈim
מרגוע	mʁɡvʔ
מרגיט	mʁɡˈit
מרגשים	mʁɡʃjm
מרדנות	mʁdnvt
מרוגליץ	mʁvɡlˈits
מרוסנת	mʁvsnt
מרוסקת	mʁvskt
מרוקאים	mʁvkˈim
מרושש	mʁvʃʃ
מרידת	mʁˈidt
מרכולתו	mʁχvltv
מרסיסים	mʁsˈisim
מרעייתו	mʁˈijtv
מרקייביץ	mʁkˈijvits
מרקמים	mʁkmˈim
מרשמלו	mʁʃmlv
משאירות	mʃˈiʁvt
משבחים	mʃvχˈim
משוטטות	mʃvttvt
משחקון	mʃχkvn
משייטת	mʃjjtt
משיעורי	mʃjʔvʁˈi
משיעוריו	mʃjʔvʁˈiv
משכורותיהם	mʃχvʁvtˈiʔm
משכם	mʃχm
משכרו	mʃχʁv
משלטים	mʃltˈim
משליטי	mʃlˈiti
משמיים	mʃmˈijm
משנהו	mʃnʔv
משעממת	mʃʔmmt
משקרים	mʃkʁˈim
משראה	mʃʁʔʔ
משרדיו	mʃʁdˈiv
משרטטים	mʃʁttˈim
משתגע	mʃtɡʔ
משתחווים	mʃtχwjm
מתאדים	mtʔdˈim
מתאונת	mtʔvnt
מתאוס	mtʔvs
מתאמץ	mtʔmts
מתארגנת	mtʔʁɡnt
מתבוסה	mtvvsʔ
מתבשר	mtvʃʁ
מתגלגלת	mtɡlɡlt
מתגמלת	mtɡmlt
מתגנבת	mtɡnvt
מתגשמת	mtɡʃmt
מתהדקים	mtʔdkˈim
מתהלך	mtʔlχ
מתוגבר	mtvɡvʁ
מתוגברת	mtvɡvʁt
מתוכנת	mtvχnt
מתומכיה	mtvmχˈiʔ
מתוקנות	mtvknvt
מתוקשרת	mtvkʃʁt
מתחמקים	mtχmkˈim
מתחרהו	mtχʁʔv
מתחרותיה	mtχʁvtˈiʔ
מתייאש	mtˈijʔʃ
מתיימרת	mtˈijmʁt
מתישהו	mˌatajʃˈehu
מתכתיות	mtχtˈivt
מתלבטת	mtlvtt
מתלבש	mtlvʃ
מתלהבת	mtlʔvt
מתלול	mtlvl
מתלים	mtlˈim
מתלכדות	mtlχdvt
מתמודדי	mtmvddˈi
מתנשקת	mtnʃkt
מתסמינים	mtsmˈinim
מתעבת	mtʔvt
מתעדכנים	mtʔdχnˈim
מתעופף	mtʔvff
מתעמלים	mtʔmlˈim
מתעקשים	mtʔkʃjm
מתערבב	mtʔʁvv
מתערבבות	mtʔʁvvvt
מתעשיות	mtʔʃjvt
מתרוממת	mtʁvmmt
מתרחקות	mtʁχkvt
נאבין	nʔvˈin
נבאדה	nvʔdʔ
נבגים	nvɡˈim
נבוכים	nvvχˈim
נבונות	nvvnvt
נבסקי	nvskˈi
נגדיות	ŋdˈivt
נגדיים	ŋdˈijm
נגורנו	ŋvʁnv
נגזל	ŋzl
נגמרים	ŋmʁˈim
נגרה	ŋʁʔ
נדבנות	ndvnvt
נדהמו	ndʔmv
נדי	ndˈi
נדין	ndˈin
נדן	ndn
נהגת	nʔɡt
נובטים	nvvtˈim
נובלו	nvvlv
נוגנה	nvɡnʔ
נוגס	nvɡs
נודה	nvdʔ
נוט	nvt
נויביל	nvjvˈil
נויה	nvjʔ
נוכחה	nvχχʔ
נוכרים	nvχʁˈim
נומנור	nvmnvʁ
נוסתה	nvstʔ
נורוויץ	nvʁwjts
נורמלים	nvʁmlˈim
נושבות	nvʃvvt
נושר	nvʃʁ
נזיל	nzˈil
נזעמים	nzʔmˈim
נזקו	nzkv
נחבט	nχvt
נחירות	nχˈiʁvt
נחרת	nχʁt
נחשדו	nχʃdv
נחשלות	nχʃlvt
נטרול	ntʁvl
ניאגרה	nˈiʔɡʁʔ
ניאנדרטלים	nˈiʔndʁtlim
נידחת	nˈidχt
ניוברי	nˈivvʁi
ניטל	nˈitl
ניידורף	nˈijdvʁf
נייטלי	nˈijtli
נייטקרולר	nˈijtkʁvlʁ
נייפרג	nˈijfʁɡ
נימוקיו	nˈimvkiv
נימים	nˈimim
נינוח	nˈinvχ
ניסוחים	nˈisvχim
ניפוי	nˈifvj
ניצנה	nˈitsnʔ
נכרו	nχʁv
נמני	nmnˈi
נמסרים	nmsʁˈim
ננסית	nnsˈit
נסבה	nsvʔ
נסביט	nsvˈit
נסובו	nsvvv
נסיעתה	nsˈiʔtʔ
נסקה	nskʔ
נסתיימו	nstˈijmv
נעוצות	nʔvtsvt
נפוח	nfvχ
נפטרת	nftʁt
נפיצה	nfˈitsʔ
נפתרות	nftʁvt
נצבעה	ntsvʔʔ
נצמדים	ntsmdˈim
נקברים	nkvʁˈim
נקטל	nktl
נקיה	nkˈiʔ
נקיפות	nkˈifvt
נקמתה	nkmtʔ
נקניקיות	nknˈikivt
נרווה	nʁwʔ
נשאות	nʃʔvt
נשאית	nʃˈit
נשימות	nʃjmvt
נשך	nʃχ
נשפכו	nʃfχv
נת	nt
נתבעו	ntvʔv
נתרמה	ntʁmʔ
סאייה	sˈijʔ
סארומן	sʔʁvmn
סבירסקי	svˈiʁski
סגולותיו	sɡvlvtˈiv
סדין	sdˈin
סדרם	sdʁm
סובול	svvvl
סוודר	swdʁ
סוויד	swjd
סוור	swʁ
סוכמה	svχmʔ
סוכניו	svχnˈiv
סולטן	svltn
סוליס	svlˈis
סונדה	svndʔ
סונק	svnk
סוסיתא	svsˈitʔ
סופגות	svfɡvt
סופניים	svfnˈijm
סופרמרקטים	svfʁmʁktˈim
סורג	svʁɡ
סורו	svʁv
סורין	svʁˈin
סורר	svʁʁ
סושיאל	svʃjʔl
סטונהנג	stvnʔŋ
סטונר	stvnʁ
סטופ	stvf
סטוקמן	stvkmn
סטור	stvʁ
סטיגליץ	stˈiɡlits
סטימצקי	stˈimtski
סטיקס	stˈiks
סטנדאפ	stndʔf
סטנהאוז	stnʔʔvz
סטניסלבסקי	stnˈislvski
סטפנוולף	stfnwlf
סטר	stʁ
סטריאוטיפ	stʁˈiʔvtif
סיאמיים	sˈiʔmijm
סיבובו	sˈivvvv
סיווגה	sˈiwɡʔ
סיומם	sˈivmm
סיטיפס	sˈitifs
סיטקום	sˈitkvm
סייבל	sˈijvl
סיילס	sˈijls
סיכנה	sˈiχnʔ
סימבולים	sˈimvvlim
סימיון	sˈimivn
סימפוזיון	sˈimfvzivn
סינגולרית	sˈiŋvlʁit
סינכרוני	sˈinχʁvni
סיסטם	sˈistm
סירוס	sˈiʁvs
סירקולציה	sˈiʁkvltsiʔ
סירקיוז	sˈiʁkivz
סיתות	sˈitvt
סלאנה	slʔnʔ
סלבינו	slvˈinv
סלדון	sldvn
סלו	slv
סלוצקי	slvtskˈi
סלילתו	slˈiltv
סליקים	slˈikim
סלמיס	slmˈis
סלפי	slfˈi
סלרנו	slʁnv
סמור	smvʁ
סמיכותו	smˈiχvtv
סמכותי	smχvtˈi
סמני	smnˈi
סמפראס	smfʁʔs
סנדברג	sndvʁɡ
סנדלים	sndlˈim
סנדרלנד	sndʁlnd
סנו	snv
סנואובורד	snvʔvvvʁd
סעדה	sʔdʔ
ספארי	sfʔʁˈi
ספד	sfd
ספוטיפיי	sfvtˈifij
ספטימוס	sftˈimvs
ספינים	sfˈinim
ספנס	sfns
סקובי	skvvˈi
סקיפ	skˈif
סקרמנט	skʁmnt
סרוואקוס	sʁwʔkvs
סרוטונין	sʁvtvnˈin
סרוסי	sʁvsˈi
סרטיפיקטים	sʁtifˈiktim
עאבוד	ʔʔvvd
עבודתי	ʔvvdtˈi
עגלגלות	ʔɡlɡlvt
עובדתיות	ʔvvdtˈivt
עובייד	ʔvvˈijd
עובייה	ʔvvˈijʔ
עוגמת	ʔvɡmt
עוגנים	ʔvɡnˈim
עודכנו	ʔvdχnv
עוויתות	ʔwjtvt
עונדת	ʔvndt
עוצבת	ʔvtsvt
עוקבא	ʔvkvʔ
עזאזל	ʔzʔzl
עזובה	ʔzvvʔ
עידנים	ˈidnim
עיור	ˈivʁ
עייפה	ˈijfʔ
עילאית	ˈilit
עיסויים	ˈisvjjm
עיסת	ˈist
עירבו	ˈiʁvv
עמאן	ʔmʔn
עמומות	ʔmvmvt
עמידתם	ʔmˈidtm
עניבה	ʔnˈivʔ
ענפיו	ʔnfˈiv
עסיס	ʔsˈis
עציץ	ʔtsˈits
ערוצו	ʔʁvtsv
עשויי	ʔʃvjj
עשוים	ʔʃvjm
עששת	ʔʃʃt
עתירתו	ʔtˈiʁtv
פאג	fʔɡ
פאון	fʔvn
פאלי	fʔlˈi
פאץ	fʔts
פאראלימפי	fʔʁʔlˈimfi
פארטו	fʔʁtv
פגים	fɡˈim
פגר	fɡʁ
פדובה	fdvvʔ
פוגעניות	fvɡʔnˈivt
פודור	fvdvʁ
פולאר	fvlʔʁ
פולינזיה	fvlˈinziʔ
פולישוק	fvlˈiʃvk
פונדקאית	fvndkˈit
פונטיין	fvntˈijn
פונץ	fvnts
פופולרים	fvfvlʁˈim
פוקסי	fvksˈi
פורז	fvʁz
פורטוגלי	fvʁtvɡlˈi
פוריש	fvʁˈiʃ
פורר	fvʁʁ
פורשי	fvʁʃj
פושקש	fvʃkʃ
פחדנות	fχdnvt
פטיגרו	ftˈiɡʁv
פטישים	ftˈiʃjm
פטרולים	ftʁvlˈim
פטרוניו	ftʁvnˈiv
פטריה	ftʁˈiʔ
פטריית	ftʁˈijt
פטרסן	ftʁsn
פיגומים	fˈiɡvmim
פיגורטיביים	fiɡvʁtˈivijm
פיודורוב	fˈivdvʁvv
פיזיקת	fˈizikt
פיטו	fˈitv
פייט	fˈijt
פיירפונט	fˈijʁfvnt
פיליפוב	fˈilifvv
פינגון	fˈiŋvn
פינטובו	fˈintvvv
פינסון	fˈinsvn
פיסוליים	fˈisvlijm
פיסטנדנטילוס	fˈistndntilvs
פיקודיים	fˈikvdijm
פיקוס	fˈikvs
פיראטית	fˈiʁʔtit
פירו	fˈiʁv
פירטה	fˈiʁtʔ
פירים	fˈiʁim
פירמה	fˈiʁmʔ
פלאיו	flˈiv
פלאמר	flʔmʁ
פלדיו	fldˈiv
פלדיום	fldˈivm
פלוגתו	flvɡtv
פלטינום	fltˈinvm
פליאה	flˈiʔʔ
פליישמן	flˈijʃmn
פליפר	flˈifʁ
פליק	flˈik
פלמנגו	flmŋv
פלסטיות	flstˈivt
פלסטף	flstf
פנחסי	fnχsˈi
פנטסטי	fntstˈi
פנימיה	fnˈimiʔ
פנרוז	fnʁvz
פסו	fsv
פסואה	fsvʔʔ
פסטה	fstʔ
פסטיגל	fstˈiɡl
פסימית	fsˈimit
פסיפסים	fsˈifsim
פעיליה	fˈiliʔ
פעמיות	fʔmˈivt
פענח	fʔnχ
פפא	ffʔ
פפנהיים	ffnˈijm
פציעתה	ftsˈiʔtʔ
פקקי	fkkˈi
פראדה	fʁʔdʔ
פראם	fʁʔm
פרביסט	fʁvˈist
פרדריקסון	fʁdʁˈiksvn
פרוותם	fʁwtm
פרונט	fʁvnt
פרופסורית	fʁvfsvʁˈit
פרוקטור	fʁvktvʁ
פריאר	fʁˈiʔʁ
פריסילה	fʁˈisilʔ
פריצי	fʁˈitsi
פרלון	fʁlvn
פרנצווארוש	fʁntswʔʁvʃ
פרסיות	fʁsˈivt
פרספונה	fʁsfvnʔ
פרסת	fʁst
פרפורמנס	fʁfvʁmns
פררה	fʁʁʔ
פשיניאן	fʃjnˈiʔn
פתגם	ftɡm
פתולוגיה	ftvlvɡˈiʔ
פתית	ftˈit
צאלים	tsʔlˈim
צודקים	tsvdkˈim
צוותא	tswtʔ
צומתי	tsvmtˈi
צונאמי	tsvnʔmˈi
צורותיה	tsvʁvtˈiʔ
צחיחה	tsχˈiχʔ
ציוותה	tsˈiwtʔ
ציטטה	tsˈittʔ
צייט	tsˈijt
צין	tsˈin
צינון	tsˈinvn
ציפורני	tsˈifvʁni
ציצות	tsˈitsvt
צלבנים	tslvnˈim
צליפה	tslˈifʔ
צלמית	tslmˈit
צנחן	tsnχn
צנע	tsnʔ
צנעני	tsnʔnˈi
צעדיהם	tsʔdˈiʔm
צפצפה	tsftsfʔ
צרכה	tsʁχʔ
צרעה	tsʁʔʔ
קאדילק	kʔdˈilk
קאמיל	kʔmˈil
קאסט	kʔst
קאסרס	kʔsʁs
קאפלה	kʔflʔ
קדרי	kdʁˈi
קהאן	kʔʔn
קהילותיהם	kˈilvtiʔm
קואלה	kvʔlʔ
קובלט	kvvlt
קוברים	kvvʁˈim
קוגה	kvɡʔ
קווירית	kwjʁˈit
קוזמו	kvzmv
קוטי	kvtˈi
קוטנר	kvtnʁ
קולברג	kvlvʁɡ
קולטון	kvltvn
קולינאציה	kvlˈinʔtsiʔ
קולך	kvlχ
קולניות	kvlnˈivt
קומאן	kvmʔn
קומותיו	kvmvtˈiv
קומיקאי	kvmˈiki
קונוס	kvnvs
קונטיננטל	kvntˈinntl
קונטרסים	kvntʁsˈim
קונסולה	kvnsvlʔ
קונסוליית	kvnsvlˈijt
קונסולריים	kvnsvlʁˈijm
קונסטנצה	kvnstntsʔ
קונפורמיות	kvnfvʁmˈivt
קונצנטריות	kvntsntʁˈivt
קונצרטי	kvntsʁtˈi
קוסטוב	kvstvv
קוסמוס	kvsmvs
קוראה	kvʁʔʔ
קורבטות	kvʁvtvt
קורדה	kvʁdʔ
קורדליה	kvʁdlˈiʔ
קורו	kvʁv
קורטה	kvʁtʔ
קורנר	kvʁnʁ
קורפוריישן	kvʁfvʁˈijʃn
קורק	kvʁk
קושרו	kvʃʁv
קטו	ktv
קטיעה	ktˈiʔʔ
קטסטרופה	ktstʁvfʔ
קטפה	ktfʔ
קטרה	ktʁʔ
קיאנטי	kˈiʔnti
קיארה	kˈiʔʁʔ
קיבעו	kˈivʔv
קידו	kˈidv
קיוקור	kˈivkvʁ
קייטל	kˈijtl
קייטרינג	kˈijtʁiŋ
קייפטאון	kˈijftʔvn
קינאי	kˈini
קיסריים	kˈisʁijm
קיפלינג	kˈifliŋ
קירשנבאום	kˈiʁʃnvʔvm
קישקה	kˈiʃkʔ
קלטית	kltˈit
קלטר	kltʁ
קליארי	klˈiʔʁi
קליגר	klˈiɡʁ
קליעת	klˈiʔt
קלמנסו	klmnsv
קלנסי	klnsˈi
קלרמן	klʁmn
קמבל	kmvl
קמעונאיות	kmʔvnˈivt
קמץ	kmts
קנאית	knˈit
קנאן	knʔn
קנברה	knvʁʔ
קנדקה	kndkʔ
קניבליזם	knˈivlizm
קנריס	knʁˈis
קסומות	ksvmvt
קסמה	ksmʔ
קסנדרוס	ksndʁvs
קסקייד	kskˈijd
קפטיין	kftˈijn
קצרצרה	ktsʁtsʁʔ
קקון	kkvn
קרביס	kʁvˈis
קרבנותיו	kʁvnvtˈiv
קרדאנו	kʁdʔnv
קרוידון	kʁvjdvn
קרומים	kʁvmˈim
קרועה	kʁvʔʔ
קרט	kʁt
קריוקי	kʁˈivki
קריי	kʁˈij
קרייזי	kʁˈijzi
קרייתי	kʁˈijti
קרישת	kʁˈiʃt
קרלוטה	kʁlvtʔ
קרניבל	kʁnˈivl
קרנסקי	kʁnskˈi
קרנפים	kʁnfˈim
קרסי	kʁsˈi
קרקלה	kʁklʔ
קרקעיתו	kʁkˈitv
קשקש	kʃkʃ
ראוול	ʁʔwl
ראיינו	ʁˈijnv
ראייתית	ʁˈijtit
ראני	ʁʔnˈi
ראסטי	ʁʔstˈi
רבותיו	ʁvvtˈiv
רבניות	ʁvnˈivt
רבשקה	ʁvʃkʔ
רג	ʁɡ
רגוזה	ʁɡvzʔ
רדיאלית	ʁdˈiʔlit
רואו	ʁvʔv
רוגן	ʁvɡn
רוהר	ʁvʔʁ
רוזלי	ʁvzlˈi
רוזליה	ʁvzlˈiʔ
רוטבליט	ʁvtvlˈit
רומה	ʁvmʔ
רונדו	ʁvndv
רוסאריו	ʁvsʔʁˈiv
רוסטוק	ʁvstvk
רוץ	ʁvts
רוריך	ʁvʁˈiχ
רזרבי	ʁzʁvˈi
רטורית	ʁtvʁˈit
רטריבר	ʁtʁˈivʁ
ריאקציה	ʁˈiʔktsiʔ
ריגן	ʁˈiɡn
רידיק	ʁˈidik
ריוור	ʁˈiwʁ
רייזמן	ʁˈijzmn
ריינבו	ʁˈijnvv
רייסינג	ʁˈijsiŋ
רימייק	ʁˈimijk
ריסק	ʁˈisk
רישה	ʁˈiʃʔ
רישומה	ʁˈiʃvmʔ
רישומו	ʁˈiʃvmv
רכישתו	ʁχˈiʃtv
רכישתם	ʁχˈiʃtm
רמבו	ʁmvv
רמזה	ʁmzʔ
רנסבורג	ʁnsvvʁɡ
רסין	ʁsˈin
רעותה	ʁʔvtʔ
רעי	ʁˈi
רעייה	ʁˈijʔ
רפול	ʁfvl
רפיון	ʁfˈivn
רצ	ʁts
רצוניים	ʁtsvnˈijm
רצי	ʁtsˈi
רצפטור	ʁtsftvʁ
רקב	ʁkv
רקפת	ʁkft
רשלני	ʁʃlnˈi
רשרש	ʁʃʁʃ
רתומה	ʁtvmʔ
שאבותיהם	ʃʔvvtˈiʔm
שאגאל	ʃʔɡʔl
שאהבו	ʃʔʔvv
שאוחדו	ʃʔvχdv
שאוכלוסייתה	ʃʔvχlvsˈijtʔ
שאותר	ʃʔvtʁ
שאותרו	ʃʔvtʁv
שאט	ʃʔt
שאילצה	ʃˈiltsʔ
שאילצו	ʃˈiltsv
שאכפת	ʃʔχft
שאמא	ʃʔmʔ
שאספקת	ʃʔsfkt
שאפתניות	ʃʔftnˈivt
שאצלם	ʃʔtslm
שארעה	ʃʔʁʔʔ
שארתור	ʃʔʁtvʁ
שבאותם	ʃvʔvtm
שבביתו	ʃvvˈitv
שבבתי	ʃvvtˈi
שבגוף	ʃvɡvf
שבגופו	ʃvɡvfv
שבהיותו	ʃvˈivtv
שבחבורה	ʃvχvvʁʔ
שבחיפה	ʃvχˈifʔ
שבחירה	ʃvχˈiʁʔ
שבחצי	ʃvχtsˈi
שבטעות	ʃvtʔvt
שבידם	ʃvˈidm
שבילתה	ʃvˈiltʔ
שביססו	ʃvˈissv
שבכדור	ʃvχdvʁ
שבכוחו	ʃvχvχv
שבלייה	ʃvlˈijʔ
שבלעדיה	ʃvlʔdˈiʔ
שבמבט	ʃvmvt
שבנסיבות	ʃvnsˈivvt
שבסביבתה	ʃvsvˈivtʔ
שבסיס	ʃvsˈis
שבספרו	ʃvsfʁv
שבעיות	ʃvˈivt
שבפרק	ʃvfʁk
שבקומה	ʃvkvmʔ
שבראון	ʃvʁʔvn
שברובם	ʃvʁvvm
שברון	ʃvʁvn
שברוסיה	ʃvʁvsˈiʔ
שבשטחה	ʃvʃtχʔ
שבשכונה	ʃvʃχvnʔ
שבשליטה	ʃvʃlˈitʔ
שבשתי	ʃvʃtˈi
שבתחומי	ʃvtχvmˈi
שגאגא	ʃɡʔɡʔ
שגורלם	ʃɡvʁlm
שגזל	ʃɡzl
שגילמו	ʃɡˈilmv
שגנבה	ʃɡnvʔ
שדוכאה	ʃdvχʔʔ
שדוכאו	ʃdvχʔv
שדחפו	ʃdχfv
שדיים	ʃdˈijm
שהאקלים	ʃʔʔklˈim
שהבן	ʃʔvn
שהבנות	ʃʔvnvt
שהבנקים	ʃʔvnkˈim
שהבעלים	ʃʔvʔlˈim
שהברית	ʃʔvʁˈit
שהבתים	ʃʔvtˈim
שהגבול	ʃʔɡvvl
שהגדוד	ʃʔɡdvd
שהגזע	ʃʔɡzʔ
שהגעתי	ʃʔɡʔtˈi
שהובטחו	ʃʔvvtχv
שהוברח	ʃʔvvʁχ
שהוברחו	ʃʔvvʁχv
שהודיעו	ʃʔvdˈiʔv
שהוחלפה	ʃʔvχlfʔ
שהוחרם	ʃʔvχʁm
שהוכרה	ʃʔvχʁʔ
שהוספו	ʃʔvsfv
שהוסר	ʃʔvsʁ
שהועתק	ʃʔvʔtk
שהופסקה	ʃʔvfskʔ
שהוקצתה	ʃʔvktstʔ
שהורגת	ʃʔvʁɡt
שהורחב	ʃʔvʁχv
שהושמעה	ʃʔvʃmʔʔ
שהושעה	ʃʔvʃʔʔ
שהושקעה	ʃʔvʃkʔʔ
שהזמינה	ʃʔzmˈinʔ
שהחברות	ʃʔχvʁvt
שהחורף	ʃʔχvʁf
שהחזירו	ʃʔχzˈiʁv
שהטרידו	ʃʔtʁˈidv
שהיד	ʃˈid
שהידועה	ʃˈidvʔʔ
שהליגה	ʃʔlˈiɡʔ
שהליך	ʃʔlˈiχ
שהלימודים	ʃʔlˈimvdim
שהמהירות	ʃʔmˈiʁvt
שהמועמד	ʃʔmvʔmd
שהמושג	ʃʔmvʃɡ
שהמסורת	ʃʔmsvʁt
שהנבדק	ʃʔnvdk
שהנחו	ʃʔnχv
שהניבה	ʃʔnˈivʔ
שהניבו	ʃʔnˈivv
שהניחה	ʃʔnˈiχʔ
שהנישואים	ʃʔnˈiʃvim
שהסתובבו	ʃʔstvvvv
שהסתכסך	ʃʔstχsχ
שהעיסוק	ʃʔˈisvk
שהעלייה	ʃʔʔlˈijʔ
שהעפיל	ʃʔʔfˈil
שהעריכה	ʃʔʔʁˈiχʔ
שהפופולריות	ʃʔfvfvlʁˈivt
שהפלסטינים	ʃʔflstˈinim
שהפסקת	ʃʔfskt
שהציונות	ʃʔtsˈivnvt
שהצלחת	ʃʔtslχt
שהצלחתו	ʃʔtslχtv
שהצמח	ʃʔtsmχ
שהצרכן	ʃʔtsʁχn
שהקדימה	ʃʔkdˈimʔ
שהקדישה	ʃʔkdˈiʃʔ
שהקצה	ʃʔktsʔ
שהראתה	ʃʔʁʔtʔ
שהרפובליקה	ʃʔʁfvvlˈikʔ
שהשליט	ʃʔʃlˈit
שהשער	ʃʔʃʔʁ
שהשקיעה	ʃʔʃkˈiʔʔ
שהשתלבו	ʃʔʃtlvv
שהשתנתה	ʃʔʃtntʔ
שהתאבדו	ʃʔtʔvdv
שהתגבר	ʃʔtɡvʁ
שהתגרש	ʃʔtɡʁʃ
שהתואר	ʃʔtvʔʁ
שהתוכנה	ʃʔtvχnʔ
שהתחפש	ʃʔtχfʃ
שהתיישבה	ʃʔtˈijʃvʔ
שהתנגש	ʃʔtŋʃ
שהתנהגות	ʃʔtnʔɡvt
שהתרכז	ʃʔtʁχz
שהתרכזו	ʃʔtʁχzv
שוא	ʃvʔ
שווייק	ʃwjjk
שוויל	ʃwjl
שוויצר	ʃwjtsʁ
שוושינגטון	ʃwʃjŋtvn
שוחרת	ʃvχʁt
שוכחת	ʃvχχt
שוכנעו	ʃvχnʔv
שולחות	ʃvlχvt
שולפת	ʃvlft
שומני	ʃvmnˈi
שופ	ʃvf
שופעים	ʃvfˈim
שורטלנד	ʃvʁtlnd
שז	ʃz
שזמנו	ʃzmnv
שחוזה	ʃχvzʔ
שחוללו	ʃχvllv
שחולקים	ʃχvlkˈim
שחיכה	ʃχˈiχʔ
שחילקו	ʃχˈilkv
שחסרה	ʃχsʁʔ
שחסרים	ʃχsʁˈim
שחפים	ʃχfˈim
שחצן	ʃχtsn
שחרחרים	ʃχʁχʁˈim
שחשד	ʃχʃd
שטאו	ʃtʔv
שטגר	ʃtɡʁ
שטיאסטני	ʃtˈiʔstni
שטיגליץ	ʃtˈiɡlits
שטיחי	ʃtˈiχi
שטלנד	ʃtlnd
שטעמו	ʃtʔmv
שטרואנזה	ʃtʁvʔnzʔ
שיבוצעו	ʃjvvtsʔv
שיבתו	ʃjvtv
שידועים	ʃjdvˈim
שיוטל	ʃjvtl
שיוצגו	ʃjvtsɡv
