да	dˈɑ
миналарды	məjnɑɫɑɾdə
министрліктерге	məjnəjstɾlɪkteɾɡe
митингiсiне	məjtəjnɡ(͡e͡n)ˈa͡ɪ(͡k͡k)sə(͡e͡n)ˈa͡ɪ(͡k͡k)nˈe
моделiн	modˈeɫ(͡e͡n)ˈa͡ɪ(͡k͡k)nə
модельер	modeɫʔˈeɾ
модератор	modeɾɑtˈoɾ
модернизацияны	modˈeɾnəjzɑtsəjjanə
мойнымен	mˈojnəmen
мойымаған	mˈojəmɑʀɑn
мойындалмаған	mˈojəndɑɫmɑʀɑn
мойындамайтындығын	mˈojəndɑmɑjtəndəʀən
мойындауын	mˈojəndɑwən
мойынсұна	mˈojənsʊnɑ
мойынсұну	mˈojənsʊnw
молайта	moɫɑjtˈɑ
монархияға	monˈɑɾxəjjaʀɑ
моноқалалардың	monoqɑɫɑɫˈɑɾdəŋ
моноұлтты	monoˈʊɫttə
монументiне	monwmˈent(͡e͡n)ˈa͡ɪ(͡k͡k)nˈe
мопед	mopˈed
музыкатанушы	mwzəkɑtɑnwʃə
мызғымастай	məzʀəmɑstɑj
мызғып	məzʀəp
мыналарды	mənɑɫɑɾdə
мыналардың	mənɑɫɑɾdəŋ
мысалынан	məsɑɫənɑn
мысықтарға	məsəqtɑɾʀɑ
мықтыға	məqtəʀɑ
мінбеге	mɪnbeɡˈe
мінгізді	mɪnɡɪzdˈɪ
міндеттеледі	mɪndetteledˈɪ
міндеттемелерге	mɪndettemeleɾɡˈe
міндеттемесі	mɪndettemesˈɪ
міндетімді	mɪndetɪmdˈɪ
мінді	mɪndˈɪ
мүгедектердiң	muɡedektˈeɾd(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
мүгедектігін	muɡedektɪɡˈɪn
мүгедектің	muɡedektˈɪŋ
мүдiрмей	mˈud(͡e͡n)ˈa͡ɪ(͡k͡k)ɾmˈej
мүдделерiне	muddelˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)nˈe
мүддемiз	muddˈem(͡e͡n)ˈa͡ɪ(͡k͡k)zə
мүддесiмен	muddˈes(͡e͡n)ˈa͡ɪ(͡k͡k)mˈen
мүмкiндiгiнде	mˈumk(͡e͡n)ˈa͡ɪ(͡k͡k)nədə(͡e͡n)ˈa͡ɪ(͡k͡k)ɡə(͡e͡n)ˈa͡ɪ(͡k͡k)ndˈe
мүмкiндiгiңiз	mˈumk(͡e͡n)ˈa͡ɪ(͡k͡k)nədə(͡e͡n)ˈa͡ɪ(͡k͡k)ɡə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə(͡e͡n)ˈa͡ɪ(͡k͡k)zə
мүмкiндiкке	mˈumk(͡e͡n)ˈa͡ɪ(͡k͡k)nədə(͡e͡n)ˈa͡ɪ(͡k͡k)kkˈe
мүмкіншіліктерін	mumkɪnʃɪlɪkteɾˈɪn
мүрделері	muɾdeleɾˈɪ
мүрдесi	muɾdˈes(͡e͡n)ˈa͡ɪ(͡k͡k)
мүсiнге	mˈus(͡e͡n)ˈa͡ɪ(͡k͡k)nɡˈe
мүсiншiлер	mˈus(͡e͡n)ˈa͡ɪ(͡k͡k)nəʃə(͡e͡n)ˈa͡ɪ(͡k͡k)lˈeɾ
мүсіндерінің	musɪndeɾɪnˈɪŋ
мүфтияттың	mˈuftəjjattəŋ
мүшесiмiн	muʃˈes(͡e͡n)ˈa͡ɪ(͡k͡k)mə(͡e͡n)ˈa͡ɪ(͡k͡k)nə
мүшесіміз	muʃesɪmˈɪz
мүшеқап	muʃeqˈɑp
мұздап	mʊzdˈɑp
мұнарасына	mʊnɑɾˈɑsənɑ
мұнараға	mʊnɑɾɑʀˈɑ
мұншалық	mʊnʃˈɑɫəq
мұнымды	mˈʊnəmdə
мұрагерлер	mʊɾɑɡeɾlˈeɾ
мұрағаттардан	mʊɾɑʀɑttɑɾdˈɑn
мұрттай	mʊɾttˈɑj
мұрыны	mˈʊɾənə
мұсылмандықтың	mˈʊsəɫmɑndəqtəŋ
мұғалімдермен	mʊʀɑlɪmdeɾmˈen
мұғалімінің	mʊʀɑlɪmɪnˈɪŋ
мұғдарында	mʊʀdˈɑɾəndɑ
мұқтаждарға	mʊqtɑʒdɑɾʀˈɑ
мұңның	mˈʊŋnəŋ
мәдениеттен	mædˈenəjetten
мәдениетімен	mædˈenəjetɪmen
мәдениетіндегі	mædˈenəjetɪndeɡɪ
мәжбүрлеуде	mæʒbuɾlewdˈe
мәйiтiнiң	mˈæj(͡e͡n)ˈa͡ɪ(͡k͡k)tə(͡e͡n)ˈa͡ɪ(͡k͡k)nə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
мәйiттердi	mˈæj(͡e͡n)ˈa͡ɪ(͡k͡k)ttˈeɾd(͡e͡n)ˈa͡ɪ(͡k͡k)
мәлiмдемелерi	mˈæɫ(͡e͡n)ˈa͡ɪ(͡k͡k)mdemelˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)
мәлiмдеуi	mˈæɫ(͡e͡n)ˈa͡ɪ(͡k͡k)mdˈew(͡e͡n)ˈa͡ɪ(͡k͡k)
мәлімдемелерімен	mælɪmdemeleɾɪmˈen
мәліметтерден	mælɪmetteɾdˈen
мәнерi	mænˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)
мәселелерiмен	mæselelˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)mˈen
мәслихатындағы	mˈæsɫəjxɑtəndɑʀə
мәтінімен	mætɪnɪmˈen
мөлшерлемесін	mɵɫʃeɾlemesˈɪn
мөрлеп	mɵɾlˈep
наградалары	nɑɡɾɑdɑɫˈɑɾə
наймандар	nɑjmɑndˈɑɾ
нала	nɑɫˈɑ
наласы	nɑɫˈɑsə
наласына	nɑɫˈɑsənɑ
намазхана	nɑmɑzxɑnˈɑ
намысыңды	nˈɑməsəŋdə
нанымына	nˈɑnəmənɑ
наразылықта	nɑɾˈɑzəɫəqtɑ
наразылықтардың	nɑɾˈɑzəɫəqtɑɾdəŋ
нардай	nɑɾdˈɑj
народ	nɑɾˈod
нарықтарында	nˈɑɾəqtɑɾəndɑ
нарықтарға	nˈɑɾəqtɑɾʀɑ
науқаншылдық	nɑwqˈɑnʃəɫdəq
науқастармен	nɑwqɑstɑɾmˈen
нашақорларға	nɑʃɑqoɾɫɑɾʀˈɑ
нашақорлықтан	nɑʃɑqˈoɾɫəqtɑn
нақылы	nˈɑqəɫə
нақышпен	nˈɑqəʃpen
невропатолог	nevɾopɑtoɫˈoɡ
негiзделедi	nˈeɡ(͡e͡n)ˈa͡ɪ(͡k͡k)zdelˈed(͡e͡n)ˈa͡ɪ(͡k͡k)
негiздерiн	nˈeɡ(͡e͡n)ˈa͡ɪ(͡k͡k)zdˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)nə
негізделеді	neɡɪzdeledˈɪ
недәуір	nedæwˈɪɾ
некелескен	nekeleskˈen
некелі	nekelˈɪ
немерелерiне	nemeɾelˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)nˈe
немеремдi	nemeɾˈemd(͡e͡n)ˈa͡ɪ(͡k͡k)
немересіне	nemeɾesɪnˈe
немес	nemˈes
неміз	nemˈɪz
немістермен	nemɪsteɾmˈen
несиелерге	nˈesəjeleɾɡe
несиелері	nˈesəjeleɾɪ
несиемді	nˈesəjemdɪ
нетбук	nˈetbwk
ниетiнiң	nəjet(͡e͡n)ˈa͡ɪ(͡k͡k)nə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
ниетiнде	nəjet(͡e͡n)ˈa͡ɪ(͡k͡k)ndˈe
ниқабқа	nəjqɑbqɑ
номинациясында	nˈoməjnɑtsəjjasəndɑ
ноқтаға	noqtɑʀˈɑ
нысанындағы	nəsɑnəndɑʀə
нышанын	nəʃɑnən
нығайтады	nəʀɑjtɑdə
нығаяды	nəʀɑjadə
нүктеден	nuktedˈen
нұсқадан	nʊsqɑdˈɑn
нұсқауларды	nʊsqɑwɫˈɑɾdə
нұсқаулығы	nʊsqˈɑwɫəʀə
нәрсем	næɾsˈem
нәтиженің	nˈætəjʒenɪŋ
нөмiрiнен	nˈɵm(͡e͡n)ˈa͡ɪ(͡k͡k)ɾə(͡e͡n)ˈa͡ɪ(͡k͡k)nˈen
нөмері	nɵmeɾˈɪ
нөмірлерін	nɵmɪɾleɾˈɪn
нөмірінің	nɵmɪɾɪnˈɪŋ
облысаралық	ˈobɫəsɑɾɑɫəq
одақтасу	odɑqtˈɑsw
одақтасуы	odɑqtˈɑswə
озаты	ozˈɑtə
озбырлығынан	ˈozbəɾɫəʀənɑn
ойламасын	ojɫɑmˈɑsən
ойламау	ojɫɑmˈɑw
ойлантып	ojɫˈɑntəp
ойлаппын	ojɫˈɑppən
ойлағанымыз	ojɫɑʀˈɑnəməz
ойранын	ojɾˈɑnən
ойшылдар	ˈojʃəɫdɑɾ
ойыншықты	ˈojənʃəqtə
ойықтан	ˈojəqtɑn
ойқастап	ojqɑstˈɑp
округтен	okɾwɡtˈen
округтер	okɾwɡtˈeɾ
олжалай	oɫʒɑɫˈɑj
олигархтары	ˈoɫəjɡɑɾxtɑɾə
омыртқаның	ˈoməɾtqɑnəŋ
омыртқасына	ˈoməɾtqɑsənɑ
ондағылардың	ondˈɑʀəɫɑɾdəŋ
оппозиционерлердің	oppˈozəjtsəjoneɾleɾdɪŋ
опырып	ˈopəɾəp
орайлас	oɾɑjɫˈɑs
оралудан	oɾɑɫwdˈɑn
оралысымен	oɾˈɑɫəsəmen
ордалары	oɾdɑɫˈɑɾə
ордаларының	oɾdɑɫˈɑɾənəŋ
оркестрге	oɾkestɾɡˈe
орнатуда	oɾnɑtwdˈɑ
орнатылса	oɾnˈɑtəɫsɑ
орнымыздан	ˈoɾnəməzdɑn
орталықпен	oɾtˈɑɫəqpen
ортан	oɾtˈɑn
орташадан	oɾtɑʃɑdˈɑn
орындалмауына	ˈoɾəndɑɫmɑwənɑ
орындамыз	ˈoɾəndɑməz
орындатты	ˈoɾəndɑttə
орындаушыларға	ˈoɾəndɑwʃəɫɑɾʀɑ
орындықтары	ˈoɾəndəqtɑɾə
орыстанды	ˈoɾəstɑndə
оталып	otˈɑɫəp
отандастарымды	otɑndɑstˈɑɾəmdə
отанның	otˈɑnnəŋ
отанымыздың	otˈɑnəməzdəŋ
отарлап	otɑɾɫˈɑp
отаршылдары	otˈɑɾʃəɫdɑɾə
отаршылдыққа	otˈɑɾʃəɫdəqqɑ
отауға	otɑwʀˈɑ
отбасыңды	otbˈɑsəŋdə
отрядында	otɾjˈadəndɑ
оттап	ottˈɑp
отынына	ˈotənənɑ
отырыстар	ˈotəɾəstɑɾ
отырғаныма	ˈotəɾʀɑnəmɑ
отырғаныңызды	ˈotəɾʀɑnəŋəzdə
отырғызуы	ˈotəɾʀəzwə
отырҚазақстан	ˈotəɾ qɑzɑqstˈɑn
оянуы	ojˈanwə
оғаштау	oʀɑʃtˈɑw
оқалы	oqˈɑɫə
оқитындарға	ˈoqəjtəndɑɾʀɑ
оқтарды	oqtˈɑɾdə
оқулықтан	ˈoqwɫəqtɑn
оқуымызды	ˈoqwəməzdə
оқыла	ˈoqəɫɑ
оқырманымын	ˈoqəɾmɑnəmən
оқытқысы	ˈoqətqəsə
оқыңдар	ˈoqəŋdɑɾ
оңайдан	oŋɑjdˈɑn
оңайлатып	oŋɑjɫˈɑtəp
оңтүстiккореялық	oŋtˈust(͡e͡n)ˈa͡ɪ(͡k͡k)kkoɾejˈaɫəq
оңтүстiктен	oŋtˈust(͡e͡n)ˈa͡ɪ(͡k͡k)ktˈen
пiкiрсайыс	pə(͡e͡n)ˈa͡ɪ(͡k͡k)kə(͡e͡n)ˈa͡ɪ(͡k͡k)ɾsˈɑjəs
пiл	pə(͡e͡n)ˈa͡ɪ(͡k͡k)ɫə
пiсiретiн	pə(͡e͡n)ˈa͡ɪ(͡k͡k)sə(͡e͡n)ˈa͡ɪ(͡k͡k)ɾˈet(͡e͡n)ˈa͡ɪ(͡k͡k)nə
пiшiндi	pə(͡e͡n)ˈa͡ɪ(͡k͡k)ʃə(͡e͡n)ˈa͡ɪ(͡k͡k)nədə(͡e͡n)ˈa͡ɪ(͡k͡k)
павильондар	pˈɑvəjɫʔondɑɾ
пайдаланудағы	pɑjdɑɫɑnwdˈɑʀə
пайдалырақ	pɑjdˈɑɫəɾɑq
пайдасымен	pɑjdˈɑsəmen
пайызымен	pˈɑjəzəmen
пайымдай	pˈɑjəmdɑj
пайымға	pˈɑjəmʀɑ
пакетi	pɑkˈet(͡e͡n)ˈa͡ɪ(͡k͡k)
пакеттерді	pɑketteɾdˈɪ
палатасынан	pɑɫɑtˈɑsənɑn
палуандарымыздың	pɑɫwɑndˈɑɾəməzdəŋ
палуаннан	pɑɫwɑnnˈɑn
палуанына	pɑɫwˈɑnənɑ
папка	pɑpkˈɑ
парадигмасы	pɑɾˈɑdəjɡmɑsə
паразиттер	pɑɾˈɑzəjtteɾ
паралимпиадада	pɑɾˈɑɫəjmpəjɑdɑdɑ
паралимпиадасына	pɑɾˈɑɫəjmpəjɑdɑsənɑ
паралимпиадасында	pɑɾˈɑɫəjmpəjɑdɑsəndɑ
параметрлері	pɑɾɑmetɾleɾˈɪ
парақорлықтан	pɑɾɑqˈoɾɫəqtɑn
парақтай	pɑɾɑqtˈɑj
парақтарды	pɑɾɑqtˈɑɾdə
паспортымен	pɑspˈoɾtəmen
пасха	pɑsxˈɑ
пасын	pˈɑsən
патологиялық	pɑtoɫˈoɡəjjaɫəq
патрулі	pɑtɾwlˈɪ
педофил	pedˈofəjɫ
пейіл	pejˈɪɫ
пейілді	pejɪɫdˈɪ
перiштелер	pˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)ʃtelˈeɾ
перзентiн	peɾzˈent(͡e͡n)ˈa͡ɪ(͡k͡k)nə
перзентiне	peɾzˈent(͡e͡n)ˈa͡ɪ(͡k͡k)nˈe
планеталар	pɫɑnetɑɫˈɑɾ
планеталықтар	pɫɑnetˈɑɫəqtɑɾ
пластиктен	pɫˈɑstəjkten
платформада	pɫɑtfoɾmɑdˈɑ
платформасында	pɫɑtfoɾmˈɑsəndɑ
пленумға	plenwmʀˈɑ
плюралистік	pɫjuɾˈɑɫəjstɪk
пневмония	pnevmˈonəjja
погон	poɡˈon
погондылар	poɡˈondəɫɑɾ
полигондағы	pˈoɫəjɡondɑʀə
полиомиелиттің	pˈoɫəjoməjeɫəjttɪŋ
полюске	poɫjuskˈe
понт	pˈont
порталдар	poɾtɑɫdˈɑɾ
портрет	poɾtɾˈet
портретіне	poɾtɾetɪnˈe
постері	posteɾˈɪ
постының	pˈostənəŋ
поэзиялық	poˈezəjjaɫəq
поэмасының	poemˈɑsənəŋ
практикасын	pɾˈɑktəjkɑsən
президентiнен	pɾˈezəjdent(͡e͡n)ˈa͡ɪ(͡k͡k)nˈen
президенттеріне	pɾˈezəjdentteɾɪne
президентімізге	pɾˈezəjdentɪmɪzɡe
премьера	pɾemʔeɾˈɑ
приставы	pɾəjstɑvə
провинцияда	pɾˈovəjntsəjjadɑ
программистер	pɾoɡɾˈɑmməjsteɾ
прокуратурасын	pɾokwɾɑtwɾˈɑsən
промоутерi	pɾomowtˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)
протокол	pɾotokˈoɫ
протон	pɾotˈon
прототипі	pɾotˈotəjpɪ
процедуралық	pɾotsedwɾˈɑɫəq
психдиспансерде	psəjxdəjspɑnseɾde
психотроптық	psəjxotɾoptəq
публицистика	pwbɫəjtsəjstəjkɑ
пунктерінде	pwnkteɾɪndˈe
пунктерінің	pwnkteɾɪnˈɪŋ
пунктіндегі	pwnktɪndeɡˈɪ
пунктіне	pwnktɪnˈe
путиндік	pwtəjndɪk
пысқырған	pəsqəɾʀɑn
пышағын	pəʃɑʀən
пышақты	pəʃɑqtə
пікірдемін	pɪkɪɾdemˈɪn
пікірлерден	pɪkɪɾleɾdˈen
пікірлерінше	pɪkɪɾleɾɪnʃˈe
пікірталастан	pɪkɪɾtɑɫɑstˈɑn
пікіріSkip	pɪkɪɾˈɪ(͡e͡n)kˈɪp(͡k͡k)
пікіріміз	pɪkɪɾɪmˈɪz
пікіріңді	pɪkɪɾɪŋdˈɪ
пұлдап	pʊɫdˈɑp
пәнiне	pˈæn(͡e͡n)ˈa͡ɪ(͡k͡k)nˈe
пәндерінен	pændeɾɪnˈen
пәніне	pænɪnˈe
пәтерiнiң	pætˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)nə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
пәтерлi	pætˈeɾɫ(͡e͡n)ˈa͡ɪ(͡k͡k)
пәтерсіз	pæteɾsˈɪz
пәтеріме	pæteɾɪmˈe
радасы	ɾɑdˈɑsə
радикалданып	ɾˈɑdəjkɑɫdɑnəp
радикализмді	ɾˈɑdəjkɑɫəjzmdɪ
радиостанциясына	ɾˈɑdəjostɑntsəjjasənɑ
радиосымен	ɾˈɑdəjosəmen
ракеталар	ɾɑketɑɫˈɑɾ
растамай	ɾɑstɑmˈɑj
растауға	ɾɑstɑwʀˈɑ
рационалды	ɾˈɑtsəjonɑɫdə
рақымы	ɾˈɑqəmə
реакторды	ɾeɑktˈoɾdə
реактордың	ɾeɑktˈoɾdəŋ
реакторлар	ɾeɑktoɾɫˈɑɾ
реакцияшыл	ɾeˈɑktsəjjaʃəɫ
регламент	ɾeɡɫɑmˈent
редакторға	ɾedɑktoɾʀˈɑ
редакциядағы	ɾedˈɑktsəjjadɑʀə
резервтi	ɾezˈeɾvt(͡e͡n)ˈa͡ɪ(͡k͡k)
резервтерi	ɾezeɾvtˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)
рейсін	ɾejsˈɪn
рейтингiсiнде	ɾˈejtəjnɡ(͡e͡n)ˈa͡ɪ(͡k͡k)sə(͡e͡n)ˈa͡ɪ(͡k͡k)ndˈe
ренжiсiп	ɾˈenʒ(͡e͡n)ˈa͡ɪ(͡k͡k)sə(͡e͡n)ˈa͡ɪ(͡k͡k)pə
ренжіген	ɾenʒɪɡˈen
ренжітпейтін	ɾenʒɪtpejtˈɪn
ресейлiктерге	ɾesˈejɫ(͡e͡n)ˈa͡ɪ(͡k͡k)kteɾɡˈe
респондент	ɾespondˈent
реттегi	ɾettˈeɡ(͡e͡n)ˈa͡ɪ(͡k͡k)
реттеледi	ɾettelˈed(͡e͡n)ˈa͡ɪ(͡k͡k)
реформалармен	ɾefoɾmɑɫɑɾmˈen
ризалықпен	ɾəjzɑɫəqpen
ризашылығына	ɾəjzɑʃəɫəʀənɑ
рингiнде	ɾəjnɡ(͡e͡n)ˈa͡ɪ(͡k͡k)ndˈe
риторикалық	ɾəjtoɾəjkɑɫəq
рольде	ɾoɫʔdˈe
роліне	ɾolɪnˈe
рублiнiң	ɾwbɫ(͡e͡n)ˈa͡ɪ(͡k͡k)nə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
рульде	ɾwɫʔdˈe
румыниялық	ɾwmənəjjaɫəq
русская	ɾwsskɑjˈa
рушылдықты	ɾwʃəɫdəqtə
рәсiмiнен	ɾˈæs(͡e͡n)ˈa͡ɪ(͡k͡k)mə(͡e͡n)ˈa͡ɪ(͡k͡k)nˈen
рәсімделіп	ɾæsɪmdelˈɪp
рәсімдеуді	ɾæsɪmdewdˈɪ
рөлiнде	ɾˈɵɫ(͡e͡n)ˈa͡ɪ(͡k͡k)ndˈe
рөлдері	ɾɵɫdeɾˈɪ
сiздiкi	sə(͡e͡n)ˈa͡ɪ(͡k͡k)zədə(͡e͡n)ˈa͡ɪ(͡k͡k)kə(͡e͡n)ˈa͡ɪ(͡k͡k)
сiлтеуге	sə(͡e͡n)ˈa͡ɪ(͡k͡k)ɫtewɡˈe
сiлтеудiң	sə(͡e͡n)ˈa͡ɪ(͡k͡k)ɫtˈewd(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
сiңiрi	sə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə(͡e͡n)ˈa͡ɪ(͡k͡k)ɾə(͡e͡n)ˈa͡ɪ(͡k͡k)
сiңiстi	sə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə(͡e͡n)ˈa͡ɪ(͡k͡k)sətə(͡e͡n)ˈa͡ɪ(͡k͡k)
сабалап	sɑbɑɫˈɑp
сабасын	sɑbˈɑsən
сайламайды	sɑjɫɑmˈɑjdə
сайлаушыға	sɑjɫˈɑwʃəʀɑ
сайттарынан	sɑjttˈɑɾənɑn
сайыстары	sˈɑjəstɑɾə
сайыстырған	sˈɑjəstəɾʀɑn
саламен	sɑɫɑmˈen
салафилер	sɑɫˈɑfəjleɾ
салмаймын	sɑɫmˈɑjmən
салмау	sɑɫmˈɑw
салмағанын	sɑɫmɑʀˈɑnən
салтанаттың	sɑɫtɑnˈɑttəŋ
салудағы	sɑɫwdˈɑʀə
салымшыларды	sˈɑɫəmʃəɫɑɾdə
салынар	sˈɑɫənɑɾ
салынбауы	sˈɑɫənbɑwə
салысқан	sˈɑɫəsqɑn
салғандығы	sɑɫʀˈɑndəʀə
салғызған	sˈɑɫʀəzʀɑn
самай	sɑmˈɑj
саманнан	sɑmɑnnˈɑn
саналмайтын	sɑnɑɫmˈɑjtən
санама	sɑnɑmˈɑ
санамаймыз	sɑnɑmˈɑjməz
санамалай	sɑnɑmɑɫˈɑj
санамды	sɑnˈɑmdə
санатын	sɑnˈɑtən
санитарлар	sˈɑnəjtɑɾɫɑɾ
сантехник	sɑntˈexnəjk
сапарларының	sɑpɑɾɫˈɑɾənəŋ
сапасында	sɑpˈɑsəndɑ
сапырылысқан	sˈɑpəɾəɫəsqɑn
сарайларда	sɑɾɑjɫɑɾdˈɑ
сарбаздан	sɑɾbɑzdˈɑn
сарынмен	sˈɑɾənmen
сарыға	sˈɑɾəʀɑ
сарқырап	sˈɑɾqəɾɑp
сатуын	sˈɑtwən
сатуына	sˈɑtwənɑ
сатылуға	sˈɑtəɫwʀɑ
сатылымы	sˈɑtəɫəmə
сатылғаны	sˈɑtəɫʀɑnə
сатыпты	sˈɑtəptə
сауалдан	sɑwɑɫdˈɑn
сауалмен	sɑwɑɫmˈen
сауалнамасының	sɑwɑɫnɑmˈɑsənəŋ
сауалыма	sɑwˈɑɫəmɑ
саудаласа	sɑwdɑɫɑsˈɑ
саулығына	sˈɑwɫəʀənɑ
саусағымды	sɑwsˈɑʀəmdə
саусағына	sɑwsˈɑʀənɑ
сауыншы	sˈɑwənʃə
сауықтыруға	sˈɑwəqtəɾwʀɑ
сауған	sɑwʀˈɑn
сахналады	sɑxnɑɫˈɑdə
сахнасы	sɑxnˈɑsə
сахнасын	sɑxnˈɑsən
саябағының	sɑjabˈɑʀənəŋ
саяжайлардың	sɑjaʒɑjɫˈɑɾdəŋ
саясаттарын	sɑjasɑttˈɑɾən
саясатымызды	sɑjasˈɑtəməzdə
саятшы	sɑjˈatʃə
саяхаты	sɑjaxˈɑtə
сағасындағы	sɑʀˈɑsəndɑʀə
сағаттарында	sɑʀɑttˈɑɾəndɑ
сақау	sɑqˈɑw
сақтайтынын	sɑqtˈɑjtənən
сақталмағанын	sɑqtɑɫmɑʀˈɑnən
сақтандыра	sɑqtˈɑndəɾɑ
сақтануды	sɑqtˈɑnwdə
сақылдаған	sˈɑqəɫdɑʀɑn
саңырау	sˈɑŋəɾɑw
саңқылдап	sˈɑŋqəɫdɑp
себептерiне	sebeptˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)nˈe
себет	sebˈet
сегiзден	sˈeɡ(͡e͡n)ˈa͡ɪ(͡k͡k)zdˈen
сезiлген	sˈez(͡e͡n)ˈa͡ɪ(͡k͡k)ɫɡˈen
сезiле	sˈez(͡e͡n)ˈa͡ɪ(͡k͡k)lˈe
сезiмдердi	sˈez(͡e͡n)ˈa͡ɪ(͡k͡k)mdˈeɾd(͡e͡n)ˈa͡ɪ(͡k͡k)
сезiмнен	sˈez(͡e͡n)ˈa͡ɪ(͡k͡k)mnˈen
сезiмталдығы	sˈez(͡e͡n)ˈa͡ɪ(͡k͡k)mtˈɑɫdəʀə
сезiнемiз	sˈez(͡e͡n)ˈa͡ɪ(͡k͡k)nˈem(͡e͡n)ˈa͡ɪ(͡k͡k)zə
сезбеген	sezbeɡˈen
сездік	sezdˈɪk
сезілетін	sezɪletˈɪn
сезіміне	sezɪmɪnˈe
селекциялық	selˈektsəjjaɫəq
селкiлдеп	sˈeɫk(͡e͡n)ˈa͡ɪ(͡k͡k)ɫdˈep
селфиге	sˈeɫfəjɡe
семестр	semˈestɾ
семестрде	semestɾdˈe
семсер	semsˈeɾ
сенаторды	senɑtˈoɾdə
сенаттан	senɑttˈɑn
сенатындағы	senˈɑtəndɑʀə
сенбейтіндерін	senbejtɪndeɾˈɪn
сендiре	sˈend(͡e͡n)ˈa͡ɪ(͡k͡k)ɾˈe
сендірмек	sendɪɾmˈek
сенсацияға	sensˈɑtsəjjaʀɑ
сенсең	sensˈeŋ
сенсің	sensˈɪŋ
сенуi	sˈenw(͡e͡n)ˈa͡ɪ(͡k͡k)
сенімсіздікті	senɪmsɪzdɪktˈɪ
сепаратистерінің	sepɑɾˈɑtəjsteɾɪnɪŋ
серiктестер	sˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)ktestˈeɾ
серiнiң	sˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)nə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
сервері	seɾveɾˈɪ
сергіп	seɾɡˈɪp
сериалдың	sˈeɾəjɑɫdəŋ
сериалын	sˈeɾəjɑɫən
сермей	seɾmˈej
серпiлтiп	sˈeɾp(͡e͡n)ˈa͡ɪ(͡k͡k)ɫətə(͡e͡n)ˈa͡ɪ(͡k͡k)pə
серпiп	sˈeɾp(͡e͡n)ˈa͡ɪ(͡k͡k)pə
серуені	seɾwenˈɪ
серігім	seɾɪɡˈɪm
серіктерімен	seɾɪkteɾɪmˈen
серіктестігіне	seɾɪktestɪɡɪnˈe
сескенедi	seskenˈed(͡e͡n)ˈa͡ɪ(͡k͡k)
сигналын	səjɡnɑɫən
сипаттамалары	səjpɑttɑmɑɫɑɾə
сипаттар	səjpɑttɑɾ
сиырының	səjəɾənəŋ
сияқтанады	səjjaqtɑnɑdə
скотчпен	skott͡ʃpˈen
славяндар	sɫɑvjandˈɑɾ
совхозында	sovxˈozəndɑ
созылғанын	sˈozəɫʀɑnən
сойды	sˈojdə
сойылы	sˈojəɫə
сойылға	sˈojəɫʀɑ
солтүстiгiнде	soɫtˈust(͡e͡n)ˈa͡ɪ(͡k͡k)ɡə(͡e͡n)ˈa͡ɪ(͡k͡k)ndˈe
солып	sˈoɫəp
солярка	soɫjaɾkˈɑ
солқылдап	sˈoɫqəɫdɑp
сопрано	sopɾɑnˈo
сотталғанына	sottɑɫʀˈɑnənɑ
соттасатын	sottɑsˈɑtən
соттасуы	sottˈɑswə
соттыѓ	sə ˈo tə tə ə lˈetə
сояны	sojˈanə
соғарын	soʀˈɑɾən
соғыссыз	sˈoʀəssəz
соғысушы	sˈoʀəswʃə
соқпас	soqpˈɑs
соққымен	sˈoqqəmen
спиртті	spəjɾttɪ
ставкаға	stɑvkɑʀˈɑ
стакан	stɑkˈɑn
станок	stɑnˈok
станцияға	stˈɑntsəjjaʀɑ
статистикасын	stˈɑtəjstəjkɑsən
стипендиясын	stəjpendəjjasən
стратегиясымен	sətɾɑtˈeɡəjjasəmen
суарылған	swˈɑɾəɫʀɑn
субъектілеріне	swbʔektɪleɾɪnˈe
субъектілерінің	swbʔektɪleɾɪnˈɪŋ
судағы	swdˈɑʀə
сум	swm
супермаркеттің	swpeɾmɑɾkettˈɪŋ
суретпен	swɾetpˈen
